id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/10/value,qualifier/12/value,qualifier/15/value,qualifier/11/value,qualifier/16/value
2504007045,7,3,1,0,9,cz4a6wmzx2obyisadhgaccx7b,0,72.2,76.4,2023-02-04T17:31:31.960Z,2023-02-05T09:28:59Z,4014251751,178,,4012705019,56,Center,4013998971,464,,4012705021,286,,4012705193,233,5,,,,,,,,,,dgysidzshgxqm3jegaihwi5wq,T. Krauß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504007057,5,7,1,0,9,go76xxm0xyfgqt1h6tcrtimm,1,27.8,23.6,2023-02-04T17:31:32.406Z,2023-02-05T09:29:01Z,4012705161,233,7,4013998987,384,,4014251799,178,,4012705113,285,,4012705111,56,Back,,,,,,,,,,au5tbnn48ve4kqnuu3dhmk296,K. Koné,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504007061,6,49,1,0,10,go76xxm0xyfgqt1h6tcrtimm,1,23.4,9.7,2023-02-04T17:31:33.146Z,2023-02-05T09:29:04Z,,,,,,,,,,,,,,,,,,,,,,,,,7kjhx78gpi6m3r4j1b4jdyh91,J. Hofmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504007065,7,61,1,0,12,go76xxm0xyfgqt1h6tcrtimm,0,22.9,8.1,2023-02-04T17:31:34.552Z,2023-02-05T09:29:32Z,4014252303,178,,4012705137,56,Back,,,,,,,,,,,,,,,,,,,7kjhx78gpi6m3r4j1b4jdyh91,J. Hofmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504007075,8,49,1,0,12,cz4a6wmzx2obyisadhgaccx7b,1,80.8,95.6,2023-02-04T17:31:35.048Z,2023-02-05T09:29:40Z,,,,,,,,,,,,,,,,,,,,,,,,,dgysidzshgxqm3jegaihwi5wq,T. Krauß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504305297,882,67,1,0,12,cz4a6wmzx2obyisadhgaccx7b,1,81.3,94.4,2023-02-04T17:31:35.145Z,2023-02-05T10:56:41Z,4014284181,233,935,,,,,,,,,,,,,,,,,,,,,,dgysidzshgxqm3jegaihwi5wq,T. Krauß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504305293,935,67,1,0,12,go76xxm0xyfgqt1h6tcrtimm,0,18.7,5.6,2023-02-04T17:31:35.146Z,2023-02-05T09:54:00Z,4014284185,233,882,,,,,,,,,,,,,,,,,,,,,,7kjhx78gpi6m3r4j1b4jdyh91,J. Hofmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504007079,9,61,1,0,13,cz4a6wmzx2obyisadhgaccx7b,0,87,96.3,2023-02-04T17:31:36.013Z,2023-02-05T09:29:49Z,4012705223,56,Left,4014252619,178,,,,,,,,,,,,,,,,,,,,dgysidzshgxqm3jegaihwi5wq,T. Krauß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504007207,8,5,1,0,14,go76xxm0xyfgqt1h6tcrtimm,1,10.9,-1.1,2023-02-04T17:31:37.084Z,2023-02-05T09:29:50Z,4012705905,233,10,4012705901,347,,4012705899,56,Back,,,,,,,,,,,,,,,,7kjhx78gpi6m3r4j1b4jdyh91,J. Hofmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504007085,10,5,1,0,14,cz4a6wmzx2obyisadhgaccx7b,0,89.1,101.1,2023-02-04T17:31:37.084Z,2023-02-05T09:29:51Z,4012705973,233,8,4012705237,56,Left,4012705239,347,,,,,,,,,,,,,,,,,dgysidzshgxqm3jegaihwi5wq,T. Krauß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2504007231,9,1,1,0,23,go76xxm0xyfgqt1h6tcrtimm,1,18.4,0,2023-02-04T17:31:46.135Z,2023-02-05T09:29:54Z,4012706015,107,,4012706023,212,8.3,4012706021,141,10.4,4012706019,140,18.4,4012706017,56,Back,4012706025,213,1.6,,,,,,,43eq31reskwn9veb3vickralm,J. Scally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
