id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,keyPass,qualifier/13/value,assist,qualifier/15/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2478639469,1,34,16,0,0,a8l3w3n0j99qjlsxj3jnmgkz1,1,0,0,2022-10-29T12:39:11.473Z,2022-10-29T17:25:30Z,3879230963,194,acxwc7xxrtyssiy390t859kgl,3879494157,197,8139,3879230957,59,"1, 20, 6, 27, 3, 5, 39, 22, 10, 31, 16, 2, 4, 12, 14, 15, 23, 29, 32, 33",3879230951,30,"bfpax581lm91ebz4xgz40a191, 23l48u4w5nj4036whjm3s49gp, 76h7b6dhpyotolq68f84lqifp, acxwc7xxrtyssiy390t859kgl, fr9ac60188vlmtbrcddhxii1, dodddfi0l5i36vlgbaybhzeqy, aplc9mad75h1k90o3qla9c7l6, 6384gzzxuxs6pvmrn8qx4d7u1, embn1jhcly07i6pjcvcdiavo5, d2ykrr75737c8bzlwhjj90vkl, b7cso5zljdvzfila9zd4fz4ve, 2mwe6l0eu1tisri3eu26fx8x6, 7e7w34imugzsufvytjxytupd5, 53ozrqkupvt2iyi2xg0swf7px, ec04djw7dspowrm7h7wr6e5ed, 40rzvcdss138e6futx3bht3o5, eswxx8pxqyuj7rnpvqawpej1l, bjhgmcai5irlexe7oa1g0e5sl, 4sd2zs6d5cd4d9n3oo54lglat, b8if5dg0k9prjik99aiutewh5",3879230953,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3879230959,130,7,3879230967,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3879230961,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478643181,1,34,16,0,0,eq1oq6y61xnzq88zu0cnw131z,1,0,0,2022-10-29T12:42:35.974Z,2022-10-29T18:06:53Z,3879251217,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3879251209,59,"1, 2, 3, 7, 20, 30, 18, 8, 33, 10, 22, 6, 9, 14, 16, 17, 21, 24, 35, 38",3879251211,130,8,3879451589,194,82r0liyptyapc8rfuo32qcqtx,3879251215,197,8147,3879251205,30,"clmq1s26z0i3lqr1jqnd5wzit, 2earc7j2kp3tveehpnxtv1exh, 6sc9zsev9an853nop6pn6mxg5, f2o5hj0e2k3kw0fj1xzom0cet, 8gnpf9kwx2n2rqwf1gixc4bth, ns0d3voludn8of98yc2e6ehh, 4oic5vu1qv89061hflasl3r3d, 82r0liyptyapc8rfuo32qcqtx, d2pco79bmi3f9x3zahtf9q2mt, 98e7uohj6lcvf59sfssff2y8l, ejww8hjcn4y4hlik863vaw3qh, 4y167h8sn9cnyrvb097lf8lbd, 9xftmtdsxbuu2itzhi3v1xbdh, f577akgydk4t6ui45iyab2a22, 11dqnpwlb2clu2v7rnghsrlcl, 3nins3wtqjz9vt8q06s087vth, de3mpa534obonqn4h2v10f6xh, b7fqivvacy7mmarlp180k276d, ep1bhk6t6sudlhjjz20j199ed, brs96wp9u2t10tsqfdwcyhnth",3879251213,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3879251207,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478690203,2,32,1,0,0,a8l3w3n0j99qjlsxj3jnmgkz1,1,0,0,2022-10-29T13:30:55.608Z,2022-10-29T21:00:48Z,3879507039,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478690179,2,32,1,0,0,eq1oq6y61xnzq88zu0cnw131z,1,0,0,2022-10-29T13:30:55.608Z,2022-10-29T13:30:55Z,3879506911,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478690253,3,1,1,0,0,eq1oq6y61xnzq88zu0cnw131z,1,48.8,50.1,2022-10-29T13:30:55.641Z,2022-10-29T21:13:33Z,3879507233,279,S,3879507227,141,47.0,3881863163,178,,3879507223,56,Back,3879507229,212,20.0,3879507225,140,29.9,3879507231,213,3.2,,,,f2o5hj0e2k3kw0fj1xzom0cet,K. Stöger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478690321,4,1,1,0,3,eq1oq6y61xnzq88zu0cnw131z,0,29.1,47.3,2022-10-29T13:30:58.640Z,2022-10-29T21:13:37Z,3879507575,1,,3879507565,141,77.1,3879507561,56,Center,3879507571,213,0.5,3879899975,155,,3879507567,212,44.7,3879507563,140,67.0,3881863219,178,,8gnpf9kwx2n2rqwf1gixc4bth,I. Ordets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478690351,5,1,1,0,6,eq1oq6y61xnzq88zu0cnw131z,0,67,77.1,2022-10-29T13:31:02.107Z,2022-10-29T21:13:46Z,3879507735,212,13.3,3881863429,178,,3879507727,3,,3879507737,213,5.9,3879507731,140,78.5,3879507733,141,68.9,3879507729,56,Center,,,,d2pco79bmi3f9x3zahtf9q2mt,P. Hofmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478690331,3,44,1,0,8,a8l3w3n0j99qjlsxj3jnmgkz1,1,24.6,31.8,2022-10-29T13:31:03.950Z,2022-10-30T09:57:00Z,3879507811,233,6,3879507621,56,Back,3879507623,285,,,,,,,,,,,,,,,,,fr9ac60188vlmtbrcddhxii1,S. Bornauw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478690357,6,44,1,0,8,eq1oq6y61xnzq88zu0cnw131z,0,75.4,68.2,2022-10-29T13:31:03.951Z,2022-10-29T21:13:54Z,3879507771,286,,3881237371,233,3,3879507769,56,Center,,,,,,,,,,,,,,,,4oic5vu1qv89061hflasl3r3d,J. Osei-Tutu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2478690341,4,1,1,0,8,a8l3w3n0j99qjlsxj3jnmgkz1,1,27.2,35.2,2022-10-29T13:31:04.019Z,2022-10-30T09:57:00Z,3879507673,56,Back,3879507675,140,35.0,3879507679,212,8.7,3881864173,388,,3879507671,3,,3879507681,213,5.9,3879507677,141,30.9,,,,fr9ac60188vlmtbrcddhxii1,S. Bornauw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
