id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,qualifier/11/value,assist,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,keyPass,qualifier/13/value,qualifier/17/value,qualifier/16/value,qualifier/18/value
2455157333,9,1,1,0,20,9gefq4dz9b2hl8rqrxwrlrzmp,1,14,69.3,2022-09-03T16:32:44.643Z,2022-09-04T07:30:42Z,3754470507,140,5.5,3756934105,178,,3754470505,56,Back,3754470509,141,50.9,3754470511,212,15.4,3754470515,213,4.1,,,,,,,axj39lx25teh62rih6uv9qor9,K. Kampl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455157441,10,1,1,0,23,9gefq4dz9b2hl8rqrxwrlrzmp,1,7.3,51.2,2022-09-03T16:32:47.913Z,2022-09-04T07:30:42Z,3756934125,178,,3754471027,140,11.4,3754471031,212,23.7,3754471025,56,Back,3754471029,141,85.4,3754471033,213,1.4,,,,,,,3tb27261f8mpzpq3prpv8ng0l,P. Gulácsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455157495,11,1,1,0,28,9gefq4dz9b2hl8rqrxwrlrzmp,1,16.6,79.7,2022-09-03T16:32:52.566Z,2022-09-04T07:30:42Z,3754471237,56,Back,3754471245,212,19.3,3756934149,178,,3754471239,140,4.9,3754471243,141,57.9,3754471249,213,4.0,,,,,,,axj39lx25teh62rih6uv9qor9,K. Kampl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455157589,12,1,1,0,30,9gefq4dz9b2hl8rqrxwrlrzmp,1,5,66,2022-09-03T16:32:55.010Z,2022-09-04T07:30:43Z,3754471617,212,32.1,3754471615,141,97.5,3754471611,56,Back,3754471609,155,,3756934159,178,,3754471621,213,0.7,3754471613,140,27.8,3754471625,1,,3tb27261f8mpzpq3prpv8ng0l,P. Gulácsi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455157639,13,1,1,0,34,9gefq4dz9b2hl8rqrxwrlrzmp,1,30.2,97.4,2022-09-03T16:32:58.604Z,2022-09-04T07:30:43Z,3754471937,140,51.1,3754471943,213,5.5,3754471935,56,Center,3756934183,178,,3754471939,141,67.8,3754471941,212,29.8,,,,,,,9prtaifv6stlujgywgq4wd08a,J. Gvardiol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455157771,14,1,1,0,37,9gefq4dz9b2hl8rqrxwrlrzmp,1,47.1,66.7,2022-09-03T16:33:01.107Z,2022-09-04T07:30:43Z,3754472747,56,Center,3754472751,141,27.6,3756934193,178,,3754472755,213,4.9,3754472749,140,53.0,3754472753,212,27.3,,,,,,,1j0a3ml1zglc9s31yentfckb9,C. Nkunku,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455157777,15,4,1,0,40,9gefq4dz9b2hl8rqrxwrlrzmp,1,56.2,29.9,2022-09-03T16:33:04.429Z,2022-09-04T07:30:44Z,3754472785,286,,3754472781,152,,3754472777,13,,3754472783,265,,3754472779,56,Center,3754472787,233,3,,,,,,,3isbv9egu9vzxnna4ix8gcudx,B. Henrichs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455157747,3,4,1,0,40,c5hderjlkcoaze51e5wgvptk,0,43.8,70.1,2022-09-03T16:33:04.430Z,2022-09-04T07:30:44Z,3756934201,178,,3754472793,233,15,3754472567,56,Back,3754472563,13,,3754472579,285,,3754472575,265,,3754472571,152,,,,,az15xx7m923srf9gdbwmiyga1,D. Kamada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455158309,16,1,1,1,17,9gefq4dz9b2hl8rqrxwrlrzmp,1,54.9,29.5,2022-09-03T16:33:42.001Z,2022-09-04T07:30:44Z,3754475573,56,Right,3754475569,5,,3754475579,212,8.1,3754475575,140,53.7,3756934229,178,,3754475571,152,,3754475577,141,17.7,3754475581,213,4.6,1qthvf5krys0pzk24h8wtr9at,K. Laimer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455158361,17,1,1,1,19,9gefq4dz9b2hl8rqrxwrlrzmp,1,54,13.8,2022-09-03T16:33:43.828Z,2022-09-04T07:30:45Z,3754475855,140,61.0,3754475853,56,Right,3754475859,212,8.9,3756934233,178,,3754475857,141,6.5,3754475861,213,5.7,,,,,,,95gjm3yk75rmwyneb350zoktm,M. Simakan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455158427,18,1,1,1,21,9gefq4dz9b2hl8rqrxwrlrzmp,0,62.5,7.7,2022-09-03T16:33:45.721Z,2022-09-04T07:30:45Z,3754476195,56,Right,3754476203,213,0.2,3756934257,178,,3754476205,1,,3754476201,212,41.8,3754476199,141,19.4,3754476197,140,100.0,,,,3isbv9egu9vzxnna4ix8gcudx,B. Henrichs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455158441,4,5,1,1,25,c5hderjlkcoaze51e5wgvptk,1,-1.4,80,2022-09-03T16:33:49.732Z,2022-09-04T07:30:45Z,3754476281,233,19,3754476259,346,,3754476257,56,Back,,,,,,,,,,,,,,,,az15xx7m923srf9gdbwmiyga1,D. Kamada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455158433,19,5,1,1,25,9gefq4dz9b2hl8rqrxwrlrzmp,0,101.4,20,2022-09-03T16:33:49.732Z,2022-09-04T07:30:46Z,3754476233,56,Right,3754476339,233,4,3754476235,346,,,,,,,,,,,,,,,,,3isbv9egu9vzxnna4ix8gcudx,B. Henrichs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455158621,5,1,1,1,35,c5hderjlkcoaze51e5wgvptk,1,4.5,51,2022-09-03T16:33:59.125Z,2022-09-04T07:30:46Z,3754477165,140,23.9,3754477163,56,Back,3754477173,1,,3754477161,124,,3754477171,213,0.9,3754477169,212,33.1,3754503411,189,,3754477167,141,89.3,7obuhegyo1qcoikt23egcsr85,K. Trapp,3754477177,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455158651,6,1,1,1,35,c5hderjlkcoaze51e5wgvptk,1,24,89.3,2022-09-03T16:33:59.476Z,2022-09-04T07:30:46Z,3754477377,141,67.5,3754477381,213,4.5,3754477373,56,Back,3754477379,212,15.3,3756934317,178,,3754477375,140,20.3,,,,,,,3qy1qlzezgfkxeom5n1r9h13p,C. Lenz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455158727,7,1,1,1,38,c5hderjlkcoaze51e5wgvptk,1,23.3,66.4,2022-09-03T16:34:02.717Z,2022-09-04T07:30:47Z,3754477753,213,5.1,3756934347,178,,3754477749,141,34.2,3754477751,212,24.0,3754477745,56,Back,3754477747,140,32.6,,,,,,,efzokrggje7s9wc6hg75yc6ax,E. Ndicka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455158749,8,1,1,1,43,c5hderjlkcoaze51e5wgvptk,1,35.7,36,2022-09-03T16:34:07.408Z,2022-09-04T07:30:47Z,3756934355,178,,3754477897,140,33.0,3754477903,213,1.8,3754477895,56,Back,3754477899,141,51.6,3754477901,212,11.0,,,,,,,bd4p670s36cp1dh4fadv84qcq,Tuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455158807,9,1,1,1,45,c5hderjlkcoaze51e5wgvptk,1,34.7,54.5,2022-09-03T16:34:09.339Z,2022-09-04T07:30:48Z,3754478107,56,Back,3754478111,141,74.5,3754478109,140,41.1,3754478115,213,1.1,3756934371,178,,3754478113,212,15.2,,,,,,,efzokrggje7s9wc6hg75yc6ax,E. Ndicka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455158851,10,1,1,1,48,c5hderjlkcoaze51e5wgvptk,1,44.2,76.4,2022-09-03T16:34:12.159Z,2022-09-04T07:30:48Z,3754478409,213,0.1,3756934375,178,,3754478403,140,63.9,3754478401,56,Left,3754478405,141,80.2,3754478407,212,20.8,,,,,,,7cdiijsvnfc7tafy0zkf4uz9,D. Sow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455158887,11,1,1,1,52,c5hderjlkcoaze51e5wgvptk,1,69.2,71.1,2022-09-03T16:34:16.091Z,2022-09-04T07:30:48Z,3754478507,140,64.0,3754478511,212,10.9,3754478509,141,57.3,3756934379,178,,3754478505,56,Center,3754478513,213,4.2,,,,,,,az15xx7m923srf9gdbwmiyga1,D. Kamada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455158953,12,1,1,1,54,c5hderjlkcoaze51e5wgvptk,1,64.1,55.5,2022-09-03T16:34:18.634Z,2022-09-04T07:30:49Z,3754478857,212,33.5,3754478861,1,,3756934391,178,,3754478859,213,4.9,3754478853,140,71.4,3754478851,56,Right,3754478855,141,7.6,,,,78e1qvft3ser2tyayjlmemdp1,S. Rode,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455158983,13,1,1,1,57,c5hderjlkcoaze51e5wgvptk,1,68.5,16.8,2022-09-03T16:34:21.320Z,2022-09-04T07:30:49Z,3754479035,140,53.6,3754479041,213,2.7,3754479039,212,17.6,3754479033,56,Center,3756934405,178,,3754479037,141,28.8,,,,,,,a3ib09ji7qsz6cgj3vmz5qort,K. Jakić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455159027,14,1,1,1,59,c5hderjlkcoaze51e5wgvptk,1,54.4,26.4,2022-09-03T16:34:23.830Z,2022-09-04T07:30:49Z,3756934429,178,,3754479267,141,4.7,3754479263,56,Right,3754479269,212,14.8,3754479265,140,55.3,3754479271,213,4.8,,,,,,,bd4p670s36cp1dh4fadv84qcq,Tuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455159057,15,1,1,2,1,c5hderjlkcoaze51e5wgvptk,0,55.4,5,2022-09-03T16:34:25.825Z,2022-09-04T07:30:50Z,3754479421,213,1.0,3754479413,56,Center,3754479419,212,32.2,3754479415,140,72.0,3754479423,1,,3754479411,155,,3754479417,141,44.8,3756934447,178,,a3ib09ji7qsz6cgj3vmz5qort,K. Jakić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455159087,20,1,1,2,3,9gefq4dz9b2hl8rqrxwrlrzmp,0,24.5,47.5,2022-09-03T16:34:27.734Z,2022-09-04T07:30:50Z,3754479587,1,,3754479579,140,60.5,3754479575,157,,3754479583,212,38.0,3754479577,56,Center,3756934451,178,,3754479581,141,53.1,3754479585,213,0.1,95gjm3yk75rmwyneb350zoktm,M. Simakan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455159301,16,1,1,2,7,c5hderjlkcoaze51e5wgvptk,1,43.5,56.1,2022-09-03T16:34:31.473Z,2022-09-04T07:30:50Z,3754480479,141,85.6,3754480475,56,Left,3756934455,178,,3754480477,140,53.2,3754480483,213,1.1,3754480481,212,22.5,,,,,,,efzokrggje7s9wc6hg75yc6ax,E. Ndicka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455159325,17,1,1,2,13,c5hderjlkcoaze51e5wgvptk,1,72.5,88.4,2022-09-03T16:34:37.151Z,2022-09-04T07:30:51Z,3754480647,213,2.2,3754480643,141,96.5,3754480639,56,Left,3754480641,140,68.3,3756934481,178,,3754480645,212,7.1,,,,,,,3qy1qlzezgfkxeom5n1r9h13p,C. Lenz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455159351,18,1,1,2,14,c5hderjlkcoaze51e5wgvptk,0,67.6,95.6,2022-09-03T16:34:38.914Z,2022-09-04T07:30:51Z,3754480763,141,66.9,3754480769,213,4.7,3754480765,212,19.5,3754480761,140,68.2,3754480759,56,Center,3756934499,178,,,,,,,,eqtsanns36za56h4pfqhbnh05,M. Götze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455159381,21,49,1,2,16,9gefq4dz9b2hl8rqrxwrlrzmp,1,26.7,36.3,2022-09-03T16:34:41.052Z,2022-09-04T07:30:51Z,,,,,,,,,,,,,,,,,,,,,,,,,axj39lx25teh62rih6uv9qor9,K. Kampl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455159433,22,1,1,2,18,9gefq4dz9b2hl8rqrxwrlrzmp,1,24.5,29.5,2022-09-03T16:34:42.888Z,2022-09-04T07:30:52Z,3756934521,178,,3754481245,56,Back,3754481251,212,8.4,3754481253,213,2.1,3754481249,141,40.0,3754481247,140,20.3,,,,,,,axj39lx25teh62rih6uv9qor9,K. Kampl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455159463,23,1,1,2,19,9gefq4dz9b2hl8rqrxwrlrzmp,1,19.8,38.3,2022-09-03T16:34:43.712Z,2022-09-04T07:30:52Z,3756934529,178,,3754481387,141,14.6,3754481389,212,16.3,3754481383,56,Back,3754481385,140,17.8,3754481391,213,4.6,,,,,,,eapihgte8ydc4g6hzygsx2e39,W. Orbán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455159525,24,1,1,2,21,9gefq4dz9b2hl8rqrxwrlrzmp,1,17.9,13.1,2022-09-03T16:34:45.904Z,2022-09-04T07:30:52Z,3754481737,56,Back,3754481739,140,29.0,3754481741,141,5.3,3754481745,213,5.9,3756934537,178,,3754481743,212,12.8,,,,,,,95gjm3yk75rmwyneb350zoktm,M. Simakan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455159557,25,1,1,2,23,9gefq4dz9b2hl8rqrxwrlrzmp,0,29.3,5.8,2022-09-03T16:34:47.991Z,2022-09-04T07:30:53Z,3754481927,141,21.5,3756934563,178,,3754481921,155,,3754481931,213,0.4,3754481925,140,52.5,3754481929,212,26.6,3754481923,56,Center,,,,3isbv9egu9vzxnna4ix8gcudx,B. Henrichs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455159567,19,49,1,2,25,c5hderjlkcoaze51e5wgvptk,1,44.5,76.6,2022-09-03T16:34:49.982Z,2022-09-04T07:30:54Z,,,,,,,,,,,,,,,,,,,,,,,,,efzokrggje7s9wc6hg75yc6ax,E. Ndicka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455159609,20,1,1,2,26,c5hderjlkcoaze51e5wgvptk,1,45.1,76.4,2022-09-03T16:34:50.080Z,2022-09-04T07:30:54Z,3754482207,212,8.6,3756934621,178,,3754482209,213,6.2,3754482203,140,53.2,3754482201,56,Center,3754482205,141,75.0,,,,,,,efzokrggje7s9wc6hg75yc6ax,E. Ndicka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455159643,21,1,1,2,27,c5hderjlkcoaze51e5wgvptk,1,52.9,76,2022-09-03T16:34:51.565Z,2022-09-04T07:30:54Z,3754482397,141,94.8,3754482401,213,2.3,3756934635,178,,3754482393,56,Back,3754482399,212,17.1,3754482395,140,42.1,,,,,,,7cdiijsvnfc7tafy0zkf4uz9,D. Sow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455159677,22,1,1,2,29,c5hderjlkcoaze51e5wgvptk,1,40.9,93.5,2022-09-03T16:34:53.905Z,2022-09-04T07:30:54Z,3756934645,178,,3754482555,56,Back,3754482559,141,74.2,3754482563,213,3.7,3754482557,140,20.9,3754482561,212,24.8,,,,,,,3qy1qlzezgfkxeom5n1r9h13p,C. Lenz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455159707,23,1,1,2,32,c5hderjlkcoaze51e5wgvptk,0,22.1,74.2,2022-09-03T16:34:57.041Z,2022-09-04T07:30:55Z,3754482713,56,Center,3754482721,213,6.1,3756934649,178,,3754482719,212,44.9,3754482715,140,63.7,3754482723,1,,3754482711,155,,3754482717,141,59.1,7obuhegyo1qcoikt23egcsr85,K. Trapp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
