id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,keyPass,qualifier/10/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/16/value,qualifier/17/value,assist,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2475334535,1,34,16,0,0,6k5zscdm9ufw0tguvzyjlp5hq,1,0,0,2022-10-22T12:38:29.584Z,2022-10-22T13:32:10Z,3861713741,30,"920yurg08gqayxwc80q9f8ixh, d36na8jr6xcc8eronhy8mcz1m, b7ve7k983eaewnupejiow3jdh, 6o2v57d92t1mejod24gmufcut, 84mp3eqt1ckw107hwxpby9cd1, 2jk8zu0m0tf7if0pyrkbo82xh, 7at6knpizbafid4br861pi6zt, ejnh215cji6xou661kiwcc91x, 7c6034wb3zsuq9nhxxiahiuol, mugwhiw6mwgjf5797wlnjzdh, 2az0f39bhz2kvxhopalzi0h5h, f5ln82l8q7gvouj3zhsp5t4gl, bsyv3fmihshve4jcr11qmtmfp, 3w8uk04gxlm4tj4hmsc3msmvp, 1h3mduwlaf89ebwtqxuegsodm, 6gjlcd7rzi3p74qwvj7ia6esq, arjwwth6yazptr851wu2u6e0a, 6qujoqysad60h70f3ac5n9ch6, 2es4ydlcwwasm6mu7rmey5r3e, 7o11dzx2cccrslutrjl16ik89",3861713751,194,b7ve7k983eaewnupejiow3jdh,3861917769,197,16671,3861713747,130,17,3861713749,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3861713745,59,"26, 25, 30, 3, 28, 17, 14, 27, 38, 11, 32, 8, 9, 18, 20, 21, 29, 31, 33, 42",3861713743,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3861713753,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475336623,1,34,16,0,0,cu0eztmjcsbydyp53aleznorw,1,0,0,2022-10-22T12:40:32.288Z,2022-10-22T13:33:15Z,3861724711,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3861724693,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",3861724709,194,aaoycxwi9jny6flm4apz8a2uh,3861724707,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3861724689,30,"expxslws50h0iw0logr02gs7p, 7k7whr0pdbw5wtk7g0cwozw0l, eayipmdtzbmjgjouq10nqhcrt, 8nug6t1cmn9pwhnwdf6nyhrrp, aaoycxwi9jny6flm4apz8a2uh, 1psr9ra8k9j4r94p1xixagzbp, b4q9q0qgmtz959rygieg9ln1l, 14fw7p4fzaxprndgxnx0gxgbt, 5ndmhtdu5jfgvzuddd7fu2fh1, cjq9g6zgcxk1ceo2xzpe1qnyt, dr0kn3srxtg7nuw99gjoim7e1, 8kar47kxxc8f20vc9ul2ez3yt, 26nfmfc8p2doisd9p8vtd33dh, 3spzxmms300isjmf03yses12i, 630sqbiu7utmkg8yw0h4ky8a2, 9tz07waj55ig7rrlpboei8n3d, f14n6d52p37nkvoo5n3i52x2h, 7llxni56g8q0yt33vhp1pt3o5, 3h6q9lkwovcu4pynltgnzhy50",3861739685,197,8115,3861724697,59,"1, 8, 26, 3, 32, 5, 20, 6, 7, 11, 28, 9, 10, 19, 21, 24, 27, 30, 39",3861724701,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475375327,2,32,1,0,0,6k5zscdm9ufw0tguvzyjlp5hq,1,0,0,2022-10-22T13:30:11.592Z,2022-10-23T04:18:51Z,3861935275,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475375373,2,32,1,0,0,cu0eztmjcsbydyp53aleznorw,1,0,0,2022-10-22T13:30:11.592Z,2022-10-22T13:30:17Z,3861935417,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475375381,3,1,1,0,0,cu0eztmjcsbydyp53aleznorw,1,49.8,49.9,2022-10-22T13:30:11.681Z,2022-10-23T05:01:03Z,3861935447,213,3.0,3861935441,140,35.6,3865299923,178,,3861935439,56,Back,3861935445,212,15.2,3861935443,141,54.0,3861935449,279,S,,,,dr0kn3srxtg7nuw99gjoim7e1,I. Gruev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475375429,4,1,1,0,2,cu0eztmjcsbydyp53aleznorw,0,34,54.3,2022-10-22T13:30:14.142Z,2022-10-23T05:01:07Z,3861935757,157,,3865299979,178,,3861935763,140,35.4,3861935859,236,,3861935861,233,3,3861935865,286,,3861935767,141,53.9,3861935759,56,Back,8nug6t1cmn9pwhnwdf6nyhrrp,A. Jung,3861935771,212,1.5,3861935775,213,6.1,3861935779,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475375441,3,74,1,0,2,6k5zscdm9ufw0tguvzyjlp5hq,1,70.1,46.4,2022-10-22T13:30:14.215Z,2022-10-23T05:01:08Z,3865299987,178,,3861935829,56,Center,3861935831,285,,3861935897,233,4,,,,,,,,,,,,,7c6034wb3zsuq9nhxxiahiuol,M. Gregoritsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475375537,5,52,1,0,8,cu0eztmjcsbydyp53aleznorw,1,13,74.8,2022-10-22T13:30:19.712Z,2022-10-23T05:01:10Z,3865300015,178,,3864764187,376,,,,,,,,,,,,,,,,,,,,expxslws50h0iw0logr02gs7p,J. Pavlenka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475375603,6,1,1,0,12,cu0eztmjcsbydyp53aleznorw,1,12.8,67,2022-10-22T13:30:24.402Z,2022-10-23T05:01:13Z,3861936553,123,,3861936567,212,16.8,3861936559,140,15.8,3865300041,178,,3861936557,56,Back,3861936563,141,42.7,3861936571,213,4.9,,,,expxslws50h0iw0logr02gs7p,J. Pavlenka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475375649,7,1,1,0,15,cu0eztmjcsbydyp53aleznorw,1,12.2,52.7,2022-10-22T13:30:26.855Z,2022-10-23T05:01:17Z,3861936789,56,Back,3861936791,140,26.0,3861936797,212,32.2,3861936801,213,1.1,3865300085,178,,3861936805,1,,3861936793,141,95.0,,,,aaoycxwi9jny6flm4apz8a2uh,M. Friedl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
