id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/8/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,keyPass,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2457894655,1,34,16,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2022-09-10T12:39:30.055Z,2022-09-10T13:33:19Z,3769035621,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3769235723,197,16363,3769035611,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3769035609,30,"ci1nu5z8aiiikco8af0zk1lud, 4baqlwfu312pctopy1cx6s2c5, eh9sh9aa10zrp80l6e4l0c7h1, cjok1odm3twxo7sqye3hua6eh, ernbjicg113inzsubzrfm8fyt, bvifdvoxv9e8nq8qe37c0gvrp, l469vtpe0jbgg5sq1v2e67e1, d608s0948uh3owqee7t0en7px, dzolxp2oixtakcrqfyibpu76d, d9q12xp4h8nhtjxl5il3vufh1, d3tfdqfnab7bqxfdh3399y06i, d2gbcc336c4zatpiif4cvm2fp, 2w76r8guf9sacoriu0ivytyax, bwqqecmqm76v5b83v1cz891p1, 24w7jq5qou30k8f76lmr20ju2, 6u47fsriz3ejlf72hxtsew5bd, 6uurhe88nry4hyelll8ifzd91, amd4rodp6senk2c1mmlsqozpx, 84uzswqtdoq56g034rg0kk16, 3n2imac1yp8jppsf36a4qg76y",3769035615,130,17,3769035613,59,"27, 30, 3, 5, 42, 16, 8, 31, 9, 10, 29, 1, 4, 7, 17, 19, 20, 21, 36, 37",3769035617,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3769035619,194,4baqlwfu312pctopy1cx6s2c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457895693,1,34,16,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,0,0,2022-09-10T12:40:36.330Z,2022-09-10T13:31:09Z,3769040991,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3769040985,130,19,3769040983,59,"1, 3, 29, 22, 5, 25, 6, 8, 33, 27, 14, 7, 10, 11, 13, 16, 18, 34, 35, 37",3769040989,194,cm8po8ez5w9ms01gid6w3kwk5,3769040987,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3769040981,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3769040979,30,"cm8po8ez5w9ms01gid6w3kwk5, shbxc528h0udd6rdf3ax2itx, arwidogdfccsjv8fxa1veezf9, elh8kttxq9xfpoqfmpxv9jr2t, 6ki6rv564ybctrajr2xtgyeax, 6yhylu5q0y924amgv7vlodkgl, 57c808184l80uuuv7z3flcu6t, f3v95yyj6j7h7qpprxm4zlre1, e8ekkg0yayhhmmhinl0v9une, ew18qvvupaejxubhqmxmbd39x, 5pousbiuqbus68yekd0mhc5pl, 9dnrpl2c7n769i8nbfnboq2tx, e9c0v3ik308t91njildxzc6vp, 9uthj64y9f77y63tq7did539x, 7hnmtyfmurizitwz1whecjnmy, 3rj7x05qx17n925xfpcrl0jpx, c1nt67z429kirthuhkdxouor9, 980t379w5cp7umv1eltwlfca1, 65v1s740zfmpwkc0z1v3aisd0, 6k3daudjhieulsgywbt9uoep6",3769223073,197,3794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457932931,2,32,1,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2022-09-10T13:30:12.988Z,2022-09-10T13:30:13Z,3769237673,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457932961,2,32,1,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,0,0,2022-09-10T13:30:12.988Z,2022-09-10T21:47:58Z,3769237825,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457933053,3,1,1,0,0,1c7qokc1j5z50cjj4tcu32haa,1,49.8,49.9,2022-09-10T13:30:13.007Z,2022-09-10T22:45:35Z,3769238235,56,Back,3769238241,212,22.5,3769238239,141,51.9,3769238237,140,28.4,3769238245,279,S,3769238243,213,3.1,3771402283,178,,,,,dzolxp2oixtakcrqfyibpu76d,K. Onisiwo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457933093,4,1,1,0,3,1c7qokc1j5z50cjj4tcu32haa,0,33.8,54.6,2022-09-10T13:30:16.870Z,2022-09-10T22:45:42Z,3769939393,157,,3769238431,1,,3769238421,56,Center,3769238427,212,34.7,3769238429,213,6.2,3769238425,141,49.1,3769238423,140,66.7,3771402703,178,,ernbjicg113inzsubzrfm8fyt,A. Hack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457933095,3,1,1,0,6,4l9mrqzmajz5crzlz50mtbt6x,0,30.1,59.9,2022-09-10T13:30:19.976Z,2022-09-10T22:46:03Z,3769238439,3,,3769238441,56,Back,3771403845,388,,3769238449,213,5.3,3769238447,212,8.3,3769238445,141,49.7,3769238443,140,34.4,,,,5pousbiuqbus68yekd0mhc5pl,C. Baumgartner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457933161,5,1,1,0,9,1c7qokc1j5z50cjj4tcu32haa,1,67.2,48.5,2022-09-10T13:30:22.247Z,2022-09-10T22:46:14Z,3771404199,178,,3769238811,56,Center,3769238817,212,6.7,3769238819,213,3.1,3769238815,141,48.9,3769238813,140,60.8,,,,,,,d9q12xp4h8nhtjxl5il3vufh1,A. Fulgini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457933213,6,1,1,0,9,1c7qokc1j5z50cjj4tcu32haa,1,61.5,50.5,2022-09-10T13:30:22.872Z,2022-09-10T22:46:21Z,3769239101,212,25.1,3769239099,141,86.6,3769239097,140,56.3,3769239095,56,Left,3769239103,213,1.8,3771404459,178,,,,,,,,d608s0948uh3owqee7t0en7px,D. Kohr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457933241,7,1,1,0,13,1c7qokc1j5z50cjj4tcu32haa,1,54.6,91.1,2022-09-10T13:30:26.803Z,2022-09-10T22:46:55Z,3769239221,56,Back,3771406219,178,,3769239223,140,39.3,3769239225,141,75.0,3769239229,213,3.7,3769239227,212,19.4,,,,,,,eh9sh9aa10zrp80l6e4l0c7h1,Aarón Martín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457933289,8,1,1,0,17,1c7qokc1j5z50cjj4tcu32haa,1,40.5,76.9,2022-09-10T13:30:30.096Z,2022-09-10T22:47:04Z,3771406533,178,,3769239471,140,20.1,3769239477,213,3.9,3769239475,212,28.4,3769239473,141,49.5,3769239469,56,Back,,,,,,,cjok1odm3twxo7sqye3hua6eh,M. Leitsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457933421,9,1,1,0,18,1c7qokc1j5z50cjj4tcu32haa,1,19.4,52.2,2022-09-10T13:30:31.833Z,2022-09-10T22:47:11Z,3769240177,1,,3769240165,155,,3769240169,140,65.4,3769240173,212,49.3,3769240167,56,Center,3769240175,213,0.2,3771406953,178,,3769240171,141,66.6,ci1nu5z8aiiikco8af0zk1lud,R. Zentner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457933427,10,4,1,0,21,1c7qokc1j5z50cjj4tcu32haa,1,63.8,68.8,2022-09-10T13:30:34.722Z,2022-09-10T22:47:27Z,3769240209,56,Center,3769240211,152,,3769240205,13,,3769240473,233,4,3769245005,294,,3769240213,286,,,,,,,,d3tfdqfnab7bqxfdh3399y06i,J. Burkardt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457933463,4,4,1,0,21,4l9mrqzmajz5crzlz50mtbt6x,0,36.2,31.2,2022-09-10T13:30:34.723Z,2022-09-10T22:47:26Z,3769240421,13,,3771407893,388,,3769240431,152,,3769240523,233,10,3769240425,294,,3769240429,56,Back,3769240433,285,,,,,6ki6rv564ybctrajr2xtgyeax,O. Kabak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458472135,713,43,1,0,22,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2022-09-10T13:30:35.642Z,2022-09-11T03:40:30Z,3772187215,178,0,3772187309,144,82,,,,,,,,,,,,,,,,,,,ernbjicg113inzsubzrfm8fyt,A. Hack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457933961,11,1,1,1,3,1c7qokc1j5z50cjj4tcu32haa,1,63,73.4,2022-09-10T13:31:16.108Z,2022-09-10T22:47:35Z,3769243093,56,Center,3769243081,5,,3769243101,212,31.0,3769243099,141,47.4,3769946829,2,,3769243087,155,,3769947073,72,,3769243095,140,87.2,eh9sh9aa10zrp80l6e4l0c7h1,Aarón Martín,3771408395,178,3769947071,224,3769243091,152,3769243103,213,5.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457934883,23,44,1,1,4,1c7qokc1j5z50cjj4tcu32haa,1,87.2,45.4,2022-09-10T13:31:17.481Z,2022-09-11T04:23:24Z,3769250299,233,6,3769250229,286,,3769250227,56,Center,,,,,,,,,,,,,,,,ernbjicg113inzsubzrfm8fyt,A. Hack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457934319,6,44,1,1,4,4l9mrqzmajz5crzlz50mtbt6x,0,12.8,54.6,2022-09-10T13:31:17.482Z,2022-09-10T22:47:45Z,3769244899,56,Back,3769250341,233,23,3769244901,285,,,,,,,,,,,,,,,,,57c808184l80uuuv7z3flcu6t,G. Prömel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457934005,12,1,1,1,4,1c7qokc1j5z50cjj4tcu32haa,1,86.8,46.8,2022-09-10T13:31:17.540Z,2022-09-11T04:23:25Z,3769243287,212,16.8,3769243285,141,68.0,3769243281,56,Center,3769243279,3,,3769243289,213,1.0,3771409203,388,,3769243283,140,95.0,,,,ernbjicg113inzsubzrfm8fyt,A. Hack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457934023,13,1,1,1,6,1c7qokc1j5z50cjj4tcu32haa,0,95.3,68.8,2022-09-10T13:31:19.369Z,2022-09-10T22:48:00Z,3769243387,155,,3769243391,56,Center,3771409585,178,,3769243399,212,13.8,3769243397,141,50.9,3769243401,213,5.2,3769243395,140,100.0,,,,d9q12xp4h8nhtjxl5il3vufh1,A. Fulgini,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457934069,5,5,1,1,7,4l9mrqzmajz5crzlz50mtbt6x,1,-1,52.8,2022-09-10T13:31:20.262Z,2022-09-10T22:48:06Z,3769243621,346,,3769243641,233,14,3769243619,56,Back,,,,,,,,,,,,,,,,shbxc528h0udd6rdf3ax2itx,P. Kadeřábek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457934033,14,5,1,1,7,1c7qokc1j5z50cjj4tcu32haa,0,101,47.2,2022-09-10T13:31:20.262Z,2022-09-10T22:48:07Z,3769243689,233,5,3769243443,56,Center,3769243445,346,,,,,,,,,,,,,,,,,d608s0948uh3owqee7t0en7px,D. Kohr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457934499,7,1,1,1,31,4l9mrqzmajz5crzlz50mtbt6x,1,3.4,54.9,2022-09-10T13:31:44.623Z,2022-09-10T22:48:15Z,3769245783,56,Center,3769245785,140,52.1,3769245791,213,6.2,3769245787,141,49.6,3769245789,212,51.3,3769245793,1,,3769245781,155,,3769245779,124,,cm8po8ez5w9ms01gid6w3kwk5,O. Baumann,3769245797,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457934537,8,1,1,1,33,4l9mrqzmajz5crzlz50mtbt6x,0,52.1,49.6,2022-09-10T13:31:46.855Z,2022-09-10T22:48:23Z,3771410579,178,,3769245977,56,Center,3769245981,141,69.0,3769245979,140,66.2,3769245985,213,0.7,3769245983,212,19.8,,,,,,,ew18qvvupaejxubhqmxmbd39x,A. Kramarić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458472359,714,43,1,1,36,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2022-09-10T13:31:49.225Z,2022-09-11T03:41:06Z,3772188461,178,0,3772188517,144,82,,,,,,,,,,,,,,,,,,,bvifdvoxv9e8nq8qe37c0gvrp,S. Bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457934575,15,49,1,1,36,1c7qokc1j5z50cjj4tcu32haa,1,30.3,33.1,2022-09-10T13:31:49.257Z,2022-09-10T22:48:33Z,,,,,,,,,,,,,,,,,,,,,,,,,bvifdvoxv9e8nq8qe37c0gvrp,S. Bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2458472391,715,43,1,1,36,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2022-09-10T13:31:49.265Z,2022-09-11T03:41:11Z,3772188607,178,0,3772188669,144,82,,,,,,,,,,,,,,,,,,,bvifdvoxv9e8nq8qe37c0gvrp,S. Bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457934637,16,1,1,1,36,1c7qokc1j5z50cjj4tcu32haa,1,30.3,33.1,2022-09-10T13:31:49.290Z,2022-09-10T22:48:37Z,3769246403,140,14.6,3769246405,141,46.0,3769246407,212,18.7,3771411133,178,,3769246409,213,2.7,3769246401,56,Back,,,,,,,bvifdvoxv9e8nq8qe37c0gvrp,S. Bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457934699,17,1,1,1,38,1c7qokc1j5z50cjj4tcu32haa,1,13.1,45.2,2022-09-10T13:31:51.026Z,2022-09-10T22:48:42Z,3769246721,155,,3769246737,212,36.0,3769246725,56,Back,3769246739,213,5.4,3771411491,178,,3769246733,141,5.6,3769246741,1,,3769246729,140,35.8,ci1nu5z8aiiikco8af0zk1lud,R. Zentner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457934735,18,1,1,1,42,1c7qokc1j5z50cjj4tcu32haa,1,33.2,7.7,2022-09-10T13:31:55.087Z,2022-09-10T22:48:53Z,3769246951,140,35.5,3769246953,141,22.5,3769246955,212,10.3,3769246949,56,Back,3769246957,213,1.3,3771412195,178,,,,,,,,4baqlwfu312pctopy1cx6s2c5,S. Widmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457934749,19,1,1,1,43,1c7qokc1j5z50cjj4tcu32haa,1,35,22.5,2022-09-10T13:31:55.990Z,2022-09-10T22:49:00Z,3769247035,56,Back,3771412491,178,,3769247041,141,6.0,3769247039,140,32.2,3769247043,212,11.6,3769247045,213,4.5,,,,,,,d608s0948uh3owqee7t0en7px,D. Kohr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
