id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/10/value,qualifier/11/value,qualifier/9/value,keyPass,qualifier/15/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value
2530187503,1,34,16,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2023-04-08T12:40:17.273Z,2023-04-08T13:27:30Z,4171989095,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4172128313,197,11885,4171989085,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4171989087,59,"27, 30, 19, 25, 16, 20, 8, 31, 17, 6, 11, 1, 3, 4, 7, 9, 21, 37, 42, 44",4171989091,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171989089,130,17,4171989093,194,4baqlwfu312pctopy1cx6s2c5,4171989083,30,"ci1nu5z8aiiikco8af0zk1lud, 4baqlwfu312pctopy1cx6s2c5, 6u47fsriz3ejlf72hxtsew5bd, dnt7ahwfj8endqngxwfll1tjp, bvifdvoxv9e8nq8qe37c0gvrp, 6uurhe88nry4hyelll8ifzd91, l469vtpe0jbgg5sq1v2e67e1, d608s0948uh3owqee7t0en7px, am0pcyvtaws1i69jt09dgnsnp, az7owi5t4bclkamjsjuyxzv1l, 4rgz5z372h6sbwhpxl69cb6c5, d2gbcc336c4zatpiif4cvm2fp, eh9sh9aa10zrp80l6e4l0c7h1, 2w76r8guf9sacoriu0ivytyax, bwqqecmqm76v5b83v1cz891p1, dzolxp2oixtakcrqfyibpu76d, amd4rodp6senk2c1mmlsqozpx, 3n2imac1yp8jppsf36a4qg76y, ernbjicg113inzsubzrfm8fyt, alp8twr3g2rmfmnguffsfovtg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530188477,1,34,16,0,0,cu0eztmjcsbydyp53aleznorw,1,0,0,2023-04-08T12:41:42.927Z,2023-04-08T13:27:21Z,4171993597,59,"1, 8, 3, 32, 13, 4, 10, 6, 7, 11, 36, 17, 20, 21, 22, 26, 28, 30, 34, 39",4172127809,197,8115,4171993593,30,"expxslws50h0iw0logr02gs7p, 7k7whr0pdbw5wtk7g0cwozw0l, 8nug6t1cmn9pwhnwdf6nyhrrp, aaoycxwi9jny6flm4apz8a2uh, 6kge6vcoa9ocnh6tb8qznfzkl, 2p48525x4ap9m81g6ode51cyd, 26nfmfc8p2doisd9p8vtd33dh, 14fw7p4fzaxprndgxnx0gxgbt, 5ndmhtdu5jfgvzuddd7fu2fh1, cjq9g6zgcxk1ceo2xzpe1qnyt, ec5ng4j3rcjwsjz1v05e1z3dh, 9i46dpapurzdzvd7nz3be7kl, b4q9q0qgmtz959rygieg9ln1l, 630sqbiu7utmkg8yw0h4ky8a2, d95i3fwjrk3ti4co645mde76x, eayipmdtzbmjgjouq10nqhcrt, dr0kn3srxtg7nuw99gjoim7e1, 7llxni56g8q0yt33vhp1pt3o5, bitixkzgt5p65rlo2bnllcf6x, 3h6q9lkwovcu4pynltgnzhy50",4171993601,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171993605,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171993599,130,12,4171993595,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4171993603,194,aaoycxwi9jny6flm4apz8a2uh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530215377,2,32,1,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2023-04-08T13:30:55.145Z,2023-04-09T00:07:42Z,4172139889,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530215391,2,32,1,0,0,cu0eztmjcsbydyp53aleznorw,1,0,0,2023-04-08T13:30:55.145Z,2023-04-08T13:30:59Z,4172139955,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530215443,3,1,1,0,0,1c7qokc1j5z50cjj4tcu32haa,1,50.1,49.8,2023-04-08T13:30:55.195Z,2023-04-09T05:00:14Z,4172140247,212,20.6,4172140243,140,30.6,4175225353,178,,4172140251,279,S,4172140245,141,47.1,4172140249,213,3.2,4172140241,56,Back,,,,4rgz5z372h6sbwhpxl69cb6c5,M. Ingvartsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530215473,4,1,1,0,3,1c7qokc1j5z50cjj4tcu32haa,0,30.5,45.8,2023-04-08T13:30:58.761Z,2023-04-09T05:00:18Z,4172140383,56,Center,4175225597,178,,4172140391,213,0.3,4172140387,141,72.1,4172140393,1,,4172140385,140,90.9,4172140389,212,65.9,4172140381,155,,bvifdvoxv9e8nq8qe37c0gvrp,S. Bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530215517,3,52,1,0,11,cu0eztmjcsbydyp53aleznorw,1,5,24.4,2023-04-08T13:31:06.147Z,2023-04-09T05:00:23Z,4175225693,178,,4173482265,376,,,,,,,,,,,,,,,,,,,,expxslws50h0iw0logr02gs7p,J. Pavlenka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530215629,4,1,1,0,14,cu0eztmjcsbydyp53aleznorw,1,9.1,39.4,2023-04-08T13:31:10.113Z,2023-04-09T05:00:27Z,4172141151,141,73.2,4172141155,213,1.4,4175225791,178,,4172141147,56,Back,4172141145,123,,4172141153,212,23.2,4172141149,140,11.8,,,,expxslws50h0iw0logr02gs7p,J. Pavlenka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530215693,5,1,1,0,17,cu0eztmjcsbydyp53aleznorw,1,10.4,69.9,2023-04-08T13:31:12.720Z,2023-04-09T05:00:31Z,4172141423,56,Back,4172141433,212,25.1,4172141427,140,8.4,4175225897,178,,4172141431,141,33.1,4172141435,213,4.6,,,,,,,aaoycxwi9jny6flm4apz8a2uh,M. Friedl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530215719,6,1,1,0,21,cu0eztmjcsbydyp53aleznorw,0,7.1,25.5,2023-04-08T13:31:16.151Z,2023-04-09T05:00:35Z,4172141567,213,0.1,4172141563,141,34.2,4172141559,56,Center,4172141561,140,56.8,4172141569,1,,4172141565,212,52.5,4172141557,157,,4175225981,178,,6kge6vcoa9ocnh6tb8qznfzkl,M. Veljković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530215735,5,1,1,0,23,1c7qokc1j5z50cjj4tcu32haa,0,43,65.7,2023-04-08T13:31:19.114Z,2023-04-09T05:00:42Z,4172141613,140,60.6,4175226073,388,,4172141609,56,Center,4172141605,3,,4172141617,212,18.5,4172141619,213,0.1,4172141615,141,67.3,,,,bvifdvoxv9e8nq8qe37c0gvrp,S. Bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530215789,7,1,1,0,25,cu0eztmjcsbydyp53aleznorw,0,41.6,29.4,2023-04-08T13:31:20.162Z,2023-04-09T05:00:46Z,4172141843,141,0.0,4175226217,178,,4172141847,213,5.6,4172141839,56,Right,4172141845,212,32.6,4172141849,1,,4172141841,140,65.1,,,,ec5ng4j3rcjwsjz1v05e1z3dh,C. Groß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530215785,6,5,1,0,28,1c7qokc1j5z50cjj4tcu32haa,1,36.1,102,2023-04-08T13:31:23.745Z,2023-04-09T05:00:50Z,4172141891,233,8,4172141821,347,,4172141819,56,Back,,,,,,,,,,,,,,,,dnt7ahwfj8endqngxwfll1tjp,A. Hanche-Olsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530215793,8,5,1,0,28,cu0eztmjcsbydyp53aleznorw,0,63.9,-2,2023-04-08T13:31:23.745Z,2023-04-09T05:00:50Z,4172141857,56,Right,4172141859,347,,4172141917,233,6,,,,,,,,,,,,,,,,26nfmfc8p2doisd9p8vtd33dh,L. Bittencourt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
