id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,keyPass,qualifier/12/value,qualifier/15/value,qualifier/16/value,qualifier/14/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId
2526456329,7,1,1,0,12,cz4a6wmzx2obyisadhgaccx7b,1,59.4,14.4,2023-04-01T13:30:37.414Z,2023-04-02T11:57:10Z,4152134651,140,56.5,4157162419,178,,4152134655,212,10.3,4152134653,141,28.8,4152134657,213,1.9,4152134649,56,Center,,,,,,,f3xm12deg7xf3g2n3yk11npat,C. Brunner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526456363,8,1,1,0,13,cz4a6wmzx2obyisadhgaccx7b,1,56.5,28.8,2023-04-01T13:30:38.883Z,2023-04-02T11:57:11Z,4157162613,178,,4152134803,213,3.0,4152134799,141,31.2,4152134795,56,Back,4152134801,212,17.5,4152134797,140,39.9,,,,,,,dgysidzshgxqm3jegaihwi5wq,T. Krauß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526456413,9,1,1,0,15,cz4a6wmzx2obyisadhgaccx7b,1,39.9,31.2,2023-04-01T13:30:40.329Z,2023-04-02T11:57:15Z,4152135061,213,1.7,4152135053,56,Back,4152135057,141,63.6,4157162939,178,,4152135059,212,22.2,4152135055,140,37.4,,,,,,,4fvtwbl1hrxgs9lg957rxladx,M. Yoshida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526456457,10,1,1,0,18,cz4a6wmzx2obyisadhgaccx7b,1,37.6,64.6,2023-04-01T13:30:43.406Z,2023-04-02T11:57:18Z,4152135315,212,17.5,4152135319,213,1.3,4152135309,56,Back,4152135313,141,89.1,4152135311,140,42.6,4157163163,178,,,,,,,,64x38pccgfsuz4ywoveh2ksbu,L. Greiml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526456545,11,1,1,0,20,cz4a6wmzx2obyisadhgaccx7b,1,43,92.3,2023-04-01T13:30:45.972Z,2023-04-02T11:57:20Z,4152135783,1,,4152135771,155,,4152135777,141,82.0,4152135773,56,Left,4152135781,213,6.1,4157163407,178,,4152135779,212,38.5,4152135775,140,79.1,w2jovd0ta6to004lvlri5gtm,H. Matriciani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527608421,1277,43,1,0,23,cz4a6wmzx2obyisadhgaccx7b,1,0,0,2023-04-01T13:30:48.302Z,2023-04-02T14:51:58Z,4158257079,144,67,4158256029,233,1398,,,,,,,,,,,,,,,,,,,ex7y8oe78ewwmibz41qbmwhxx,M. Frey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527608413,1398,43,1,0,23,7ad69ngbpjuyzv96drf8d9sn2,1,0,0,2023-04-01T13:30:48.303Z,2023-04-02T14:51:59Z,4158256065,233,1277,4158257109,144,67,,,,,,,,,,,,,,,,,,,5ec2ede9uwbft3wby33mwowyd,J. Tah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526456557,5,45,1,0,24,7ad69ngbpjuyzv96drf8d9sn2,0,18.6,10.4,2023-04-01T13:30:49.189Z,2023-04-02T11:57:29Z,4152136063,233,12,4152135809,56,Back,4152135811,285,,,,,,,,,,,,,,,,,cis0z72hgahfnfjduk7hdnz3e,O. Kossounou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526456601,12,3,1,0,24,cz4a6wmzx2obyisadhgaccx7b,1,81.4,89.6,2023-04-01T13:30:49.189Z,2023-04-02T11:57:29Z,4153588829,464,,4157164145,178,,4152135979,286,,4152136041,233,5,4152135977,56,Left,,,,,,,,,,ex7y8oe78ewwmibz41qbmwhxx,M. Frey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526456671,13,1,1,0,28,cz4a6wmzx2obyisadhgaccx7b,1,88.1,96.3,2023-04-01T13:30:53.340Z,2023-04-02T11:57:31Z,4157164401,178,,4152136331,140,77.6,4152136335,212,11.1,4152136339,213,3.3,4152136333,141,94.2,4152136329,56,Left,,,,,,,ex7y8oe78ewwmibz41qbmwhxx,M. Frey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526456731,14,1,1,0,31,cz4a6wmzx2obyisadhgaccx7b,1,66.3,91.1,2023-04-01T13:30:56.420Z,2023-04-02T11:57:34Z,4152136609,213,4.0,4152136605,141,69.1,4152136603,140,54.1,4152136607,212,19.7,4157164601,178,,4152136601,56,Center,,,,,,,6b7p3ncup75mpop91n0u1mw2d,M. Bülter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526456769,15,1,1,0,34,cz4a6wmzx2obyisadhgaccx7b,1,53.9,68.5,2023-04-01T13:30:59.193Z,2023-04-02T11:57:48Z,4152136771,213,3.6,4157165761,178,,4152136767,141,56.0,4152136763,56,Back,4152136769,212,17.5,4152136765,140,39.3,,,,,,,64x38pccgfsuz4ywoveh2ksbu,L. Greiml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526456829,16,1,1,0,36,cz4a6wmzx2obyisadhgaccx7b,1,39,55.5,2023-04-01T13:31:01.733Z,2023-04-02T11:57:51Z,4152137027,141,86.6,4152137023,56,Left,4152137029,212,27.1,4152137025,140,55.2,4152137021,155,,4157166045,178,,4152137031,213,0.9,,,,4fvtwbl1hrxgs9lg957rxladx,M. Yoshida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526456891,17,1,1,0,39,cz4a6wmzx2obyisadhgaccx7b,1,55.2,86.6,2023-04-01T13:31:04.178Z,2023-04-02T11:57:53Z,4152137331,141,95.7,4152137333,212,11.5,4157166243,178,,4152137329,140,64.4,4152137327,56,Left,4152137335,213,0.6,,,,,,,w2jovd0ta6to004lvlri5gtm,H. Matriciani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526456961,18,1,1,0,40,cz4a6wmzx2obyisadhgaccx7b,1,64.4,95.7,2023-04-01T13:31:05.359Z,2023-04-02T11:58:02Z,4157167117,388,,4152137671,56,Left,4152137679,213,4.4,4152137675,141,86.5,4152137673,140,62.2,4152137677,212,6.7,,,,,,,6b7p3ncup75mpop91n0u1mw2d,M. Bülter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526456985,19,1,1,0,41,cz4a6wmzx2obyisadhgaccx7b,1,63.1,83.8,2023-04-01T13:31:06.864Z,2023-04-02T11:58:07Z,4152137769,56,Left,4152137775,212,7.5,4152137777,213,1.3,4152137773,141,94.5,4157167535,178,,4152137771,140,64.9,,,,,,,7lohomjw8xbl5eymcqhrtytw5,D. Drexler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526457003,20,1,1,0,44,cz4a6wmzx2obyisadhgaccx7b,1,64.9,94.5,2023-04-01T13:31:09.217Z,2023-04-02T11:58:11Z,4152137871,212,28.1,4152137867,140,86.5,4152137863,155,,4152137873,213,5.6,4157167963,178,,4152137865,56,Center,4152137869,141,70.0,,,,6b7p3ncup75mpop91n0u1mw2d,M. Bülter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526457013,21,1,1,0,46,cz4a6wmzx2obyisadhgaccx7b,0,87.2,77.3,2023-04-01T13:31:11.131Z,2023-04-02T11:58:46Z,4152137897,141,74.8,4152137893,56,Center,4152137899,212,2.4,4152137895,140,85.6,4152137901,213,3.9,4157171097,388,,,,,,,,9taxidttdt94nmvc3mqhqq0ut,A. Král,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526457011,6,61,1,0,46,7ad69ngbpjuyzv96drf8d9sn2,1,12.6,29.7,2023-04-01T13:31:11.520Z,2023-04-02T11:58:54Z,4152137889,56,Back,4157171909,178,,,,,,,,,,,,,,,,,,,,5ec2ede9uwbft3wby33mwowyd,J. Tah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526457035,7,49,1,0,48,7ad69ngbpjuyzv96drf8d9sn2,1,10.4,43.8,2023-04-01T13:31:13.350Z,2023-04-02T11:58:57Z,,,,,,,,,,,,,,,,,,,,,,,,,4foax2b7unlkev1eq6py86lii,P. Hincapié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526457071,8,1,1,0,48,7ad69ngbpjuyzv96drf8d9sn2,1,10.4,43.8,2023-04-01T13:31:13.382Z,2023-04-02T11:59:00Z,4152138189,1,,4157172539,178,,4152138185,212,33.2,4152138187,213,6.1,4152138183,141,32.6,4152138175,56,Back,4152138179,140,41.2,,,,4foax2b7unlkev1eq6py86lii,P. Hincapié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526457139,9,1,1,0,50,7ad69ngbpjuyzv96drf8d9sn2,1,41.2,32.6,2023-04-01T13:31:15.240Z,2023-04-02T11:59:03Z,4157172813,178,,4152138569,141,47.7,4152138565,56,Center,4152138575,212,17.3,4152138577,213,0.6,4152138567,140,54.5,,,,,,,9ydkbbygq6uocors9kcdnzbop,M. Diaby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526457209,11,3,1,0,52,7ad69ngbpjuyzv96drf8d9sn2,1,57.2,54,2023-04-01T13:31:17.353Z,2023-04-02T11:59:07Z,4152138891,56,Center,4153615819,464,,4157173093,178,,4152138893,286,,4152138907,233,22,,,,,,,,,,8mcf8c8ht32as6xxrf1gb51m2,A. Adli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526457127,22,45,1,0,52,cz4a6wmzx2obyisadhgaccx7b,0,42.8,46,2023-04-01T13:31:17.353Z,2023-04-02T11:59:07Z,4152138503,285,,4152138935,233,11,4152138499,56,Back,,,,,,,,,,,,,,,,f3xm12deg7xf3g2n3yk11npat,C. Brunner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526457149,10,3,1,0,53,7ad69ngbpjuyzv96drf8d9sn2,0,55.5,53,2023-04-01T13:31:18.588Z,2023-04-02T11:59:22Z,4152138615,56,Center,4152138849,233,23,4153616429,464,,4157173761,178,,4152138617,286,,,,,,,,,,,8mcf8c8ht32as6xxrf1gb51m2,A. Adli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526457175,23,7,1,0,53,cz4a6wmzx2obyisadhgaccx7b,1,44.5,47,2023-04-01T13:31:18.639Z,2023-04-02T11:59:26Z,4152138733,285,,4152138813,233,10,4152138731,56,Back,4153617247,384,,4157174007,178,,,,,,,,,,,dgysidzshgxqm3jegaihwi5wq,T. Krauß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526457177,24,49,1,0,55,cz4a6wmzx2obyisadhgaccx7b,1,37.4,53.6,2023-04-01T13:31:20.537Z,2023-04-02T11:59:28Z,,,,,,,,,,,,,,,,,,,,,,,,,4fvtwbl1hrxgs9lg957rxladx,M. Yoshida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526457319,25,1,1,0,55,cz4a6wmzx2obyisadhgaccx7b,1,37.5,54.3,2023-04-01T13:31:20.619Z,2023-04-02T11:59:31Z,4152139421,141,91.1,4152139419,140,54.0,4152139425,213,1.0,4157175123,178,,4152139417,56,Left,4152139423,212,30.4,,,,,,,4fvtwbl1hrxgs9lg957rxladx,M. Yoshida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526457327,12,45,1,1,2,7ad69ngbpjuyzv96drf8d9sn2,0,24.5,6.8,2023-04-01T13:31:27.017Z,2023-04-02T11:59:48Z,4152139443,285,,4152139441,56,Back,4152139785,233,26,,,,,,,,,,,,,,,,cis0z72hgahfnfjduk7hdnz3e,O. Kossounou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526457383,26,3,1,1,2,cz4a6wmzx2obyisadhgaccx7b,1,75.5,93.2,2023-04-01T13:31:27.017Z,2023-04-02T11:59:47Z,4152139735,56,Left,4152139753,233,12,4152139737,286,,4157176479,178,,4153618721,465,,,,,,,,,,,6b7p3ncup75mpop91n0u1mw2d,M. Bülter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526457499,27,1,1,1,6,cz4a6wmzx2obyisadhgaccx7b,0,94.3,73.2,2023-04-01T13:31:31.738Z,2023-04-02T11:59:51Z,4157176815,178,,4152140311,213,4.5,4152140299,196,,4152140303,56,Right,4152140307,141,2.6,4152140305,140,86.2,4152140309,212,48.8,4152140313,1,,6b7p3ncup75mpop91n0u1mw2d,M. Bülter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526457515,13,49,1,1,13,7ad69ngbpjuyzv96drf8d9sn2,1,14.5,93.6,2023-04-01T13:31:38.542Z,2023-04-02T11:59:58Z,,,,,,,,,,,,,,,,,,,,,,,,,2k5g68ywtr79lc45wozvifqlm,F. Wirtz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526457587,14,1,1,1,14,7ad69ngbpjuyzv96drf8d9sn2,1,14.5,93.6,2023-04-01T13:31:39.271Z,2023-04-02T12:00:01Z,4152140711,212,6.7,4152140713,213,5.0,4152140705,56,Back,4152140709,141,84.1,4157177677,178,,4152140707,140,16.1,,,,,,,2k5g68ywtr79lc45wozvifqlm,F. Wirtz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526457603,15,1,1,1,16,7ad69ngbpjuyzv96drf8d9sn2,1,16.1,84.1,2023-04-01T13:31:41.334Z,2023-04-02T12:00:04Z,4152140773,140,15.8,4152140771,56,Back,4152140783,213,1.6,4157177969,178,,4152140779,212,5.9,4152140775,141,92.7,,,,,,,6rg37ej1x7pwi7r4aq1107pih,E. Palacios,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
