id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/13/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/18/value
2461942041,7,50,1,0,8,a8l3w3n0j99qjlsxj3jnmgkz1,1,71.4,88.4,2022-09-18T13:30:25.590Z,2022-09-18T21:22:20Z,3790522875,56,Left,3790523223,233,5,3790522877,286,,,,,,,,,,,,,,,,,ec04djw7dspowrm7h7wr6e5ed,J. Brekalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461942091,5,7,1,0,9,a8d2gb2nag8fy0itbuxmcibh2,1,28.6,11.6,2022-09-18T13:30:26.089Z,2022-09-18T21:22:32Z,3790523111,56,Back,3790523115,285,,3792524761,178,,3790523203,233,7,3791820251,384,,,,,,,,,,,f0x3pa532agezdjdzcsp94l49,A. Schäfer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461942097,6,49,1,0,9,a8d2gb2nag8fy0itbuxmcibh2,1,22.7,5.8,2022-09-18T13:30:26.613Z,2022-09-18T21:22:48Z,,,,,,,,,,,,,,,,,,,,,,,,,52t6t7cdsr0fjs9ukmwo9y7rp,C. Trimmel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461942141,7,1,1,0,10,a8d2gb2nag8fy0itbuxmcibh2,0,22.4,5.2,2022-09-18T13:30:27.866Z,2022-09-18T21:23:25Z,3790523409,213,0.1,3790523405,141,9.7,3790523401,56,Right,3790523399,157,,3792526571,178,,3790523411,1,,3790523403,140,66.2,3790523407,212,46.1,52t6t7cdsr0fjs9ukmwo9y7rp,C. Trimmel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461942197,8,1,1,0,14,a8l3w3n0j99qjlsxj3jnmgkz1,1,36.2,89.6,2022-09-18T13:30:31.583Z,2022-09-18T21:23:18Z,3790523693,56,Back,3790523697,141,91.8,3792526281,178,,3790523701,213,0.1,3790523699,212,12.8,3790523691,3,,3790523695,140,48.3,,,,dodddfi0l5i36vlgbaybhzeqy,M. van de Ven,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461945929,39,49,1,0,15,a8l3w3n0j99qjlsxj3jnmgkz1,1,45.9,89.7,2022-09-18T13:30:32.801Z,2022-09-18T21:24:00Z,,,,,,,,,,,,,,,,,,,,,,,,,en0a6a574x1yvnk8kdxwub949,B. Franjić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461942217,9,1,1,0,15,a8l3w3n0j99qjlsxj3jnmgkz1,1,48.3,91.8,2022-09-18T13:30:32.864Z,2022-09-18T21:24:08Z,3790523827,212,5.9,3790523823,140,44.1,3790523829,213,2.4,3790523821,56,Back,3790523825,141,97.5,3792528175,178,,,,,,,,en0a6a574x1yvnk8kdxwub949,B. Franjić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461942237,10,1,1,0,17,a8l3w3n0j99qjlsxj3jnmgkz1,1,44.1,97.5,2022-09-18T13:30:34.224Z,2022-09-18T21:24:14Z,3792528383,178,,3790523923,213,6.1,3790523913,140,64.3,3790523917,141,91.7,3790523909,56,Left,3790523921,212,21.6,,,,,,,76h7b6dhpyotolq68f84lqifp,Paulo Otávio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461942253,11,1,1,0,18,a8l3w3n0j99qjlsxj3jnmgkz1,1,63.7,91.2,2022-09-18T13:30:35.059Z,2022-09-18T21:24:26Z,3790524049,212,12.5,3792528707,178,,3790524051,213,5.3,3790524039,56,Center,3790806853,168,,3790524043,140,70.7,3790524047,141,76.3,,,,ec04djw7dspowrm7h7wr6e5ed,J. Brekalo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461942271,12,1,1,0,19,a8l3w3n0j99qjlsxj3jnmgkz1,1,67.8,67.8,2022-09-18T13:30:36.529Z,2022-09-18T21:24:36Z,3790524177,212,7.2,3790524173,140,62.0,3792529355,178,,3790524171,56,Center,3790524175,141,73.4,3790524179,213,2.6,,,,,,,embn1jhcly07i6pjcvcdiavo5,L. Nmecha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
