id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value,qualifier/12/value,assist,qualifier/14/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/15/value
2498903595,1,34,16,0,0,apoawtpvac4zqlancmvw4nk4o,1,0,0,2023-01-20T18:51:07.230Z,2023-01-20T19:33:53Z,3985993291,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3986093639,197,11764,3985993285,59,"27, 5, 19, 8, 2, 4, 10, 6, 13, 42, 7, 11, 14, 18, 23, 25, 26, 38, 39, 44",3985993287,130,8,3985993281,30,"bagn0ce4xunsiz3mezrtqx1p1, yq0cm7vwr0tkv7nvt9vo77bp, 582uvj0i3dvm0zwbou9q68pgp, 4w4ldzomkj7fhrc51iimz8no5, x4qyxhfr2vi007sazoqe5vit, 10zt8rbgbmyqxr1m13wm5gfs9, 4603xrdk721lqhd1ejn62x5n9, 97nv3y9z2ajz6b4ynoo0jn3kl, e5mjphb52suw89189nyca72z9, bhsdzppop8jwjsxwftizot1t6, 4ysxvym6ww4f9d3hflkqsbf11, 1u1u438ql6xrordkb65wsxo7p, 2yc1t7u26zctwjizi283g6q6s, 8cho2d1nz18i5o0zt6aysd68l, 3kx4mltrob4yta5g6kr2u8ic5, 4fq74wp7xzwm214veuxqpdz9x, br2uswvdgoj7ndkx7mnbwgyd, 5ga7g20wsa7oqjbh4ijoeknl6, cv1d56d42wujfuc4kt6bn53x0, 4skrm2y64va3y5jk70gz4ylpm",3986037469,194,97nv3y9z2ajz6b4ynoo0jn3kl,3985993289,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3985993283,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498906775,1,34,16,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,0,0,2023-01-20T19:02:14.572Z,2023-01-20T19:35:22Z,3986010875,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3986010873,194,eapihgte8ydc4g6hzygsx2e39,3986010863,30,"axcrcuv22693vn0a887samsph, 95gjm3yk75rmwyneb350zoktm, 4qkv71pjmzw66crfaktr6tihh, 1s1v1tweyx8wxc9hj2jrnaggl, eapihgte8ydc4g6hzygsx2e39, 9prtaifv6stlujgywgq4wd08a, avh60ensgiwz1qalvn1bbqkfd, 1qthvf5krys0pzk24h8wtr9at, dhhmffih4gl51nlu92hfctqs5, ckox9w95duwhmt72xxk7lt2vp, 4gq1u1mqg0qzekh1u5djleeax, 7o3fumeufgigw092b7i5n4f6x, 8l0am8k4pg2s9g9qbkhwte6dx, 2pjr6yz65f4uqvwniy4vphn85, cfc7fqq748bz3nklfam2a2fp, 3igg6gfmomgh1t5ohwzbpb5cl, 2uz1cmslnjjzsgfcgji26kqg9, dyigvzjpa74cw4urhh7fwzs2d, 3isbv9egu9vzxnna4ix8gcudx, axj39lx25teh62rih6uv9qor9",3986010869,130,8,3986010865,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3986010867,59,"21, 2, 23, 24, 4, 32, 17, 27, 19, 10, 7, 8, 9, 11, 13, 16, 22, 37, 39, 44",3986010871,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3986086045,197,1458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498920567,2,32,1,0,0,apoawtpvac4zqlancmvw4nk4o,1,0,0,2023-01-20T19:32:33.046Z,2023-01-20T19:32:34Z,3986092211,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498920557,2,32,1,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,0,0,2023-01-20T19:32:33.046Z,2023-01-21T01:42:55Z,3986092169,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498920573,3,1,1,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,50.2,50,2023-01-20T19:32:33.214Z,2023-01-21T03:24:11Z,3986092237,56,Back,3986092243,212,11.6,3986543159,178,,3986092239,140,39.7,3986092247,279,S,3986092241,141,44.8,3986092245,213,3.5,,,,dhhmffih4gl51nlu92hfctqs5,André Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498920583,4,1,1,0,1,9gefq4dz9b2hl8rqrxwrlrzmp,1,39.7,44.9,2023-01-20T19:32:34.708Z,2023-01-21T03:24:15Z,3986092289,140,29.7,3986543213,178,,3986092293,212,16.0,3986092291,141,62.7,3986092295,213,2.3,3986092287,56,Back,,,,,,,1qthvf5krys0pzk24h8wtr9at,K. Laimer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498920617,5,1,1,0,3,9gefq4dz9b2hl8rqrxwrlrzmp,1,30.4,61.4,2023-01-20T19:32:36.470Z,2023-01-21T03:29:40Z,3986092511,141,31.3,3986092507,56,Back,3986092515,213,4.6,3986092509,140,27.4,3986092513,212,20.7,3986548013,178,,,,,,,,9prtaifv6stlujgywgq4wd08a,J. Gvardiol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498920637,6,1,1,0,6,9gefq4dz9b2hl8rqrxwrlrzmp,1,30.2,25.3,2023-01-20T19:32:39.406Z,2023-01-21T03:29:42Z,3986092637,141,34.3,3986092643,1,,3986092631,155,,3986092635,140,62.8,3986092641,213,0.2,3986092639,212,34.8,3986548045,178,,3986092633,56,Center,eapihgte8ydc4g6hzygsx2e39,W. Orbán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498920651,7,1,1,0,8,9gefq4dz9b2hl8rqrxwrlrzmp,0,63.2,36.3,2023-01-20T19:32:41.310Z,2023-01-21T03:29:46Z,3986092707,141,43.0,3986092711,213,0.7,3986092701,168,,3986548091,388,,3986092705,140,68.8,3986092703,56,Center,3986092709,212,7.4,3986092699,3,,dhhmffih4gl51nlu92hfctqs5,André Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2498920645,3,49,1,0,10,apoawtpvac4zqlancmvw4nk4o,1,28.6,48.2,2023-01-20T19:32:43.241Z,2023-01-21T03:29:56Z,,,,,,,,,,,,,,,,,,,,,,,,,x4qyxhfr2vi007sazoqe5vit,D. Upamecano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
