id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist
2465466063,1,34,16,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,0,0,2022-10-01T12:37:40.685Z,2022-10-01T13:30:51Z,3809216675,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3809216673,30,"3tb27261f8mpzpq3prpv8ng0l, 95gjm3yk75rmwyneb350zoktm, 4qkv71pjmzw66crfaktr6tihh, axj39lx25teh62rih6uv9qor9, eapihgte8ydc4g6hzygsx2e39, 9prtaifv6stlujgywgq4wd08a, avh60ensgiwz1qalvn1bbqkfd, 1s1v1tweyx8wxc9hj2jrnaggl, dhhmffih4gl51nlu92hfctqs5, 1j0a3ml1zglc9s31yentfckb9, 2pjr6yz65f4uqvwniy4vphn85, 7o3fumeufgigw092b7i5n4f6x, ckox9w95duwhmt72xxk7lt2vp, axcrcuv22693vn0a887samsph, 2uz1cmslnjjzsgfcgji26kqg9, c0rzlb9gffcwfrcpzd40ob7fu, dyigvzjpa74cw4urhh7fwzs2d, 8zmj7mo9zxsoo5trhmmgmgb56, 3isbv9egu9vzxnna4ix8gcudx",3809216681,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3809216683,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809216679,130,8,3809216677,59,"1, 2, 23, 44, 4, 32, 17, 24, 19, 18, 11, 8, 10, 21, 22, 25, 37, 38, 39",3809339745,197,1458,3809339743,194,3tb27261f8mpzpq3prpv8ng0l,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465468501,1,34,16,0,0,eq1oq6y61xnzq88zu0cnw131z,1,0,0,2022-10-01T12:40:22.969Z,2022-10-01T13:29:05Z,3809229381,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3809403203,194,82r0liyptyapc8rfuo32qcqtx,3809403205,197,8147,3809229373,30,"clmq1s26z0i3lqr1jqnd5wzit, 2earc7j2kp3tveehpnxtv1exh, 6sc9zsev9an853nop6pn6mxg5, 8gnpf9kwx2n2rqwf1gixc4bth, f577akgydk4t6ui45iyab2a22, brs96wp9u2t10tsqfdwcyhnth, 82r0liyptyapc8rfuo32qcqtx, mwircq9nydmi192o497r9n85, 9xftmtdsxbuu2itzhi3v1xbdh, 3nins3wtqjz9vt8q06s087vth, 4y167h8sn9cnyrvb097lf8lbd, 8ksi5s9he1uxai3lfcq46grf9, f2o5hj0e2k3kw0fj1xzom0cet, 98e7uohj6lcvf59sfssff2y8l, 4oic5vu1qv89061hflasl3r3d, de3mpa534obonqn4h2v10f6xh, ejww8hjcn4y4hlik863vaw3qh, b7fqivvacy7mmarlp180k276d, d2pco79bmi3f9x3zahtf9q2mt, ep1bhk6t6sudlhjjz20j199ed",3809229375,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3809229379,130,19,3809229377,59,"1, 2, 3, 20, 14, 38, 8, 5, 9, 17, 6, 4, 7, 10, 18, 21, 22, 24, 33, 35",3809229383,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465503899,2,32,1,0,0,eq1oq6y61xnzq88zu0cnw131z,1,0,0,2022-10-01T13:30:10.215Z,2022-10-01T13:30:14Z,3809419347,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465503879,2,32,1,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,0,0,2022-10-01T13:30:10.215Z,2022-10-01T20:10:46Z,3809419279,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465503961,3,1,1,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,50.2,50.1,2022-10-01T13:30:10.215Z,2022-10-01T20:28:54Z,3809419601,140,34.3,3809419607,213,3.2,3809419609,279,S,3809419599,56,Back,3812141549,178,,3809419605,212,16.8,3809419603,141,48.1,,,,dhhmffih4gl51nlu92hfctqs5,André Silva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465503969,4,1,1,0,2,9gefq4dz9b2hl8rqrxwrlrzmp,1,34,40.6,2022-10-01T13:30:12.840Z,2022-10-01T20:29:30Z,3812143519,178,,3809419643,140,31.2,3809419645,141,7.7,3809419641,56,Back,3809419647,212,22.6,3809419649,213,4.6,,,,,,,axj39lx25teh62rih6uv9qor9,K. Kampl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465504009,5,1,1,0,4,9gefq4dz9b2hl8rqrxwrlrzmp,1,32.7,8,2022-10-01T13:30:15.147Z,2022-10-01T20:29:40Z,3812144023,178,,3809419867,140,22.1,3809419877,213,2.2,3809419869,141,31.5,3809419873,212,19.5,3809419865,56,Back,,,,,,,95gjm3yk75rmwyneb350zoktm,M. Simakan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465504073,6,1,1,0,8,9gefq4dz9b2hl8rqrxwrlrzmp,1,21.9,37.9,2022-10-01T13:30:18.802Z,2022-10-01T20:29:45Z,3809420249,141,89.1,3809420255,213,1.4,3809420253,212,35.2,3809420243,56,Back,3809420245,140,26.7,3809420257,1,,3812144321,178,,,,,eapihgte8ydc4g6hzygsx2e39,W. Orbán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465504115,7,1,1,0,12,9gefq4dz9b2hl8rqrxwrlrzmp,1,27.5,90.6,2022-10-01T13:30:23.083Z,2022-10-01T20:29:51Z,3812144667,178,,3809420475,212,15.9,3809420473,141,67.8,3809420471,140,30.8,3809420469,56,Back,3809420477,213,4.9,,,,,,,4qkv71pjmzw66crfaktr6tihh,M. Halstenberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2465504185,8,1,1,0,14,9gefq4dz9b2hl8rqrxwrlrzmp,1,29.4,77.5,2022-10-01T13:30:24.888Z,2022-10-01T20:29:58Z,3809420765,56,Back,3809420773,213,0.5,3809420771,212,23.5,3812145143,178,,3809420767,140,48.8,3809420769,141,94.7,,,,,,,1s1v1tweyx8wxc9hj2jrnaggl,X. Schlager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
