id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,assist,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/14/value,qualifier/17/value,qualifier/16/value,keyPass,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId
2499296575,1,34,16,0,0,cu0eztmjcsbydyp53aleznorw,1,0,0,2023-01-21T16:36:40.874Z,2023-01-21T17:32:53Z,3988040151,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3988040145,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3988040149,197,8115,3988040147,194,aaoycxwi9jny6flm4apz8a2uh,3988040137,30,"expxslws50h0iw0logr02gs7p, 7k7whr0pdbw5wtk7g0cwozw0l, 8nug6t1cmn9pwhnwdf6nyhrrp, 6kge6vcoa9ocnh6tb8qznfzkl, 2p48525x4ap9m81g6ode51cyd, aaoycxwi9jny6flm4apz8a2uh, 26nfmfc8p2doisd9p8vtd33dh, ec5ng4j3rcjwsjz1v05e1z3dh, cjq9g6zgcxk1ceo2xzpe1qnyt, 5ndmhtdu5jfgvzuddd7fu2fh1, dr0kn3srxtg7nuw99gjoim7e1, 1psr9ra8k9j4r94p1xixagzbp, 14fw7p4fzaxprndgxnx0gxgbt, 8kar47kxxc8f20vc9ul2ez3yt, 630sqbiu7utmkg8yw0h4ky8a2, d95i3fwjrk3ti4co645mde76x, eayipmdtzbmjgjouq10nqhcrt, 7llxni56g8q0yt33vhp1pt3o5, bitixkzgt5p65rlo2bnllcf6x, 3h6q9lkwovcu4pynltgnzhy50",3988040139,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3988040141,59,"1, 8, 3, 13, 4, 32, 10, 36, 11, 7, 28, 5, 6, 9, 21, 22, 26, 30, 34, 39",3988040143,130,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499298309,1,34,16,0,0,8q1ul09cygzswb7tb456bmifv,1,0,0,2023-01-21T16:37:57.911Z,2023-01-21T18:30:52Z,3988049793,194,21vfv10e7fh6b2xtcu55ihn11,3988049791,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3988049783,30,"4zfgh6wq7svx418tzwf0gfavp, 38knnji3m4qg6pqohph35n74l, 21vfv10e7fh6b2xtcu55ihn11, ojqb7kv87o0cidbckgtg1rdh, 3tdsezcgdlm4laybvh4u49cr9, mgwgcv336wb93xvv0pfr6dih, cnf7quyillyf560nh14taliw9, 3saz8njlttx2i4ospcwmmaqga, 8n4b6j21nxf1nf628ugg3xsdl, 89s9fm31pcfq7l28kc2kad4kq, 55z0yap5tml66nes2cchg7ahh, 224uan6ugjt7b2c1zsxrs2pcl, 8w5vjfl9ntyyxzyn2lo8k4dpm, bkonv3y0vn24mpn6j8abjtux, 6dzx3oyd42ql69tqxqvg8mpxx, 8mmecefcbz8wu4jcqqywps5p1, pjbuqt8wiwm2ql2tfvvcn59m, 6yc09eth94qsachf595dyx6fp, 2hb1dyg1auzdfbi3lg9ysap9m, eamrfc3bnv1pm28o24t69tuui",3988049797,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3988049789,130,15,3988049787,59,"20, 2, 14, 28, 4, 24, 37, 6, 21, 8, 11, 1, 5, 7, 17, 23, 25, 27, 47, 49",3988049795,197,16228,3988049785,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499339531,2,32,1,0,0,cu0eztmjcsbydyp53aleznorw,1,0,0,2023-01-21T17:31:19.442Z,2023-01-21T17:31:19Z,3988270335,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499339551,2,32,1,0,0,8q1ul09cygzswb7tb456bmifv,1,0,0,2023-01-21T17:31:19.442Z,2023-01-22T01:44:39Z,3988270423,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499339587,3,1,1,0,0,cu0eztmjcsbydyp53aleznorw,1,49.9,50,2023-01-21T17:31:19.466Z,2023-01-22T06:59:35Z,3988270595,213,3.0,3988270599,279,S,3988270589,140,30.8,3988270587,56,Back,3989452019,178,,3988270593,212,20.3,3988270591,141,54.2,,,,dr0kn3srxtg7nuw99gjoim7e1,I. Gruev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499339631,4,1,1,0,2,cu0eztmjcsbydyp53aleznorw,1,32.3,54.8,2023-01-21T17:31:22.405Z,2023-01-22T06:59:43Z,3989452153,178,,3988270781,56,Center,3988270783,140,70.3,3988270791,1,,3988270785,141,39.5,3988270779,155,,3988270789,213,6.0,3988270787,212,41.2,aaoycxwi9jny6flm4apz8a2uh,M. Friedl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499339639,5,44,1,0,5,cu0eztmjcsbydyp53aleznorw,1,72.2,37.2,2023-01-21T17:31:25.184Z,2023-01-22T09:58:21Z,3988270809,286,,3988270807,56,Center,3988270859,233,3,,,,,,,,,,,,,,,,cjq9g6zgcxk1ceo2xzpe1qnyt,N. Füllkrug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499339633,3,44,1,0,5,8q1ul09cygzswb7tb456bmifv,0,27.8,62.8,2023-01-21T17:31:25.185Z,2023-01-22T06:59:48Z,3988270797,285,,3988270891,233,5,3988270795,56,Back,,,,,,,,,,,,,,,,mgwgcv336wb93xvv0pfr6dih,J. Chabot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499339643,6,1,1,0,5,cu0eztmjcsbydyp53aleznorw,0,70.2,39.8,2023-01-21T17:31:25.219Z,2023-01-22T09:58:22Z,3988270821,168,,3988270819,3,,3988270833,212,3.1,3988270831,141,40.1,3988270827,140,73.1,3988270835,213,0.1,3989452299,388,,3988270825,56,Center,cjq9g6zgcxk1ceo2xzpe1qnyt,N. Füllkrug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2499339649,4,61,1,0,5,8q1ul09cygzswb7tb456bmifv,1,25.7,65.3,2023-01-21T17:31:25.259Z,2023-01-22T07:00:03Z,3988270857,56,Back,3989452443,15,,3989452445,388,,,,,,,,,,,,,,,,,mgwgcv336wb93xvv0pfr6dih,J. Chabot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
