id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/10/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2527594451,1,34,16,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,0,0,2023-04-02T14:39:17.146Z,2023-04-02T15:32:29Z,4158180865,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4158180859,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4158180869,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4158180861,59,"1, 3, 11, 25, 23, 22, 27, 20, 9, 14, 8, 4, 5, 13, 17, 34, 37, 39, 40, 44",4158394325,197,16249,4158180863,130,12,4158180867,194,cm8po8ez5w9ms01gid6w3kwk5,4158180857,30,"cm8po8ez5w9ms01gid6w3kwk5, shbxc528h0udd6rdf3ax2itx, 9uthj64y9f77y63tq7did539x, 6yhylu5q0y924amgv7vlodkgl, a5kkysp7c5f577ji17q5v2k0l, elh8kttxq9xfpoqfmpxv9jr2t, ew18qvvupaejxubhqmxmbd39x, 8um4xh0ekvr4q6uti3ksld8q2, bkbmygo5f1glcs6xssawl26z9, 5pousbiuqbus68yekd0mhc5pl, f3v95yyj6j7h7qpprxm4zlre1, 4rrnad6qnutl60z8e1quup6tx, 6ki6rv564ybctrajr2xtgyeax, 7hnmtyfmurizitwz1whecjnmy, 4gqnyyx3i92fayq6cxvekqwut, 980t379w5cp7umv1eltwlfca1, 6k3daudjhieulsgywbt9uoep6, 6sj31v61vtwwxe5hhwkj80g7o, 6teffw7m19t1b3auxy22y4m0a, 1yjv2fht4kuph088zlgwfwup6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527594985,1,34,16,0,0,cu0eztmjcsbydyp53aleznorw,1,0,0,2023-04-02T14:39:42.187Z,2023-04-02T15:59:57Z,4158183767,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4158183757,30,"expxslws50h0iw0logr02gs7p, 7k7whr0pdbw5wtk7g0cwozw0l, 8nug6t1cmn9pwhnwdf6nyhrrp, aaoycxwi9jny6flm4apz8a2uh, 6kge6vcoa9ocnh6tb8qznfzkl, 2p48525x4ap9m81g6ode51cyd, ec5ng4j3rcjwsjz1v05e1z3dh, d95i3fwjrk3ti4co645mde76x, cjq9g6zgcxk1ceo2xzpe1qnyt, b4q9q0qgmtz959rygieg9ln1l, 5ndmhtdu5jfgvzuddd7fu2fh1, 1psr9ra8k9j4r94p1xixagzbp, 14fw7p4fzaxprndgxnx0gxgbt, 26nfmfc8p2doisd9p8vtd33dh, 9i46dpapurzdzvd7nz3be7kl, 630sqbiu7utmkg8yw0h4ky8a2, dr0kn3srxtg7nuw99gjoim7e1, 7llxni56g8q0yt33vhp1pt3o5, bitixkzgt5p65rlo2bnllcf6x, 3h6q9lkwovcu4pynltgnzhy50",4158183763,130,17,4158183761,59,"1, 8, 3, 32, 13, 4, 36, 22, 11, 20, 7, 5, 6, 10, 17, 21, 28, 30, 34, 39",4158402503,197,16262,4158183765,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4158183759,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4158402499,194,aaoycxwi9jny6flm4apz8a2uh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527638509,2,32,1,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,0,0,2023-04-02T15:31:20.299Z,2023-04-02T15:31:26Z,4158412461,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527638499,2,32,1,0,0,cu0eztmjcsbydyp53aleznorw,1,0,0,2023-04-02T15:31:20.299Z,2023-04-03T12:30:06Z,4158412413,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527638611,3,1,1,0,0,cu0eztmjcsbydyp53aleznorw,1,50.1,49.9,2023-04-02T15:31:20.336Z,2023-04-03T12:15:23Z,4158413039,213,3.8,4158413035,141,31.0,4160927359,178,,4158413033,140,35.2,4158413037,212,20.2,4158413041,279,S,4158413031,56,Back,,,,ec5ng4j3rcjwsjz1v05e1z3dh,C. Groß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527638615,4,1,1,0,3,cu0eztmjcsbydyp53aleznorw,0,35.2,31,2023-04-02T15:31:23.841Z,2023-04-03T13:10:58Z,4158413055,212,46.9,4158413059,1,,4158413049,56,Center,4158413057,213,0.5,4161055323,178,,4158413047,155,,4158413053,141,64.7,4158413051,140,74.2,2p48525x4ap9m81g6ode51cyd,N. Stark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527638635,3,1,1,0,7,4l9mrqzmajz5crzlz50mtbt6x,0,25.1,36.3,2023-04-02T15:31:27.333Z,2023-04-03T13:11:11Z,4158413145,212,16.0,4158413139,56,Back,4158413141,140,40.1,4158413143,141,32.1,4161055959,388,,4158413137,3,,4158413147,213,6.1,,,,elh8kttxq9xfpoqfmpxv9jr2t,K. Vogt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527638693,5,1,1,0,9,cu0eztmjcsbydyp53aleznorw,1,64.7,74.4,2023-04-02T15:31:30.184Z,2023-04-03T13:11:22Z,4158413439,213,1.5,4158413435,141,93.0,4158413431,56,Left,4158413433,140,65.0,4158413437,212,12.7,4161056465,178,,,,,,,,ec5ng4j3rcjwsjz1v05e1z3dh,C. Groß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527638701,6,1,1,0,11,cu0eztmjcsbydyp53aleznorw,0,66.8,93.1,2023-04-02T15:31:31.962Z,2023-04-03T13:11:27Z,4158413475,56,Left,4158413479,141,82.9,4158413483,213,5.9,4158413477,140,81.3,4161056697,178,,4158413481,212,16.7,,,,,,,8nug6t1cmn9pwhnwdf6nyhrrp,A. Jung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2527638691,4,49,1,0,13,4l9mrqzmajz5crzlz50mtbt6x,1,22.1,21.3,2023-04-02T15:31:33.348Z,2023-04-03T13:11:32Z,,,,,,,,,,,,,,,,,,,,,,,,,elh8kttxq9xfpoqfmpxv9jr2t,K. Vogt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
