id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/13/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,assist,qualifier/17/value
2500569095,1,34,16,0,0,6k5zscdm9ufw0tguvzyjlp5hq,1,0,0,2023-01-25T18:41:58.756Z,2023-01-25T19:30:06Z,3994713929,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3994713923,59,"26, 25, 30, 3, 28, 17, 8, 27, 38, 42, 9, 5, 11, 14, 18, 21, 29, 32, 33, 34",3994775387,194,b7ve7k983eaewnupejiow3jdh,3994713927,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3994713919,30,"920yurg08gqayxwc80q9f8ixh, d36na8jr6xcc8eronhy8mcz1m, b7ve7k983eaewnupejiow3jdh, 6o2v57d92t1mejod24gmufcut, 84mp3eqt1ckw107hwxpby9cd1, 2jk8zu0m0tf7if0pyrkbo82xh, f5ln82l8q7gvouj3zhsp5t4gl, ejnh215cji6xou661kiwcc91x, 7c6034wb3zsuq9nhxxiahiuol, 7o11dzx2cccrslutrjl16ik89, bsyv3fmihshve4jcr11qmtmfp, e8dpcth2x1y0zbaovljbgk5hx, mugwhiw6mwgjf5797wlnjzdh, 7at6knpizbafid4br861pi6zt, 3w8uk04gxlm4tj4hmsc3msmvp, 6gjlcd7rzi3p74qwvj7ia6esq, arjwwth6yazptr851wu2u6e0a, 2az0f39bhz2kvxhopalzi0h5h, 2es4ydlcwwasm6mu7rmey5r3e, 5n7vp6g13q7sxkzbygfbz27oq",3994713925,130,13,3994713921,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3994773135,197,8113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500569111,1,34,16,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2023-01-25T18:42:03.849Z,2023-01-25T19:28:38Z,3994713989,59,"40, 36, 25, 2, 5, 35, 15, 8, 9, 29, 27, 6, 17, 18, 19, 20, 21, 22, 24, 31",3994713995,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3994773475,197,16259,3994713991,130,17,3994713985,30,"f2ibn3ej2doay3b4u8ezeix62, byn8dfwg5zdefrca7wgn32qne, 3qy1qlzezgfkxeom5n1r9h13p, efzokrggje7s9wc6hg75yc6ax, 7iqt50eaixxatz08dh54p81gq, bd4p670s36cp1dh4fadv84qcq, az15xx7m923srf9gdbwmiyga1, 7cdiijsvnfc7tafy0zkf4uz9, g3fgd752o63acmmuahdvppm1, 5ph2ln91ycq1qlq03cnqqs9re, eqtsanns36za56h4pfqhbnh05, a3ib09ji7qsz6cgj3vmz5qort, 78e1qvft3ser2tyayjlmemdp1, abuvjv3bhb402yf8p92kucez9, 2x5f35hk2urqlgoito1vgb3yt, 8kqmsuo668wpuzoyyxf4o2vo5, bgtnbojs8g884mbksh6o4wu6t, 7gni45coa4swn1i66wzpzug9h, e91s5lp3fvfaav8w8xi7wdx3p, 6rz47c6i1e4umc7kbh961x5ud",3994713987,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3994713993,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3994773473,194,7cdiijsvnfc7tafy0zkf4uz9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500581303,2,32,1,0,0,6k5zscdm9ufw0tguvzyjlp5hq,1,0,0,2023-01-25T19:31:18.298Z,2023-01-26T05:42:36Z,3994776957,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500581291,2,32,1,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2023-01-25T19:31:18.298Z,2023-01-25T19:31:18Z,3994776913,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500581329,3,1,1,0,0,c5hderjlkcoaze51e5wgvptk,1,49.9,50,2023-01-25T19:31:18.339Z,2023-01-26T05:57:31Z,3994777071,279,S,3994777067,212,24.4,3994777061,56,Back,3994777065,141,50.9,3995265519,178,,3994777069,213,3.1,3994777063,140,26.7,,,,eqtsanns36za56h4pfqhbnh05,M. Götze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500581351,4,1,1,0,4,c5hderjlkcoaze51e5wgvptk,0,38.1,60.3,2023-01-25T19:31:22.919Z,2023-01-26T05:57:39Z,3995265591,178,,3994777151,140,77.2,3994777147,155,,3994777155,212,42.6,3994777157,213,6.0,3994777153,141,43.6,3994777159,1,,3994777149,56,Center,7iqt50eaixxatz08dh54p81gq,H. Smolčić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500581365,3,1,1,0,7,6k5zscdm9ufw0tguvzyjlp5hq,0,20,56.1,2023-01-25T19:31:25.624Z,2023-01-26T05:57:59Z,3994777223,56,Back,3995265679,388,,3994777229,212,15.1,3994777225,140,34.0,3994777221,3,,3994777231,213,0.2,3994777227,141,60.9,,,,84mp3eqt1ckw107hwxpby9cd1,M. Ginter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500581381,5,1,1,0,9,c5hderjlkcoaze51e5wgvptk,0,64.7,46,2023-01-25T19:31:27.494Z,2023-01-26T05:58:05Z,3995265725,178,,3994777307,140,75.2,3994777305,56,Center,3994777313,213,0.2,3994777303,3,,3994777311,212,11.2,3994777309,141,49.0,,,,7cdiijsvnfc7tafy0zkf4uz9,D. Sow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500581385,4,8,1,0,10,6k5zscdm9ufw0tguvzyjlp5hq,1,25.5,54.9,2023-01-25T19:31:28.583Z,2023-01-26T05:58:13Z,3995129035,384,,3995265767,388,,3994777357,15,,3994777333,56,Back,,,,,,,,,,,,,ejnh215cji6xou661kiwcc91x,N. Höfler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500581413,5,49,1,0,12,6k5zscdm9ufw0tguvzyjlp5hq,1,9.1,52.1,2023-01-25T19:31:31.115Z,2023-01-26T05:58:19Z,,,,,,,,,,,,,,,,,,,,,,,,,920yurg08gqayxwc80q9f8ixh,M. Flekken,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
