id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,assist,qualifier/12/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/15/value,qualifier/14/value,qualifier/17/value,qualifier/13/value,qualifier/18/value
2509048735,1,34,16,0,0,apoawtpvac4zqlancmvw4nk4o,1,0,0,2023-02-18T13:32:49.306Z,2023-02-18T14:29:17Z,4039236007,130,19,4039236005,59,"27, 7, 19, 2, 5, 23, 8, 6, 25, 13, 38, 4, 10, 20, 22, 26, 39, 42, 44, 46",4039253873,194,4fq74wp7xzwm214veuxqpdz9x,4039236011,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039470619,197,2699,4039235997,30,"bagn0ce4xunsiz3mezrtqx1p1, 4ysxvym6ww4f9d3hflkqsbf11, 582uvj0i3dvm0zwbou9q68pgp, x4qyxhfr2vi007sazoqe5vit, yq0cm7vwr0tkv7nvt9vo77bp, 3kx4mltrob4yta5g6kr2u8ic5, 4w4ldzomkj7fhrc51iimz8no5, 97nv3y9z2ajz6b4ynoo0jn3kl, 4fq74wp7xzwm214veuxqpdz9x, e5mjphb52suw89189nyca72z9, 5ga7g20wsa7oqjbh4ijoeknl6, 10zt8rbgbmyqxr1m13wm5gfs9, 4603xrdk721lqhd1ejn62x5n9, csnsu3jg12e3ridlmteuyrbp, 29pq64smaxdwlraopnxoleqxh, br2uswvdgoj7ndkx7mnbwgyd, cv1d56d42wujfuc4kt6bn53x0, bhsdzppop8jwjsxwftizot1t6, 4skrm2y64va3y5jk70gz4ylpm, 5bnq6c53ofgo9msqn3vlobpm2",4039236009,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039236001,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509051303,1,34,16,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2023-02-18T13:35:40.099Z,2023-02-18T15:23:09Z,4039611835,197,11723,4039248781,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039248773,30,"3z6ekzop4y7cjuatzz9ua74k5, ao00a4lfe5vs9enjgkuu7vglx, dqrzogrwznyks6whhfhq748ut, au5tbnn48ve4kqnuu3dhmk296, 70tsvrcmklvp4ecdhxlugf8ix, 8k5c8po5gx3vnxx36viq08xqt, 7kjhx78gpi6m3r4j1b4jdyh91, 1mkbxdrj3myvt6jm4tx8sywgl, 7tj7eobo7kmk8egcbfrabe8d1, 9bdxi3mvkftmqts59jptqq76d, cgzcn8oo03wda4e5o0jxgy4tl, ckjid5lfgbx8tdyoi32vbwn9x, l8bphgwl3llcckvf9zr6ptqt, 5i8dbjuewybsfgyym63clfw0l, 66nvc8a4kd3cyeyj3i474cudx, d0qyia80j5079xq5olbttqfl6, dwx1vmtmeiiokfqv18g7cb1lh, 43eq31reskwn9veb3vickralm, 514es9hzl2skv9dl5cofgkogl, 8dq80nkl6nbdejj2ti0mb2w6i",4039248777,59,"1, 18, 25, 17, 3, 30, 23, 6, 14, 13, 11, 5, 7, 8, 10, 19, 24, 29, 32, 41",4039248775,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4039248779,130,8,4039253105,194,9bdxi3mvkftmqts59jptqq76d,4039248783,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509094919,2,32,1,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2023-02-18T14:30:51.797Z,2023-02-19T04:08:25Z,4039477975,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509094961,2,32,1,0,0,apoawtpvac4zqlancmvw4nk4o,1,0,0,2023-02-18T14:30:51.797Z,2023-02-18T14:30:54Z,4039478195,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509095031,3,1,1,0,0,go76xxm0xyfgqt1h6tcrtimm,1,49.8,50.7,2023-02-18T14:30:51.833Z,2023-02-19T07:51:01Z,4039478563,141,36.2,4042807813,178,,4039478559,56,Back,4039478567,213,3.5,4039478565,212,26.9,4039478569,279,S,4039478561,140,26.0,,,,7kjhx78gpi6m3r4j1b4jdyh91,J. Hofmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509095093,4,1,1,0,4,go76xxm0xyfgqt1h6tcrtimm,1,29.9,32.8,2023-02-18T14:30:55.969Z,2023-02-19T07:51:06Z,4039478893,141,12.7,4039478895,212,17.8,4039478897,213,5.4,4042807871,178,,4039478891,140,40.7,4039478889,56,Back,,,,,,,70tsvrcmklvp4ecdhxlugf8ix,K. Itakura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509095121,5,1,1,0,6,go76xxm0xyfgqt1h6tcrtimm,0,40.7,12.7,2023-02-18T14:30:58.622Z,2023-02-19T07:51:11Z,4039479053,286,,4039479023,141,11.0,4042807937,178,,4039479021,140,44.0,4039479049,233,3,4039851397,155,,4039479047,236,,4039479025,212,3.7,ao00a4lfe5vs9enjgkuu7vglx,S. Lainer,4039479019,56,Back,4039479027,213,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509095103,3,74,1,0,6,apoawtpvac4zqlancmvw4nk4o,1,55.8,82,2023-02-18T14:30:58.667Z,2023-02-19T07:51:17Z,4042808063,178,,4039478933,56,Left,4039478935,285,,4039479069,233,5,,,,,,,,,,,,,e5mjphb52suw89189nyca72z9,E. Choupo-Moting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509095707,8,50,1,0,10,go76xxm0xyfgqt1h6tcrtimm,1,61.6,21.2,2023-02-18T14:31:02.113Z,2023-02-19T07:51:24Z,4039482069,286,,4039482067,56,Center,4039482295,233,10,,,,,,,,,,,,,,,,7tj7eobo7kmk8egcbfrabe8d1,A. Pléa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509095589,10,7,1,0,10,apoawtpvac4zqlancmvw4nk4o,1,38.4,78.8,2023-02-18T14:31:02.140Z,2023-02-19T07:51:30Z,4042808195,178,,4039481511,56,Back,4039482285,233,8,4041315851,384,,4039481513,285,,,,,,,,,,,582uvj0i3dvm0zwbou9q68pgp,A. Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
