id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/8/value,qualifier/11/value,qualifier/12/value,qualifier/14/value,qualifier/16/value,qualifier/10/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2540625927,1,34,16,0,0,8q1ul09cygzswb7tb456bmifv,1,0,0,2023-04-29T12:38:12.266Z,2023-04-29T13:32:45Z,4234454503,59,"20, 2, 14, 6, 4, 24, 7, 28, 27, 11, 37, 1, 3, 8, 15, 17, 19, 21, 29, 47",4234454509,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4234454507,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4234671177,197,16228,4234454501,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4234454499,30,"4zfgh6wq7svx418tzwf0gfavp, 38knnji3m4qg6pqohph35n74l, 21vfv10e7fh6b2xtcu55ihn11, 3saz8njlttx2i4ospcwmmaqga, 3tdsezcgdlm4laybvh4u49cr9, mgwgcv336wb93xvv0pfr6dih, bkonv3y0vn24mpn6j8abjtux, ojqb7kv87o0cidbckgtg1rdh, 6yc09eth94qsachf595dyx6fp, 55z0yap5tml66nes2cchg7ahh, cnf7quyillyf560nh14taliw9, 224uan6ugjt7b2c1zsxrs2pcl, f239q43hdwrm7u7mu5jqyk91x, 89s9fm31pcfq7l28kc2kad4kq, 4w8nqkhp6v62vs319a7qckfs9, 6dzx3oyd42ql69tqxqvg8mpxx, 2ifp36vdm0d6rb3xc7muuvv11, 8n4b6j21nxf1nf628ugg3xsdl, 7rltyxkrvvfg7q1hppl631soa, 2hb1dyg1auzdfbi3lg9ysap9m",4234454505,130,8,4234593675,194,21vfv10e7fh6b2xtcu55ihn11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540627751,1,34,16,0,0,6k5zscdm9ufw0tguvzyjlp5hq,1,0,0,2023-04-29T12:40:05.268Z,2023-04-29T16:00:47Z,4234595397,194,b7ve7k983eaewnupejiow3jdh,4234672563,197,16250,4234463563,130,15,4234463567,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4234463561,59,"26, 17, 30, 8, 28, 3, 42, 27, 9, 38, 32, 1, 14, 18, 22, 23, 24, 25, 29, 33",4234463557,30,"920yurg08gqayxwc80q9f8ixh, 2jk8zu0m0tf7if0pyrkbo82xh, b7ve7k983eaewnupejiow3jdh, f5ln82l8q7gvouj3zhsp5t4gl, 84mp3eqt1ckw107hwxpby9cd1, 6o2v57d92t1mejod24gmufcut, 7o11dzx2cccrslutrjl16ik89, ejnh215cji6xou661kiwcc91x, bsyv3fmihshve4jcr11qmtmfp, 7c6034wb3zsuq9nhxxiahiuol, 2az0f39bhz2kvxhopalzi0h5h, 3r2j2j3v6kgmauw5yv9j3x1hx, 7at6knpizbafid4br861pi6zt, 3w8uk04gxlm4tj4hmsc3msmvp, dglkt5h4m18p1qcj2uhqymvv9, bh5gxk1kd65fnph0s6kgxt8q2, 61fzonbf9oh5aear9bdav1jze, d36na8jr6xcc8eronhy8mcz1m, arjwwth6yazptr851wu2u6e0a, 2es4ydlcwwasm6mu7rmey5r3e",4234463559,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4234463565,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540669737,2,32,1,0,0,6k5zscdm9ufw0tguvzyjlp5hq,1,0,0,2023-04-29T13:30:16.097Z,2023-04-29T13:30:17Z,4234682895,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540669719,2,32,1,0,0,8q1ul09cygzswb7tb456bmifv,1,0,0,2023-04-29T13:30:16.097Z,2023-04-30T04:33:42Z,4234682817,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540669757,3,1,1,0,0,8q1ul09cygzswb7tb456bmifv,1,49.9,49.7,2023-04-29T13:30:16.127Z,2023-04-30T05:53:03Z,4238661147,178,,4234683001,140,30.6,4234683007,213,3.3,4234683009,279,S,4234683003,141,43.6,4234683005,212,20.7,4234682997,56,Back,,,,55z0yap5tml66nes2cchg7ahh,F. Kainz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540669791,4,1,1,0,1,8q1ul09cygzswb7tb456bmifv,1,30,44,2023-04-29T13:30:17.761Z,2023-04-30T05:53:08Z,4234683155,213,2.3,4234683153,212,4.2,4234683149,140,27.4,4234683147,56,Back,4234683151,141,48.7,4238661199,178,,,,,,,,3tdsezcgdlm4laybvh4u49cr9,T. Hübers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540669843,5,1,1,0,3,8q1ul09cygzswb7tb456bmifv,1,27.4,48.7,2023-04-29T13:30:19.657Z,2023-04-30T05:53:12Z,4234683393,1,,4234683385,140,68.1,4234683391,213,0.5,4234683381,157,,4238661239,178,,4234683389,212,48.7,4234683383,56,Left,4234683387,141,83.0,4zfgh6wq7svx418tzwf0gfavp,M. Schwäbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540669851,6,44,1,0,6,8q1ul09cygzswb7tb456bmifv,1,68.4,77.4,2023-04-29T13:30:22.869Z,2023-04-30T09:33:33Z,4234683415,56,Center,4234683469,233,3,4234683417,286,,,,,,,,,,,,,,,,,6yc09eth94qsachf595dyx6fp,D. Selke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540669847,3,44,1,0,6,6k5zscdm9ufw0tguvzyjlp5hq,0,31.6,22.6,2023-04-29T13:30:22.870Z,2023-04-30T05:53:14Z,4234683515,233,6,4234683407,56,Back,4234683409,285,,,,,,,,,,,,,,,,,f5ln82l8q7gvouj3zhsp5t4gl,M. Eggestein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540669867,7,1,1,0,6,8q1ul09cygzswb7tb456bmifv,0,71.1,79.2,2023-04-29T13:30:22.954Z,2023-04-30T09:33:34Z,4234683521,3,,4234683529,212,16.4,4234683523,56,Center,4234683527,141,77.1,4234683525,140,86.7,4238661303,388,,4234683531,213,6.2,,,,6yc09eth94qsachf595dyx6fp,D. Selke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
