id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,keyPass,qualifier/14/value,qualifier/11/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2522624505,1,34,16,0,0,6k5zscdm9ufw0tguvzyjlp5hq,1,0,0,2023-03-19T17:36:00.829Z,2023-03-19T18:29:21Z,4111024201,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4111024193,30,"920yurg08gqayxwc80q9f8ixh, d36na8jr6xcc8eronhy8mcz1m, b7ve7k983eaewnupejiow3jdh, e8dpcth2x1y0zbaovljbgk5hx, 84mp3eqt1ckw107hwxpby9cd1, 2jk8zu0m0tf7if0pyrkbo82xh, f5ln82l8q7gvouj3zhsp5t4gl, ejnh215cji6xou661kiwcc91x, 7c6034wb3zsuq9nhxxiahiuol, 7o11dzx2cccrslutrjl16ik89, 2az0f39bhz2kvxhopalzi0h5h, 3r2j2j3v6kgmauw5yv9j3x1hx, bsyv3fmihshve4jcr11qmtmfp, 7at6knpizbafid4br861pi6zt, 3w8uk04gxlm4tj4hmsc3msmvp, dglkt5h4m18p1qcj2uhqymvv9, arjwwth6yazptr851wu2u6e0a, 2es4ydlcwwasm6mu7rmey5r3e, 5n7vp6g13q7sxkzbygfbz27oq, e8hf96xbntslqrlottv5yp016",4111024197,59,"26, 25, 30, 5, 28, 17, 8, 27, 38, 42, 32, 1, 9, 14, 18, 22, 29, 33, 34, 35",4111024199,130,13,4111024203,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4111024195,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4111241559,197,16250,4111241555,194,b7ve7k983eaewnupejiow3jdh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522625483,1,34,16,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2023-03-19T17:37:01.558Z,2023-03-19T18:28:28Z,4111239439,197,11885,4111029705,30,"ci1nu5z8aiiikco8af0zk1lud, amd4rodp6senk2c1mmlsqozpx, 6u47fsriz3ejlf72hxtsew5bd, 6uurhe88nry4hyelll8ifzd91, bvifdvoxv9e8nq8qe37c0gvrp, dnt7ahwfj8endqngxwfll1tjp, l469vtpe0jbgg5sq1v2e67e1, az7owi5t4bclkamjsjuyxzv1l, am0pcyvtaws1i69jt09dgnsnp, 4rgz5z372h6sbwhpxl69cb6c5, bwqqecmqm76v5b83v1cz891p1, d2gbcc336c4zatpiif4cvm2fp, eh9sh9aa10zrp80l6e4l0c7h1, 2w76r8guf9sacoriu0ivytyax, cjok1odm3twxo7sqye3hua6eh, dzolxp2oixtakcrqfyibpu76d, 4baqlwfu312pctopy1cx6s2c5, d608s0948uh3owqee7t0en7px, ernbjicg113inzsubzrfm8fyt, alp8twr3g2rmfmnguffsfovtg",4111029715,194,ci1nu5z8aiiikco8af0zk1lud,4111029707,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4111029717,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4111029713,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4111029709,59,"27, 21, 19, 20, 16, 25, 8, 6, 17, 11, 7, 1, 3, 4, 5, 9, 30, 31, 42, 44",4111029711,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522665143,2,32,1,0,0,6k5zscdm9ufw0tguvzyjlp5hq,1,0,0,2023-03-19T18:30:54.712Z,2023-03-19T18:30:54Z,4111244949,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522665169,2,32,1,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2023-03-19T18:30:54.712Z,2023-03-20T07:27:21Z,4111245057,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522665175,3,1,1,0,0,6k5zscdm9ufw0tguvzyjlp5hq,1,49.9,50.1,2023-03-19T18:30:55.046Z,2023-03-20T08:13:00Z,4111245093,213,0.9,4111245095,279,S,4111245091,212,3.5,4112452231,178,,4111245089,141,54.0,4111245087,140,52.1,4111245085,56,Center,,,,ejnh215cji6xou661kiwcc91x,N. Höfler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522665183,4,1,1,0,0,6k5zscdm9ufw0tguvzyjlp5hq,1,53.9,56.9,2023-03-19T18:30:55.698Z,2023-03-20T08:13:05Z,4111245133,213,1.3,4111245131,212,18.4,4112452311,178,,4111245125,56,Left,4111245129,141,82.8,4111245127,140,58.9,,,,,,,2az0f39bhz2kvxhopalzi0h5h,V. Grifo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522665189,5,1,1,0,3,6k5zscdm9ufw0tguvzyjlp5hq,0,58.9,82.8,2023-03-19T18:30:58.669Z,2023-03-20T08:13:08Z,4111245161,140,72.2,4111245169,1,,4111245163,141,23.2,4111245167,213,5.0,4111245165,212,42.9,4112452355,178,,4111245157,155,,4111245159,56,Center,b7ve7k983eaewnupejiow3jdh,C. Günter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522665201,3,12,1,0,6,1c7qokc1j5z50cjj4tcu32haa,1,23.1,65.3,2023-03-19T18:31:01.151Z,2023-03-20T08:13:36Z,4111245231,212,1.7,4111245233,213,0.5,4111245235,15,,4112452391,388,,4111245229,141,66.6,4111245227,140,24.5,4111245225,56,Back,,,,bvifdvoxv9e8nq8qe37c0gvrp,S. Bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522665561,8,61,1,0,6,1c7qokc1j5z50cjj4tcu32haa,1,24.5,65.3,2023-03-19T18:31:01.194Z,2023-03-20T08:13:33Z,4111247113,56,Back,4112452517,15,,4112452519,388,,,,,,,,,,,,,,,,,bwqqecmqm76v5b83v1cz891p1,Lee Jae-Sung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2522665227,6,1,1,0,8,6k5zscdm9ufw0tguvzyjlp5hq,0,68.8,13.4,2023-03-19T18:31:02.915Z,2023-03-20T08:13:23Z,4111245401,213,5.3,4111245399,212,10.8,4111245397,141,0.1,4111245393,56,Right,4111245395,140,74.4,4112452583,178,,,,,,,,2jk8zu0m0tf7if0pyrkbo82xh,L. Kübler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
