id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/8/value,qualifier/11/value,qualifier/14/value,assist,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2472998209,1,34,16,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2022-10-16T14:34:14.506Z,2022-10-16T15:33:18Z,3849398515,59,"1, 28, 6, 4, 31, 25, 13, 19, 45, 27, 8, 2, 5, 11, 14, 17, 23, 32, 37, 40",3849698455,194,52t6t7cdsr0fjs9ukmwo9y7rp,3849398519,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3849398521,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3849398511,30,"8l1mv5qd9vwade754v3l8epjp, 52t6t7cdsr0fjs9ukmwo9y7rp, cl6720rdjeubt0bc3su0qg3qh, 3g9riero16s160evc28u3q3u1, cab22ojcuhdzdwmbtl20n8i51, d3xe46be1ajvxzxzboiaoy385, f0x3pa532agezdjdzcsp94l49, 24vavcwn4hco5je9kdu9ciwgl, 5xhjvappzv6swoof5qpi0yj9, cywgibmici8hwp1ad1nhk3ufp, 1vv29mash2uijx542ssjk666t, 9qzxygb9hyzag1szans0k2jth, 1ywfkwrcysdlvkt859q00kt7t, 5pnfmmq8b8jxmp1qnf82d8out, 602fyni27c129xjs9ziyn5as5, 7424gvk9hiq5up61dj181y66t, emtrl7rrhp3ybsibf1f89kyj9, dadiwuzf33969g3808sdd9brp, 7446u69ki15qcyq2jtszacm3t, bt35y17wl42b5t5tw6z68uwyy",3849698457,197,16256,3849398517,130,12,3849398513,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2472998633,1,34,16,0,0,dt4pinj0vw0t0cvz7za6mhmzy,1,0,0,2022-10-16T14:34:37.658Z,2022-10-16T15:29:39Z,3849400985,130,12,3849400977,30,"9rjd95oqotnalxmv56v7p1r6d, bb6glt8n0ar47cmhmj6gnfiz9, 6ie5meimavc8kwohr6lrdyket, d5mck7rf48chzersephpx29d5, cd6i7khi5wgsfsg19c9tcjydx, 4vy3j1o829f561jf4fqum7ob9, e83ula4wockmc2xid7185kcq2, emvi36y613e4lqlat3wfdih9l, eguzzwxdm0fwocax6srpck48a, ebj6t5jqzixrnww1z7qofznu2, 7lai6ovwsl01gonutejt4mms5, 2we9yak4ipkr1ljigj20puv6y, 3y9nm18as1wxhizq3fyazb2t, btzfq6521zl3q5uqus8ltov6d, f4qcgzveslklfi8601tep77x1, 7q96z3aaee5jyccb8pjthi8kp, culbbgu1o5fdbl3gxz54rbn4l, 2jrntrq2x714pviioh3jnkted, 4rtps64cca8vrscv80bgyvjf8, 8zl9wv46y5bchktqcwth3z3ai",3849400993,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3849400989,194,cd6i7khi5wgsfsg19c9tcjydx,3849400981,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3849698953,197,2698,3849400987,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3849400983,59,"1, 24, 13, 4, 15, 25, 22, 6, 18, 27, 23, 7, 10, 11, 19, 21, 30, 33, 36, 47",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473055003,2,32,1,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2022-10-16T15:30:25.698Z,2022-10-17T05:07:21Z,3849702315,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473054975,2,32,1,0,0,dt4pinj0vw0t0cvz7za6mhmzy,1,0,0,2022-10-16T15:30:25.698Z,2022-10-17T08:15:11Z,3849702197,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473055037,3,1,1,0,0,dt4pinj0vw0t0cvz7za6mhmzy,1,50,50,2022-10-16T15:30:25.757Z,2022-10-17T05:31:27Z,3849702491,56,Back,3849702493,140,34.2,3851650521,178,,3849702497,212,18.4,3849702495,141,61.8,3849702501,279,S,3849702499,213,2.7,,,,eguzzwxdm0fwocax6srpck48a,Y. Moukoko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473055071,4,1,1,0,4,dt4pinj0vw0t0cvz7za6mhmzy,1,34.1,61.5,2022-10-16T15:30:30.176Z,2022-10-17T05:31:33Z,3849702663,141,16.4,3851650583,178,,3849702659,140,40.6,3849702669,212,31.4,3849702671,213,4.9,3849702657,56,Back,,,,,,,d5mck7rf48chzersephpx29d5,N. Schlotterbeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473055113,5,1,1,0,7,dt4pinj0vw0t0cvz7za6mhmzy,1,40.6,16.4,2022-10-16T15:30:33.411Z,2022-10-17T05:32:08Z,3849702895,212,15.1,3851650983,178,,3849702897,213,2.1,3849702889,56,Back,3849702893,141,35.8,3849702891,140,33.6,,,,,,,4vy3j1o829f561jf4fqum7ob9,N. Süle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473055163,6,1,1,0,10,dt4pinj0vw0t0cvz7za6mhmzy,1,34.4,40.7,2022-10-16T15:30:36.065Z,2022-10-17T05:32:13Z,3849703159,140,40.5,3851651037,178,,3849703161,141,79.4,3849703163,212,27.1,3849703165,213,1.3,3849703157,56,Back,,,,,,,cd6i7khi5wgsfsg19c9tcjydx,M. Hummels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473055189,7,1,1,0,13,dt4pinj0vw0t0cvz7za6mhmzy,1,41.8,84.7,2022-10-16T15:30:38.832Z,2022-10-17T05:32:21Z,3849703293,212,16.2,3849703289,141,91.5,3851651131,178,,3849703285,56,Left,3849703287,140,56.6,3849703299,213,0.3,,,,,,,d5mck7rf48chzersephpx29d5,N. Schlotterbeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473055223,8,1,1,0,14,dt4pinj0vw0t0cvz7za6mhmzy,0,56.7,91.5,2022-10-16T15:30:39.857Z,2022-10-17T05:32:27Z,3849703447,141,76.7,3849703443,56,Center,3851651207,178,,3849703449,212,10.4,3849703445,140,59.1,3849703451,213,5.0,,,,,,,6ie5meimavc8kwohr6lrdyket,Raphaël Guerreiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
