id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,keyPass,qualifier/9/value,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/12/value,qualifier/14/value,qualifier/11/value,qualifier/17/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2536994269,1,34,16,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2023-04-22T12:40:50.518Z,2023-04-22T13:40:20Z,4208132461,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4208132467,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4208330787,197,11885,4208132465,130,17,4208132469,194,4baqlwfu312pctopy1cx6s2c5,4208132463,59,"27, 30, 19, 20, 16, 25, 8, 31, 17, 9, 7, 1, 3, 4, 6, 11, 21, 37, 42, 44",4208132471,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4208132459,30,"ci1nu5z8aiiikco8af0zk1lud, 4baqlwfu312pctopy1cx6s2c5, 6u47fsriz3ejlf72hxtsew5bd, 6uurhe88nry4hyelll8ifzd91, bvifdvoxv9e8nq8qe37c0gvrp, dnt7ahwfj8endqngxwfll1tjp, l469vtpe0jbgg5sq1v2e67e1, d608s0948uh3owqee7t0en7px, am0pcyvtaws1i69jt09dgnsnp, dzolxp2oixtakcrqfyibpu76d, bwqqecmqm76v5b83v1cz891p1, d2gbcc336c4zatpiif4cvm2fp, eh9sh9aa10zrp80l6e4l0c7h1, 2w76r8guf9sacoriu0ivytyax, az7owi5t4bclkamjsjuyxzv1l, 4rgz5z372h6sbwhpxl69cb6c5, amd4rodp6senk2c1mmlsqozpx, 3n2imac1yp8jppsf36a4qg76y, ernbjicg113inzsubzrfm8fyt, alp8twr3g2rmfmnguffsfovtg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536997227,1,34,16,0,0,apoawtpvac4zqlancmvw4nk4o,1,0,0,2023-04-22T12:43:52.226Z,2023-04-22T13:32:37Z,4208147553,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4208147545,59,"27, 22, 19, 2, 44, 4, 8, 6, 25, 17, 42, 7, 10, 11, 23, 26, 38, 39, 40",4208147549,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4208147547,130,19,4208147541,30,"bagn0ce4xunsiz3mezrtqx1p1, 29pq64smaxdwlraopnxoleqxh, 582uvj0i3dvm0zwbou9q68pgp, x4qyxhfr2vi007sazoqe5vit, 4skrm2y64va3y5jk70gz4ylpm, 10zt8rbgbmyqxr1m13wm5gfs9, 4w4ldzomkj7fhrc51iimz8no5, 97nv3y9z2ajz6b4ynoo0jn3kl, 4fq74wp7xzwm214veuxqpdz9x, cotiiu6mjkfx5xa63nhfbdf4l, bhsdzppop8jwjsxwftizot1t6, 4ysxvym6ww4f9d3hflkqsbf11, 4603xrdk721lqhd1ejn62x5n9, 1u1u438ql6xrordkb65wsxo7p, 3kx4mltrob4yta5g6kr2u8ic5, br2uswvdgoj7ndkx7mnbwgyd, 5ga7g20wsa7oqjbh4ijoeknl6, cv1d56d42wujfuc4kt6bn53x0, 7vhnftizqlyu31st2vsmgh6tx",4208147551,194,4fq74wp7xzwm214veuxqpdz9x,4208147543,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",4208319961,197,11764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537032015,2,32,1,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2023-04-22T13:30:56.798Z,2023-04-23T02:15:11Z,4208333667,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537032003,2,32,1,0,0,apoawtpvac4zqlancmvw4nk4o,1,0,0,2023-04-22T13:30:56.798Z,2023-04-22T13:30:56Z,4208333597,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537032075,3,1,1,0,0,apoawtpvac4zqlancmvw4nk4o,1,50,50,2023-04-22T13:30:56.917Z,2023-04-23T03:24:19Z,4208333961,140,33.7,4208333967,213,2.9,4212008655,178,,4208333965,212,17.5,4208333969,279,S,4208333963,141,55.1,4208333959,56,Back,,,,cotiiu6mjkfx5xa63nhfbdf4l,S. Mané,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537032129,4,1,1,0,2,apoawtpvac4zqlancmvw4nk4o,0,34.1,53.6,2023-04-22T13:30:59.441Z,2023-04-23T03:24:24Z,4208334233,213,5.9,4212008847,178,,4208334223,155,,4208334227,140,97.1,4208334231,212,71.9,4208334235,1,,4208334225,56,Right,4208334229,141,12.3,x4qyxhfr2vi007sazoqe5vit,D. Upamecano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537032123,3,49,1,0,7,1c7qokc1j5z50cjj4tcu32haa,1,8.6,89,2023-04-22T13:31:04.769Z,2023-04-23T03:25:39Z,,,,,,,,,,,,,,,,,,,,,,,,,6u47fsriz3ejlf72hxtsew5bd,A. Caci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537032143,4,1,1,0,8,1c7qokc1j5z50cjj4tcu32haa,0,14.9,89.9,2023-04-22T13:31:04.827Z,2023-04-23T03:25:41Z,4208334289,140,23.1,4208334285,155,,4208334295,213,0,4212012169,178,,4208334291,141,89.9,4208334287,56,Back,4208334293,212,8.6,,,,6u47fsriz3ejlf72hxtsew5bd,A. Caci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537032149,5,49,1,0,9,apoawtpvac4zqlancmvw4nk4o,1,76.1,11.3,2023-04-22T13:31:05.913Z,2023-04-23T03:25:45Z,,,,,,,,,,,,,,,,,,,,,,,,,4w4ldzomkj7fhrc51iimz8no5,L. Goretzka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537032177,6,1,1,0,10,apoawtpvac4zqlancmvw4nk4o,1,78.7,10.7,2023-04-22T13:31:06.834Z,2023-04-23T03:25:49Z,4208334443,141,28.6,4208334441,140,84.7,4208334447,213,1.1,4212012393,178,,4208334445,212,13.7,4208334439,56,Center,,,,,,,4w4ldzomkj7fhrc51iimz8no5,L. Goretzka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537032195,7,1,1,0,10,apoawtpvac4zqlancmvw4nk4o,1,84.7,28.6,2023-04-22T13:31:07.601Z,2023-04-23T03:25:57Z,4212012683,178,,4208334561,212,8.8,4208334557,140,76.7,4208334563,213,2.8,4208334559,141,32.4,4208334555,56,Center,,,,,,,cotiiu6mjkfx5xa63nhfbdf4l,S. Mané,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537032257,8,1,1,0,13,apoawtpvac4zqlancmvw4nk4o,1,77.9,38.5,2023-04-22T13:31:09.876Z,2023-04-23T03:26:00Z,4208334833,141,68.8,4212012743,178,,4208334837,213,1.5,4208334831,140,78.6,4208334835,212,20.6,4208334829,56,Center,,,,,,,bhsdzppop8jwjsxwftizot1t6,J. Musiala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537032293,9,1,1,0,16,apoawtpvac4zqlancmvw4nk4o,1,82.7,64.6,2023-04-22T13:31:13.235Z,2023-04-23T03:26:07Z,4208335021,213,4.0,4208335013,56,Center,4212012953,178,,4208335017,141,52.7,4208335015,140,76.3,4208335019,212,10.5,,,,,,,582uvj0i3dvm0zwbou9q68pgp,A. Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537032397,10,1,1,0,18,apoawtpvac4zqlancmvw4nk4o,1,75.1,55.2,2023-04-22T13:31:14.956Z,2023-04-23T03:26:12Z,4208335471,140,79.2,4208335477,213,1.3,4208335475,212,14.2,4208335473,141,75.1,4208335469,56,Center,4212013185,178,,,,,,,,97nv3y9z2ajz6b4ynoo0jn3kl,J. Kimmich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537032427,11,1,1,0,23,apoawtpvac4zqlancmvw4nk4o,1,83.4,95,2023-04-22T13:31:20.324Z,2023-04-23T03:26:17Z,4208335621,212,19.3,4208335611,56,Center,4212013305,178,,4208335623,213,3.8,4208335619,141,76.9,4208335615,140,69.2,,,,,,,bhsdzppop8jwjsxwftizot1t6,J. Musiala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537032461,12,1,1,0,26,apoawtpvac4zqlancmvw4nk4o,1,68.1,76,2023-04-22T13:31:22.876Z,2023-04-23T03:26:20Z,4208335803,213,4.2,4208335797,140,53.5,4208335801,212,29.0,4212013417,178,,4208335799,141,39.8,4208335795,56,Center,,,,,,,97nv3y9z2ajz6b4ynoo0jn3kl,J. Kimmich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537032491,13,1,1,0,29,apoawtpvac4zqlancmvw4nk4o,1,53.5,39.8,2023-04-22T13:31:25.968Z,2023-04-23T03:26:25Z,4208335969,140,68.1,4208335973,212,23.8,4208335967,56,Right,4212013537,178,,4208335975,213,5.4,4208335971,141,13.1,,,,,,,x4qyxhfr2vi007sazoqe5vit,D. Upamecano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537032511,14,1,1,0,30,apoawtpvac4zqlancmvw4nk4o,1,68.1,13.1,2023-04-22T13:31:27.643Z,2023-04-23T03:26:33Z,4208336057,141,20.7,4208336055,140,70.0,4208336059,212,5.5,4212013783,178,,4208336053,56,Right,4208336061,213,1.2,,,,,,,29pq64smaxdwlraopnxoleqxh,João Cancelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537032535,15,1,1,0,31,apoawtpvac4zqlancmvw4nk4o,1,70,20.7,2023-04-22T13:31:28.453Z,2023-04-23T03:26:37Z,4212013965,178,,4208336171,140,75.3,4208336177,213,5.4,4208336175,212,9.0,4208336173,141,10.3,4208336169,56,Right,,,,,,,4fq74wp7xzwm214veuxqpdz9x,T. Müller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537032607,16,1,1,0,33,apoawtpvac4zqlancmvw4nk4o,1,75.3,9.8,2023-04-22T13:31:30.731Z,2023-04-23T03:26:40Z,4208336449,213,3.1,4208336445,141,12.5,4208336447,212,21.2,4208336441,56,Right,4208336443,140,55.2,4212014057,178,,,,,,,,29pq64smaxdwlraopnxoleqxh,João Cancelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537032671,17,1,1,0,37,apoawtpvac4zqlancmvw4nk4o,1,55.2,12.5,2023-04-22T13:31:33.898Z,2023-04-23T03:26:47Z,4212014283,178,,4208336783,212,17.3,4208336779,140,44.5,4208336785,213,2.3,4208336781,141,31.8,4208336777,56,Back,,,,,,,4skrm2y64va3y5jk70gz4ylpm,J. Stanišić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537032685,18,1,1,0,41,apoawtpvac4zqlancmvw4nk4o,1,43,13.4,2023-04-22T13:31:37.949Z,2023-04-23T03:26:53Z,4208336863,141,9.5,4208336859,56,Back,4208336861,140,34.2,4208336867,213,3.4,4212014461,178,,4208336865,212,9.6,,,,,,,x4qyxhfr2vi007sazoqe5vit,D. Upamecano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537032729,19,1,1,0,42,apoawtpvac4zqlancmvw4nk4o,1,34.2,9.5,2023-04-22T13:31:39.129Z,2023-04-23T03:27:05Z,4208337053,141,37.9,4208337049,56,Back,4212014859,178,,4208337051,140,18.7,4208337057,213,2.3,4208337055,212,25.3,,,,,,,4skrm2y64va3y5jk70gz4ylpm,J. Stanišić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537032747,20,1,1,0,45,apoawtpvac4zqlancmvw4nk4o,1,19.4,38.3,2023-04-22T13:31:42.533Z,2023-04-23T03:27:11Z,4208337151,213,0.1,4208337143,56,Back,4208337145,140,30.9,4208337149,212,12.2,4212015071,178,,4208337147,141,40.7,,,,,,,bagn0ce4xunsiz3mezrtqx1p1,Y. Sommer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537032825,21,1,1,0,49,apoawtpvac4zqlancmvw4nk4o,0,35.4,31.8,2023-04-22T13:31:45.804Z,2023-04-23T03:27:15Z,4208337517,213,0.1,4208337503,155,,4208337519,1,,4208337507,140,71.1,4208337513,212,37.6,4208337505,56,Center,4212015153,178,,4208337509,141,35.4,97nv3y9z2ajz6b4ynoo0jn3kl,J. Kimmich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537032857,5,1,1,0,51,1c7qokc1j5z50cjj4tcu32haa,0,24.9,61.7,2023-04-22T13:31:48.034Z,2023-04-23T03:27:20Z,4208337649,56,Back,4208337653,141,44.2,4212015337,388,,4208337647,3,,4208337651,140,41.7,4208337657,213,5.7,4208337655,212,21.3,,,,bvifdvoxv9e8nq8qe37c0gvrp,S. Bell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537032867,22,1,1,0,53,apoawtpvac4zqlancmvw4nk4o,0,60.5,52.1,2023-04-22T13:31:49.994Z,2023-04-23T03:27:26Z,4208337719,141,57.3,4208337715,56,Center,4208337717,140,68.3,4208337723,213,0.4,4212015491,178,,4208337721,212,8.9,,,,,,,bhsdzppop8jwjsxwftizot1t6,J. Musiala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537032877,6,49,1,0,53,1c7qokc1j5z50cjj4tcu32haa,1,37.6,37,2023-04-22T13:31:50.551Z,2023-04-23T03:27:32Z,,,,,,,,,,,,,,,,,,,,,,,,,l469vtpe0jbgg5sq1v2e67e1,L. Barreiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537032985,7,1,1,0,58,1c7qokc1j5z50cjj4tcu32haa,1,62.8,20.6,2023-04-22T13:31:55.562Z,2023-04-23T03:27:39Z,4208338313,212,12.4,4212015915,178,,4208338309,140,70.7,4208338305,56,Right,4208338311,141,7.1,4208338315,213,5.4,,,,,,,l469vtpe0jbgg5sq1v2e67e1,L. Barreiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537032993,8,1,1,1,0,1c7qokc1j5z50cjj4tcu32haa,0,70.7,7.1,2023-04-22T13:31:57.092Z,2023-04-23T03:27:43Z,4208338365,213,0.7,4208338361,141,13.1,4208338483,236,,4212015987,178,,4208338485,233,23,4208338489,286,,4208338357,56,Right,4208338359,140,74.9,dzolxp2oixtakcrqfyibpu76d,K. Onisiwo,4208338363,212,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
