id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,keyPass,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/15/value,assist,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2481922175,1,34,16,0,0,cu0eztmjcsbydyp53aleznorw,1,0,0,2022-11-05T16:43:19.468Z,2022-11-05T17:27:39Z,3896507837,194,aaoycxwi9jny6flm4apz8a2uh,3896483849,30,"expxslws50h0iw0logr02gs7p, 7k7whr0pdbw5wtk7g0cwozw0l, aaoycxwi9jny6flm4apz8a2uh, 2p48525x4ap9m81g6ode51cyd, 6kge6vcoa9ocnh6tb8qznfzkl, 1psr9ra8k9j4r94p1xixagzbp, b4q9q0qgmtz959rygieg9ln1l, 26nfmfc8p2doisd9p8vtd33dh, 5ndmhtdu5jfgvzuddd7fu2fh1, cjq9g6zgcxk1ceo2xzpe1qnyt, dr0kn3srxtg7nuw99gjoim7e1, 8nug6t1cmn9pwhnwdf6nyhrrp, 14fw7p4fzaxprndgxnx0gxgbt, 8kar47kxxc8f20vc9ul2ez3yt, 630sqbiu7utmkg8yw0h4ky8a2, d95i3fwjrk3ti4co645mde76x, 56e76dk2fd95o2n7e98tpjg0l, 7llxni56g8q0yt33vhp1pt3o5, ec5ng4j3rcjwsjz1v05e1z3dh, 3h6q9lkwovcu4pynltgnzhy50",3896483869,197,16262,3896483871,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3896483861,130,12,3896483865,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3896483853,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3896483857,59,"1, 8, 32, 4, 13, 5, 20, 10, 7, 11, 28, 3, 6, 9, 21, 22, 23, 30, 36, 39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481925145,1,34,16,0,0,cz4a6wmzx2obyisadhgaccx7b,1,0,0,2022-11-05T16:45:02.162Z,2022-11-05T17:30:39Z,3896500077,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3896500089,197,17624,3896500093,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3896500075,30,"dvo2f7d0yosn404wsrsgeprdh, f3xm12deg7xf3g2n3yk11npat, 5qc0owkwmgk74qy13ft3kpg5, dgysidzshgxqm3jegaihwi5wq, 4fvtwbl1hrxgs9lg957rxladx, w2jovd0ta6to004lvlri5gtm, at2rbigl1d8bsjw2u6lhfcatx, 9taxidttdt94nmvc3mqhqq0ut, 9xl238e13utd2ondzqi51ka1h, 1n0y675l767w55pipq5lgj1zp, 6b7p3ncup75mpop91n0u1mw2d, aahyom322jdc6f21960ycuzth, 8n0dskalmx94ofiq6jewa22tx, dpybx98sqm09bqcsuah1zj7px, 58jjd14yvf4d6tvqcz4xo3a7e, 2rsdnuf5kuu8kxybsjq7ogbje, 7lohomjw8xbl5eymcqhrtytw5, mvezin3jbq5rhf826228rkve, 8czesxhh2bedy0ukqb95rk82d, 7ge5pob1kdmtw9kg3ki34uwyy",3896512049,194,9xl238e13utd2ondzqi51ka1h,3896500083,130,8,3896500081,59,"13, 27, 29, 6, 4, 41, 19, 30, 9, 20, 11, 7, 8, 15, 17, 23, 24, 28, 40, 44",3896500085,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481966589,2,32,1,0,0,cu0eztmjcsbydyp53aleznorw,1,0,0,2022-11-05T17:30:44.513Z,2022-11-06T00:25:33Z,3896721509,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481966597,2,32,1,0,0,cz4a6wmzx2obyisadhgaccx7b,1,0,0,2022-11-05T17:30:44.513Z,2022-11-05T17:30:52Z,3896721543,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481966675,3,1,1,0,0,cu0eztmjcsbydyp53aleznorw,1,50,50,2022-11-05T17:30:44.619Z,2022-11-06T03:25:11Z,3896721967,140,25.3,3896721965,56,Back,3896721975,279,S,3896721969,141,59.9,3897999941,178,,3896721971,212,26.8,3896721973,213,2.9,,,,dr0kn3srxtg7nuw99gjoim7e1,I. Gruev,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481966679,4,1,1,0,2,cu0eztmjcsbydyp53aleznorw,1,25.3,58.7,2022-11-05T17:30:47.372Z,2022-11-06T03:25:28Z,3896721997,212,11.6,3896721991,56,Back,3898000195,178,,3896721993,140,26.6,3896721995,141,75.6,3896721999,213,1.5,,,,,,,2p48525x4ap9m81g6ode51cyd,N. Stark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481966699,5,1,1,0,5,cu0eztmjcsbydyp53aleznorw,0,27.9,74.2,2022-11-05T17:30:49.701Z,2022-11-06T03:25:31Z,3896722079,141,18.9,3896722085,1,,3896722083,213,5.6,3896722081,212,61.0,3898000291,178,,3896722075,56,Right,3896722073,155,,3896722077,140,73.7,aaoycxwi9jny6flm4apz8a2uh,M. Friedl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481966715,3,49,1,0,11,cz4a6wmzx2obyisadhgaccx7b,1,26.1,87.8,2022-11-05T17:30:55.658Z,2022-11-06T03:25:47Z,,,,,,,,,,,,,,,,,,,,,,,,,5qc0owkwmgk74qy13ft3kpg5,T. Mohr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481966765,4,1,1,0,11,cz4a6wmzx2obyisadhgaccx7b,0,26.1,88.8,2022-11-05T17:30:55.920Z,2022-11-06T03:25:53Z,3896722215,213,0.1,3896722205,157,,3896722217,1,,3896722211,141,89.3,3896722213,212,2.4,3896722207,56,Back,3896722605,286,,3896722599,236,,5qc0owkwmgk74qy13ft3kpg5,T. Mohr,3896722209,140,28.4,3896722601,233,6,3898000587,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481966771,6,74,1,0,11,cu0eztmjcsbydyp53aleznorw,1,75.9,15,2022-11-05T17:30:55.961Z,2022-11-06T03:25:58Z,3896722633,233,4,3896722239,56,Right,3896722549,285,,3898000647,178,,,,,,,,,,,,,,7k7whr0pdbw5wtk7g0cwozw0l,M. Weiser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481966903,5,5,1,0,12,cz4a6wmzx2obyisadhgaccx7b,1,28.1,101.5,2022-11-05T17:30:56.917Z,2022-11-06T03:26:00Z,3896722949,56,Back,3896722965,233,7,3896722951,347,,,,,,,,,,,,,,,,,5qc0owkwmgk74qy13ft3kpg5,T. Mohr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
