id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/15/value,qualifier/17/value
2448355247,1,34,16,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,0,0,2022-08-20T12:32:40.314Z,2022-08-20T13:44:33Z,3718440637,197,16195,3718286787,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3718286793,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3718286797,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3718286789,59,"1, 4, 24, 21, 2, 5, 3, 32, 9, 22, 14, 6, 8, 11, 15, 16, 20, 25, 33, 39",3718286785,30,"5bzowvtg5vhntcx1w3roriehh, bibz1qxakmbflq73marmo4nop, e9u7cmvaem5p7x9px3yq9f179, 8p2yagsx6ujdbmeonkd3u4c89, 3uqn1adw8rarez1gpen9vng7p, 5l8wtw156meo2vrtrgasif6jt, 3kti58d195gmtzwrjh5nprx05, 9dnne0ny6o6d5c6w3ayoo4vvu, 33hs47yxefec8e9ntgqgr49n9, 3havaatbnk8p6gc9srgajc25l, 9fd19beamnr8qmhqdvzr7fcyy, 5gkgh0ohjshsm52adokapy5ex, d1gc59ozyrrnl82rog6fbm0dm, 49epln99aa2797cs2zq3al1t6, 7gzdg0j9usc3yq0dd1ad57sgl, a4p1m3cqm6z2p1bw97s6k46ad, 4nn6rxyzy97wl4ppqqnhhxyax, 80nniieqtuwjhomwjcebnxyzu, 62gct49oglcdzxafhrfucrb2t, b5mpbec03n9qatneviazigfvu",3718286791,130,13,3718286795,194,3kti58d195gmtzwrjh5nprx05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448356929,1,34,16,0,0,6k5zscdm9ufw0tguvzyjlp5hq,1,0,0,2022-08-20T12:35:50.205Z,2022-08-20T13:37:59Z,3718295165,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3718295159,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3718419697,197,16250,3718295169,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3718295161,59,"26, 25, 30, 27, 28, 3, 22, 8, 38, 42, 32, 1, 2, 5, 11, 14, 18, 29, 31, 33",3718295163,130,8,3718295167,194,b7ve7k983eaewnupejiow3jdh,3718295157,30,"920yurg08gqayxwc80q9f8ixh, d36na8jr6xcc8eronhy8mcz1m, b7ve7k983eaewnupejiow3jdh, ejnh215cji6xou661kiwcc91x, 84mp3eqt1ckw107hwxpby9cd1, 6o2v57d92t1mejod24gmufcut, dglkt5h4m18p1qcj2uhqymvv9, f5ln82l8q7gvouj3zhsp5t4gl, 7c6034wb3zsuq9nhxxiahiuol, 7o11dzx2cccrslutrjl16ik89, 2az0f39bhz2kvxhopalzi0h5h, 3r2j2j3v6kgmauw5yv9j3x1hx, 84l7r4ud9ipuf9vc3ib5b4l0q, e8dpcth2x1y0zbaovljbgk5hx, mugwhiw6mwgjf5797wlnjzdh, 7at6knpizbafid4br861pi6zt, 3w8uk04gxlm4tj4hmsc3msmvp, arjwwth6yazptr851wu2u6e0a, 6qujoqysad60h70f3ac5n9ch6, 2es4ydlcwwasm6mu7rmey5r3e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448385345,2,32,1,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,0,0,2022-08-20T13:33:35.246Z,2022-08-21T04:10:38Z,3718436709,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448385351,2,32,1,0,0,6k5zscdm9ufw0tguvzyjlp5hq,1,0,0,2022-08-20T13:33:35.246Z,2022-08-20T13:33:38Z,3718436721,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448385403,3,1,1,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,50.2,50,2022-08-20T13:33:35.320Z,2022-08-21T04:30:05Z,3718436913,213,2.9,3718436909,141,58.1,3718436905,56,Back,3718436911,212,19.5,3722091447,178,,3718436915,279,S,3718436907,140,32.4,,,,9dnne0ny6o6d5c6w3ayoo4vvu,N. Ahamada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448385433,4,1,1,0,2,3dwlvz6cl4lcavvrg0y2dycrt,1,32.4,58.1,2022-08-20T13:33:38.190Z,2022-08-21T04:30:09Z,3718437019,141,31.0,3718437023,213,5.8,3718437015,56,Center,3722091541,178,,3718437021,212,41.5,3718437017,140,67.8,3718437025,1,,3718437013,157,,8p2yagsx6ujdbmeonkd3u4c89,H. Ito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448385451,5,61,1,0,6,3dwlvz6cl4lcavvrg0y2dycrt,1,67.8,31,2022-08-20T13:33:41.329Z,2022-08-21T04:30:20Z,3718437107,56,Center,3722091825,15,,3722091827,388,,,,,,,,,,,,,,,,,33hs47yxefec8e9ntgqgr49n9,S. Kalajdzic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449068741,1174,67,1,0,8,3dwlvz6cl4lcavvrg0y2dycrt,1,62.5,35.7,2022-08-20T13:33:43.566Z,2022-08-21T06:30:07Z,3722125047,233,774,,,,,,,,,,,,,,,,,,,,,,9dnne0ny6o6d5c6w3ayoo4vvu,N. Ahamada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2449068737,774,67,1,0,8,6k5zscdm9ufw0tguvzyjlp5hq,0,37.5,64.3,2022-08-20T13:33:43.567Z,2022-08-21T05:04:21Z,3722125055,233,1174,,,,,,,,,,,,,,,,,,,,,,ejnh215cji6xou661kiwcc91x,N. Höfler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448385459,6,1,1,0,8,3dwlvz6cl4lcavvrg0y2dycrt,0,63.1,39.4,2022-08-20T13:33:43.584Z,2022-08-21T06:30:07Z,3722092101,388,,3718437149,140,69.3,3718437155,213,0.1,3718437151,141,40.6,3718437147,56,Center,3718437153,212,6.6,,,,,,,9dnne0ny6o6d5c6w3ayoo4vvu,N. Ahamada,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
