id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/14/value,qualifier/15/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2536992635,1,34,16,0,0,f0w62l8zql3tukxsy8fqwp72x,1,0,0,2023-04-22T12:39:09.109Z,2023-04-22T13:45:32Z,4208123821,130,7,4208123819,59,"1, 2, 21, 6, 20, 31, 14, 29, 24, 23, 39, 3, 7, 8, 12, 16, 17, 27, 30, 40",4208123815,30,"1sjt0nj0232gu88x50c3d16nd, 7wm8whndx19gcpqxtw9safljp, 2ebiw2w6d76sttjh8n8871kgl, b8i5atg67th49tfd1xeh6z9hx, djpsc1fvcnrh61c071t00gmad, 6mijfayg3juwbk0u95h9gd8x6, 5cw4n6kdaa7imeyaiuo2pnq39, eg9xhi6wfp1duf01pcsn8vfmd, du9vq193cqx7gmve30eijws15, djggrnjp9s4p2mlbzhx6arbh1, bytrobr8rfp9zwbxzopr4vgno, c2bhdypnqifsl8eiovtfdmyg9, 48xfkorlx0hu677np4669wbth, 9j1fd0mz39tl1h5che3f357md, 88unrmh29io1zmqzxwjzuqtm2, drv9wksjusdgp1np315rokzit, 6q2mf0qrkt51z28b46wltxal1, 6hgj78mr8wy2i5izf8x10ij11, 9x0s8mzjc9ey0q812sn3poums, 6ufkq71qh9wrfyaez5yi94e09",4208123825,194,2ebiw2w6d76sttjh8n8871kgl,4208123823,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4208123827,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4208123817,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4208323265,197,11911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536996397,1,34,16,0,0,cu0eztmjcsbydyp53aleznorw,1,0,0,2023-04-22T12:43:03.051Z,2023-04-22T13:59:01Z,4208143425,130,12,4208143423,59,"1, 8, 3, 32, 4, 13, 10, 6, 7, 17, 36, 5, 11, 20, 21, 22, 26, 28, 30, 39",4208143427,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4208143421,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4208143431,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4208143429,194,aaoycxwi9jny6flm4apz8a2uh,4208143419,30,"expxslws50h0iw0logr02gs7p, 7k7whr0pdbw5wtk7g0cwozw0l, 8nug6t1cmn9pwhnwdf6nyhrrp, aaoycxwi9jny6flm4apz8a2uh, 2p48525x4ap9m81g6ode51cyd, 6kge6vcoa9ocnh6tb8qznfzkl, 26nfmfc8p2doisd9p8vtd33dh, 14fw7p4fzaxprndgxnx0gxgbt, 5ndmhtdu5jfgvzuddd7fu2fh1, 9i46dpapurzdzvd7nz3be7kl, ec5ng4j3rcjwsjz1v05e1z3dh, 1psr9ra8k9j4r94p1xixagzbp, cjq9g6zgcxk1ceo2xzpe1qnyt, b4q9q0qgmtz959rygieg9ln1l, 630sqbiu7utmkg8yw0h4ky8a2, d95i3fwjrk3ti4co645mde76x, eayipmdtzbmjgjouq10nqhcrt, dr0kn3srxtg7nuw99gjoim7e1, 7llxni56g8q0yt33vhp1pt3o5, 3h6q9lkwovcu4pynltgnzhy50",4208339023,197,16263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537031441,2,32,1,0,0,f0w62l8zql3tukxsy8fqwp72x,1,0,0,2023-04-22T13:30:18.840Z,2023-04-23T01:07:24Z,4208330839,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537031473,2,32,1,0,0,cu0eztmjcsbydyp53aleznorw,1,0,0,2023-04-22T13:30:18.840Z,2023-04-22T13:30:21Z,4208330983,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537031485,3,1,1,0,0,f0w62l8zql3tukxsy8fqwp72x,1,50,50,2023-04-22T13:30:18.868Z,2023-04-23T04:56:04Z,4208331069,212,14.6,4212121693,178,,4208331073,279,S,4208331065,140,36.1,4208331071,213,3.1,4208331063,56,Back,4208331067,141,51.3,,,,djggrnjp9s4p2mlbzhx6arbh1,M. Richter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537031531,4,1,1,0,2,f0w62l8zql3tukxsy8fqwp72x,0,36.6,51.3,2023-04-22T13:30:21.586Z,2023-04-23T04:56:09Z,4208331305,140,68.5,4208331303,56,Center,4212121749,178,,4208331319,1,,4208331307,141,23.0,4208331309,212,38.6,4208331301,157,,4208331313,213,5.8,6mijfayg3juwbk0u95h9gd8x6,M. Dárdai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537052397,209,44,1,0,6,f0w62l8zql3tukxsy8fqwp72x,1,71.8,23.4,2023-04-22T13:30:24.923Z,2023-04-23T06:45:41Z,4208433901,286,,4208433927,233,3,4208433899,56,Center,,,,,,,,,,,,,,,,du9vq193cqx7gmve30eijws15,J. Ngankam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537031541,3,44,1,0,6,cu0eztmjcsbydyp53aleznorw,0,28.2,76.6,2023-04-22T13:30:24.924Z,2023-04-23T04:56:14Z,4208331359,56,Back,4208331361,285,,4208433955,233,209,,,,,,,,,,,,,,,,14fw7p4fzaxprndgxnx0gxgbt,J. Stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537031539,5,1,1,0,6,f0w62l8zql3tukxsy8fqwp72x,0,68.8,23.3,2023-04-22T13:30:24.937Z,2023-04-23T06:45:41Z,4208434359,212,2.2,4208434361,213,0.1,4212121849,388,,4208434351,3,,4208434353,56,Center,4208434355,140,70.9,4208434357,141,23.5,,,,du9vq193cqx7gmve30eijws15,J. Ngankam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537107199,426,61,1,0,6,cu0eztmjcsbydyp53aleznorw,1,23.6,72.1,2023-04-22T13:30:24.996Z,2023-04-23T04:56:27Z,4208717095,56,Back,4212121905,388,,4212121903,21,,,,,,,,,,,,,,,,,14fw7p4fzaxprndgxnx0gxgbt,J. Stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
