id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/8/value,qualifier/12/value,qualifier/16/value,qualifier/11/value,qualifier/14/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2451428839,1,34,16,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2022-08-27T12:39:06.812Z,2022-08-27T13:27:27Z,3734568885,59,"27, 30, 3, 5, 42, 16, 6, 31, 9, 29, 10, 1, 4, 7, 8, 17, 19, 20, 36, 37",3734700635,197,11885,3734568883,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3734611931,194,4baqlwfu312pctopy1cx6s2c5,3734568881,30,"ci1nu5z8aiiikco8af0zk1lud, 4baqlwfu312pctopy1cx6s2c5, eh9sh9aa10zrp80l6e4l0c7h1, cjok1odm3twxo7sqye3hua6eh, ernbjicg113inzsubzrfm8fyt, bvifdvoxv9e8nq8qe37c0gvrp, az7owi5t4bclkamjsjuyxzv1l, d608s0948uh3owqee7t0en7px, dzolxp2oixtakcrqfyibpu76d, d3tfdqfnab7bqxfdh3399y06i, d9q12xp4h8nhtjxl5il3vufh1, d2gbcc336c4zatpiif4cvm2fp, 2w76r8guf9sacoriu0ivytyax, bwqqecmqm76v5b83v1cz891p1, l469vtpe0jbgg5sq1v2e67e1, 24w7jq5qou30k8f76lmr20ju2, 6u47fsriz3ejlf72hxtsew5bd, 6uurhe88nry4hyelll8ifzd91, 84uzswqtdoq56g034rg0kk16, 3n2imac1yp8jppsf36a4qg76y",3734568891,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3734568889,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3734568887,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451431921,1,34,16,0,0,7ad69ngbpjuyzv96drf8d9sn2,1,0,0,2022-08-27T12:43:46.554Z,2022-08-27T13:34:37Z,3734612205,194,cg6h7oq0b5zpx1g4brhzyk1xx,3734585027,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3734585025,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3734701361,197,16232,3734585023,130,12,3734585019,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3734585021,59,"1, 30, 5, 3, 4, 12, 25, 10, 14, 19, 8, 6, 7, 9, 11, 20, 22, 23, 24, 36",3734585017,30,"cg6h7oq0b5zpx1g4brhzyk1xx, 9qo448ueot8pfc5oqo378wag9, a41r2ob5fhirgdwxwox6nr4yx, 4foax2b7unlkev1eq6py86lii, 5ec2ede9uwbft3wby33mwowyd, djha3ac2mfhyb7oia64hq2nd, 6rg37ej1x7pwi7r4aq1107pih, 2cq6ocr7j487do4nrm3sreg9h, c0ewvrtk657uw4t5rlv87mq51, 9ydkbbygq6uocors9kcdnzbop, 4tev0kk0om8cr1xbwpt8bozit, cis0z72hgahfnfjduk7hdnz3e, 9c9v6wjh3fufmds8nm5aqfmcp, 59pu8nnghyxvvt8r3zyndpfpx, 7w63iqek6hmnizlirurla1cr9, 8wlyh0e8178je0hylqjifbkr9, aze5i6ssy55jrc8k9vhrs8o9h, e4vr28e9cbq3q5nux1jlpuuei, 3ojzrb5okc6i1jf1o7okovnjd, byk5vhf9l112i7hhy1clravp",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451454997,2,32,1,0,0,7ad69ngbpjuyzv96drf8d9sn2,1,0,0,2022-08-27T13:31:50.467Z,2022-08-27T13:31:51Z,3734708741,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451454991,2,32,1,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2022-08-27T13:31:50.467Z,2022-08-28T01:52:52Z,3734708719,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451455027,3,1,1,0,0,1c7qokc1j5z50cjj4tcu32haa,1,49.7,50.3,2022-08-27T13:31:51.010Z,2022-08-28T01:45:16Z,3734708887,279,S,3734708881,141,51.6,3734708883,212,16.5,3738395309,178,,3734708877,56,Back,3734708879,140,34.0,3734708885,213,3.1,,,,dzolxp2oixtakcrqfyibpu76d,K. Onisiwo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451455055,4,1,1,0,4,1c7qokc1j5z50cjj4tcu32haa,0,33,56.4,2022-08-27T13:31:54.851Z,2022-08-28T01:45:22Z,3734709029,1,,3734709027,213,6.0,3738395773,178,,3734709019,56,Center,3734709021,140,86.9,3734709017,157,,3734709025,212,59.7,3734709023,141,28.5,ernbjicg113inzsubzrfm8fyt,A. Hack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451455089,3,12,1,0,9,7ad69ngbpjuyzv96drf8d9sn2,1,11.7,70.4,2022-08-27T13:31:59.514Z,2022-08-28T01:46:28Z,3734709165,56,Back,3734709177,213,0.8,3734709173,141,84.0,3734709169,140,19.5,3738399287,178,,3734709175,212,12.4,,,,,,,a41r2ob5fhirgdwxwox6nr4yx,M. Bakker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451455093,4,44,1,0,11,7ad69ngbpjuyzv96drf8d9sn2,1,24.4,85.4,2022-08-27T13:32:01.950Z,2022-08-28T08:08:56Z,3734709293,233,5,3734709195,56,Back,3734709197,285,,,,,,,,,,,,,,,,,2cq6ocr7j487do4nrm3sreg9h,K. Demirbay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451455111,5,44,1,0,11,1c7qokc1j5z50cjj4tcu32haa,0,75.6,14.6,2022-08-27T13:32:01.951Z,2022-08-28T01:46:38Z,3734709321,233,4,3734709273,56,Right,3734709275,286,,,,,,,,,,,,,,,,,az7owi5t4bclkamjsjuyxzv1l,A. Stach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451455107,5,1,1,0,11,7ad69ngbpjuyzv96drf8d9sn2,0,19.1,84.8,2022-08-27T13:32:01.994Z,2022-08-28T08:08:56Z,3734709245,3,,3734709257,213,0.1,3738403131,388,,3734709251,140,21.1,3734709255,212,2.1,3734709249,56,Back,3734709247,168,,3734709253,141,85.2,2cq6ocr7j487do4nrm3sreg9h,K. Demirbay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
