id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/10/value,qualifier/9/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/13/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value
2454841017,1,34,16,0,0,cz4a6wmzx2obyisadhgaccx7b,1,0,0,2022-09-03T12:44:14.296Z,2022-09-03T13:40:12Z,3752815137,194,9xl238e13utd2ondzqi51ka1h,3752815131,130,8,3752815125,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3752815135,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3752815127,59,"13, 27, 2, 6, 5, 4, 7, 17, 9, 24, 11, 1, 3, 8, 10, 20, 29, 30, 40, 41",3752815139,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3752973537,197,6345,3752815123,30,"dvo2f7d0yosn404wsrsgeprdh, f3xm12deg7xf3g2n3yk11npat, 8kydif03gk6apce8xwl9w3ht5, dgysidzshgxqm3jegaihwi5wq, 58ixsja4yf7pskmshzo7ohwfe, 4fvtwbl1hrxgs9lg957rxladx, aahyom322jdc6f21960ycuzth, 58jjd14yvf4d6tvqcz4xo3a7e, 9xl238e13utd2ondzqi51ka1h, 7lohomjw8xbl5eymcqhrtytw5, 6b7p3ncup75mpop91n0u1mw2d, 8td0ccul6gf7r5benk1pxqrx1, 64x38pccgfsuz4ywoveh2ksbu, 8n0dskalmx94ofiq6jewa22tx, bax0ggbhejk7kpcezkyg3hai2, 1n0y675l767w55pipq5lgj1zp, 5qc0owkwmgk74qy13ft3kpg5, 9taxidttdt94nmvc3mqhqq0ut, 8czesxhh2bedy0ukqb95rk82d, w2jovd0ta6to004lvlri5gtm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454841221,1,34,16,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,0,0,2022-09-03T12:44:34.306Z,2022-09-03T13:30:58Z,3752977065,197,16195,3752816303,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3752816293,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3752816291,30,"5bzowvtg5vhntcx1w3roriehh, bibz1qxakmbflq73marmo4nop, e9u7cmvaem5p7x9px3yq9f179, 8p2yagsx6ujdbmeonkd3u4c89, 3uqn1adw8rarez1gpen9vng7p, 5l8wtw156meo2vrtrgasif6jt, 3havaatbnk8p6gc9srgajc25l, 9dnne0ny6o6d5c6w3ayoo4vvu, 80nniieqtuwjhomwjcebnxyzu, 9fd19beamnr8qmhqdvzr7fcyy, 3kti58d195gmtzwrjh5nprx05, d1gc59ozyrrnl82rog6fbm0dm, bmrdtenqr84jt4gmw6i7wez11, 9ic8hvnkzj9p0ikh6bwaeoqju, 49epln99aa2797cs2zq3al1t6, 7gzdg0j9usc3yq0dd1ad57sgl, a4p1m3cqm6z2p1bw97s6k46ad, 62gct49oglcdzxafhrfucrb2t, drilzqlcwryze12o4c9zpma96, b5mpbec03n9qatneviazigfvu",3752816301,194,3kti58d195gmtzwrjh5nprx05,3752816297,130,12,3752816299,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3752816295,59,"1, 4, 24, 21, 2, 5, 22, 32, 25, 14, 3, 8, 9, 10, 11, 15, 16, 33, 37, 39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454872025,2,32,1,0,0,cz4a6wmzx2obyisadhgaccx7b,1,0,0,2022-09-03T13:33:40.979Z,2022-09-03T13:33:44Z,3752989275,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454872005,2,32,1,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,0,0,2022-09-03T13:33:40.979Z,2022-09-04T04:44:33Z,3752989197,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454872075,3,1,1,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,49.7,50.1,2022-09-03T13:33:41.033Z,2022-09-04T04:51:16Z,3752989497,141,63.4,3752989503,279,S,3752989495,140,29.7,3752989499,212,22.9,3752989493,56,Back,3752989501,213,2.7,3756773077,178,,,,,9fd19beamnr8qmhqdvzr7fcyy,S. Katompa Mvumpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454872121,4,1,1,0,3,3dwlvz6cl4lcavvrg0y2dycrt,1,27.6,63.9,2022-09-03T13:33:43.996Z,2022-09-04T04:51:25Z,3752989743,140,65.8,3752989751,213,5.5,3756773183,178,,3752989745,141,8.9,3752989753,1,,3752989741,56,Right,3752989737,155,,3752989747,212,54.8,8p2yagsx6ujdbmeonkd3u4c89,H. Ito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454872165,5,1,1,0,6,3dwlvz6cl4lcavvrg0y2dycrt,1,65.8,8.9,2022-09-03T13:33:47.385Z,2022-09-04T04:51:34Z,3752989935,3,,3752989939,140,66.5,3752989945,213,1.5,3752989937,56,Center,3752989941,141,26.5,3752989943,212,12.0,3756773307,388,,,,,bibz1qxakmbflq73marmo4nop,J. Vagnoman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454872203,6,1,1,0,8,3dwlvz6cl4lcavvrg0y2dycrt,1,66.5,26.5,2022-09-03T13:33:49.035Z,2022-09-04T04:51:39Z,3756773369,388,,3752990115,3,,3752990121,140,76.3,3752990117,56,Center,3752990125,141,26.8,3752990131,213,0.0,3752990129,212,10.3,,,,80nniieqtuwjhomwjcebnxyzu,L. Egloff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454872221,7,1,1,0,9,3dwlvz6cl4lcavvrg0y2dycrt,1,76,27.6,2022-09-03T13:33:50.200Z,2022-09-04T04:51:47Z,3752990229,213,1.8,3752990217,56,Center,3752990225,212,14.3,3752990219,140,72.6,3752990223,141,47.9,3756773469,178,,,,,,,,3havaatbnk8p6gc9srgajc25l,C. Führich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454872227,8,61,1,0,10,3dwlvz6cl4lcavvrg0y2dycrt,0,72.6,47.9,2022-09-03T13:33:51.364Z,2022-09-04T04:53:01Z,3756774397,178,,3756774395,21,,3752990251,56,Center,,,,,,,,,,,,,,,,9fd19beamnr8qmhqdvzr7fcyy,S. Katompa Mvumpa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454872235,3,1,1,0,10,cz4a6wmzx2obyisadhgaccx7b,0,29.3,49.9,2022-09-03T13:33:51.753Z,2022-09-04T04:53:12Z,3752990277,140,27.5,3752990283,213,3.1,3752990279,141,50.1,3756774545,178,,3752990275,56,Back,3752990281,212,1.9,,,,,,,aahyom322jdc6f21960ycuzth,J. Larsson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
