id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,assist,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/13/value,qualifier/16/value,qualifier/17/value
2530187859,1,34,16,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2023-04-08T12:40:55.918Z,2023-04-08T13:43:03Z,4171990527,30,"8l1mv5qd9vwade754v3l8epjp, 9kxuwgequrilkom3ru6sdxall, emtrl7rrhp3ybsibf1f89kyj9, 1ywfkwrcysdlvkt859q00kt7t, cab22ojcuhdzdwmbtl20n8i51, 87jamhsc8ps9kh5432u36kjc9, 9qzxygb9hyzag1szans0k2jth, 24vavcwn4hco5je9kdu9ciwgl, cywgibmici8hwp1ad1nhk3ufp, 7424gvk9hiq5up61dj181y66t, 1vv29mash2uijx542ssjk666t, 3g9riero16s160evc28u3q3u1, 5pnfmmq8b8jxmp1qnf82d8out, 602fyni27c129xjs9ziyn5as5, a2l72iohmbq6rjr3rzrsvnwt1, 52t6t7cdsr0fjs9ukmwo9y7rp, dadiwuzf33969g3808sdd9brp, 7446u69ki15qcyq2jtszacm3t, bt35y17wl42b5t5tw6z68uwyy, 5xhjvappzv6swoof5qpi0yj9",4171990537,194,1vv29mash2uijx542ssjk666t,4171990533,130,12,4171990535,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171990539,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171990531,59,"1, 18, 23, 5, 31, 3, 2, 19, 27, 17, 8, 4, 11, 14, 20, 28, 32, 37, 40, 45",4171990529,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4172135105,197,16256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530188473,1,34,16,0,0,dt4pinj0vw0t0cvz7za6mhmzy,1,0,0,2023-04-08T12:41:52.875Z,2023-04-08T13:27:24Z,4171993571,30,"9rjd95oqotnalxmv56v7p1r6d, cl6720rdjeubt0bc3su0qg3qh, 6ie5meimavc8kwohr6lrdyket, 7lai6ovwsl01gonutejt4mms5, 4vy3j1o829f561jf4fqum7ob9, cd6i7khi5wgsfsg19c9tcjydx, e83ula4wockmc2xid7185kcq2, f4qcgzveslklfi8601tep77x1, cy0lv5u16obr2ne4xiins43x1, 7q96z3aaee5jyccb8pjthi8kp, ebj6t5jqzixrnww1z7qofznu2, emvi36y613e4lqlat3wfdih9l, 2nqhczrkd45rdu5fcmq1wjo45, btzfq6521zl3q5uqus8ltov6d, eguzzwxdm0fwocax6srpck48a, 4lcyjhvtwieshr4r3a6104qtx, bb6glt8n0ar47cmhmj6gnfiz9, 2jrntrq2x714pviioh3jnkted, c2mwg1uhug0pbgl72uf9b927e, 1ltc40nsr2fkx99i5hf7i3mga",4171993579,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171993575,59,"1, 26, 13, 23, 25, 15, 22, 19, 9, 21, 27, 6, 8, 11, 18, 20, 24, 33, 43, 44",4171993583,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171993573,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4172127987,197,2698,4171993581,194,cd6i7khi5wgsfsg19c9tcjydx,4171993577,130,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530214847,2,32,1,0,0,dt4pinj0vw0t0cvz7za6mhmzy,1,0,0,2023-04-08T13:30:19.828Z,2023-04-09T05:12:47Z,4172137395,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530214785,2,32,1,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2023-04-08T13:30:19.828Z,2023-04-08T13:30:20Z,4172137113,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530214875,3,1,1,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,50.2,49.9,2023-04-08T13:30:19.834Z,2023-04-09T06:34:04Z,4175426007,178,,4172137523,140,52.7,4172137527,212,3.7,4172137531,279,S,4172137521,56,Center,4172137529,213,5.5,4172137525,141,46.0,,,,1vv29mash2uijx542ssjk666t,R. Khedira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530214879,4,1,1,0,1,a8d2gb2nag8fy0itbuxmcibh2,1,53.1,43.7,2023-04-08T13:30:21.427Z,2023-04-09T06:34:41Z,4175426969,178,,4172137555,213,4.9,4172137545,140,54.6,4172137551,212,10.5,4172137549,141,28.5,4172137541,56,Center,,,,,,,cywgibmici8hwp1ad1nhk3ufp,S. Becker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530214915,5,1,1,0,3,a8d2gb2nag8fy0itbuxmcibh2,0,56,30.1,2023-04-08T13:30:23.429Z,2023-04-09T06:34:45Z,4175427711,178,,4172137727,56,Center,4172137737,1,,4172137733,212,34.6,4172137735,213,0.8,4172137731,141,65.8,4172137729,140,79.5,4172137725,155,,9kxuwgequrilkom3ru6sdxall,J. Juranović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530215821,18,44,1,0,6,dt4pinj0vw0t0cvz7za6mhmzy,1,21.2,30.6,2023-04-08T13:30:25.893Z,2023-04-09T09:38:34Z,4172141985,285,,4172141987,233,10,4172141983,56,Back,,,,,,,,,,,,,,,,cl6720rdjeubt0bc3su0qg3qh,J. Ryerson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530215373,10,44,1,0,6,a8d2gb2nag8fy0itbuxmcibh2,0,78.8,69.4,2023-04-08T13:30:25.894Z,2023-04-09T06:35:14Z,4172139877,286,,4172139873,56,Center,4172141997,233,18,,,,,,,,,,,,,,,,7424gvk9hiq5up61dj181y66t,K. Behrens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530214925,3,1,1,0,6,dt4pinj0vw0t0cvz7za6mhmzy,0,18.5,32,2023-04-08T13:30:25.913Z,2023-04-09T09:38:35Z,4175428337,388,,4172137773,3,,4172137785,212,1.1,4172137777,140,19.5,4172137789,213,0.3,4172137781,141,32.4,4172137775,56,Back,,,,cl6720rdjeubt0bc3su0qg3qh,J. Ryerson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530214931,6,61,1,0,6,a8d2gb2nag8fy0itbuxmcibh2,1,74.6,54.5,2023-04-08T13:30:25.959Z,2023-04-09T06:35:03Z,4172137805,56,Center,4175428637,388,,4175428635,15,,,,,,,,,,,,,,,,,7424gvk9hiq5up61dj181y66t,K. Behrens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530627565,1014,1,1,0,7,dt4pinj0vw0t0cvz7za6mhmzy,0,18.1,30.6,2023-04-08T13:30:26.970Z,2023-04-09T06:35:18Z,4174292709,56,Back,4174292707,157,,4174292719,1,,4174292711,140,37.0,4174292715,212,19.9,4175429273,178,,4174292713,141,29.1,4174292717,213,6.2,cl6720rdjeubt0bc3su0qg3qh,J. Ryerson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530214977,7,1,1,0,9,a8d2gb2nag8fy0itbuxmcibh2,1,58.3,64.9,2023-04-08T13:30:29.285Z,2023-04-09T06:35:24Z,4175429563,178,,4172138013,56,Center,4172138029,213,0.4,4172138021,141,78.7,4172138025,212,25.0,4172138015,140,80.4,4172138011,155,,,,,cab22ojcuhdzdwmbtl20n8i51,R. Knoche,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530214989,8,44,1,0,12,a8d2gb2nag8fy0itbuxmcibh2,1,81.2,79.1,2023-04-08T13:30:31.852Z,2023-04-09T09:38:35Z,4172138067,56,Left,4172138083,233,4,4172138069,286,,,,,,,,,,,,,,,,,emtrl7rrhp3ybsibf1f89kyj9,N. Gießelmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530214969,4,44,1,0,12,dt4pinj0vw0t0cvz7za6mhmzy,0,18.8,20.9,2023-04-08T13:30:31.853Z,2023-04-09T06:35:28Z,4172138105,233,8,4172137999,285,,4172137995,56,Back,,,,,,,,,,,,,,,,cl6720rdjeubt0bc3su0qg3qh,J. Ryerson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
