id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/10/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/17/value
2540621687,1,34,16,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2023-04-29T12:32:44.631Z,2023-04-29T13:38:55Z,4234667429,197,14121,4234434059,194,78e1qvft3ser2tyayjlmemdp1,4234434061,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4234434051,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4234434053,59,"1, 24, 36, 25, 20, 35, 17, 26, 19, 15, 27, 8, 11, 18, 21, 22, 29, 30, 40, 46",4234434055,130,17,4234434049,30,"7obuhegyo1qcoikt23egcsr85, e91s5lp3fvfaav8w8xi7wdx3p, byn8dfwg5zdefrca7wgn32qne, 3qy1qlzezgfkxeom5n1r9h13p, 8kqmsuo668wpuzoyyxf4o2vo5, bd4p670s36cp1dh4fadv84qcq, 78e1qvft3ser2tyayjlmemdp1, f5lfo1hz7u5bk494w53arcacq, 2x5f35hk2urqlgoito1vgb3yt, az15xx7m923srf9gdbwmiyga1, eqtsanns36za56h4pfqhbnh05, 7cdiijsvnfc7tafy0zkf4uz9, 9ed74dfr9aeuedaf63l0i7aei, abuvjv3bhb402yf8p92kucez9, bgtnbojs8g884mbksh6o4wu6t, 7gni45coa4swn1i66wzpzug9h, 5ph2ln91ycq1qlq03cnqqs9re, 42eyoeidtcnf2l4eag73qp36y, f2ibn3ej2doay3b4u8ezeix62, 9j74va6ftcr9g3nan4b86l1t6",4234434057,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540623741,1,34,16,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,0,0,2023-04-29T12:35:31.816Z,2023-04-29T13:27:03Z,4234443873,130,2,4234443875,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4234443869,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4234671081,197,16364,4234443877,194,tedxo29s8xx0a71z6sidw7v9,4234443879,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4234443871,59,"40, 3, 8, 27, 6, 19, 10, 13, 9, 7, 16, 2, 14, 23, 25, 30, 34, 38, 45, 48",4234443867,30,"840353qq4b6ufh0hhm9o0n45x, egmcpa7j5clzga5m0zvg2f105, bfdtduknquzhr2br7ahlgvvo4, b6woton2db3w4rm67vu69buy2, tedxo29s8xx0a71z6sidw7v9, 3j2pv0methgc8k8rtqbi079p1, 3er9krmf0k6dhv6f9ltztfend, 4kolmisdpprx0wrahisadl5n9, avk9yje6h4nndg3cufnbu2imt, 1ic5mnwhm510mptrxz04zmtm2, 4zrut521fzw9fddqt74pnl756, 5arng6g4ietx2jwgcd2kpqdpl, aybzlrbkvnobkazjsmox975jp, bs6f5ag1f47ropxefrybtaktl, 19i0qsgzkuzg3b19zogzh7o16, 5q3ft0wiy6lsy937j7nw6msq1, 3jqxaa2l6gqwxl2mr8w0yiiy2, 6xjbcik3a56d0vqy4vrq5eokp, 1ie7ml2v6772ek2u8q7wl1awa, 8b40ap862z6ynvmgah0vjces5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540670253,2,32,1,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2023-04-29T13:30:47.192Z,2023-04-30T04:20:14Z,4234685359,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540670235,2,32,1,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,0,0,2023-04-29T13:30:47.192Z,2023-04-29T13:30:51Z,4234685291,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540670311,3,1,1,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,49.4,49.7,2023-04-29T13:30:47.195Z,2023-04-30T05:06:22Z,4234685609,140,34.0,4234685617,279,S,4234685613,212,16.7,4234685615,213,2.9,4238624313,178,,4234685607,56,Back,4234685611,141,55.9,,,,4kolmisdpprx0wrahisadl5n9,E. Rexhbeçaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540670371,4,1,1,0,2,ex3psl8e3ajeypwjy4xfltpx6,1,31.3,55.2,2023-04-29T13:30:49.870Z,2023-04-30T05:06:30Z,4234686011,212,49.4,4234685995,155,,4234686005,141,16.4,4234685997,56,Right,4234686015,1,,4234686013,213,5.7,4238624467,178,,4234686001,140,71.1,3j2pv0methgc8k8rtqbi079p1,F. Uduokhai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540670385,5,44,1,0,6,ex3psl8e3ajeypwjy4xfltpx6,1,72,19.2,2023-04-29T13:30:53.314Z,2023-04-30T09:47:56Z,4234686093,233,3,4234686075,56,Right,4234686077,286,,,,,,,,,,,,,,,,,1ic5mnwhm510mptrxz04zmtm2,D. Beljo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540670363,3,44,1,0,6,c5hderjlkcoaze51e5wgvptk,0,28,80.8,2023-04-29T13:30:53.315Z,2023-04-30T05:06:37Z,4234685961,285,,4234685959,56,Back,4234686127,233,5,,,,,,,,,,,,,,,,byn8dfwg5zdefrca7wgn32qne,A. Knauff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540670413,6,1,1,0,6,ex3psl8e3ajeypwjy4xfltpx6,1,71.1,16.4,2023-04-29T13:30:53.382Z,2023-04-30T09:47:56Z,4234686213,212,7.7,4234686211,141,27.5,4234686207,56,Center,4234686205,3,,4238624615,388,,4234686215,213,1.4,4234686209,140,72.7,,,,1ic5mnwhm510mptrxz04zmtm2,D. Beljo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540670417,7,61,1,0,7,ex3psl8e3ajeypwjy4xfltpx6,0,72.7,27.5,2023-04-29T13:30:55.006Z,2023-04-30T05:06:58Z,4238624851,178,,4234686241,56,Center,,,,,,,,,,,,,,,,,,,avk9yje6h4nndg3cufnbu2imt,E. Demirović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
