id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/9/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/15/value,keyPass,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2445228673,1,34,16,0,0,f0w62l8zql3tukxsy8fqwp72x,1,0,0,2022-08-13T12:34:39.462Z,2022-08-13T12:34:39Z,3701679233,194,eg9xhi6wfp1duf01pcsn8vfmd,3701679223,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3701679227,130,4,3701679221,30,"1sjt0nj0232gu88x50c3d16nd, drv9wksjusdgp1np315rokzit, 6q2mf0qrkt51z28b46wltxal1, ce2pidh4dpd1ccozn2lm3qtw5, 1zo6iikznwkd2vuhqykt7jw7p, djpsc1fvcnrh61c071t00gmad, eg9xhi6wfp1duf01pcsn8vfmd, 9j1fd0mz39tl1h5che3f357md, cfdgq8thcoghlh5d0s0pzb1sl, 5cw4n6kdaa7imeyaiuo2pnq39, 6ufkq71qh9wrfyaez5yi94e09, b2oa5dzw40auj5cgxfrp4b4r9, 7wm8whndx19gcpqxtw9safljp, 5ir834cntiq4qhlw8dqi6rowl, 6yc09eth94qsachf595dyx6fp, 88unrmh29io1zmqzxwjzuqtm2, a7x5shoc3g4ne9has4hys20ut, 6hgj78mr8wy2i5izf8x10ij11, 6mijfayg3juwbk0u95h9gd8x6, bytrobr8rfp9zwbxzopr4vgno",3701679225,59,"1, 16, 17, 34, 5, 20, 29, 8, 18, 14, 40, 10, 2, 6, 7, 12, 19, 27, 31, 39",3701679241,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3701679239,197,11911,3701679229,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445230239,1,34,16,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2022-08-13T12:36:45.318Z,2022-08-13T13:28:38Z,3701824597,197,16306,3701687125,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3701687117,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3701700555,194,7obuhegyo1qcoikt23egcsr85,3701687123,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3701687119,59,"1, 36, 25, 2, 35, 18, 15, 8, 21, 9, 27, 5, 6, 11, 17, 19, 20, 22, 29, 40",3701687115,30,"7obuhegyo1qcoikt23egcsr85, byn8dfwg5zdefrca7wgn32qne, 3qy1qlzezgfkxeom5n1r9h13p, efzokrggje7s9wc6hg75yc6ax, bd4p670s36cp1dh4fadv84qcq, abuvjv3bhb402yf8p92kucez9, az15xx7m923srf9gdbwmiyga1, 7cdiijsvnfc7tafy0zkf4uz9, bgtnbojs8g884mbksh6o4wu6t, g3fgd752o63acmmuahdvppm1, eqtsanns36za56h4pfqhbnh05, 7iqt50eaixxatz08dh54p81gq, a3ib09ji7qsz6cgj3vmz5qort, 9ed74dfr9aeuedaf63l0i7aei, 78e1qvft3ser2tyayjlmemdp1, 2x5f35hk2urqlgoito1vgb3yt, 8kqmsuo668wpuzoyyxf4o2vo5, 7gni45coa4swn1i66wzpzug9h, 5ph2ln91ycq1qlq03cnqqs9re, f2ibn3ej2doay3b4u8ezeix62",3701687121,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445257877,2,32,1,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2022-08-13T13:31:10.944Z,2022-08-13T13:31:11Z,3701829175,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445257899,2,32,1,0,0,f0w62l8zql3tukxsy8fqwp72x,1,0,0,2022-08-13T13:31:10.944Z,2022-08-13T23:10:35Z,3701829259,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445257923,3,1,1,0,0,c5hderjlkcoaze51e5wgvptk,1,49.9,50.1,2022-08-13T13:31:11.116Z,2022-08-14T00:58:59Z,3701829383,213,3.2,3701829375,56,Back,3701829381,212,20.4,3701829379,141,47.0,3701829377,140,30.6,3704952915,178,,3701829385,279,S,,,,bgtnbojs8g884mbksh6o4wu6t,L. Alario,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445257949,4,1,1,0,3,c5hderjlkcoaze51e5wgvptk,0,30.6,47,2022-08-13T13:31:14.103Z,2022-08-14T00:59:21Z,3701829531,56,Center,3701829537,212,41.4,3701829533,140,69.9,3701829529,157,,3701829539,213,0.1,3704954323,178,,3701829535,141,51.3,3701829541,1,,bd4p670s36cp1dh4fadv84qcq,Tuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445257963,3,44,1,0,6,f0w62l8zql3tukxsy8fqwp72x,1,29.4,53.1,2022-08-13T13:31:17.015Z,2022-08-14T10:46:07Z,3701829601,56,Back,3701829603,285,,3701829677,233,5,,,,,,,,,,,,,,,,djpsc1fvcnrh61c071t00gmad,M. Kempf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445257961,5,44,1,0,6,c5hderjlkcoaze51e5wgvptk,0,70.6,46.9,2022-08-13T13:31:17.016Z,2022-08-14T00:59:26Z,3701829695,233,3,3701829597,56,Center,3701829599,286,,,,,,,,,,,,,,,,,g3fgd752o63acmmuahdvppm1,R. Kolo Muani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445257977,4,1,1,0,6,f0w62l8zql3tukxsy8fqwp72x,0,28.5,53.8,2022-08-13T13:31:17.131Z,2022-08-14T10:46:08Z,3701829661,140,30.2,3701829657,3,,3701829663,141,53.2,3701829667,213,6.1,3701829659,56,Back,3704954765,388,,3701829665,212,1.8,,,,djpsc1fvcnrh61c071t00gmad,M. Kempf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445257981,6,61,1,0,6,c5hderjlkcoaze51e5wgvptk,1,69.9,51.8,2022-08-13T13:31:17.157Z,2022-08-14T00:59:39Z,3704955583,178,,3701829671,56,Center,,,,,,,,,,,,,,,,,,,g3fgd752o63acmmuahdvppm1,R. Kolo Muani,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
