id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/13/value,qualifier/9/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/17/value,qualifier/15/value
2448362525,1,34,16,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,0,0,2022-08-20T12:45:27.901Z,2022-08-22T13:24:28Z,3718425623,197,16596,3718324085,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3718324087,59,"1, 3, 22, 19, 6, 23, 8, 13, 9, 10, 24, 14, 7, 16, 18, 20, 21, 25, 28, 32",3718324083,30,"61xxo4zsk6hby0swa756l3wlx, egmcpa7j5clzga5m0zvg2f105, 4gmknefwu0tt33z88tu75xmg9, 3j2pv0methgc8k8rtqbi079p1, tedxo29s8xx0a71z6sidw7v9, bs6f5ag1f47ropxefrybtaktl, 8ls8npa774mbrxje10ff46sb9, 4kolmisdpprx0wrahisadl5n9, avk9yje6h4nndg3cufnbu2imt, 3er9krmf0k6dhv6f9ltztfend, 9bzlvn0twr2b5z30k30gugw5x, aybzlrbkvnobkazjsmox975jp, 48xfkorlx0hu677np4669wbth, 4zrut521fzw9fddqt74pnl756, emglxnqrlqskt8krglv7sziwa, d8h5ge9ust20o7us968acnsnp, 3abavmbqh6vt0xgcx6zo4mgru, 19i0qsgzkuzg3b19zogzh7o16, yxuavigqlnnigve5ki4tfemt, 89hc9e27swp796vy7yvylg3x1",3718324089,130,17,3718324091,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3718324093,194,tedxo29s8xx0a71z6sidw7v9,3718324095,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448362583,1,34,16,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2022-08-20T12:45:32.426Z,2022-08-20T13:32:26Z,3718324305,59,"27, 30, 3, 5, 42, 16, 6, 10, 9, 29, 31, 1, 7, 8, 11, 17, 19, 20, 36, 37",3718324307,130,12,3718324313,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3718324309,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3718324303,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3718324301,30,"ci1nu5z8aiiikco8af0zk1lud, 4baqlwfu312pctopy1cx6s2c5, eh9sh9aa10zrp80l6e4l0c7h1, cjok1odm3twxo7sqye3hua6eh, ernbjicg113inzsubzrfm8fyt, bvifdvoxv9e8nq8qe37c0gvrp, az7owi5t4bclkamjsjuyxzv1l, d9q12xp4h8nhtjxl5il3vufh1, dzolxp2oixtakcrqfyibpu76d, d3tfdqfnab7bqxfdh3399y06i, d608s0948uh3owqee7t0en7px, d2gbcc336c4zatpiif4cvm2fp, bwqqecmqm76v5b83v1cz891p1, l469vtpe0jbgg5sq1v2e67e1, 4rgz5z372h6sbwhpxl69cb6c5, 24w7jq5qou30k8f76lmr20ju2, 6u47fsriz3ejlf72hxtsew5bd, 6uurhe88nry4hyelll8ifzd91, 84uzswqtdoq56g034rg0kk16, 3n2imac1yp8jppsf36a4qg76y",3718433181,197,16598,3718324311,194,4baqlwfu312pctopy1cx6s2c5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448384069,2,32,1,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,0,0,2022-08-20T13:31:14.232Z,2022-08-20T22:26:28Z,3718430647,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448383917,2,32,1,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2022-08-20T13:31:14.232Z,2022-08-20T13:31:14Z,3718429919,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448383949,3,1,1,0,0,1c7qokc1j5z50cjj4tcu32haa,1,49.8,49.1,2022-08-20T13:31:14.296Z,2022-08-20T22:40:07Z,3718430083,279,S,3718430077,141,49.2,3718430075,140,31.9,3718430073,56,Back,3718430079,212,18.8,3718430081,213,3.1,3721047677,178,,,,,dzolxp2oixtakcrqfyibpu76d,K. Onisiwo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448492835,534,43,1,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,0,0,2022-08-20T13:31:14.332Z,2022-08-20T14:47:14Z,3718990871,213,3.2,3718990865,141,49.4,3718990867,212,12.2,3718990855,152,0,3718992123,144,1,3718990857,56,Back,3718990861,140,38.3,3718990853,5,0,3er9krmf0k6dhv6f9ltztfend,A. Maier,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448493297,535,43,1,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,0,0,2022-08-20T13:31:14.332Z,2022-08-20T14:47:40Z,3718994319,279,G,3718993341,141,50.9,3718993333,5,0,3718993343,212,16.6,3718993339,140,34.3,3718993337,56,Back,3718993345,213,3.1,3718995933,144,1,3er9krmf0k6dhv6f9ltztfend,A. Maier,3718993335,152,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448383965,4,1,1,0,3,1c7qokc1j5z50cjj4tcu32haa,1,30.7,52.7,2022-08-20T13:31:17.421Z,2022-08-20T22:40:11Z,3718430181,141,79.5,3718430183,212,18.2,3721047771,178,,3718430177,56,Back,3718430185,213,1.6,3718430179,140,30.7,,,,,,,ernbjicg113inzsubzrfm8fyt,A. Hack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448384001,5,1,1,0,5,1c7qokc1j5z50cjj4tcu32haa,0,34.9,86.3,2022-08-20T13:31:19.793Z,2022-08-20T22:40:15Z,3718430371,155,,3721047923,178,,3718430381,212,44.6,3718430377,141,82.7,3718430375,140,77.3,3718430389,1,,3718430387,213,6.2,3718430373,56,Left,cjok1odm3twxo7sqye3hua6eh,M. Leitsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448384087,3,1,1,0,9,ex3psl8e3ajeypwjy4xfltpx6,0,21.4,7.7,2022-08-20T13:31:24.040Z,2022-08-20T22:40:21Z,3718430731,212,7.0,3721048089,388,,3718430727,140,27.7,3718430725,56,Back,3718430723,3,,3718430733,213,5.9,3718430729,141,4.3,,,,tedxo29s8xx0a71z6sidw7v9,J. Gouweleeuw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
