id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2502001673,1,34,16,0,0,8q1ul09cygzswb7tb456bmifv,1,0,0,2023-01-29T13:47:51.621Z,2023-01-29T13:47:51Z,4002171357,197,16228,4002171345,30,"4zfgh6wq7svx418tzwf0gfavp, 38knnji3m4qg6pqohph35n74l, 21vfv10e7fh6b2xtcu55ihn11, ojqb7kv87o0cidbckgtg1rdh, 3tdsezcgdlm4laybvh4u49cr9, mgwgcv336wb93xvv0pfr6dih, bkonv3y0vn24mpn6j8abjtux, 2hb1dyg1auzdfbi3lg9ysap9m, cnf7quyillyf560nh14taliw9, 6yc09eth94qsachf595dyx6fp, 55z0yap5tml66nes2cchg7ahh, 224uan6ugjt7b2c1zsxrs2pcl, 8w5vjfl9ntyyxzyn2lo8k4dpm, 3saz8njlttx2i4ospcwmmaqga, 89s9fm31pcfq7l28kc2kad4kq, 6dzx3oyd42ql69tqxqvg8mpxx, 8n4b6j21nxf1nf628ugg3xsdl, 8mmecefcbz8wu4jcqqywps5p1, pjbuqt8wiwm2ql2tfvvcn59m, 7rltyxkrvvfg7q1hppl631soa",4002171359,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002171347,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4002171353,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002171349,59,"20, 2, 14, 28, 4, 24, 7, 47, 37, 27, 11, 1, 5, 6, 8, 17, 21, 23, 25, 29",4002171355,194,21vfv10e7fh6b2xtcu55ihn11,4002171351,130,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502002039,1,34,16,0,0,cz4a6wmzx2obyisadhgaccx7b,1,0,0,2023-01-29T13:48:20.930Z,2023-01-29T15:33:06Z,4002173155,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002173153,130,8,4002173149,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4002173147,30,"8td0ccul6gf7r5benk1pxqrx1, f3xm12deg7xf3g2n3yk11npat, 6oaqk4pdojnlefa3zubsysmvp, dgysidzshgxqm3jegaihwi5wq, 4fvtwbl1hrxgs9lg957rxladx, bm5w5xsbbflm26pdhmejwgvs9, e1wv1pujaj9nf92pgs7sm1wtm, 8n0dskalmx94ofiq6jewa22tx, 9xl238e13utd2ondzqi51ka1h, 6b7p3ncup75mpop91n0u1mw2d, 8prrhz0d1i4vxkhgro8p42bxl, ex7y8oe78ewwmibz41qbmwhxx, bax0ggbhejk7kpcezkyg3hai2, dvo2f7d0yosn404wsrsgeprdh, 2rsdnuf5kuu8kxybsjq7ogbje, 7lohomjw8xbl5eymcqhrtytw5, 9taxidttdt94nmvc3mqhqq0ut, bjjll8tgbxink1ly3gmw5w4ph, 58c19piq01hbllnokygtm5l91, w2jovd0ta6to004lvlri5gtm",4002381105,194,8n0dskalmx94ofiq6jewa22tx,4002173151,59,"1, 27, 18, 6, 4, 25, 38, 8, 9, 11, 20, 26, 10, 13, 23, 24, 30, 35, 37, 41",4002173157,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4002176657,197,6345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502046421,2,32,1,0,0,8q1ul09cygzswb7tb456bmifv,1,0,0,2023-01-29T14:30:42.629Z,2023-01-29T14:30:42Z,4002389951,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502046437,2,32,1,0,0,cz4a6wmzx2obyisadhgaccx7b,1,0,0,2023-01-29T14:30:42.629Z,2023-01-29T22:20:22Z,4002390021,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502046493,3,1,1,0,0,8q1ul09cygzswb7tb456bmifv,1,50.2,50.2,2023-01-29T14:30:42.639Z,2023-01-30T04:11:28Z,4002390319,213,3.2,4002390317,212,21.7,4002390321,279,S,4002390311,56,Back,4002390313,140,29.6,4004014039,178,,4002390315,141,48.2,,,,2hb1dyg1auzdfbi3lg9ysap9m,M. Olesen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502046529,4,1,1,0,3,8q1ul09cygzswb7tb456bmifv,1,29.6,48.2,2023-01-29T14:30:45.856Z,2023-01-30T04:11:38Z,4002390461,141,29.6,4002390463,212,13.9,4002390465,213,5.1,4002390459,140,35.2,4004014133,178,,4002390457,56,Back,,,,,,,mgwgcv336wb93xvv0pfr6dih,J. Chabot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502046559,5,1,1,0,5,8q1ul09cygzswb7tb456bmifv,1,35.2,29.6,2023-01-29T14:30:48.236Z,2023-01-30T04:11:50Z,4004014237,178,,4002390619,213,1.8,4002390609,56,Back,4002390615,212,13.6,4002390613,141,49.0,4002390611,140,32.0,,,,,,,3tdsezcgdlm4laybvh4u49cr9,T. Hübers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502046601,6,1,1,0,8,8q1ul09cygzswb7tb456bmifv,0,35.8,51.1,2023-01-29T14:30:51.160Z,2023-01-30T04:11:59Z,4002390845,56,Right,4002390859,1,,4002390843,155,,4002390857,213,5.8,4004014339,178,,4002390853,212,47.4,4002390849,141,19.7,4002390847,140,76.1,mgwgcv336wb93xvv0pfr6dih,J. Chabot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502046625,3,1,1,0,10,cz4a6wmzx2obyisadhgaccx7b,1,22.9,77.3,2023-01-29T14:30:53.163Z,2023-01-30T04:12:16Z,4004014507,388,,4002390959,140,28.1,4002390957,56,Back,4002390965,213,5.8,4002390963,212,6.1,4002390961,141,73.4,4002390955,3,,,,,6oaqk4pdojnlefa3zubsysmvp,J. Uronen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2502046639,4,1,1,0,12,cz4a6wmzx2obyisadhgaccx7b,0,26.5,75.4,2023-01-29T14:30:55.123Z,2023-01-30T04:12:46Z,4002391019,141,68.4,4002391017,140,37.7,4002391015,56,Back,4002391023,213,5.9,4002391013,3,,4004014821,178,,4002391021,212,12.7,,,,dgysidzshgxqm3jegaihwi5wq,T. Krauß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
