id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/8/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/10/value,qualifier/11/value,qualifier/15/value,assist,qualifier/13/value,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId
2512886961,1,34,16,0,0,apoawtpvac4zqlancmvw4nk4o,1,0,0,2023-02-26T15:26:40.373Z,2023-02-26T16:29:03Z,4059733829,197,2699,4059466887,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4059466885,30,"bagn0ce4xunsiz3mezrtqx1p1, 4skrm2y64va3y5jk70gz4ylpm, 582uvj0i3dvm0zwbou9q68pgp, 4w4ldzomkj7fhrc51iimz8no5, yq0cm7vwr0tkv7nvt9vo77bp, 10zt8rbgbmyqxr1m13wm5gfs9, 1u1u438ql6xrordkb65wsxo7p, 97nv3y9z2ajz6b4ynoo0jn3kl, e5mjphb52suw89189nyca72z9, 4fq74wp7xzwm214veuxqpdz9x, bhsdzppop8jwjsxwftizot1t6, 4ysxvym6ww4f9d3hflkqsbf11, 4603xrdk721lqhd1ejn62x5n9, cotiiu6mjkfx5xa63nhfbdf4l, csnsu3jg12e3ridlmteuyrbp, 29pq64smaxdwlraopnxoleqxh, 3kx4mltrob4yta5g6kr2u8ic5, br2uswvdgoj7ndkx7mnbwgyd, 5ga7g20wsa7oqjbh4ijoeknl6, cv1d56d42wujfuc4kt6bn53x0",4059466895,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4059733827,194,4fq74wp7xzwm214veuxqpdz9x,4059466891,130,8,4059466889,59,"27, 44, 19, 8, 5, 4, 11, 6, 13, 25, 42, 7, 10, 17, 20, 22, 23, 26, 38, 39",4059466893,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512901897,1,34,16,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2023-02-26T15:42:03.367Z,2023-02-26T16:29:15Z,4059547631,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4059734487,197,16257,4059547627,130,12,4059547623,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4059547629,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4059547621,30,"8l1mv5qd9vwade754v3l8epjp, 52t6t7cdsr0fjs9ukmwo9y7rp, 40rzvcdss138e6futx3bht3o5, 3g9riero16s160evc28u3q3u1, cab22ojcuhdzdwmbtl20n8i51, 1ywfkwrcysdlvkt859q00kt7t, a2l72iohmbq6rjr3rzrsvnwt1, 9qzxygb9hyzag1szans0k2jth, 5xhjvappzv6swoof5qpi0yj9, cywgibmici8hwp1ad1nhk3ufp, 1vv29mash2uijx542ssjk666t, 87jamhsc8ps9kh5432u36kjc9, 5pnfmmq8b8jxmp1qnf82d8out, 602fyni27c129xjs9ziyn5as5, 7424gvk9hiq5up61dj181y66t, 9kxuwgequrilkom3ru6sdxall, 24vavcwn4hco5je9kdu9ciwgl, emtrl7rrhp3ybsibf1f89kyj9, 7446u69ki15qcyq2jtszacm3t, bt35y17wl42b5t5tw6z68uwyy",4059734485,194,52t6t7cdsr0fjs9ukmwo9y7rp,4059547625,59,"1, 28, 26, 4, 31, 5, 20, 2, 45, 27, 8, 3, 11, 14, 17, 18, 19, 23, 37, 40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512937631,2,32,1,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2023-02-26T16:30:22.553Z,2023-02-26T16:30:22Z,4059739479,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512937643,2,32,1,0,0,apoawtpvac4zqlancmvw4nk4o,1,0,0,2023-02-26T16:30:22.553Z,2023-02-27T05:35:43Z,4059739561,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512937681,3,1,1,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,50,50,2023-02-26T16:30:22.576Z,2023-02-27T07:00:08Z,4059739791,213,3.3,4059739783,56,Back,4059739793,279,S,4059739789,212,20.1,4059739785,140,31.1,4061344267,178,,4059739787,141,45.4,,,,9qzxygb9hyzag1szans0k2jth,M. Thorsby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512937741,4,1,1,0,3,a8d2gb2nag8fy0itbuxmcibh2,0,33,48.8,2023-02-26T16:30:26.207Z,2023-02-27T07:11:42Z,4059740125,155,,4059740129,140,86.4,4059740137,213,0.5,4059740141,1,,4059740127,56,Left,4061355795,178,,4059740131,141,98.4,4059740133,212,65.4,1ywfkwrcysdlvkt859q00kt7t,D. Doekhi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512937733,3,49,1,0,7,apoawtpvac4zqlancmvw4nk4o,1,13.3,6,2023-02-26T16:30:30.547Z,2023-02-27T07:11:59Z,,,,,,,,,,,,,,,,,,,,,,,,,4skrm2y64va3y5jk70gz4ylpm,J. Stanišić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512937777,4,1,1,0,9,apoawtpvac4zqlancmvw4nk4o,0,12.2,5.7,2023-02-26T16:30:31.705Z,2023-02-27T07:12:03Z,4059740317,157,,4059740327,213,6.3,4061356181,178,,4059740321,140,39.7,4059740319,56,Back,4059740323,141,4.8,4059740329,1,,4059740325,212,28.9,4skrm2y64va3y5jk70gz4ylpm,J. Stanišić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512937799,5,1,1,0,11,a8d2gb2nag8fy0itbuxmcibh2,1,61,95.4,2023-02-26T16:30:33.738Z,2023-02-27T07:12:12Z,4061356307,178,,4059740447,141,96.9,4059740453,213,0.1,4059740451,212,12.0,4059740441,56,Left,4059740443,140,72.4,,,,,,,3g9riero16s160evc28u3q3u1,Diogo Leite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2512937813,6,49,1,0,12,a8d2gb2nag8fy0itbuxmcibh2,1,73.9,95.3,2023-02-26T16:30:34.780Z,2023-02-27T07:12:20Z,,,,,,,,,,,,,,,,,,,,,,,,,40rzvcdss138e6futx3bht3o5,J. Roussillon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
