id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/9/value,keyPass,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/11/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2530184031,1,34,16,0,0,apoawtpvac4zqlancmvw4nk4o,1,0,0,2023-04-08T12:33:55.904Z,2023-04-08T16:00:28Z,4171971627,30,"bagn0ce4xunsiz3mezrtqx1p1, 29pq64smaxdwlraopnxoleqxh, 582uvj0i3dvm0zwbou9q68pgp, 97nv3y9z2ajz6b4ynoo0jn3kl, yq0cm7vwr0tkv7nvt9vo77bp, 10zt8rbgbmyqxr1m13wm5gfs9, 4603xrdk721lqhd1ejn62x5n9, 4fq74wp7xzwm214veuxqpdz9x, 4ysxvym6ww4f9d3hflkqsbf11, bhsdzppop8jwjsxwftizot1t6, cotiiu6mjkfx5xa63nhfbdf4l, 4w4ldzomkj7fhrc51iimz8no5, 1u1u438ql6xrordkb65wsxo7p, csnsu3jg12e3ridlmteuyrbp, 3kx4mltrob4yta5g6kr2u8ic5, br2uswvdgoj7ndkx7mnbwgyd, 5ga7g20wsa7oqjbh4ijoeknl6, 7vhnftizqlyu31st2vsmgh6tx, 4skrm2y64va3y5jk70gz4ylpm",4171971629,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",4171971631,59,"27, 22, 19, 6, 5, 4, 10, 25, 7, 42, 17, 8, 11, 20, 23, 26, 38, 40, 44",4171971637,194,4fq74wp7xzwm214veuxqpdz9x,4171971633,130,7,4172132541,197,11871,4171971639,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171971635,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530184303,1,34,16,0,0,6k5zscdm9ufw0tguvzyjlp5hq,1,0,0,2023-04-08T12:34:33.280Z,2023-04-08T13:38:26Z,4171973069,194,b7ve7k983eaewnupejiow3jdh,4171973065,130,15,4171973067,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171973063,59,"26, 25, 30, 8, 28, 5, 42, 27, 9, 38, 32, 1, 3, 7, 17, 18, 22, 23, 29, 33",4171973061,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4171973059,30,"920yurg08gqayxwc80q9f8ixh, d36na8jr6xcc8eronhy8mcz1m, b7ve7k983eaewnupejiow3jdh, f5ln82l8q7gvouj3zhsp5t4gl, 84mp3eqt1ckw107hwxpby9cd1, e8dpcth2x1y0zbaovljbgk5hx, 7o11dzx2cccrslutrjl16ik89, ejnh215cji6xou661kiwcc91x, bsyv3fmihshve4jcr11qmtmfp, 7c6034wb3zsuq9nhxxiahiuol, 2az0f39bhz2kvxhopalzi0h5h, 3r2j2j3v6kgmauw5yv9j3x1hx, 6o2v57d92t1mejod24gmufcut, r4grdzsip637zvi2uu3nl979, 2jk8zu0m0tf7if0pyrkbo82xh, 3w8uk04gxlm4tj4hmsc3msmvp, dglkt5h4m18p1qcj2uhqymvv9, bh5gxk1kd65fnph0s6kgxt8q2, arjwwth6yazptr851wu2u6e0a, 2es4ydlcwwasm6mu7rmey5r3e",4172172141,197,16671,4171973071,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530214743,2,32,1,0,0,apoawtpvac4zqlancmvw4nk4o,1,0,0,2023-04-08T13:30:14.962Z,2023-04-08T13:30:15Z,4172136921,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530214755,2,32,1,0,0,6k5zscdm9ufw0tguvzyjlp5hq,1,0,0,2023-04-08T13:30:14.962Z,2023-04-09T05:18:22Z,4172136963,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530214867,3,1,1,0,0,apoawtpvac4zqlancmvw4nk4o,1,49.9,50,2023-04-08T13:30:14.984Z,2023-04-09T07:08:59Z,4172137485,212,21.5,4172137489,279,S,4172137479,56,Back,4172137483,141,63.6,4175507973,178,,4172137487,213,2.7,4172137481,140,31.4,,,,4ysxvym6ww4f9d3hflkqsbf11,S. Gnabry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530214871,4,1,1,0,2,apoawtpvac4zqlancmvw4nk4o,0,31.4,63.6,2023-04-08T13:30:17.942Z,2023-04-09T07:09:02Z,4172137495,56,Center,4172137499,141,21.6,4172137493,155,,4172137497,140,57.9,4172137501,212,39.9,4172137503,213,5.5,4175508067,178,,4172137505,1,,10zt8rbgbmyqxr1m13wm5gfs9,M. de Ligt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530214881,3,1,1,0,6,6k5zscdm9ufw0tguvzyjlp5hq,0,35.4,75.5,2023-04-08T13:30:21.072Z,2023-04-09T07:09:07Z,4172137565,140,46.6,4172137569,212,11.8,4175508287,388,,4172137567,141,74.0,4172137563,56,Back,4172137561,3,,4172137571,213,6.2,,,,2az0f39bhz2kvxhopalzi0h5h,V. Grifo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530214905,5,1,1,0,8,apoawtpvac4zqlancmvw4nk4o,1,41.2,21.8,2023-04-08T13:30:23.067Z,2023-04-09T07:09:28Z,4175509167,178,,4172137675,140,43.8,4172137679,212,9.1,4172137671,3,,4172137673,56,Back,4172137677,141,9.1,4172137681,213,5.0,,,,yq0cm7vwr0tkv7nvt9vo77bp,B. Pavard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530214987,6,1,1,0,9,apoawtpvac4zqlancmvw4nk4o,1,42.9,9.5,2023-04-08T13:30:24.302Z,2023-04-09T07:09:36Z,4172138061,212,22.2,4172138063,213,2.4,4172138059,141,32.1,4172138055,56,Back,4172138057,140,27.7,4175509495,178,,,,,,,,29pq64smaxdwlraopnxoleqxh,João Cancelo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530215027,7,1,1,0,17,apoawtpvac4zqlancmvw4nk4o,1,32,39.2,2023-04-08T13:30:32.802Z,2023-04-09T07:09:41Z,4175509733,178,,4172138281,140,32.8,4172138287,213,1.5,4172138283,141,63.6,4172138279,56,Back,4172138285,212,16.6,,,,,,,yq0cm7vwr0tkv7nvt9vo77bp,B. Pavard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
