id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,keyPass,assist,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2515895103,1,34,16,0,0,7ad69ngbpjuyzv96drf8d9sn2,1,0,0,2023-03-05T13:40:45.614Z,2023-03-05T15:03:52Z,4075369293,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4075369291,30,"cg6h7oq0b5zpx1g4brhzyk1xx, 9qo448ueot8pfc5oqo378wag9, 4foax2b7unlkev1eq6py86lii, djha3ac2mfhyb7oia64hq2nd, 5ec2ede9uwbft3wby33mwowyd, cis0z72hgahfnfjduk7hdnz3e, 6rg37ej1x7pwi7r4aq1107pih, 4tev0kk0om8cr1xbwpt8bozit, 59pu8nnghyxvvt8r3zyndpfpx, 9ydkbbygq6uocors9kcdnzbop, 2k5g68ywtr79lc45wozvifqlm, 2cq6ocr7j487do4nrm3sreg9h, 7w63iqek6hmnizlirurla1cr9, c0ewvrtk657uw4t5rlv87mq51, 7y6f63pj7horkzhdzbge02rqh, 8mcf8c8ht32as6xxrf1gb51m2, aze5i6ssy55jrc8k9vhrs8o9h, e4vr28e9cbq3q5nux1jlpuuei, 3ojzrb5okc6i1jf1o7okovnjd, 4ilnnpfgjfz35lni9ppzd93v9",4075369299,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075876985,197,11890,4075369303,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075369297,130,17,4075369295,59,"1, 30, 3, 12, 4, 6, 25, 8, 9, 19, 27, 10, 11, 14, 17, 21, 22, 23, 24, 28",4075369301,194,cg6h7oq0b5zpx1g4brhzyk1xx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515895189,1,34,16,0,0,f0w62l8zql3tukxsy8fqwp72x,1,0,0,2023-03-05T13:40:50.084Z,2023-03-05T14:25:24Z,4075369795,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075369805,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4075369787,30,"1sjt0nj0232gu88x50c3d16nd, djggrnjp9s4p2mlbzhx6arbh1, 2ebiw2w6d76sttjh8n8871kgl, djpsc1fvcnrh61c071t00gmad, 1zo6iikznwkd2vuhqykt7jw7p, c2bhdypnqifsl8eiovtfdmyg9, eg9xhi6wfp1duf01pcsn8vfmd, 9j1fd0mz39tl1h5che3f357md, 48xfkorlx0hu677np4669wbth, 5cw4n6kdaa7imeyaiuo2pnq39, b8i5atg67th49tfd1xeh6z9hx, b2oa5dzw40auj5cgxfrp4b4r9, 88unrmh29io1zmqzxwjzuqtm2, drv9wksjusdgp1np315rokzit, 6q2mf0qrkt51z28b46wltxal1, a7x5shoc3g4ne9has4hys20ut, du9vq193cqx7gmve30eijws15, 6hgj78mr8wy2i5izf8x10ij11, 6mijfayg3juwbk0u95h9gd8x6, ce2pidh4dpd1ccozn2lm3qtw5",4075369801,194,2ebiw2w6d76sttjh8n8871kgl,4075660729,197,11911,4075369791,59,"1, 23, 21, 20, 5, 3, 29, 8, 7, 14, 6, 10, 12, 16, 17, 19, 24, 27, 31, 34",4075369789,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4075369793,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515956881,2,32,1,0,0,f0w62l8zql3tukxsy8fqwp72x,1,0,0,2023-03-05T14:31:01.195Z,2023-03-05T14:31:01Z,4075692707,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515956951,2,32,1,0,0,7ad69ngbpjuyzv96drf8d9sn2,1,0,0,2023-03-05T14:31:01.195Z,2023-03-05T20:39:46Z,4075693051,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515956927,3,1,1,0,0,f0w62l8zql3tukxsy8fqwp72x,1,50.2,50.4,2023-03-05T14:31:01.277Z,2023-03-05T22:57:38Z,4075692955,141,53.1,4075692957,212,16.9,4075692961,279,S,4075692947,56,Back,4077468387,178,,4075692959,213,3.0,4075692951,140,34.2,,,,b8i5atg67th49tfd1xeh6z9hx,T. Ciğerci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515956985,4,1,1,0,2,f0w62l8zql3tukxsy8fqwp72x,0,34.2,53.1,2023-03-05T14:31:03.850Z,2023-03-05T22:57:43Z,4075693279,1,,4075693267,155,,4075693273,141,40.4,4075693271,140,72.7,4075693277,213,6.1,4077468425,178,,4075693275,212,41.3,4075693269,56,Center,djpsc1fvcnrh61c071t00gmad,M. Kempf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515957061,3,1,1,0,5,7ad69ngbpjuyzv96drf8d9sn2,1,18.3,74.1,2023-03-05T14:31:07.127Z,2023-03-05T22:57:51Z,4075693693,141,59.6,4075693691,140,42.0,4075693683,3,,4077468609,388,,4075693687,56,Back,4075693695,212,26.8,4075693697,213,5.9,,,,5ec2ede9uwbft3wby33mwowyd,J. Tah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515957069,4,49,1,0,7,7ad69ngbpjuyzv96drf8d9sn2,1,42,59.6,2023-03-05T14:31:09.040Z,2023-03-05T22:58:14Z,,,,,,,,,,,,,,,,,,,,,,,,,59pu8nnghyxvvt8r3zyndpfpx,S. Azmoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515957083,5,50,1,0,9,7ad69ngbpjuyzv96drf8d9sn2,1,42.5,54.8,2023-03-05T14:31:10.314Z,2023-03-05T22:58:26Z,4075694325,233,5,4075693823,286,,4075693815,56,Back,,,,,,,,,,,,,,,,59pu8nnghyxvvt8r3zyndpfpx,S. Azmoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515957153,5,7,1,0,9,f0w62l8zql3tukxsy8fqwp72x,0,57.5,45.2,2023-03-05T14:31:10.379Z,2023-03-05T22:58:29Z,4075694293,233,5,4075694191,285,,4076812885,385,,4075694189,56,Center,4077469417,178,,,,,,,,,,,1zo6iikznwkd2vuhqykt7jw7p,F. Uremović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515957117,6,1,1,0,9,7ad69ngbpjuyzv96drf8d9sn2,0,37.2,62.7,2023-03-05T14:31:11.092Z,2023-03-05T22:58:32Z,4075693975,213,5.0,4075693969,140,39.2,4075693967,56,Back,4077469485,178,,4075693971,141,52.8,4075693973,212,7.1,,,,,,,2k5g68ywtr79lc45wozvifqlm,F. Wirtz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
