id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/8/value,qualifier/12/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/15/value,assist
2461005617,5,5,1,0,10,7ad69ngbpjuyzv96drf8d9sn2,1,32.4,101.6,2022-09-17T13:30:21.999Z,2022-09-18T01:42:29Z,3785575239,347,,3785575253,233,7,3785575237,56,Back,,,,,,,,,,,,,,,,djha3ac2mfhyb7oia64hq2nd,E. Tapsoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461005519,7,5,1,0,10,cu0eztmjcsbydyp53aleznorw,0,67.6,-1.6,2022-09-17T13:30:21.999Z,2022-09-18T01:42:29Z,3785575257,233,5,3785574799,347,,3785574797,56,Right,,,,,,,,,,,,,,,,1psr9ra8k9j4r94p1xixagzbp,A. Pieper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461005667,6,1,1,0,20,7ad69ngbpjuyzv96drf8d9sn2,1,37.1,100,2022-09-17T13:30:31.960Z,2022-09-18T01:42:41Z,3785575525,212,5.7,3785575519,56,Back,3785575527,213,4.9,3785575523,141,93.7,3785575521,140,38.0,3785575517,107,,,,,,,,4foax2b7unlkev1eq6py86lii,P. Hincapié,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461005675,7,50,1,0,23,7ad69ngbpjuyzv96drf8d9sn2,1,30,94.6,2022-09-17T13:30:35.312Z,2022-09-18T01:42:53Z,3785575569,285,,3785575765,233,8,3785575567,56,Back,,,,,,,,,,,,,,,,7y6f63pj7horkzhdzbge02rqh,C. Hudson-Odoi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461005701,8,7,1,0,23,cu0eztmjcsbydyp53aleznorw,1,70,5.4,2022-09-17T13:30:35.644Z,2022-09-18T01:43:08Z,3785575723,233,7,3788833989,178,,3785575705,286,,3787464129,384,,3785575703,56,Right,,,,,,,,,,7k7whr0pdbw5wtk7g0cwozw0l,M. Weiser,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461005705,9,49,1,0,25,cu0eztmjcsbydyp53aleznorw,1,73.8,10.3,2022-09-17T13:30:37.059Z,2022-09-18T01:43:30Z,,,,,,,,,,,,,,,,,,,,,,,,,cjq9g6zgcxk1ceo2xzpe1qnyt,N. Füllkrug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461005763,10,1,1,0,25,cu0eztmjcsbydyp53aleznorw,1,73.9,10.9,2022-09-17T13:30:37.552Z,2022-09-18T01:43:45Z,3785576021,213,0.7,3785576017,141,25.9,3788834389,178,,3785576009,56,Center,3785576019,212,15.2,3785576013,140,84.6,,,,,,,cjq9g6zgcxk1ceo2xzpe1qnyt,N. Füllkrug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461005801,11,1,1,0,27,cu0eztmjcsbydyp53aleznorw,1,84.6,26.4,2022-09-17T13:30:39.243Z,2022-09-18T01:44:01Z,3785576237,212,7.7,3788835847,178,,3785576235,141,37.7,3785577387,154,,3785576231,56,Center,3785576239,213,1.6,3785577385,210,15,3785576233,140,84.6,b4q9q0qgmtz959rygieg9ln1l,R. Schmid,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461005805,12,15,1,0,28,cu0eztmjcsbydyp53aleznorw,1,85,43.5,2022-09-17T13:30:39.863Z,2022-09-18T01:44:01Z,3785577431,154,,3785576279,56,Center,3785577439,103,19.6,3785576915,20,,3785577429,29,,3785577433,55,11,3785576965,233,8,3785577445,147,48.0,5ndmhtdu5jfgvzuddd7fu2fh1,M. Ducksch,,3785577441,328,3788836041,178,3786098165,17,3785577443,146,97.3,3786098167,80,3785577437,102,46.4,3785576275,22,,,,,,,,,,,,,,,,,
2461005759,8,10,1,0,28,7ad69ngbpjuyzv96drf8d9sn2,1,2.8,52.1,2022-09-17T13:30:40.533Z,2022-09-18T01:44:04Z,3785575983,182,,3785575979,178,,3787465747,377,,3785575975,173,,3785576973,233,12,3785575987,56,Back,,,,,,,cg6h7oq0b5zpx1g4brhzyk1xx,L. Hrádecký,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461005769,9,52,1,0,30,7ad69ngbpjuyzv96drf8d9sn2,1,2.8,52.1,2022-09-17T13:30:41.776Z,2022-09-18T01:44:28Z,3787465947,376,,3788837155,178,,,,,,,,,,,,,,,,,,,,cg6h7oq0b5zpx1g4brhzyk1xx,L. Hrádecký,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461006005,10,1,1,0,38,7ad69ngbpjuyzv96drf8d9sn2,0,12.7,41.3,2022-09-17T13:30:50.451Z,2022-09-18T05:33:41Z,3785577321,56,Right,3785577329,213,5.7,3785577331,1,,3785577323,140,55.2,3785577327,212,53.5,3785577983,189,,3785577319,199,,3785577325,141,0.0,cg6h7oq0b5zpx1g4brhzyk1xx,L. Hrádecký,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461006011,11,5,1,0,43,7ad69ngbpjuyzv96drf8d9sn2,0,52.4,-1.8,2022-09-17T13:30:55.423Z,2022-09-18T01:44:45Z,3785577813,233,13,3785577339,56,Right,3785577341,347,,,,,,,,,,,,,,,,,cg6h7oq0b5zpx1g4brhzyk1xx,L. Hrádecký,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461006073,13,5,1,0,43,cu0eztmjcsbydyp53aleznorw,1,47.6,101.8,2022-09-17T13:30:55.423Z,2022-09-18T01:44:44Z,3785577665,56,Back,3785577767,233,11,3785577667,347,,,,,,,,,,,,,,,,,5ndmhtdu5jfgvzuddd7fu2fh1,M. Ducksch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461006189,16,1,1,0,46,cu0eztmjcsbydyp53aleznorw,1,51.9,100,2022-09-17T13:30:58.346Z,2022-09-18T01:44:53Z,3785578213,56,Back,3785578219,212,32.5,3785578211,107,,3785578223,1,,3785578215,140,33.9,3785578221,213,4.1,3785578217,141,63.1,,,,8nug6t1cmn9pwhnwdf6nyhrrp,A. Jung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2461006089,14,43,1,0,47,cu0eztmjcsbydyp53aleznorw,1,0,0,2022-09-17T13:30:59.604Z,2022-09-17T13:31:03Z,3785577743,140,50.4,3785577739,107,0,3785577745,141,100.0,3785577741,56,Left,3785577749,213,3.1,3785577747,212,0,3785578001,144,1,,,,5ndmhtdu5jfgvzuddd7fu2fh1,M. Ducksch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
