id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/9/value,qualifier/12/value,qualifier/13/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/16/value
2457893299,1,34,16,0,0,f0w62l8zql3tukxsy8fqwp72x,1,0,0,2022-09-10T12:38:09.090Z,2022-09-10T13:28:26Z,3769028623,59,"1, 16, 21, 34, 5, 20, 29, 8, 18, 14, 40, 2, 6, 7, 10, 11, 12, 23, 27, 31",3769028635,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3769028621,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3769028627,130,4,3769028631,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3769028619,30,"1sjt0nj0232gu88x50c3d16nd, drv9wksjusdgp1np315rokzit, 2ebiw2w6d76sttjh8n8871kgl, ce2pidh4dpd1ccozn2lm3qtw5, 1zo6iikznwkd2vuhqykt7jw7p, djpsc1fvcnrh61c071t00gmad, eg9xhi6wfp1duf01pcsn8vfmd, 9j1fd0mz39tl1h5che3f357md, cfdgq8thcoghlh5d0s0pzb1sl, 5cw4n6kdaa7imeyaiuo2pnq39, 6ufkq71qh9wrfyaez5yi94e09, 7wm8whndx19gcpqxtw9safljp, 5ir834cntiq4qhlw8dqi6rowl, 6yc09eth94qsachf595dyx6fp, b2oa5dzw40auj5cgxfrp4b4r9, 18b0ti0bsq68842kgbczsbgmh, 88unrmh29io1zmqzxwjzuqtm2, djggrnjp9s4p2mlbzhx6arbh1, 6hgj78mr8wy2i5izf8x10ij11, 6mijfayg3juwbk0u95h9gd8x6",3769231251,197,11911,3769028633,194,2ebiw2w6d76sttjh8n8871kgl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457897585,1,34,16,0,0,7ad69ngbpjuyzv96drf8d9sn2,1,0,0,2022-09-10T12:42:30.721Z,2022-09-10T14:35:50Z,3769050553,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3769050551,30,"cg6h7oq0b5zpx1g4brhzyk1xx, 9qo448ueot8pfc5oqo378wag9, 4foax2b7unlkev1eq6py86lii, 2cq6ocr7j487do4nrm3sreg9h, 5ec2ede9uwbft3wby33mwowyd, djha3ac2mfhyb7oia64hq2nd, 9ydkbbygq6uocors9kcdnzbop, 6rg37ej1x7pwi7r4aq1107pih, c0ewvrtk657uw4t5rlv87mq51, e4vr28e9cbq3q5nux1jlpuuei, 7y6f63pj7horkzhdzbge02rqh, a41r2ob5fhirgdwxwox6nr4yx, cis0z72hgahfnfjduk7hdnz3e, 4tev0kk0om8cr1xbwpt8bozit, 59pu8nnghyxvvt8r3zyndpfpx, 7w63iqek6hmnizlirurla1cr9, 8wlyh0e8178je0hylqjifbkr9, 3ojzrb5okc6i1jf1o7okovnjd, 6rd6a2f1k124dzp1p904yq3h0, byk5vhf9l112i7hhy1clravp",3769050557,130,8,3769050561,194,cg6h7oq0b5zpx1g4brhzyk1xx,3769050555,59,"1, 30, 3, 10, 4, 12, 19, 25, 14, 23, 17, 5, 6, 8, 9, 11, 20, 24, 29, 36",3769231767,197,16378,3769050559,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3769050563,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457935529,2,32,1,0,0,7ad69ngbpjuyzv96drf8d9sn2,1,0,0,2022-09-10T13:32:44.178Z,2022-09-10T13:32:49Z,3769250947,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457935519,2,32,1,0,0,f0w62l8zql3tukxsy8fqwp72x,1,0,0,2022-09-10T13:32:44.178Z,2022-09-10T18:52:47Z,3769250881,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457935607,3,1,1,0,0,f0w62l8zql3tukxsy8fqwp72x,1,49.8,50,2022-09-10T13:32:44.224Z,2022-09-10T19:02:15Z,3770706815,178,,3769251341,140,32.6,3769251353,279,S,3769251349,212,18.2,3769251345,141,53.3,3769251337,56,Back,3769251351,213,3.0,,,,ce2pidh4dpd1ccozn2lm3qtw5,I. Šunjić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457935655,4,1,1,0,2,f0w62l8zql3tukxsy8fqwp72x,1,32.4,57,2022-09-10T13:32:47.066Z,2022-09-10T19:02:17Z,3769251561,56,Center,3769251567,212,41.3,3769251563,140,70.0,3769251559,155,,3769251569,213,6.0,3769251565,141,39.2,3769251573,1,,3770706985,178,,djpsc1fvcnrh61c071t00gmad,M. Kempf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457935667,5,44,1,0,5,f0w62l8zql3tukxsy8fqwp72x,1,70.2,37.3,2022-09-10T13:32:50.068Z,2022-09-10T20:06:18Z,3769251621,286,,3769251783,233,3,3769251619,56,Center,,,,,,,,,,,,,,,,cfdgq8thcoghlh5d0s0pzb1sl,W. Kanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457935639,3,44,1,0,5,7ad69ngbpjuyzv96drf8d9sn2,0,29.8,62.7,2022-09-10T13:32:50.069Z,2022-09-10T19:02:21Z,3769251501,285,,3769251837,233,5,3769251499,56,Back,,,,,,,,,,,,,,,,djha3ac2mfhyb7oia64hq2nd,E. Tapsoba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457935671,6,1,1,0,5,f0w62l8zql3tukxsy8fqwp72x,0,70,39.2,2022-09-10T13:32:50.102Z,2022-09-10T20:06:18Z,3769251651,213,0.4,3770707399,388,,3769251645,140,85.3,3769251641,168,,3769251639,3,,3769251649,212,17.8,3769251647,141,50.6,3769251643,56,Center,cfdgq8thcoghlh5d0s0pzb1sl,W. Kanga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2457935691,4,1,1,0,6,7ad69ngbpjuyzv96drf8d9sn2,1,12.7,55.9,2022-09-10T13:32:51.097Z,2022-09-10T19:02:26Z,3769251759,213,6.2,3769251755,141,54.7,3769251751,56,Back,3769251757,212,20.8,3770707631,388,,3769251749,3,,3769251753,140,32.5,,,,5ec2ede9uwbft3wby33mwowyd,J. Tah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
