id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/9/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/8/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,qualifier/15/value,keyPass,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value
2503683539,1,34,16,0,0,dt4pinj0vw0t0cvz7za6mhmzy,1,0,0,2023-02-04T13:36:50.066Z,2023-02-04T16:44:20Z,4011022443,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4011022445,194,btzfq6521zl3q5uqus8ltov6d,4011022439,59,"1, 17, 13, 23, 25, 4, 19, 22, 9, 11, 27, 7, 8, 15, 18, 20, 21, 30, 33, 43",4011022447,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4011314441,197,2698,4011022441,130,7,4011022437,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4011022435,30,"9rjd95oqotnalxmv56v7p1r6d, 5irixhhyayq9yl7sb2kohjrv9, 6ie5meimavc8kwohr6lrdyket, 7lai6ovwsl01gonutejt4mms5, 4vy3j1o829f561jf4fqum7ob9, d5mck7rf48chzersephpx29d5, f4qcgzveslklfi8601tep77x1, e83ula4wockmc2xid7185kcq2, cy0lv5u16obr2ne4xiins43x1, btzfq6521zl3q5uqus8ltov6d, ebj6t5jqzixrnww1z7qofznu2, 2we9yak4ipkr1ljigj20puv6y, 2nqhczrkd45rdu5fcmq1wjo45, cd6i7khi5wgsfsg19c9tcjydx, eguzzwxdm0fwocax6srpck48a, 4lcyjhvtwieshr4r3a6104qtx, 7q96z3aaee5jyccb8pjthi8kp, culbbgu1o5fdbl3gxz54rbn4l, 2jrntrq2x714pviioh3jnkted, c2mwg1uhug0pbgl72uf9b927e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503687431,1,34,16,0,0,6k5zscdm9ufw0tguvzyjlp5hq,1,0,0,2023-02-04T13:40:14.740Z,2023-02-04T17:57:52Z,4011042755,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4011042757,194,b7ve7k983eaewnupejiow3jdh,4011042749,44,"1, 2, 2, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4011042753,130,10,4011316965,197,8113,4011042747,30,"920yurg08gqayxwc80q9f8ixh, d36na8jr6xcc8eronhy8mcz1m, b7ve7k983eaewnupejiow3jdh, 6o2v57d92t1mejod24gmufcut, 84mp3eqt1ckw107hwxpby9cd1, 2jk8zu0m0tf7if0pyrkbo82xh, bsyv3fmihshve4jcr11qmtmfp, ejnh215cji6xou661kiwcc91x, mugwhiw6mwgjf5797wlnjzdh, 7o11dzx2cccrslutrjl16ik89, 2az0f39bhz2kvxhopalzi0h5h, 3r2j2j3v6kgmauw5yv9j3x1hx, e8dpcth2x1y0zbaovljbgk5hx, f5ln82l8q7gvouj3zhsp5t4gl, 3w8uk04gxlm4tj4hmsc3msmvp, dglkt5h4m18p1qcj2uhqymvv9, bh5gxk1kd65fnph0s6kgxt8q2, arjwwth6yazptr851wu2u6e0a, 5n7vp6g13q7sxkzbygfbz27oq, 7c6034wb3zsuq9nhxxiahiuol",4011042759,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4011042751,59,"26, 25, 30, 3, 28, 17, 9, 27, 11, 42, 32, 1, 5, 8, 18, 22, 23, 29, 34, 38",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503741251,2,32,1,0,0,dt4pinj0vw0t0cvz7za6mhmzy,1,0,0,2023-02-04T14:30:49.315Z,2023-02-05T01:11:32Z,4011320321,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503741239,2,32,1,0,0,6k5zscdm9ufw0tguvzyjlp5hq,1,0,0,2023-02-04T14:30:49.315Z,2023-02-04T14:30:49Z,4011320255,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503741295,3,1,1,0,0,6k5zscdm9ufw0tguvzyjlp5hq,1,50.1,49.8,2023-02-04T14:30:49.336Z,2023-02-05T02:00:04Z,4011320529,56,Back,4011320537,213,3.0,4011320535,212,17.9,4011320533,141,53.7,4011320539,279,S,4013813927,178,,4011320531,140,33.2,,,,ejnh215cji6xou661kiwcc91x,N. Höfler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503741323,4,1,1,0,3,6k5zscdm9ufw0tguvzyjlp5hq,0,33,52.8,2023-02-04T14:30:52.377Z,2023-02-05T02:00:13Z,4011320655,1,,4013814047,178,,4011320649,141,6.0,4011320653,213,5.7,4011320645,56,Right,4011320647,140,77.8,4011320651,212,56.8,4011320643,155,,6o2v57d92t1mejod24gmufcut,P. Lienhart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503741335,3,49,1,0,7,dt4pinj0vw0t0cvz7za6mhmzy,1,14.8,93.6,2023-02-04T14:30:57.237Z,2023-02-05T02:00:34Z,,,,,,,,,,,,,,,,,,,,,,,,,6ie5meimavc8kwohr6lrdyket,Raphaël Guerreiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503741377,4,1,1,0,7,dt4pinj0vw0t0cvz7za6mhmzy,0,14.8,93.6,2023-02-04T14:30:57.270Z,2023-02-05T02:00:32Z,4011320919,1,,4011320909,141,100.0,4013814333,178,,4011320911,212,29.7,4011320905,56,Back,4011320907,140,42.6,4011320913,213,0.2,4011320903,157,,6ie5meimavc8kwohr6lrdyket,Raphaël Guerreiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503741385,5,5,1,0,10,dt4pinj0vw0t0cvz7za6mhmzy,0,45,101.8,2023-02-04T14:30:59.716Z,2023-02-05T02:00:44Z,4011322675,233,5,4011320947,56,Back,4011320949,347,,,,,,,,,,,,,,,,,6ie5meimavc8kwohr6lrdyket,Raphaël Guerreiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503741703,5,5,1,0,10,6k5zscdm9ufw0tguvzyjlp5hq,1,55,-1.8,2023-02-04T14:30:59.716Z,2023-02-05T02:00:43Z,4011322603,347,,4011322601,56,Right,4011322643,233,5,,,,,,,,,,,,,,,,6o2v57d92t1mejod24gmufcut,P. Lienhart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
