id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2540852393,1,34,16,0,0,cu0eztmjcsbydyp53aleznorw,1,0,0,2023-04-29T15:25:36.337Z,2023-04-29T16:26:27Z,4235622417,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4235622427,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4235622423,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4236037809,197,16263,4235622425,194,aaoycxwi9jny6flm4apz8a2uh,4235622415,30,"expxslws50h0iw0logr02gs7p, 7k7whr0pdbw5wtk7g0cwozw0l, 8nug6t1cmn9pwhnwdf6nyhrrp, aaoycxwi9jny6flm4apz8a2uh, 2p48525x4ap9m81g6ode51cyd, 6kge6vcoa9ocnh6tb8qznfzkl, 26nfmfc8p2doisd9p8vtd33dh, 14fw7p4fzaxprndgxnx0gxgbt, 5ndmhtdu5jfgvzuddd7fu2fh1, 9i46dpapurzdzvd7nz3be7kl, ec5ng4j3rcjwsjz1v05e1z3dh, 1psr9ra8k9j4r94p1xixagzbp, 3spzxmms300isjmf03yses12i, b4q9q0qgmtz959rygieg9ln1l, d95i3fwjrk3ti4co645mde76x, eayipmdtzbmjgjouq10nqhcrt, dr0kn3srxtg7nuw99gjoim7e1, 7llxni56g8q0yt33vhp1pt3o5, bitixkzgt5p65rlo2bnllcf6x, 3h6q9lkwovcu4pynltgnzhy50",4235622421,130,12,4235622419,59,"1, 8, 3, 32, 4, 13, 10, 6, 7, 17, 36, 5, 19, 20, 22, 26, 28, 30, 34, 39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540864727,1,34,16,0,0,cz4a6wmzx2obyisadhgaccx7b,1,0,0,2023-04-29T15:32:50.114Z,2023-04-29T16:34:57Z,4235687525,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4235687515,30,"dvo2f7d0yosn404wsrsgeprdh, w2jovd0ta6to004lvlri5gtm, 6oaqk4pdojnlefa3zubsysmvp, dgysidzshgxqm3jegaihwi5wq, 4fvtwbl1hrxgs9lg957rxladx, bjjll8tgbxink1ly3gmw5w4ph, at2rbigl1d8bsjw2u6lhfcatx, 9taxidttdt94nmvc3mqhqq0ut, 9xl238e13utd2ondzqi51ka1h, bax0ggbhejk7kpcezkyg3hai2, 6b7p3ncup75mpop91n0u1mw2d, 8kydif03gk6apce8xwl9w3ht5, 64x38pccgfsuz4ywoveh2ksbu, 58ixsja4yf7pskmshzo7ohwfe, 8n0dskalmx94ofiq6jewa22tx, 7lohomjw8xbl5eymcqhrtytw5, ex7y8oe78ewwmibz41qbmwhxx, 5qc0owkwmgk74qy13ft3kpg5, cub8yovn04qjhs35k7wuwt7th, 8czesxhh2bedy0ukqb95rk82d",4235687521,130,8,4236083903,197,6345,4235687517,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4236044273,194,9xl238e13utd2ondzqi51ka1h,4235687523,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4235687519,59,"13, 41, 18, 6, 4, 35, 19, 30, 9, 10, 11, 2, 3, 5, 8, 24, 26, 29, 34, 40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540932055,2,32,1,0,0,cu0eztmjcsbydyp53aleznorw,1,0,0,2023-04-29T16:30:14.089Z,2023-04-29T16:30:14Z,4236056699,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540932079,2,32,1,0,0,cz4a6wmzx2obyisadhgaccx7b,1,0,0,2023-04-29T16:30:14.089Z,2023-04-30T03:44:25Z,4236056793,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540932121,3,1,1,0,0,cu0eztmjcsbydyp53aleznorw,1,49.9,50,2023-04-29T16:30:14.119Z,2023-04-30T03:49:30Z,4236057041,56,Back,4238531633,178,,4236057043,140,33.7,4236057047,141,36.1,4236057055,279,S,4236057049,212,19.5,4236057053,213,3.6,,,,ec5ng4j3rcjwsjz1v05e1z3dh,C. Groß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540932187,4,1,1,0,3,cu0eztmjcsbydyp53aleznorw,1,35.3,35.8,2023-04-29T16:30:18.074Z,2023-04-30T03:49:33Z,4236057345,1,,4236057341,212,41.7,4238531739,178,,4236057339,141,70.7,4236057343,213,0.6,4236057335,56,Center,4236057337,140,67.9,4236057333,155,,6kge6vcoa9ocnh6tb8qznfzkl,M. Veljković,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540932195,5,44,1,0,6,cu0eztmjcsbydyp53aleznorw,1,67,69.6,2023-04-29T16:30:20.858Z,2023-04-30T07:08:34Z,4236057415,233,3,4236057383,56,Center,4236057385,286,,,,,,,,,,,,,,,,,14fw7p4fzaxprndgxnx0gxgbt,J. Stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540932179,3,44,1,0,6,cz4a6wmzx2obyisadhgaccx7b,0,33,30.4,2023-04-29T16:30:20.859Z,2023-04-30T03:49:36Z,4236057301,56,Back,4236057467,233,5,4236057303,285,,,,,,,,,,,,,,,,,dgysidzshgxqm3jegaihwi5wq,T. Krauß,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540932211,6,1,1,0,6,cu0eztmjcsbydyp53aleznorw,0,68.1,70.7,2023-04-29T16:30:20.904Z,2023-04-30T07:08:34Z,4236057487,140,74.2,4236057483,3,,4236057491,212,6.9,4236057485,56,Center,4236057493,213,5.9,4236057489,141,66.9,4238531989,388,,,,,14fw7p4fzaxprndgxnx0gxgbt,J. Stage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2540932341,4,1,1,0,7,cz4a6wmzx2obyisadhgaccx7b,0,29.1,34.9,2023-04-29T16:30:22.044Z,2023-04-30T03:49:43Z,4236058241,1,,4236058229,157,,4236058239,213,0.7,4236058235,141,54.8,4236058231,56,Back,4236058237,212,21.5,4238532117,178,,4236058233,140,45.0,4fvtwbl1hrxgs9lg957rxladx,M. Yoshida,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
