id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/8/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/14/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2473124847,1,34,16,0,0,apoawtpvac4zqlancmvw4nk4o,1,0,0,2022-10-16T16:42:53.607Z,2022-10-16T18:11:15Z,3850253673,194,97nv3y9z2ajz6b4ynoo0jn3kl,3850253675,197,2699,3850072329,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3850072321,30,"br2uswvdgoj7ndkx7mnbwgyd, 7vhnftizqlyu31st2vsmgh6tx, 582uvj0i3dvm0zwbou9q68pgp, 4w4ldzomkj7fhrc51iimz8no5, x4qyxhfr2vi007sazoqe5vit, 10zt8rbgbmyqxr1m13wm5gfs9, 4ysxvym6ww4f9d3hflkqsbf11, 97nv3y9z2ajz6b4ynoo0jn3kl, e5mjphb52suw89189nyca72z9, 4603xrdk721lqhd1ejn62x5n9, cotiiu6mjkfx5xa63nhfbdf4l, yq0cm7vwr0tkv7nvt9vo77bp, 2yc1t7u26zctwjizi283g6q6s, 8cho2d1nz18i5o0zt6aysd68l, ky1gnkjil9pog0gg5b2pc4fe, 5ga7g20wsa7oqjbh4ijoeknl6, cv1d56d42wujfuc4kt6bn53x0, bhsdzppop8jwjsxwftizot1t6, 4skrm2y64va3y5jk70gz4ylpm",3850072325,59,"26, 40, 19, 8, 2, 4, 7, 6, 13, 10, 17, 5, 14, 18, 35, 38, 39, 42, 44",3850072331,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3850072323,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3850072327,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473129497,1,34,16,0,0,6k5zscdm9ufw0tguvzyjlp5hq,1,0,0,2022-10-16T16:47:19.520Z,2022-10-17T00:37:20Z,3850253389,197,16250,3850253387,194,b7ve7k983eaewnupejiow3jdh,3850097059,30,"920yurg08gqayxwc80q9f8ixh, d36na8jr6xcc8eronhy8mcz1m, b7ve7k983eaewnupejiow3jdh, f5ln82l8q7gvouj3zhsp5t4gl, 84mp3eqt1ckw107hwxpby9cd1, 6o2v57d92t1mejod24gmufcut, 7o11dzx2cccrslutrjl16ik89, ejnh215cji6xou661kiwcc91x, 1h3mduwlaf89ebwtqxuegsodm, 7c6034wb3zsuq9nhxxiahiuol, 2az0f39bhz2kvxhopalzi0h5h, bsyv3fmihshve4jcr11qmtmfp, 7at6knpizbafid4br861pi6zt, 2jk8zu0m0tf7if0pyrkbo82xh, 3w8uk04gxlm4tj4hmsc3msmvp, 6gjlcd7rzi3p74qwvj7ia6esq, bh5gxk1kd65fnph0s6kgxt8q2, arjwwth6yazptr851wu2u6e0a, 6qujoqysad60h70f3ac5n9ch6, 2es4ydlcwwasm6mu7rmey5r3e",3850097063,59,"26, 25, 30, 8, 28, 3, 42, 27, 20, 38, 32, 9, 14, 17, 18, 21, 23, 29, 31, 33",3850097067,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3850097069,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3850097061,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3850097065,130,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473159977,2,32,1,0,0,apoawtpvac4zqlancmvw4nk4o,1,0,0,2022-10-16T17:30:26.872Z,2022-10-17T07:23:04Z,3850255999,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473159987,2,32,1,0,0,6k5zscdm9ufw0tguvzyjlp5hq,1,0,0,2022-10-16T17:30:26.872Z,2022-10-16T17:30:28Z,3850256031,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473160015,3,1,1,0,0,apoawtpvac4zqlancmvw4nk4o,1,50,50,2022-10-16T17:30:26.955Z,2022-10-17T07:45:52Z,3850256163,140,41.5,3850256167,212,9.0,3850256165,141,48.5,3850256161,56,Back,3850256205,279,S,3850256203,213,3.3,3851802805,178,,,,,e5mjphb52suw89189nyca72z9,E. Choupo-Moting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473160045,4,1,1,0,1,apoawtpvac4zqlancmvw4nk4o,1,41.3,49.7,2022-10-16T17:30:28.679Z,2022-10-17T07:47:11Z,3850256343,213,1.8,3851803493,178,,3850256341,212,14.8,3850256339,141,70.9,3850256335,56,Back,3850256337,140,38.2,,,,,,,97nv3y9z2ajz6b4ynoo0jn3kl,J. Kimmich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473160085,5,1,1,0,4,apoawtpvac4zqlancmvw4nk4o,1,37.8,70.3,2022-10-16T17:30:31.725Z,2022-10-17T07:47:16Z,3850256511,213,4.4,3850256507,141,35.8,3850256503,56,Back,3850256505,140,31.4,3850256509,212,24.4,3851803559,178,,,,,,,,582uvj0i3dvm0zwbou9q68pgp,A. Davies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473160113,6,1,1,0,8,apoawtpvac4zqlancmvw4nk4o,1,30,38.5,2022-10-16T17:30:35.795Z,2022-10-17T07:47:17Z,3850256657,213,1.8,3850256653,141,66.1,3851803581,178,,3850256649,56,Back,3850256655,212,19.3,3850256651,140,25.6,,,,,,,x4qyxhfr2vi007sazoqe5vit,D. Upamecano,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473160149,7,1,1,0,11,apoawtpvac4zqlancmvw4nk4o,1,21.1,68.8,2022-10-16T17:30:38.604Z,2022-10-17T07:47:20Z,3850256833,140,4.3,3850256837,212,22.4,3850256835,141,48.4,3850256839,213,3.8,3850256831,56,Back,3851803605,178,,,,,,,,10zt8rbgbmyqxr1m13wm5gfs9,M. de Ligt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2473462571,964,43,1,0,13,apoawtpvac4zqlancmvw4nk4o,1,0,0,2022-10-16T17:30:40.218Z,2022-10-17T08:24:39Z,3851856877,144,82,3851856773,178,0,,,,,,,,,,,,,,,,,,,br2uswvdgoj7ndkx7mnbwgyd,S. Ulreich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
