id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/9/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/15/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2511910297,1,34,16,0,0,f0w62l8zql3tukxsy8fqwp72x,1,0,0,2023-02-25T13:46:43.104Z,2023-02-25T14:43:21Z,4054337879,59,"1, 23, 21, 20, 5, 3, 29, 8, 7, 24, 6, 10, 12, 14, 16, 17, 19, 27, 31, 39",4054537661,194,2ebiw2w6d76sttjh8n8871kgl,4054337875,30,"1sjt0nj0232gu88x50c3d16nd, djggrnjp9s4p2mlbzhx6arbh1, 2ebiw2w6d76sttjh8n8871kgl, djpsc1fvcnrh61c071t00gmad, 1zo6iikznwkd2vuhqykt7jw7p, c2bhdypnqifsl8eiovtfdmyg9, eg9xhi6wfp1duf01pcsn8vfmd, 9j1fd0mz39tl1h5che3f357md, 48xfkorlx0hu677np4669wbth, du9vq193cqx7gmve30eijws15, b8i5atg67th49tfd1xeh6z9hx, b2oa5dzw40auj5cgxfrp4b4r9, 88unrmh29io1zmqzxwjzuqtm2, 5cw4n6kdaa7imeyaiuo2pnq39, drv9wksjusdgp1np315rokzit, 6q2mf0qrkt51z28b46wltxal1, a7x5shoc3g4ne9has4hys20ut, 6hgj78mr8wy2i5izf8x10ij11, 6mijfayg3juwbk0u95h9gd8x6, bytrobr8rfp9zwbxzopr4vgno",4054337885,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054337883,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054534137,197,11911,4054337881,130,12,4054337877,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511911035,1,34,16,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,0,0,2023-02-25T13:47:37.383Z,2023-02-25T14:30:12Z,4054341611,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054341609,130,2,4054341613,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4054341605,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4054341603,30,"61xxo4zsk6hby0swa756l3wlx, 5arng6g4ietx2jwgcd2kpqdpl, 4gmknefwu0tt33z88tu75xmg9, b6woton2db3w4rm67vu69buy2, tedxo29s8xx0a71z6sidw7v9, bfdtduknquzhr2br7ahlgvvo4, 3er9krmf0k6dhv6f9ltztfend, 5q3ft0wiy6lsy937j7nw6msq1, d9jj0525pm3nu9vqewtpo2rpx, 1ie7ml2v6772ek2u8q7wl1awa, avk9yje6h4nndg3cufnbu2imt, egmcpa7j5clzga5m0zvg2f105, 1ic5mnwhm510mptrxz04zmtm2, aybzlrbkvnobkazjsmox975jp, 4zrut521fzw9fddqt74pnl756, d8h5ge9ust20o7us968acnsnp, bs6f5ag1f47ropxefrybtaktl, 9bzlvn0twr2b5z30k30gugw5x, 3jqxaa2l6gqwxl2mr8w0yiiy2, 840353qq4b6ufh0hhm9o0n45x",4054533587,197,16364,4054536659,194,tedxo29s8xx0a71z6sidw7v9,4054341607,59,"1, 2, 22, 27, 6, 8, 10, 30, 11, 45, 9, 3, 7, 14, 16, 20, 23, 24, 34, 40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511950875,2,32,1,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,0,0,2023-02-25T14:32:41.626Z,2023-02-25T14:32:41Z,4054550337,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511950895,2,32,1,0,0,f0w62l8zql3tukxsy8fqwp72x,1,0,0,2023-02-25T14:32:41.626Z,2023-02-25T21:42:09Z,4054550429,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511950953,3,1,1,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,50,50,2023-02-25T14:32:41.684Z,2023-02-25T21:57:45Z,4054550781,279,S,4054550777,212,24.1,4057131115,178,,4054550779,213,3.0,4054550771,56,Back,4054550773,140,27.2,4054550775,141,54.2,,,,d9jj0525pm3nu9vqewtpo2rpx,M. Berisha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511951027,4,1,1,0,2,ex3psl8e3ajeypwjy4xfltpx6,0,27.2,54.2,2023-02-25T14:32:44.586Z,2023-02-25T21:57:55Z,4054551187,212,61.6,4054551179,155,,4057131439,178,,4054551185,141,0.0,4054551183,140,73.5,4054551181,56,Right,4054551189,213,5.6,4054551191,1,,bfdtduknquzhr2br7ahlgvvo4,Renato Veiga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511951177,3,5,1,0,7,f0w62l8zql3tukxsy8fqwp72x,1,26.4,101.7,2023-02-25T14:32:48.795Z,2023-02-25T21:58:23Z,4054635429,233,5,4054551837,56,Back,4054635391,347,,,,,,,,,,,,,,,,,1sjt0nj0232gu88x50c3d16nd,O. Christensen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511951033,5,5,1,0,7,ex3psl8e3ajeypwjy4xfltpx6,0,73.6,-1.7,2023-02-25T14:32:48.795Z,2023-02-25T21:58:24Z,4054551877,233,3,4054551201,56,Right,4054551203,347,,,,,,,,,,,,,,,,,bfdtduknquzhr2br7ahlgvvo4,Renato Veiga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511951209,4,1,1,0,14,f0w62l8zql3tukxsy8fqwp72x,1,30.1,100,2023-02-25T14:32:56.202Z,2023-02-25T21:58:27Z,4054551957,140,41.4,4054551959,141,89.7,4054551955,56,Back,4054551953,107,,4054551963,213,5.7,4054551961,212,14.2,,,,,,,2ebiw2w6d76sttjh8n8871kgl,M. Plattenhardt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511951223,5,1,1,0,15,f0w62l8zql3tukxsy8fqwp72x,1,41.4,89.7,2023-02-25T14:32:57.546Z,2023-02-25T21:58:37Z,4054552037,140,32.3,4054552045,212,9.9,4057133175,178,,4054552041,141,93.6,4054552033,56,Back,4054552047,213,2.9,,,,,,,du9vq193cqx7gmve30eijws15,J. Ngankam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511951299,6,1,1,0,17,f0w62l8zql3tukxsy8fqwp72x,1,32.3,93.6,2023-02-25T14:32:58.668Z,2023-02-25T21:58:40Z,4054552381,213,0.0,4054552369,155,,4054552377,212,22.8,4057133325,178,,4054552373,140,54.0,4054552375,141,94.7,4054552371,56,Left,,,,2ebiw2w6d76sttjh8n8871kgl,M. Plattenhardt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511951309,7,1,1,0,18,f0w62l8zql3tukxsy8fqwp72x,0,54,94.7,2023-02-25T14:33:00.273Z,2023-02-25T21:58:43Z,4054552415,56,Left,4054552411,3,,4054552421,212,6.9,4054552419,141,84.8,4054552423,213,4.5,4054552417,140,52.6,4057133429,388,,,,,48xfkorlx0hu677np4669wbth,F. Niederlechner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511951365,6,1,1,0,19,ex3psl8e3ajeypwjy4xfltpx6,0,47.7,19.2,2023-02-25T14:33:01.523Z,2023-02-25T21:58:47Z,4054552697,212,10.2,4054552689,3,,4054552691,56,Center,4057133559,388,,4054552693,140,56.8,4054552695,141,24.4,4054552699,213,0.4,,,,bfdtduknquzhr2br7ahlgvvo4,Renato Veiga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2511951399,8,50,1,0,22,f0w62l8zql3tukxsy8fqwp72x,1,36,71.4,2023-02-25T14:33:03.817Z,2023-02-25T21:58:55Z,4054552903,56,Back,4054553155,286,,4054553151,233,7,,,,,,,,,,,,,,,,djpsc1fvcnrh61c071t00gmad,M. Kempf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
