id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/12/value,qualifier/15/value,qualifier/16/value,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/19/value
2503692579,1,34,16,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2023-02-04T13:44:27.372Z,2023-02-04T14:26:29Z,4011069357,30,"7obuhegyo1qcoikt23egcsr85, e91s5lp3fvfaav8w8xi7wdx3p, 5mbkc1nqmirbtfml9aklqr5xx, efzokrggje7s9wc6hg75yc6ax, 8kqmsuo668wpuzoyyxf4o2vo5, bd4p670s36cp1dh4fadv84qcq, az15xx7m923srf9gdbwmiyga1, 7cdiijsvnfc7tafy0zkf4uz9, g3fgd752o63acmmuahdvppm1, 5ph2ln91ycq1qlq03cnqqs9re, eqtsanns36za56h4pfqhbnh05, 7iqt50eaixxatz08dh54p81gq, a3ib09ji7qsz6cgj3vmz5qort, 78e1qvft3ser2tyayjlmemdp1, 2x5f35hk2urqlgoito1vgb3yt, bgtnbojs8g884mbksh6o4wu6t, 7gni45coa4swn1i66wzpzug9h, 3qy1qlzezgfkxeom5n1r9h13p, byn8dfwg5zdefrca7wgn32qne, f2ibn3ej2doay3b4u8ezeix62",4011069359,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4011069363,130,17,4011069367,194,8kqmsuo668wpuzoyyxf4o2vo5,4011069369,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4011069361,59,"1, 24, 32, 2, 20, 35, 15, 8, 9, 29, 27, 5, 6, 17, 19, 21, 22, 25, 36, 40",4011300557,197,14121,4011069365,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503698111,1,34,16,0,0,f0w62l8zql3tukxsy8fqwp72x,1,0,0,2023-02-04T13:49:24.423Z,2023-02-04T15:33:24Z,4011097987,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4011097989,59,"1, 16, 21, 29, 5, 20, 23, 8, 7, 10, 14, 6, 12, 17, 24, 27, 31, 34, 39, 42",4011097995,194,2ebiw2w6d76sttjh8n8871kgl,4011306621,197,9936,4011097985,30,"1sjt0nj0232gu88x50c3d16nd, drv9wksjusdgp1np315rokzit, 2ebiw2w6d76sttjh8n8871kgl, eg9xhi6wfp1duf01pcsn8vfmd, 1zo6iikznwkd2vuhqykt7jw7p, djpsc1fvcnrh61c071t00gmad, djggrnjp9s4p2mlbzhx6arbh1, 9j1fd0mz39tl1h5che3f357md, 48xfkorlx0hu677np4669wbth, b2oa5dzw40auj5cgxfrp4b4r9, 5cw4n6kdaa7imeyaiuo2pnq39, b8i5atg67th49tfd1xeh6z9hx, 88unrmh29io1zmqzxwjzuqtm2, 6q2mf0qrkt51z28b46wltxal1, du9vq193cqx7gmve30eijws15, 6hgj78mr8wy2i5izf8x10ij11, 6mijfayg3juwbk0u95h9gd8x6, ce2pidh4dpd1ccozn2lm3qtw5, bytrobr8rfp9zwbxzopr4vgno, dagqmnyits33v1tnw02w3mk4q",4011097993,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4011097997,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4011097991,130,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503742217,2,32,1,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2023-02-04T14:31:47.622Z,2023-02-05T01:16:31Z,4011325053,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503742207,2,32,1,0,0,f0w62l8zql3tukxsy8fqwp72x,1,0,0,2023-02-04T14:31:47.622Z,2023-02-04T14:31:47Z,4011325005,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503742391,3,1,1,0,0,f0w62l8zql3tukxsy8fqwp72x,1,50.1,49.3,2023-02-04T14:31:47.793Z,2023-02-05T03:55:22Z,4011325813,212,20.3,4011325811,141,56.0,4011325817,279,S,4011325809,140,31.3,4011325807,56,Back,4013915297,178,,4011325815,213,2.9,,,,b2oa5dzw40auj5cgxfrp4b4r9,J. Boëtius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503742403,4,1,1,0,4,f0w62l8zql3tukxsy8fqwp72x,0,31.8,59.3,2023-02-04T14:31:52.379Z,2023-02-05T03:55:25Z,4011325865,213,6.1,4011325855,56,Center,4011325861,141,48.4,4011325867,1,,4011325863,212,41.1,4013915319,178,,4011325859,140,70.3,4011325853,155,,djpsc1fvcnrh61c071t00gmad,M. Kempf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503742433,3,1,1,0,7,c5hderjlkcoaze51e5wgvptk,0,24,53.3,2023-02-04T14:31:54.874Z,2023-02-05T03:55:32Z,4011326031,140,44.2,4011326037,213,0.5,4013915469,388,,4011326033,141,71.8,4011326035,212,24.7,4011326027,3,,4011326029,56,Back,,,,bd4p670s36cp1dh4fadv84qcq,Tuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503742515,5,1,1,0,9,f0w62l8zql3tukxsy8fqwp72x,1,55.9,24.3,2023-02-04T14:31:57.040Z,2023-02-05T03:55:36Z,4011326351,141,29.2,4011326353,212,4.2,4011326347,56,Center,4011326349,140,58.4,4011326345,3,,4011326355,213,0.9,4013915531,388,,,,,drv9wksjusdgp1np315rokzit,J. Kenny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503742527,6,1,1,0,11,f0w62l8zql3tukxsy8fqwp72x,0,58.4,29.2,2023-02-04T14:31:58.986Z,2023-02-05T03:55:39Z,4011326413,140,68.3,4011326417,212,10.4,4011326411,56,Center,4011326419,213,0.1,4011326409,3,,4013915599,388,,4011326415,141,30.3,,,,eg9xhi6wfp1duf01pcsn8vfmd,L. Tousart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503742553,4,1,1,0,12,c5hderjlkcoaze51e5wgvptk,0,32.6,70.4,2023-02-04T14:32:00.442Z,2023-02-05T03:55:44Z,4011326557,141,67.1,4011326551,3,,4011326559,212,7.4,4011326553,56,Back,4011326561,213,6.0,4011326555,140,39.3,4013915667,388,,,,,7cdiijsvnfc7tafy0zkf4uz9,D. Sow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
