id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,assist,qualifier/12/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2482414405,1,34,16,0,0,7ad69ngbpjuyzv96drf8d9sn2,1,0,0,2022-11-06T13:40:25.535Z,2022-11-06T15:09:24Z,3899057367,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3899057355,30,"cg6h7oq0b5zpx1g4brhzyk1xx, 9qo448ueot8pfc5oqo378wag9, a41r2ob5fhirgdwxwox6nr4yx, 4foax2b7unlkev1eq6py86lii, djha3ac2mfhyb7oia64hq2nd, cis0z72hgahfnfjduk7hdnz3e, 2cq6ocr7j487do4nrm3sreg9h, 4tev0kk0om8cr1xbwpt8bozit, e4vr28e9cbq3q5nux1jlpuuei, 9ydkbbygq6uocors9kcdnzbop, 7w63iqek6hmnizlirurla1cr9, 5ec2ede9uwbft3wby33mwowyd, 7y6f63pj7horkzhdzbge02rqh, 8mcf8c8ht32as6xxrf1gb51m2, 3ojzrb5okc6i1jf1o7okovnjd, 6rg37ej1x7pwi7r4aq1107pih, 6rd6a2f1k124dzp1p904yq3h0, czpaltuhh1gskg7zh7k7qyqui, 6m9kyt5astmqvzdq2ee81qcwl, 9z1hb45wjhq63ebn88b079k2d",3899057363,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3899057359,59,"1, 30, 5, 3, 12, 6, 10, 8, 23, 19, 11, 4, 17, 21, 24, 25, 29, 32, 38, 40",3899057365,194,cg6h7oq0b5zpx1g4brhzyk1xx,3899352739,197,16378,3899057357,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3899057361,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482416299,1,34,16,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2022-11-06T13:42:17.110Z,2022-11-06T15:29:20Z,3899066799,30,"7446u69ki15qcyq2jtszacm3t, 52t6t7cdsr0fjs9ukmwo9y7rp, cl6720rdjeubt0bc3su0qg3qh, 3g9riero16s160evc28u3q3u1, cab22ojcuhdzdwmbtl20n8i51, d3xe46be1ajvxzxzboiaoy385, 9qzxygb9hyzag1szans0k2jth, 24vavcwn4hco5je9kdu9ciwgl, cywgibmici8hwp1ad1nhk3ufp, 5xhjvappzv6swoof5qpi0yj9, 1vv29mash2uijx542ssjk666t, 87jamhsc8ps9kh5432u36kjc9, 5pnfmmq8b8jxmp1qnf82d8out, c7gwbtdqptxjtu3tn3xctvit, 602fyni27c129xjs9ziyn5as5, 7424gvk9hiq5up61dj181y66t, 8prrhz0d1i4vxkhgro8p42bxl, emtrl7rrhp3ybsibf1f89kyj9, 254i1zsifi2er9rvuxgi9katx, dadiwuzf33969g3808sdd9brp",3899066809,194,52t6t7cdsr0fjs9ukmwo9y7rp,3899066811,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3899369069,197,16258,3899066801,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3899066805,130,12,3899066803,59,"37, 28, 6, 4, 31, 25, 2, 19, 27, 45, 8, 3, 11, 12, 14, 17, 21, 23, 24, 32",3899066807,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482474831,2,32,1,0,0,7ad69ngbpjuyzv96drf8d9sn2,1,0,0,2022-11-06T14:30:45.911Z,2022-11-06T22:33:54Z,3899375447,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482474773,2,32,1,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2022-11-06T14:30:45.911Z,2022-11-06T14:33:15Z,3899375089,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482474857,3,1,1,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,50.1,49.5,2022-11-06T14:30:45.972Z,2022-11-06T22:41:56Z,3899375601,141,37.3,3899375599,140,30.3,3899375605,213,3.5,3899375603,212,22.4,3899375607,279,S,3899375597,56,Back,3901414851,178,,,,,9qzxygb9hyzag1szans0k2jth,M. Thorsby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482474905,4,1,1,0,2,a8d2gb2nag8fy0itbuxmcibh2,0,37.8,40.1,2022-11-06T14:30:48.836Z,2022-11-06T22:42:01Z,3899375819,155,,3899375829,213,0.5,3899375825,141,74.4,3899375821,56,Center,3901415025,178,,3899375827,212,47.4,3899375831,1,,3899375823,140,77.1,d3xe46be1ajvxzxzboiaoy385,T. Baumgartl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482474915,3,44,1,0,5,7ad69ngbpjuyzv96drf8d9sn2,1,25.6,25.6,2022-11-06T14:30:51.845Z,2022-11-07T07:54:05Z,3899375895,233,5,3899375871,285,,3899375869,56,Back,,,,,,,,,,,,,,,,cis0z72hgahfnfjduk7hdnz3e,O. Kossounou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482474911,5,44,1,0,5,a8d2gb2nag8fy0itbuxmcibh2,0,74.4,74.4,2022-11-06T14:30:51.846Z,2022-11-06T22:42:09Z,3899376113,233,3,3899376117,286,,3899375853,56,Center,,,,,,,,,,,,,,,,5xhjvappzv6swoof5qpi0yj9,J. Siebatcheu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482474939,4,1,1,0,6,7ad69ngbpjuyzv96drf8d9sn2,1,24.4,24.2,2022-11-06T14:30:51.953Z,2022-11-07T07:54:05Z,3899376019,141,15.5,3899376021,212,7.5,3899376015,56,Back,3901415563,388,,3899376023,213,5.4,3899376017,140,28.8,3899376011,3,,,,,cis0z72hgahfnfjduk7hdnz3e,O. Kossounou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482475005,5,1,1,0,7,7ad69ngbpjuyzv96drf8d9sn2,0,27.1,14.5,2022-11-06T14:30:53.022Z,2022-11-06T22:42:49Z,3899376301,141,0.0,3899376305,213,5.3,3899376303,212,12.7,3901416889,178,,3899376299,140,33.8,3899376297,56,Back,3899376295,155,,,,,2cq6ocr7j487do4nrm3sreg9h,K. Demirbay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482475145,6,5,1,0,9,a8d2gb2nag8fy0itbuxmcibh2,1,65,101.6,2022-11-06T14:30:55.817Z,2022-11-06T22:42:58Z,3899377077,233,6,3899377051,347,,3899377049,56,Left,,,,,,,,,,,,,,,,5xhjvappzv6swoof5qpi0yj9,J. Siebatcheu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482475007,6,5,1,0,9,7ad69ngbpjuyzv96drf8d9sn2,0,35,-1.6,2022-11-06T14:30:55.817Z,2022-11-06T22:42:58Z,3899382857,361,,3899376313,347,,3899377145,233,6,3899376311,56,Back,,,,,,,,,,,,,2cq6ocr7j487do4nrm3sreg9h,K. Demirbay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2482475211,7,1,1,0,20,a8d2gb2nag8fy0itbuxmcibh2,1,73.7,100,2022-11-06T14:31:06.537Z,2022-11-06T22:43:04Z,3899377479,140,49.2,3899377489,1,,3899377483,141,82.4,3899377473,107,,3899377487,213,3.6,3899377485,212,28.9,3899377475,56,Back,,,,cl6720rdjeubt0bc3su0qg3qh,J. Ryerson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
