id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/9/value,qualifier/11/value,qualifier/10/value,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/21/id,qualifier/21/qualifierId,qualifier/16/value,qualifier/15/value,assist,qualifier/18/value,qualifier/21/value
2517904055,1,34,16,0,0,8q1ul09cygzswb7tb456bmifv,1,0,0,2023-03-10T18:31:53.736Z,2023-03-11T00:52:49Z,4086077789,130,8,4086077783,30,"4zfgh6wq7svx418tzwf0gfavp, 38knnji3m4qg6pqohph35n74l, 21vfv10e7fh6b2xtcu55ihn11, ojqb7kv87o0cidbckgtg1rdh, 3tdsezcgdlm4laybvh4u49cr9, mgwgcv336wb93xvv0pfr6dih, bkonv3y0vn24mpn6j8abjtux, 3saz8njlttx2i4ospcwmmaqga, 6yc09eth94qsachf595dyx6fp, cnf7quyillyf560nh14taliw9, 55z0yap5tml66nes2cchg7ahh, 224uan6ugjt7b2c1zsxrs2pcl, 8w5vjfl9ntyyxzyn2lo8k4dpm, 89s9fm31pcfq7l28kc2kad4kq, 6dzx3oyd42ql69tqxqvg8mpxx, 8n4b6j21nxf1nf628ugg3xsdl, 8mmecefcbz8wu4jcqqywps5p1, pjbuqt8wiwm2ql2tfvvcn59m, 5vgs10pyw2112mna9c9g91zv9, 2hb1dyg1auzdfbi3lg9ysap9m",4086077793,194,21vfv10e7fh6b2xtcu55ihn11,4086077787,59,"20, 2, 14, 28, 4, 24, 7, 6, 27, 37, 11, 1, 5, 8, 17, 21, 23, 25, 44, 47",4086077797,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4086077785,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4086077795,197,16228,4086077791,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517904391,1,34,16,0,0,eq1oq6y61xnzq88zu0cnw131z,1,0,0,2023-03-10T18:32:40.193Z,2023-03-10T19:35:34Z,4086079667,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",4086079683,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4086079679,194,82r0liyptyapc8rfuo32qcqtx,4086079677,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4086079665,30,"clmq1s26z0i3lqr1jqnd5wzit, 11dqnpwlb2clu2v7rnghsrlcl, 6sc9zsev9an853nop6pn6mxg5, 4y167h8sn9cnyrvb097lf8lbd, 8gnpf9kwx2n2rqwf1gixc4bth, 8ksi5s9he1uxai3lfcq46grf9, f2o5hj0e2k3kw0fj1xzom0cet, 82r0liyptyapc8rfuo32qcqtx, d2pco79bmi3f9x3zahtf9q2mt, 2bzdn7cqqonejqmlq85w8z6qd, ejww8hjcn4y4hlik863vaw3qh, 98e7uohj6lcvf59sfssff2y8l, 3nins3wtqjz9vt8q06s087vth, 719bo3u7wz5doaadx7k45trdh, 4tufo2e9tsw24l2cx7m5b6xh, 4f7gwrfeqm4x3k29jehes6od1, 8vfi7j34a5veeyswn5g5h4tbe, ns0d3voludn8of98yc2e6ehh, 6qujoqysad60h70f3ac5n9ch6",4086079675,130,4,4086079671,59,"1, 16, 3, 6, 20, 4, 7, 8, 33, 11, 22, 10, 17, 23, 26, 28, 29, 30, 31",4086079681,197,16236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517944681,2,32,1,0,0,eq1oq6y61xnzq88zu0cnw131z,1,0,0,2023-03-10T19:31:46.242Z,2023-03-10T19:31:48Z,4086288347,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517944783,2,32,1,0,0,8q1ul09cygzswb7tb456bmifv,1,0,0,2023-03-10T19:31:46.242Z,2023-03-11T05:52:55Z,4086288857,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517945045,3,1,1,0,0,eq1oq6y61xnzq88zu0cnw131z,1,50.3,50.3,2023-03-10T19:31:46.322Z,2023-03-11T06:04:29Z,4086290143,213,3.2,4086290135,56,Back,4087150461,178,,4086291733,279,S,4086290141,212,23.2,4086290139,141,49.0,4086290137,140,28.2,,,,ejww8hjcn4y4hlik863vaw3qh,C. Antwi-Adjei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517996113,375,1,1,0,1,eq1oq6y61xnzq88zu0cnw131z,1,30.8,50.4,2023-03-10T19:31:47.760Z,2023-03-11T06:04:35Z,4087150537,178,,4086565691,56,Back,4086565695,141,53.3,4086565697,212,2.0,4086565699,213,1.3,4086565693,140,31.3,,,,,,,f2o5hj0e2k3kw0fj1xzom0cet,K. Stöger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517996487,376,1,1,0,2,eq1oq6y61xnzq88zu0cnw131z,0,29.6,52.4,2023-03-10T19:31:49.163Z,2023-03-11T06:04:39Z,4086567985,213,6.0,4086567975,155,,4086567981,141,50.3,4086567983,212,6.1,4086567979,140,35.2,4087150575,178,,4086567977,56,Back,,,,11dqnpwlb2clu2v7rnghsrlcl,K. Stafylidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2517947671,40,61,1,0,3,8q1ul09cygzswb7tb456bmifv,1,65.2,50.7,2023-03-10T19:31:49.275Z,2023-03-11T08:38:10Z,4087150643,178,,4086303925,56,Center,,,,,,,,,,,,,,,,,,,6yc09eth94qsachf595dyx6fp,D. Selke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518111047,821,67,1,0,4,eq1oq6y61xnzq88zu0cnw131z,1,53,60.7,2023-03-10T19:31:51.224Z,2023-03-11T07:10:25Z,4087189029,233,992,,,,,,,,,,,,,,,,,,,,,,6sc9zsev9an853nop6pn6mxg5,Danilo Soares,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2518111045,992,67,1,0,4,8q1ul09cygzswb7tb456bmifv,0,47,39.3,2023-03-10T19:31:51.225Z,2023-03-11T06:32:55Z,4087189045,233,821,,,,,,,,,,,,,,,,,,,,,,bkonv3y0vn24mpn6j8abjtux,D. Ljubičić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
