id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,keyPass,qualifier/9/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/11/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/16/value,qualifier/12/value
2483316853,1,34,16,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2022-11-08T18:40:58.570Z,2022-11-08T19:31:20Z,3903828371,30,"8dq80nkl6nbdejj2ti0mb2w6i, 43eq31reskwn9veb3vickralm, dqrzogrwznyks6whhfhq748ut, au5tbnn48ve4kqnuu3dhmk296, ckjid5lfgbx8tdyoi32vbwn9x, 8k5c8po5gx3vnxx36viq08xqt, 7kjhx78gpi6m3r4j1b4jdyh91, 5i8dbjuewybsfgyym63clfw0l, 66nvc8a4kd3cyeyj3i474cudx, 1mkbxdrj3myvt6jm4tx8sywgl, 7tj7eobo7kmk8egcbfrabe8d1, l8bphgwl3llcckvf9zr6ptqt, 9bdxi3mvkftmqts59jptqq76d, ao00a4lfe5vs9enjgkuu7vglx, d0qyia80j5079xq5olbttqfl6, 22zaq3o78o5feeogqdsvig02y, 87kc5hjp3ry2z624wty5h7g4q, bc5vmdnoyshdi5hcgu8dgqxyi, 2fadtqb0v2zreactvdosbxy50, beg4syjd2b5rowhprsbuoax3o",3903946171,197,15460,3903828379,130,8,3903828381,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3903828383,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3903946169,194,1mkbxdrj3myvt6jm4tx8sywgl,3903828375,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3903828377,59,"41, 29, 25, 17, 5, 30, 23, 8, 10, 6, 14, 7, 13, 18, 19, 20, 22, 27, 38, 49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483318227,1,34,16,0,0,eq1oq6y61xnzq88zu0cnw131z,1,0,0,2022-11-08T18:43:28.932Z,2022-11-08T19:34:31Z,3903946125,194,82r0liyptyapc8rfuo32qcqtx,3903835253,30,"clmq1s26z0i3lqr1jqnd5wzit, 2earc7j2kp3tveehpnxtv1exh, 6sc9zsev9an853nop6pn6mxg5, f2o5hj0e2k3kw0fj1xzom0cet, b7fqivvacy7mmarlp180k276d, 8gnpf9kwx2n2rqwf1gixc4bth, 9xftmtdsxbuu2itzhi3v1xbdh, 82r0liyptyapc8rfuo32qcqtx, d2pco79bmi3f9x3zahtf9q2mt, 98e7uohj6lcvf59sfssff2y8l, ejww8hjcn4y4hlik863vaw3qh, 4y167h8sn9cnyrvb097lf8lbd, f577akgydk4t6ui45iyab2a22, 11dqnpwlb2clu2v7rnghsrlcl, 3nins3wtqjz9vt8q06s087vth, 4oic5vu1qv89061hflasl3r3d, de3mpa534obonqn4h2v10f6xh, 8dq8br5lty0ue2ndqxdpz3xsl, ep1bhk6t6sudlhjjz20j199ed, brs96wp9u2t10tsqfdwcyhnth",3903835255,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3903835261,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3903835257,59,"1, 2, 3, 7, 24, 20, 9, 8, 33, 10, 22, 6, 14, 16, 17, 18, 21, 32, 35, 38",3903952433,197,17667,3903835263,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3903835259,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483343581,2,32,1,0,0,eq1oq6y61xnzq88zu0cnw131z,1,0,0,2022-11-08T19:32:44.290Z,2022-11-09T06:49:57Z,3903949367,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483343585,2,32,1,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2022-11-08T19:32:44.290Z,2022-11-08T19:32:49Z,3903949373,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483343613,3,1,1,0,0,eq1oq6y61xnzq88zu0cnw131z,1,49.9,50,2022-11-08T19:32:44.373Z,2022-11-09T07:02:53Z,3903949511,140,30.7,3903949517,213,2.7,3903949519,279,S,3903949509,56,Back,3903949513,141,62.7,3903949515,212,21.9,3904838135,178,,,,,f2o5hj0e2k3kw0fj1xzom0cet,K. Stöger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483343631,4,1,1,0,3,eq1oq6y61xnzq88zu0cnw131z,0,30.8,64.5,2022-11-08T19:32:47.850Z,2022-11-09T07:02:58Z,3903949589,140,76.6,3903949591,141,100.0,3903949595,213,0.5,3903949585,155,,3903949593,212,54.2,3903949597,1,,3903949587,56,Left,3904838193,178,,8gnpf9kwx2n2rqwf1gixc4bth,I. Ordets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483343749,3,5,1,0,7,go76xxm0xyfgqt1h6tcrtimm,1,24.2,-1.2,2022-11-08T19:32:51.988Z,2022-11-09T07:03:01Z,3903950063,233,5,3903950055,347,,3903950053,56,Back,,,,,,,,,,,,,,,,1mkbxdrj3myvt6jm4tx8sywgl,C. Kramer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483343637,5,5,1,0,7,eq1oq6y61xnzq88zu0cnw131z,0,75.8,101.2,2022-11-08T19:32:51.988Z,2022-11-09T07:03:01Z,3903949605,56,Left,3903949607,347,,3903950073,233,3,,,,,,,,,,,,,,,,8gnpf9kwx2n2rqwf1gixc4bth,I. Ordets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483343761,4,1,1,0,28,go76xxm0xyfgqt1h6tcrtimm,1,25.6,0,2022-11-08T19:33:12.452Z,2022-11-09T07:03:05Z,3903950107,140,29.0,3903950103,107,,3903950111,212,6.5,3903950105,56,Back,3903950113,213,1.0,3903950109,141,6.5,,,,,,,43eq31reskwn9veb3vickralm,J. Scally,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2483343765,5,1,1,0,29,go76xxm0xyfgqt1h6tcrtimm,1,29,6.5,2022-11-08T19:33:13.293Z,2022-11-09T07:03:09Z,3903950129,213,4.5,3903950121,56,Back,3903950125,141,3.2,3903950123,140,28.5,3903950127,212,2.3,3904838317,388,,,,,,,,7kjhx78gpi6m3r4j1b4jdyh91,J. Hofmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
