id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/8/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,assist,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/13/value
2533555477,1,34,16,0,0,8q1ul09cygzswb7tb456bmifv,1,0,0,2023-04-15T12:43:11.047Z,2023-04-15T13:28:53Z,4189893903,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189893899,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189893891,30,"4zfgh6wq7svx418tzwf0gfavp, 38knnji3m4qg6pqohph35n74l, 21vfv10e7fh6b2xtcu55ihn11, 3saz8njlttx2i4ospcwmmaqga, 3tdsezcgdlm4laybvh4u49cr9, mgwgcv336wb93xvv0pfr6dih, 6dzx3oyd42ql69tqxqvg8mpxx, bkonv3y0vn24mpn6j8abjtux, 6yc09eth94qsachf595dyx6fp, 55z0yap5tml66nes2cchg7ahh, cnf7quyillyf560nh14taliw9, 224uan6ugjt7b2c1zsxrs2pcl, f239q43hdwrm7u7mu5jqyk91x, 89s9fm31pcfq7l28kc2kad4kq, 4w8nqkhp6v62vs319a7qckfs9, 2ifp36vdm0d6rb3xc7muuvv11, 8n4b6j21nxf1nf628ugg3xsdl, 8mmecefcbz8wu4jcqqywps5p1, 7rltyxkrvvfg7q1hppl631soa, 2hb1dyg1auzdfbi3lg9ysap9m",4189893895,59,"20, 2, 14, 6, 4, 24, 17, 7, 27, 11, 37, 1, 3, 8, 15, 19, 21, 23, 29, 47",4189893893,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4189893901,194,21vfv10e7fh6b2xtcu55ihn11,4190111769,197,16228,4189893897,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533558619,1,34,16,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2023-04-15T12:46:14.834Z,2023-04-15T14:33:43Z,4189909733,130,17,4189909737,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189909729,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4189909743,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4189909741,194,4baqlwfu312pctopy1cx6s2c5,4190112619,197,16598,4189909727,30,"ci1nu5z8aiiikco8af0zk1lud, 4baqlwfu312pctopy1cx6s2c5, 6u47fsriz3ejlf72hxtsew5bd, dnt7ahwfj8endqngxwfll1tjp, bvifdvoxv9e8nq8qe37c0gvrp, 6uurhe88nry4hyelll8ifzd91, l469vtpe0jbgg5sq1v2e67e1, d608s0948uh3owqee7t0en7px, dzolxp2oixtakcrqfyibpu76d, az7owi5t4bclkamjsjuyxzv1l, am0pcyvtaws1i69jt09dgnsnp, d2gbcc336c4zatpiif4cvm2fp, eh9sh9aa10zrp80l6e4l0c7h1, 2w76r8guf9sacoriu0ivytyax, bwqqecmqm76v5b83v1cz891p1, 4rgz5z372h6sbwhpxl69cb6c5, amd4rodp6senk2c1mmlsqozpx, 3n2imac1yp8jppsf36a4qg76y, ernbjicg113inzsubzrfm8fyt, alp8twr3g2rmfmnguffsfovtg",4189909731,59,"27, 30, 19, 25, 16, 20, 8, 31, 9, 6, 17, 1, 3, 4, 7, 11, 21, 37, 42, 44",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533597899,2,32,1,0,0,8q1ul09cygzswb7tb456bmifv,1,0,0,2023-04-15T13:30:52.690Z,2023-04-15T20:04:35Z,4190120731,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533597889,2,32,1,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2023-04-15T13:30:52.690Z,2023-04-15T13:30:52Z,4190120683,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533597957,3,1,1,0,0,1c7qokc1j5z50cjj4tcu32haa,1,50,50,2023-04-15T13:30:52.717Z,2023-04-15T21:16:38Z,4190120983,56,Back,4190120987,140,26.6,4190120999,279,S,4190120989,141,47.5,4192743445,178,,4190120997,213,3.2,4190120993,212,24.6,,,,dzolxp2oixtakcrqfyibpu76d,K. Onisiwo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533597973,4,1,1,0,3,1c7qokc1j5z50cjj4tcu32haa,0,28,45.2,2023-04-15T13:30:55.823Z,2023-04-15T21:16:44Z,4190121099,141,44.3,4190121101,212,43.7,4190121093,155,,4190121105,1,,4190121095,56,Center,4190121103,213,6.3,4190121097,140,69.6,4192743951,178,,6uurhe88nry4hyelll8ifzd91,E. Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533597991,3,1,1,0,5,8q1ul09cygzswb7tb456bmifv,0,30.1,59,2023-04-15T13:30:58.661Z,2023-04-15T21:16:52Z,4190121167,3,,4190121171,140,38.3,4192744169,388,,4190121173,141,46.8,4190121175,212,12.0,4190121177,213,5.5,4190121169,56,Back,,,,mgwgcv336wb93xvv0pfr6dih,J. Chabot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533598065,5,1,1,0,7,1c7qokc1j5z50cjj4tcu32haa,1,60.3,60.8,2023-04-15T13:31:00.363Z,2023-04-15T21:17:04Z,4190121593,213,1.3,4190121589,141,79.0,4192744673,178,,4190121587,140,63.4,4190121585,56,Left,4190121591,212,12.8,4190121583,3,,,,,d608s0948uh3owqee7t0en7px,D. Kohr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533598083,6,1,1,0,11,1c7qokc1j5z50cjj4tcu32haa,0,62.4,82.8,2023-04-15T13:31:04.262Z,2023-04-15T21:17:14Z,4190121667,212,6.2,4190121671,213,6.1,4190121659,140,68.2,4190121663,141,81.0,4190121657,56,Left,4192744925,178,,,,,,,,6u47fsriz3ejlf72hxtsew5bd,A. Caci,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2533598079,4,61,1,0,11,8q1ul09cygzswb7tb456bmifv,1,28.3,21.9,2023-04-15T13:31:04.409Z,2023-04-15T21:17:20Z,4190121653,56,Back,4192745099,178,,,,,,,,,,,,,,,,,,,,38knnji3m4qg6pqohph35n74l,B. Schmitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
