id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/16/value,qualifier/17/value,qualifier/15/value,assist,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2451435051,1,34,16,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,0,0,2022-08-27T12:48:31.728Z,2022-08-27T13:54:58Z,3734601557,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3734601549,30,"61xxo4zsk6hby0swa756l3wlx, 89hc9e27swp796vy7yvylg3x1, egmcpa7j5clzga5m0zvg2f105, 4gmknefwu0tt33z88tu75xmg9, tedxo29s8xx0a71z6sidw7v9, bs6f5ag1f47ropxefrybtaktl, 3er9krmf0k6dhv6f9ltztfend, 4kolmisdpprx0wrahisadl5n9, 9bzlvn0twr2b5z30k30gugw5x, emglxnqrlqskt8krglv7sziwa, avk9yje6h4nndg3cufnbu2imt, aybzlrbkvnobkazjsmox975jp, 5arng6g4ietx2jwgcd2kpqdpl, 48xfkorlx0hu677np4669wbth, 8ls8npa774mbrxje10ff46sb9, 4zrut521fzw9fddqt74pnl756, d8h5ge9ust20o7us968acnsnp, 3abavmbqh6vt0xgcx6zo4mgru, 19i0qsgzkuzg3b19zogzh7o16, bkcsemz8a4gie4v9z1u4h6221",3734601553,59,"1, 32, 3, 22, 6, 23, 10, 13, 24, 18, 9, 14, 2, 7, 8, 16, 20, 21, 25, 37",3734601559,194,tedxo29s8xx0a71z6sidw7v9,3734702481,197,11918,3734601555,130,18,3734601561,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3734601551,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451435529,1,34,16,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,0,0,2022-08-27T12:49:08.236Z,2022-08-27T13:26:00Z,3734603871,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3734603869,130,12,3734697995,197,3794,3734603875,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3734603863,30,"cm8po8ez5w9ms01gid6w3kwk5, arwidogdfccsjv8fxa1veezf9, 9uthj64y9f77y63tq7did539x, 6yhylu5q0y924amgv7vlodkgl, elh8kttxq9xfpoqfmpxv9jr2t, 6ki6rv564ybctrajr2xtgyeax, 57c808184l80uuuv7z3flcu6t, 5pousbiuqbus68yekd0mhc5pl, ew18qvvupaejxubhqmxmbd39x, e8ekkg0yayhhmmhinl0v9une, f3v95yyj6j7h7qpprxm4zlre1, shbxc528h0udd6rdf3ax2itx, 9dnrpl2c7n769i8nbfnboq2tx, e9c0v3ik308t91njildxzc6vp, 7hnmtyfmurizitwz1whecjnmy, 3rj7x05qx17n925xfpcrl0jpx, c1nt67z429kirthuhkdxouor9, 65v1s740zfmpwkc0z1v3aisd0, 6k3daudjhieulsgywbt9uoep6, 1po7tmdv73zfjentt0p20wdlh",3734603867,59,"1, 29, 11, 25, 22, 5, 6, 14, 27, 33, 8, 3, 7, 10, 13, 16, 18, 35, 37, 38",3734603873,194,cm8po8ez5w9ms01gid6w3kwk5,3734603865,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451454283,2,32,1,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,0,0,2022-08-27T13:30:35.687Z,2022-08-28T00:10:26Z,3734705701,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451454275,2,32,1,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,0,0,2022-08-27T13:30:35.687Z,2022-08-27T13:30:40Z,3734705677,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451454287,3,1,1,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,49.8,49.7,2022-08-27T13:30:36.560Z,2022-08-27T23:30:39Z,3734705725,213,3.0,3737850843,178,,3734705721,212,21.0,3734705719,141,52.8,3734705715,140,29.9,3734705729,279,S,3734705711,56,Back,,,,emglxnqrlqskt8krglv7sziwa,R. Pepi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451454317,4,1,1,0,4,ex3psl8e3ajeypwjy4xfltpx6,0,30.6,52.8,2022-08-27T13:30:40.311Z,2022-08-27T23:30:55Z,3734705857,213,0.3,3734705853,141,68.4,3734705849,56,Center,3734705847,155,,3734705859,1,,3734705855,212,41.0,3737851695,178,,3734705851,140,68.3,tedxo29s8xx0a71z6sidw7v9,J. Gouweleeuw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451454497,7,44,1,0,7,4l9mrqzmajz5crzlz50mtbt6x,1,29.3,33.6,2022-08-27T13:30:43.500Z,2022-08-28T07:06:45Z,3734706597,285,,3734706611,233,5,3734706595,56,Back,,,,,,,,,,,,,,,,6ki6rv564ybctrajr2xtgyeax,O. Kabak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451454321,5,44,1,0,7,ex3psl8e3ajeypwjy4xfltpx6,0,70.7,66.4,2022-08-27T13:30:43.501Z,2022-08-27T23:31:06Z,3734706617,233,7,3734705875,286,,3734705873,56,Center,,,,,,,,,,,,,,,,avk9yje6h4nndg3cufnbu2imt,E. Demirović,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451454329,3,1,1,0,7,4l9mrqzmajz5crzlz50mtbt6x,1,24.6,27.7,2022-08-27T13:30:43.550Z,2022-08-28T07:06:46Z,3734705905,141,27.9,3734705901,56,Back,3737852519,388,,3734705907,212,7.6,3734705903,140,31.8,3734705899,3,,3734705909,213,0.0,,,,6ki6rv564ybctrajr2xtgyeax,O. Kabak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451454331,4,61,1,0,8,4l9mrqzmajz5crzlz50mtbt6x,1,29.5,28.7,2022-08-27T13:30:43.974Z,2022-08-27T23:31:32Z,3737853409,178,,3734705913,56,Back,,,,,,,,,,,,,,,,,,,57c808184l80uuuv7z3flcu6t,G. Prömel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
