id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,keyPass,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/13/value,qualifier/11/value,assist,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/21/id,qualifier/21/qualifierId,qualifier/21/value,qualifier/17/value,qualifier/16/value
2530186843,1,34,16,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,0,0,2023-04-08T12:39:16.783Z,2023-04-08T13:27:23Z,4171985847,30,"61xxo4zsk6hby0swa756l3wlx, 5arng6g4ietx2jwgcd2kpqdpl, 4gmknefwu0tt33z88tu75xmg9, b6woton2db3w4rm67vu69buy2, bs6f5ag1f47ropxefrybtaktl, tedxo29s8xx0a71z6sidw7v9, 3er9krmf0k6dhv6f9ltztfend, 4kolmisdpprx0wrahisadl5n9, 9bzlvn0twr2b5z30k30gugw5x, 1ic5mnwhm510mptrxz04zmtm2, 4zrut521fzw9fddqt74pnl756, bfdtduknquzhr2br7ahlgvvo4, aybzlrbkvnobkazjsmox975jp, 3yiwkcfbwy0sfnecr9sy9695h, 3j2pv0methgc8k8rtqbi079p1, d8h5ge9ust20o7us968acnsnp, 3jqxaa2l6gqwxl2mr8w0yiiy2, 6xjbcik3a56d0vqy4vrq5eokp, 840353qq4b6ufh0hhm9o0n45x, 8b40ap862z6ynvmgah0vjces5",4172127931,197,16596,4171985853,130,2,4171985849,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4171985851,59,"1, 2, 22, 27, 23, 6, 10, 13, 24, 7, 16, 8, 14, 17, 19, 20, 34, 38, 40, 48",4171985859,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171985857,194,tedxo29s8xx0a71z6sidw7v9,4171985855,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530189647,1,34,16,0,0,8q1ul09cygzswb7tb456bmifv,1,0,0,2023-04-08T12:43:45.097Z,2023-04-08T13:27:14Z,4171999405,30,"4zfgh6wq7svx418tzwf0gfavp, 38knnji3m4qg6pqohph35n74l, 21vfv10e7fh6b2xtcu55ihn11, ojqb7kv87o0cidbckgtg1rdh, 3tdsezcgdlm4laybvh4u49cr9, mgwgcv336wb93xvv0pfr6dih, 6dzx3oyd42ql69tqxqvg8mpxx, 3saz8njlttx2i4ospcwmmaqga, 6yc09eth94qsachf595dyx6fp, 55z0yap5tml66nes2cchg7ahh, cnf7quyillyf560nh14taliw9, 224uan6ugjt7b2c1zsxrs2pcl, f239q43hdwrm7u7mu5jqyk91x, bkonv3y0vn24mpn6j8abjtux, 89s9fm31pcfq7l28kc2kad4kq, 4w8nqkhp6v62vs319a7qckfs9, 8n4b6j21nxf1nf628ugg3xsdl, pjbuqt8wiwm2ql2tfvvcn59m, 7rltyxkrvvfg7q1hppl631soa, 2hb1dyg1auzdfbi3lg9ysap9m",4172127385,197,16229,4171999407,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4171999411,130,7,4171999409,59,"20, 2, 14, 28, 4, 24, 17, 6, 27, 11, 37, 1, 3, 7, 8, 15, 21, 25, 29, 47",4171999413,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4171999415,194,21vfv10e7fh6b2xtcu55ihn11,4171999417,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530214717,2,32,1,0,0,8q1ul09cygzswb7tb456bmifv,1,0,0,2023-04-08T13:30:12.500Z,2023-04-08T13:30:12Z,4172136791,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530214727,2,32,1,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,0,0,2023-04-08T13:30:12.500Z,2023-04-08T21:56:02Z,4172136855,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530214763,3,1,1,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,50.6,51.1,2023-04-08T13:30:12.528Z,2023-04-09T05:26:55Z,4175283317,178,,4172137003,141,60.6,4172136999,56,Back,4172137001,140,30.8,4172137009,279,S,4172137007,213,2.8,4172137005,212,21.8,,,,4kolmisdpprx0wrahisadl5n9,E. Rexhbeçaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530214789,4,1,1,0,2,ex3psl8e3ajeypwjy4xfltpx6,0,30.8,60.6,2023-04-08T13:30:15.201Z,2023-04-09T05:26:59Z,4172137119,56,Center,4172137127,213,5.7,4172137125,212,47.2,4172137117,155,,4172137129,1,,4172137123,141,23.5,4172137121,140,68.8,4175283471,178,,tedxo29s8xx0a71z6sidw7v9,J. Gouweleeuw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530214791,3,44,1,0,5,8q1ul09cygzswb7tb456bmifv,1,32.2,79,2023-04-08T13:30:17.902Z,2023-04-09T07:17:25Z,4172137163,233,5,4172137133,56,Back,4172137135,285,,,,,,,,,,,,,,,,,mgwgcv336wb93xvv0pfr6dih,J. Chabot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530214797,5,44,1,0,5,ex3psl8e3ajeypwjy4xfltpx6,0,67.8,21,2023-04-08T13:30:17.903Z,2023-04-09T05:27:05Z,4172137143,56,Right,4172137145,286,,4172137223,233,3,,,,,,,,,,,,,,,,1ic5mnwhm510mptrxz04zmtm2,D. Beljo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530214805,4,1,1,0,5,8q1ul09cygzswb7tb456bmifv,0,33.1,81.6,2023-04-08T13:30:18.074Z,2023-04-09T07:17:26Z,4172137177,3,,4172137189,213,0.9,4172137185,141,94.8,4175283975,388,,4172137187,212,11.9,4172137181,56,Back,4172137183,140,40.6,,,,mgwgcv336wb93xvv0pfr6dih,J. Chabot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2530214833,6,1,1,0,7,ex3psl8e3ajeypwjy4xfltpx6,0,64.3,12.6,2023-04-08T13:30:20.251Z,2023-04-09T05:27:15Z,4172137331,141,12.6,4172137325,3,,4172137333,212,14.0,4172137327,56,Right,4172137329,140,77.6,4175284235,178,,4172137335,213,0,,,,5arng6g4ietx2jwgcd2kpqdpl,R. Gumny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
