id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/11/value,keyPass,qualifier/18/value,qualifier/14/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2500549857,9,1,1,0,15,dt4pinj0vw0t0cvz7za6mhmzy,1,25,40.5,2023-01-25T17:31:53.349Z,2023-01-26T04:40:05Z,3994613543,213,0.7,3994613541,212,9.2,3994613539,141,49.3,3994613535,56,Back,3994613537,140,31.6,3995236701,178,,,,,,,,4vy3j1o829f561jf4fqum7ob9,N. Süle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500549871,10,1,1,0,18,dt4pinj0vw0t0cvz7za6mhmzy,1,32.6,57.1,2023-01-25T17:31:56.099Z,2023-01-26T04:40:10Z,3994613605,212,17.3,3994613601,140,37.4,3994613607,213,1.3,3994613599,56,Back,3994613603,141,81.5,3995236709,178,,,,,,,,7lai6ovwsl01gonutejt4mms5,E. Can,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500549881,11,1,1,0,21,dt4pinj0vw0t0cvz7za6mhmzy,1,42.6,86.7,2023-01-25T17:31:59.126Z,2023-01-26T04:40:18Z,3995236721,178,,3994613659,141,94.2,3994613657,140,55.2,3994613663,213,0.4,3994613655,56,Left,3994613661,212,14.2,,,,,,,d5mck7rf48chzersephpx29d5,N. Schlotterbeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500549899,12,1,1,0,25,dt4pinj0vw0t0cvz7za6mhmzy,1,55.1,84.5,2023-01-25T17:32:03.247Z,2023-01-26T04:40:25Z,3994613741,140,41.9,3994613745,212,14.0,3994613739,56,Back,3994613743,141,87.8,3994613747,213,3.0,3995236759,178,,,,,,,,6ie5meimavc8kwohr6lrdyket,Raphaël Guerreiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500549923,13,1,1,0,29,dt4pinj0vw0t0cvz7za6mhmzy,1,42.8,78.9,2023-01-25T17:32:06.812Z,2023-01-26T04:40:29Z,3995236769,178,,3994613845,141,23.8,3994613841,56,Back,3994613847,212,39.9,3994613851,1,,3994613843,140,29.6,3994613849,213,4.4,,,,d5mck7rf48chzersephpx29d5,N. Schlotterbeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500549935,14,1,1,0,33,dt4pinj0vw0t0cvz7za6mhmzy,1,29.1,23.3,2023-01-25T17:32:10.533Z,2023-01-26T04:40:33Z,3994613899,56,Back,3995236773,178,,3994613907,213,4.9,3994613903,141,6.9,3994613905,212,11.3,3994613901,140,31.0,,,,,,,4vy3j1o829f561jf4fqum7ob9,N. Süle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500549945,15,1,1,0,35,dt4pinj0vw0t0cvz7za6mhmzy,1,30.6,4.7,2023-01-25T17:32:12.740Z,2023-01-26T04:40:35Z,3994613933,140,42.4,3994613937,212,12.4,3994613931,56,Back,3994613935,141,6.0,3995236785,178,,3994613939,213,0.1,,,,,,,cl6720rdjeubt0bc3su0qg3qh,J. Ryerson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500549953,16,1,1,0,36,dt4pinj0vw0t0cvz7za6mhmzy,1,42.4,6.2,2023-01-25T17:32:13.788Z,2023-01-26T04:40:40Z,3994613963,140,38.3,3995236797,178,,3994613967,212,5.2,3994613961,56,Back,3994613965,141,10.5,3994613969,213,2.5,,,,,,,f4qcgzveslklfi8601tep77x1,J. Brandt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500549963,17,1,1,0,37,dt4pinj0vw0t0cvz7za6mhmzy,1,38.3,10.5,2023-01-25T17:32:14.587Z,2023-01-26T04:40:43Z,3994614029,140,47.7,3994614035,213,6.0,3995236805,178,,3994614027,56,Back,3994614031,141,6.4,3994614033,212,10.3,,,,,,,cl6720rdjeubt0bc3su0qg3qh,J. Ryerson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500549971,18,1,1,0,37,dt4pinj0vw0t0cvz7za6mhmzy,0,47.7,6.4,2023-01-25T17:32:15.501Z,2023-01-26T04:40:47Z,3994614065,56,Back,3994614071,212,5.5,3994614073,213,4.9,3994614067,140,48.9,3994614069,141,0.0,3995236841,178,,,,,,,,ebj6t5jqzixrnww1z7qofznu2,K. Adeyemi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500550001,3,5,1,0,38,1c7qokc1j5z50cjj4tcu32haa,1,52.2,101.7,2023-01-25T17:32:16.353Z,2023-01-26T04:40:49Z,3994614229,233,19,3994614205,347,,3994614203,56,Left,,,,,,,,,,,,,,,,dzolxp2oixtakcrqfyibpu76d,K. Onisiwo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500549973,19,5,1,0,38,dt4pinj0vw0t0cvz7za6mhmzy,0,47.8,-1.7,2023-01-25T17:32:16.353Z,2023-01-26T04:40:49Z,3994614243,233,3,3994614077,347,,3994614075,56,Back,,,,,,,,,,,,,,,,ebj6t5jqzixrnww1z7qofznu2,K. Adeyemi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500550021,4,1,1,0,47,1c7qokc1j5z50cjj4tcu32haa,1,53.4,100,2023-01-25T17:32:25.194Z,2023-01-26T04:40:52Z,3994614307,107,,3994614317,213,3.8,3994614309,56,Back,3994614313,141,91.7,3994614315,212,11.8,3994614311,140,44.3,,,,,,,eh9sh9aa10zrp80l6e4l0c7h1,Aarón Martín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500550027,5,1,1,0,49,1c7qokc1j5z50cjj4tcu32haa,1,44.6,89.4,2023-01-25T17:32:27.328Z,2023-01-26T04:40:56Z,3994614349,56,Back,3995236921,178,,3994614355,212,29.4,3994614351,140,36.2,3994614357,213,4.4,3994614353,141,48.1,,,,,,,bwqqecmqm76v5b83v1cz891p1,Lee Jae-Sung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500550045,6,1,1,0,52,1c7qokc1j5z50cjj4tcu32haa,0,37.2,46,2023-01-25T17:32:29.815Z,2023-01-26T04:41:00Z,3994614445,1,,3994614439,141,71.1,3994614441,212,44.1,3994614443,213,0.4,3995236929,178,,3994614437,140,75.9,3994614433,155,,3994614435,56,Center,dnt7ahwfj8endqngxwfll1tjp,A. Hanche-Olsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500550057,20,12,1,0,57,dt4pinj0vw0t0cvz7za6mhmzy,1,8.1,25.2,2023-01-25T17:32:34.564Z,2023-01-26T04:41:09Z,3994614521,212,17.7,3995236953,178,,3994614519,141,3.4,3994614523,213,4.1,3994614517,140,0.0,3994614515,56,Back,3994614529,167,,,,,cl6720rdjeubt0bc3su0qg3qh,J. Ryerson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500550111,7,6,1,1,0,1c7qokc1j5z50cjj4tcu32haa,1,67.6,53.2,2023-01-25T17:32:38.255Z,2023-01-26T04:41:15Z,3994614857,73,,3994614877,233,21,3994614855,56,Center,,,,,,,,,,,,,,,,dnt7ahwfj8endqngxwfll1tjp,A. Hanche-Olsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500550059,21,6,1,1,0,dt4pinj0vw0t0cvz7za6mhmzy,0,32.4,46.8,2023-01-25T17:32:38.255Z,2023-01-26T04:41:16Z,3994614875,73,,3994614525,56,Back,3994614895,233,7,,,,,,,,,,,,,,,,cl6720rdjeubt0bc3su0qg3qh,J. Ryerson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500550181,8,1,1,1,31,1c7qokc1j5z50cjj4tcu32haa,1,99.6,99.5,2023-01-25T17:33:09.126Z,2023-01-26T07:23:01Z,3994615223,223,,3994615227,140,95.7,3994615235,213,4.6,3994615221,155,,3994615219,6,,3994616429,154,,3994616433,25,,3995237049,178,,6uurhe88nry4hyelll8ifzd91,E. Fernandes,1,3994615233,212,31.8,3994615225,56,Center,3994615229,141,53.1,3995094609,20,3994615217,2,3994616427,210,16,,,,,,,,,,,,,,,,,,,,,,,
2500550537,14,44,1,1,32,1c7qokc1j5z50cjj4tcu32haa,1,94.6,55,2023-01-25T17:33:10.293Z,2023-01-26T06:04:23Z,3994617733,286,,3994617731,56,Center,3994617745,233,35,,,,,,,,,,,,,,,,bwqqecmqm76v5b83v1cz891p1,Lee Jae-Sung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500550525,35,44,1,1,32,dt4pinj0vw0t0cvz7za6mhmzy,0,5.4,45,2023-01-25T17:33:10.294Z,2023-01-26T04:41:28Z,3994617157,285,,3994617155,56,Back,3994617765,233,14,,,,,,,,,,,,,,,,cl6720rdjeubt0bc3su0qg3qh,J. Ryerson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500550185,9,16,1,1,33,1c7qokc1j5z50cjj4tcu32haa,1,95.2,56.3,2023-01-25T17:33:10.886Z,2023-01-26T07:23:02Z,3994616499,55,8,3994615865,15,,3994616505,103,11.4,3994615881,375,01:32.772,3995237173,388,,3994616493,76,,3994616497,154,,3994616511,231,50.7,bwqqecmqm76v5b83v1cz891p1,Lee Jae-Sung,,3995095987,61,,3994616509,230,99.7,3994615259,56,Center,3994616495,29,3994615877,374,3994615863,25,,2023-01-25 17:33:10.294,3994615873,328,3995095991,396,46.4,3994616503,102,53.4,3995095989,395,0,3994616507,136,,,,,,,,,
2500550157,22,43,1,1,34,dt4pinj0vw0t0cvz7za6mhmzy,1,0,0,2023-01-25T17:33:11.919Z,2023-01-25T17:33:57Z,3994615091,56,Back,3994615093,285,0,3994616091,144,44,,,,,,,,,,,,,,,,cl6720rdjeubt0bc3su0qg3qh,J. Ryerson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500550389,23,1,1,2,26,dt4pinj0vw0t0cvz7za6mhmzy,1,49.7,50,2023-01-25T17:34:04.433Z,2023-01-26T04:42:03Z,3994616347,213,2.6,3994616343,141,61.1,3994616339,56,Back,3994616345,212,15.9,3994616341,140,36.4,3995109259,189,,3994616349,279,G,3995237265,178,,eguzzwxdm0fwocax6srpck48a,Y. Moukoko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500550401,24,1,1,2,28,dt4pinj0vw0t0cvz7za6mhmzy,1,36.4,61.3,2023-01-25T17:34:05.719Z,2023-01-26T04:42:07Z,3994616403,213,2.3,3994616399,141,74.2,3994616401,212,11.8,3995237287,178,,3994616395,56,Back,3995109273,189,,3994616397,140,28.9,,,,7lai6ovwsl01gonutejt4mms5,E. Can,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500550417,25,1,1,2,30,dt4pinj0vw0t0cvz7za6mhmzy,1,28.9,74,2023-01-25T17:34:07.588Z,2023-01-26T04:42:13Z,3994616553,212,20.1,3994616551,141,47.6,3995237317,178,,3994616555,213,4.2,3994616547,56,Back,3994616549,140,20.3,,,,,,,d5mck7rf48chzersephpx29d5,N. Schlotterbeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500550431,26,1,1,2,33,dt4pinj0vw0t0cvz7za6mhmzy,1,19.7,46,2023-01-25T17:34:10.922Z,2023-01-26T04:42:28Z,3994616653,212,19.4,3994616651,141,18.0,3994616647,56,Back,3994616655,213,4.9,3995237403,178,,3994616649,140,23.1,,,,,,,9rjd95oqotnalxmv56v7p1r6d,G. Kobel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500550443,27,1,1,2,35,dt4pinj0vw0t0cvz7za6mhmzy,1,21.8,14.9,2023-01-25T17:34:13.219Z,2023-01-26T04:42:34Z,3994616695,141,4.9,3995237417,178,,3994616691,56,Back,3994616697,212,8.0,3994616699,213,5.3,3994616693,140,25.8,,,,,,,4vy3j1o829f561jf4fqum7ob9,N. Süle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500550465,28,1,1,2,37,dt4pinj0vw0t0cvz7za6mhmzy,0,25.5,4.9,2023-01-25T17:34:14.941Z,2023-01-26T04:42:38Z,3994616795,140,59.8,3994616803,1,,3994616791,155,,3995237471,178,,3994616801,213,0.1,3994616797,141,12.2,3994616793,56,Right,3994616799,212,36.4,cl6720rdjeubt0bc3su0qg3qh,J. Ryerson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2500550483,10,1,1,2,39,1c7qokc1j5z50cjj4tcu32haa,0,35.8,89,2023-01-25T17:34:17.169Z,2023-01-26T04:42:48Z,3994616895,3,,3994616901,141,90.3,3994616905,213,0.1,3994616903,212,15.7,3994616897,56,Left,3995237503,178,,3994616899,140,50.7,,,,6uurhe88nry4hyelll8ifzd91,E. Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
