id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2515013381,1,34,16,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2023-03-04T13:38:43.971Z,2023-03-04T14:30:59Z,4070725113,30,"slsd8022q9s3uugsafaqt2ol, 43eq31reskwn9veb3vickralm, dqrzogrwznyks6whhfhq748ut, au5tbnn48ve4kqnuu3dhmk296, 70tsvrcmklvp4ecdhxlugf8ix, 8k5c8po5gx3vnxx36viq08xqt, 7kjhx78gpi6m3r4j1b4jdyh91, 1mkbxdrj3myvt6jm4tx8sywgl, 66nvc8a4kd3cyeyj3i474cudx, 9bdxi3mvkftmqts59jptqq76d, 7tj7eobo7kmk8egcbfrabe8d1, ckjid5lfgbx8tdyoi32vbwn9x, l8bphgwl3llcckvf9zr6ptqt, cgzcn8oo03wda4e5o0jxgy4tl, ao00a4lfe5vs9enjgkuu7vglx, d0qyia80j5079xq5olbttqfl6, 22zaq3o78o5feeogqdsvig02y, 87kc5hjp3ry2z624wty5h7g4q, 514es9hzl2skv9dl5cofgkogl, beg4syjd2b5rowhprsbuoax3o",4070725117,59,"21, 29, 25, 17, 3, 30, 23, 6, 10, 13, 14, 5, 7, 11, 18, 19, 20, 22, 32, 49",4070725123,194,9bdxi3mvkftmqts59jptqq76d,4070900229,197,11723,4070725125,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4070725115,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4070725119,130,8,4070725121,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515016927,1,34,16,0,0,6k5zscdm9ufw0tguvzyjlp5hq,1,0,0,2023-03-04T13:43:14.926Z,2023-03-04T14:31:59Z,4070886153,197,8113,4070743901,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4070743895,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4070743899,130,12,4070743905,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4070743903,194,b7ve7k983eaewnupejiow3jdh,4070743897,59,"26, 17, 30, 3, 28, 25, 8, 32, 22, 9, 27, 1, 5, 14, 18, 29, 33, 34, 35, 42",4070743893,30,"920yurg08gqayxwc80q9f8ixh, 2jk8zu0m0tf7if0pyrkbo82xh, b7ve7k983eaewnupejiow3jdh, 6o2v57d92t1mejod24gmufcut, 84mp3eqt1ckw107hwxpby9cd1, d36na8jr6xcc8eronhy8mcz1m, f5ln82l8q7gvouj3zhsp5t4gl, 2az0f39bhz2kvxhopalzi0h5h, dglkt5h4m18p1qcj2uhqymvv9, bsyv3fmihshve4jcr11qmtmfp, ejnh215cji6xou661kiwcc91x, 3r2j2j3v6kgmauw5yv9j3x1hx, e8dpcth2x1y0zbaovljbgk5hx, 7at6knpizbafid4br861pi6zt, 3w8uk04gxlm4tj4hmsc3msmvp, arjwwth6yazptr851wu2u6e0a, 2es4ydlcwwasm6mu7rmey5r3e, 5n7vp6g13q7sxkzbygfbz27oq, e8hf96xbntslqrlottv5yp016, 7o11dzx2cccrslutrjl16ik89",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515046781,2,32,1,0,0,6k5zscdm9ufw0tguvzyjlp5hq,1,0,0,2023-03-04T14:31:27.516Z,2023-03-04T14:31:33Z,4070901943,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515046763,2,32,1,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2023-03-04T14:31:27.516Z,2023-03-05T04:18:05Z,4070901867,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515046845,3,1,1,0,0,go76xxm0xyfgqt1h6tcrtimm,1,50.1,50.1,2023-03-04T14:31:27.520Z,2023-03-05T04:28:31Z,4070902235,56,Back,4070902243,213,3.4,4070902247,279,S,4070902239,141,43.7,4070902241,212,16.7,4074314969,178,,4070902237,140,34.7,,,,7kjhx78gpi6m3r4j1b4jdyh91,J. Hofmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515046851,4,1,1,0,2,go76xxm0xyfgqt1h6tcrtimm,0,35.9,45.4,2023-03-04T14:31:30.264Z,2023-03-05T04:28:58Z,4070902271,140,60.3,4070902279,1,,4070902267,155,,4074315595,178,,4070902275,212,45.7,4070902277,213,1.0,4070902273,141,100.0,4070902269,56,Left,70tsvrcmklvp4ecdhxlugf8ix,K. Itakura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515046901,3,5,1,0,6,6k5zscdm9ufw0tguvzyjlp5hq,1,40.3,-1.5,2023-03-04T14:31:33.706Z,2023-03-05T04:29:09Z,4070902483,233,5,4070902481,347,,4070902479,56,Back,,,,,,,,,,,,,,,,bsyv3fmihshve4jcr11qmtmfp,L. Höler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515046857,5,5,1,0,6,go76xxm0xyfgqt1h6tcrtimm,0,59.7,101.5,2023-03-04T14:31:33.706Z,2023-03-05T04:29:09Z,4070902313,347,,4070902311,56,Left,4070902513,233,3,,,,,,,,,,,,,,,,70tsvrcmklvp4ecdhxlugf8ix,K. Itakura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515047029,4,1,1,0,17,6k5zscdm9ufw0tguvzyjlp5hq,0,37.6,0,2023-03-04T14:31:44.884Z,2023-03-05T04:29:14Z,4070903077,107,,4070903083,141,7.0,4070903087,213,0.2,4070903081,140,63.4,4070903089,1,,4070903079,56,Right,4070903085,212,27.7,,,,d36na8jr6xcc8eronhy8mcz1m,K. Sildillia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2515047015,6,8,1,0,19,go76xxm0xyfgqt1h6tcrtimm,1,36.3,93.5,2023-03-04T14:31:46.824Z,2023-03-05T04:29:25Z,4070903055,15,,4070902999,56,Back,4073472201,384,,4074316065,388,,,,,,,,,,,,,,dqrzogrwznyks6whhfhq748ut,R. Bensebaïni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
