id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/10/value,qualifier/12/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId
2446096569,1,34,16,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2022-08-14T12:36:06.444Z,2022-08-14T22:44:51Z,3706292511,30,"8l1mv5qd9vwade754v3l8epjp, cl6720rdjeubt0bc3su0qg3qh, emtrl7rrhp3ybsibf1f89kyj9, 3g9riero16s160evc28u3q3u1, cab22ojcuhdzdwmbtl20n8i51, 87jamhsc8ps9kh5432u36kjc9, 254i1zsifi2er9rvuxgi9katx, 24vavcwn4hco5je9kdu9ciwgl, cywgibmici8hwp1ad1nhk3ufp, 5xhjvappzv6swoof5qpi0yj9, 1vv29mash2uijx542ssjk666t, 9qzxygb9hyzag1szans0k2jth, 1ywfkwrcysdlvkt859q00kt7t, 5pnfmmq8b8jxmp1qnf82d8out, f0x3pa532agezdjdzcsp94l49, 7424gvk9hiq5up61dj181y66t, 8prrhz0d1i4vxkhgro8p42bxl, 52t6t7cdsr0fjs9ukmwo9y7rp, 7446u69ki15qcyq2jtszacm3t, bt35y17wl42b5t5tw6z68uwyy",3706292513,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3706292523,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3706292515,59,"1, 6, 23, 4, 31, 3, 24, 19, 27, 45, 8, 2, 5, 11, 13, 17, 21, 28, 37, 40",3706486535,197,16257,3706292517,130,12,3706292521,194,1vv29mash2uijx542ssjk666t,3706292519,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446098673,1,34,16,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2022-08-14T12:39:28.169Z,2022-08-14T13:57:40Z,3706302277,59,"27, 30, 3, 5, 42, 16, 6, 7, 9, 11, 31, 1, 4, 8, 10, 17, 19, 20, 36, 37",3706302279,130,12,3706302283,194,4baqlwfu312pctopy1cx6s2c5,3706302275,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3706486175,197,11885,3706302281,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3706302273,30,"ci1nu5z8aiiikco8af0zk1lud, 4baqlwfu312pctopy1cx6s2c5, eh9sh9aa10zrp80l6e4l0c7h1, cjok1odm3twxo7sqye3hua6eh, ernbjicg113inzsubzrfm8fyt, bvifdvoxv9e8nq8qe37c0gvrp, az7owi5t4bclkamjsjuyxzv1l, bwqqecmqm76v5b83v1cz891p1, dzolxp2oixtakcrqfyibpu76d, 4rgz5z372h6sbwhpxl69cb6c5, d608s0948uh3owqee7t0en7px, d2gbcc336c4zatpiif4cvm2fp, 2w76r8guf9sacoriu0ivytyax, l469vtpe0jbgg5sq1v2e67e1, d9q12xp4h8nhtjxl5il3vufh1, 24w7jq5qou30k8f76lmr20ju2, 6u47fsriz3ejlf72hxtsew5bd, 6uurhe88nry4hyelll8ifzd91, 84uzswqtdoq56g034rg0kk16, 3n2imac1yp8jppsf36a4qg76y",3706302285,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446139463,2,32,1,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2022-08-14T13:30:55.609Z,2022-08-15T04:47:12Z,3706497857,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446139451,2,32,1,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2022-08-14T13:30:55.609Z,2022-08-14T13:30:56Z,3706497785,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446139509,3,1,1,0,0,1c7qokc1j5z50cjj4tcu32haa,1,49.9,50.1,2022-08-14T13:30:55.683Z,2022-08-15T05:08:14Z,3708971427,178,,3706498113,140,34.0,3706498127,279,S,3706498111,56,Back,3706498119,212,17.6,3706498115,141,58.3,3706498123,213,2.8,,,,dzolxp2oixtakcrqfyibpu76d,K. Onisiwo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446139533,4,1,1,0,2,1c7qokc1j5z50cjj4tcu32haa,1,32.7,57,2022-08-14T13:30:58.570Z,2022-08-15T05:08:19Z,3708971507,178,,3706498227,213,1.2,3706498225,212,25.1,3706498223,141,90.8,3706498221,140,42.4,3706498219,56,Back,,,,,,,ernbjicg113inzsubzrfm8fyt,A. Hack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446139575,5,1,1,0,6,1c7qokc1j5z50cjj4tcu32haa,1,46,86.5,2022-08-14T13:31:02.085Z,2022-08-15T05:08:22Z,3706498457,56,Center,3706498459,140,73.5,3706498467,1,,3706498455,196,,3706498465,213,5.3,3706498463,212,50.7,3706498453,155,,3706498461,141,25.3,cjok1odm3twxo7sqye3hua6eh,M. Leitsch,3708971553,178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446139585,6,1,1,0,8,1c7qokc1j5z50cjj4tcu32haa,1,74.1,26.4,2022-08-14T13:31:04.099Z,2022-08-15T08:29:19Z,3706498503,141,34.5,3706498499,56,Center,3709144447,388,,3706498501,140,63.7,3706498507,213,2.7,3708971677,21,,3706498505,212,12.2,,,,4rgz5z372h6sbwhpxl69cb6c5,M. Ingvartsen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446139603,7,1,1,0,9,1c7qokc1j5z50cjj4tcu32haa,1,66.5,35.7,2022-08-14T13:31:05.411Z,2022-08-15T05:08:37Z,3706498599,140,92.6,3706498605,212,27.8,3706498597,56,Center,3708971709,178,,3706498595,155,,3706498607,213,6.1,3706498601,141,28.9,,,,az7owi5t4bclkamjsjuyxzv1l,A. Stach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446139619,8,1,1,0,11,1c7qokc1j5z50cjj4tcu32haa,0,92.6,28.9,2022-08-14T13:31:07.077Z,2022-08-15T05:08:44Z,3706498691,212,26.9,3708971777,178,,3706498693,213,1.6,3706498689,141,68.4,3706498687,140,90.9,3706498685,56,Center,,,,,,,4baqlwfu312pctopy1cx6s2c5,S. Widmer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446139633,3,49,1,0,14,a8d2gb2nag8fy0itbuxmcibh2,1,7.3,33.7,2022-08-14T13:31:10.126Z,2022-08-15T05:09:17Z,,,,,,,,,,,,,,,,,,,,,,,,,87jamhsc8ps9kh5432u36kjc9,P. Jaeckel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446139673,4,1,1,0,14,a8d2gb2nag8fy0itbuxmcibh2,0,7.8,32.2,2022-08-14T13:31:10.205Z,2022-08-15T05:09:21Z,3706498927,140,38.6,3706498943,213,6.1,3706498939,212,32.9,3706498945,1,,3706498921,155,,3706498933,141,23.7,3708972215,178,,3706498923,56,Back,87jamhsc8ps9kh5432u36kjc9,P. Jaeckel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446590509,816,67,1,0,16,1c7qokc1j5z50cjj4tcu32haa,1,61.3,76.2,2022-08-14T13:31:11.729Z,2022-08-15T10:30:29Z,3709039667,233,825,,,,,,,,,,,,,,,,,,,,,,cjok1odm3twxo7sqye3hua6eh,M. Leitsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446590507,825,67,1,0,16,a8d2gb2nag8fy0itbuxmcibh2,0,38.7,23.8,2022-08-14T13:31:11.730Z,2022-08-15T06:50:25Z,3709039671,233,816,,,,,,,,,,,,,,,,,,,,,,5xhjvappzv6swoof5qpi0yj9,J. Siebatcheu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446139669,9,8,1,0,16,1c7qokc1j5z50cjj4tcu32haa,1,66.8,72.4,2022-08-14T13:31:11.753Z,2022-08-15T10:30:29Z,3708274523,384,,3708972341,178,,3706498911,56,Center,,,,,,,,,,,,,,,,cjok1odm3twxo7sqye3hua6eh,M. Leitsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446139719,5,5,1,0,19,a8d2gb2nag8fy0itbuxmcibh2,1,-0.7,42.4,2022-08-14T13:31:14.732Z,2022-08-15T05:09:41Z,3706499139,56,Back,3706499177,233,10,3706499141,346,,,,,,,,,,,,,,,,,87jamhsc8ps9kh5432u36kjc9,P. Jaeckel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446139725,10,5,1,0,19,1c7qokc1j5z50cjj4tcu32haa,0,100.7,57.6,2022-08-14T13:31:14.732Z,2022-08-15T05:09:40Z,3706499163,346,,3706499195,233,5,3706499161,56,Center,,,,,,,,,,,,,,,,cjok1odm3twxo7sqye3hua6eh,M. Leitsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446140195,6,1,1,0,47,a8d2gb2nag8fy0itbuxmcibh2,0,4.6,45.4,2022-08-14T13:31:42.796Z,2022-08-15T05:11:03Z,3706501503,56,Center,3706501501,124,,3706501511,213,6.1,3706501507,141,27.4,3706501509,212,81.4,3706501515,74,,3706501505,140,81.2,3706692477,1,,8l1mv5qd9vwade754v3l8epjp,F. Rønnow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446140151,11,49,1,0,52,1c7qokc1j5z50cjj4tcu32haa,1,15,76.3,2022-08-14T13:31:48.316Z,2022-08-15T05:11:23Z,,,,,,,,,,,,,,,,,,,,,,,,,cjok1odm3twxo7sqye3hua6eh,M. Leitsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446140187,12,1,1,0,52,1c7qokc1j5z50cjj4tcu32haa,0,15.6,73.8,2022-08-14T13:31:48.379Z,2022-08-15T05:11:27Z,3706501449,157,,3706501453,140,37.3,3706501461,1,,3706501451,56,Back,3706501459,213,0.7,3706501457,212,29.5,3708973357,178,,3706501455,141,100.0,cjok1odm3twxo7sqye3hua6eh,M. Leitsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446140393,8,5,1,0,55,a8d2gb2nag8fy0itbuxmcibh2,1,61,-1.4,2022-08-14T13:31:51.323Z,2022-08-15T05:11:37Z,3706502431,347,,3706508023,233,13,3706502429,56,Right,,,,,,,,,,,,,,,,8l1mv5qd9vwade754v3l8epjp,F. Rønnow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446140199,13,5,1,0,55,1c7qokc1j5z50cjj4tcu32haa,0,39,101.4,2022-08-14T13:31:51.323Z,2022-08-15T05:11:37Z,3706501523,347,,3706501521,56,Back,3706508055,233,8,,,,,,,,,,,,,,,,cjok1odm3twxo7sqye3hua6eh,M. Leitsch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446140205,7,43,1,0,56,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2022-08-14T13:31:52.473Z,2022-08-14T13:32:17Z,3706501545,285,0,3706502917,144,74,3706501543,56,Back,,,,,,,,,,,,,,,,8l1mv5qd9vwade754v3l8epjp,F. Rønnow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446140401,9,1,1,1,9,a8d2gb2nag8fy0itbuxmcibh2,1,64.4,0,2022-08-14T13:32:04.783Z,2022-08-15T05:12:06Z,3706693979,141,5.4,3706693977,140,73.2,3706502441,56,Right,3706693983,213,0.5,3706693981,212,10.3,3706693973,107,,,,,,,,cl6720rdjeubt0bc3su0qg3qh,J. Ryerson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446140409,10,1,1,1,10,a8d2gb2nag8fy0itbuxmcibh2,0,69.2,4,2022-08-14T13:32:05.928Z,2022-08-15T05:12:14Z,3706694625,213,3.0,3706694895,156,,3706694621,141,5.6,3706694619,140,63.2,3708973847,178,,3706694623,212,6.4,3706502461,56,Right,,,,5xhjvappzv6swoof5qpi0yj9,J. Siebatcheu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446614925,1015,67,1,1,11,1c7qokc1j5z50cjj4tcu32haa,1,36.2,92.7,2022-08-14T13:32:07.094Z,2022-08-15T10:30:29Z,3709146289,233,1059,,,,,,,,,,,,,,,,,,,,,,bwqqecmqm76v5b83v1cz891p1,Lee Jae-Sung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
