id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2544316747,1,34,16,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2023-05-06T12:41:08.727Z,2023-05-06T13:54:26Z,4254338731,197,11723,4254131369,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4254131367,194,7kjhx78gpi6m3r4j1b4jdyh91,4254131361,59,"1, 18, 25, 17, 5, 30, 32, 8, 14, 23, 19, 6, 7, 11, 13, 20, 24, 29, 41, 48",4254131363,130,8,4254131365,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4254131359,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4254131357,30,"3z6ekzop4y7cjuatzz9ua74k5, ao00a4lfe5vs9enjgkuu7vglx, dqrzogrwznyks6whhfhq748ut, au5tbnn48ve4kqnuu3dhmk296, ckjid5lfgbx8tdyoi32vbwn9x, 8k5c8po5gx3vnxx36viq08xqt, 514es9hzl2skv9dl5cofgkogl, 5i8dbjuewybsfgyym63clfw0l, 7tj7eobo7kmk8egcbfrabe8d1, 7kjhx78gpi6m3r4j1b4jdyh91, d0qyia80j5079xq5olbttqfl6, 1mkbxdrj3myvt6jm4tx8sywgl, l8bphgwl3llcckvf9zr6ptqt, cgzcn8oo03wda4e5o0jxgy4tl, 9bdxi3mvkftmqts59jptqq76d, 22zaq3o78o5feeogqdsvig02y, dwx1vmtmeiiokfqv18g7cb1lh, 43eq31reskwn9veb3vickralm, 8dq80nkl6nbdejj2ti0mb2w6i, c3xzgcjooby28l0ntz5uy5rtg",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544318767,1,34,16,0,0,eq1oq6y61xnzq88zu0cnw131z,1,0,0,2023-05-06T12:43:00.940Z,2023-05-06T13:36:48Z,4254141919,130,4,4254141917,59,"1, 2, 3, 11, 31, 20, 8, 4, 33, 9, 22, 6, 10, 16, 18, 21, 23, 28, 30, 35",4254141925,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4254141915,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4254141913,30,"clmq1s26z0i3lqr1jqnd5wzit, 2earc7j2kp3tveehpnxtv1exh, 6sc9zsev9an853nop6pn6mxg5, 2bzdn7cqqonejqmlq85w8z6qd, 6qujoqysad60h70f3ac5n9ch6, 8gnpf9kwx2n2rqwf1gixc4bth, 82r0liyptyapc8rfuo32qcqtx, 8ksi5s9he1uxai3lfcq46grf9, d2pco79bmi3f9x3zahtf9q2mt, 9xftmtdsxbuu2itzhi3v1xbdh, ejww8hjcn4y4hlik863vaw3qh, 4y167h8sn9cnyrvb097lf8lbd, 98e7uohj6lcvf59sfssff2y8l, 11dqnpwlb2clu2v7rnghsrlcl, 4oic5vu1qv89061hflasl3r3d, de3mpa534obonqn4h2v10f6xh, 719bo3u7wz5doaadx7k45trdh, 4f7gwrfeqm4x3k29jehes6od1, ns0d3voludn8of98yc2e6ehh, ep1bhk6t6sudlhjjz20j199ed",4254141923,194,82r0liyptyapc8rfuo32qcqtx,4254334421,197,8147,4254141921,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544357709,2,32,1,0,0,eq1oq6y61xnzq88zu0cnw131z,1,0,0,2023-05-06T13:30:47.538Z,2023-05-06T13:30:47Z,4254339607,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544357727,2,32,1,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2023-05-06T13:30:47.538Z,2023-05-07T03:46:36Z,4254339667,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544357785,3,1,1,0,0,eq1oq6y61xnzq88zu0cnw131z,1,49.9,50,2023-05-06T13:30:47.580Z,2023-05-07T06:31:48Z,4254339959,279,S,4254339957,213,3.2,4254339951,140,25.5,4254339949,56,Back,4257425579,178,,4254339955,212,25.7,4254339953,141,47.2,,,,82r0liyptyapc8rfuo32qcqtx,A. Losilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544357935,4,1,1,0,3,eq1oq6y61xnzq88zu0cnw131z,0,28.6,39.7,2023-05-06T13:30:51.141Z,2023-05-07T06:31:51Z,4254340519,141,78.3,4254340517,140,72.8,4254340521,212,53.3,4257425691,178,,4254340513,155,,4254340523,213,0.5,4254340515,56,Center,4254340525,1,,clmq1s26z0i3lqr1jqnd5wzit,M. Riemann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544357891,3,44,1,0,6,go76xxm0xyfgqt1h6tcrtimm,1,27,22.9,2023-05-06T13:30:54.171Z,2023-05-07T11:36:48Z,4254340599,233,5,4254340335,56,Back,4254340339,285,,,,,,,,,,,,,,,,,ckjid5lfgbx8tdyoi32vbwn9x,M. Friedrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544357937,5,44,1,0,6,eq1oq6y61xnzq88zu0cnw131z,0,73,77.1,2023-05-06T13:30:54.172Z,2023-05-07T06:31:57Z,4254340533,56,Center,4254340535,286,,4254340623,233,3,,,,,,,,,,,,,,,,d2pco79bmi3f9x3zahtf9q2mt,P. Hofmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544357909,4,12,1,0,6,go76xxm0xyfgqt1h6tcrtimm,1,26.7,24.1,2023-05-06T13:30:54.220Z,2023-05-07T11:36:50Z,4254340383,213,3.7,4257425905,388,,4254340381,212,19.6,4254340379,141,7.7,4254340377,140,11.4,4254340417,15,,4254340375,56,Back,,,,ckjid5lfgbx8tdyoi32vbwn9x,M. Friedrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2544970355,939,83,1,0,11,go76xxm0xyfgqt1h6tcrtimm,1,2.3,8.7,2023-05-06T13:30:59.049Z,2023-05-07T08:37:01Z,4257619289,399,428335,,,,,,,,,,,,,,,,,,,,,,ao00a4lfe5vs9enjgkuu7vglx,S. Lainer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
