id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/10/value,qualifier/13/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2509052071,1,34,16,0,0,eq1oq6y61xnzq88zu0cnw131z,1,0,0,2023-02-18T13:36:37.490Z,2023-02-18T14:43:21Z,4039252883,59,"1, 23, 3, 7, 20, 31, 11, 8, 33, 9, 22, 6, 16, 18, 24, 26, 28, 29, 30, 35",4039252885,130,8,4039252887,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039252891,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039252879,30,"clmq1s26z0i3lqr1jqnd5wzit, 719bo3u7wz5doaadx7k45trdh, 6sc9zsev9an853nop6pn6mxg5, f2o5hj0e2k3kw0fj1xzom0cet, 8gnpf9kwx2n2rqwf1gixc4bth, 6qujoqysad60h70f3ac5n9ch6, 2bzdn7cqqonejqmlq85w8z6qd, 82r0liyptyapc8rfuo32qcqtx, d2pco79bmi3f9x3zahtf9q2mt, 9xftmtdsxbuu2itzhi3v1xbdh, ejww8hjcn4y4hlik863vaw3qh, 4y167h8sn9cnyrvb097lf8lbd, 11dqnpwlb2clu2v7rnghsrlcl, 4oic5vu1qv89061hflasl3r3d, b7fqivvacy7mmarlp180k276d, 4tufo2e9tsw24l2cx7m5b6xh, 4f7gwrfeqm4x3k29jehes6od1, 8vfi7j34a5veeyswn5g5h4tbe, ns0d3voludn8of98yc2e6ehh, ep1bhk6t6sudlhjjz20j199ed",4039252881,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4039256707,197,8147,4039252889,194,82r0liyptyapc8rfuo32qcqtx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509056051,1,34,16,0,0,6k5zscdm9ufw0tguvzyjlp5hq,1,0,0,2023-02-18T13:40:56.695Z,2023-02-18T14:29:35Z,4039273071,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039273069,194,b7ve7k983eaewnupejiow3jdh,4039273061,59,"26, 17, 30, 27, 28, 3, 42, 8, 38, 9, 32, 1, 5, 14, 18, 22, 23, 25, 29, 33",4039273057,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4039471927,197,16251,4039273067,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039273065,130,8,4039273053,30,"920yurg08gqayxwc80q9f8ixh, 2jk8zu0m0tf7if0pyrkbo82xh, b7ve7k983eaewnupejiow3jdh, ejnh215cji6xou661kiwcc91x, 84mp3eqt1ckw107hwxpby9cd1, 6o2v57d92t1mejod24gmufcut, 7o11dzx2cccrslutrjl16ik89, f5ln82l8q7gvouj3zhsp5t4gl, 7c6034wb3zsuq9nhxxiahiuol, bsyv3fmihshve4jcr11qmtmfp, 2az0f39bhz2kvxhopalzi0h5h, 3r2j2j3v6kgmauw5yv9j3x1hx, e8dpcth2x1y0zbaovljbgk5hx, 7at6knpizbafid4br861pi6zt, 3w8uk04gxlm4tj4hmsc3msmvp, dglkt5h4m18p1qcj2uhqymvv9, bh5gxk1kd65fnph0s6kgxt8q2, d36na8jr6xcc8eronhy8mcz1m, arjwwth6yazptr851wu2u6e0a, 2es4ydlcwwasm6mu7rmey5r3e",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509095557,2,32,1,0,0,eq1oq6y61xnzq88zu0cnw131z,1,0,0,2023-02-18T14:31:30.360Z,2023-02-19T05:45:11Z,4039481337,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509095581,2,32,1,0,0,6k5zscdm9ufw0tguvzyjlp5hq,1,0,0,2023-02-18T14:31:30.360Z,2023-02-18T14:31:31Z,4039481473,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509095605,3,1,1,0,0,eq1oq6y61xnzq88zu0cnw131z,1,50,50,2023-02-18T14:31:30.384Z,2023-02-19T07:30:37Z,4039481589,56,Back,4039481595,212,21.9,4039481593,141,58.2,4039481599,213,2.9,4042788387,178,,4039481603,279,S,4039481591,140,29.8,,,,9xftmtdsxbuu2itzhi3v1xbdh,S. Zoller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509095649,4,1,1,0,1,eq1oq6y61xnzq88zu0cnw131z,1,29.8,58.2,2023-02-18T14:31:32.046Z,2023-02-19T07:30:41Z,4039481831,212,2.7,4039481829,141,62.1,4039481827,140,29.3,4042788465,178,,4039481833,213,1.8,4039481825,56,Back,,,,,,,f2o5hj0e2k3kw0fj1xzom0cet,K. Stöger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509095693,5,1,1,0,2,eq1oq6y61xnzq88zu0cnw131z,1,29.3,62.1,2023-02-18T14:31:33.214Z,2023-02-19T07:30:46Z,4039482027,1,,4039482025,213,6.0,4039482019,140,74.8,4039482023,212,50.5,4042788567,178,,4039482017,56,Center,4039482015,157,,4039482021,141,37.9,clmq1s26z0i3lqr1jqnd5wzit,M. Riemann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509095695,6,44,1,0,5,eq1oq6y61xnzq88zu0cnw131z,1,74.1,35.5,2023-02-18T14:31:35.944Z,2023-02-19T09:03:03Z,4039482033,286,,4039482031,56,Center,4039482041,233,3,,,,,,,,,,,,,,,,6qujoqysad60h70f3ac5n9ch6,K. Schlotterbeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509095681,3,44,1,0,5,6k5zscdm9ufw0tguvzyjlp5hq,0,25.9,64.5,2023-02-18T14:31:35.945Z,2023-02-19T07:30:51Z,4039481971,285,,4039482065,233,6,4039481969,56,Back,,,,,,,,,,,,,,,,f5ln82l8q7gvouj3zhsp5t4gl,M. Eggestein,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509095717,7,1,1,0,5,eq1oq6y61xnzq88zu0cnw131z,1,74.8,37.9,2023-02-18T14:31:35.984Z,2023-02-19T09:03:04Z,4039482107,141,40.5,4042788739,388,,4039482103,56,Center,4039482109,212,11.8,4039482105,140,85.9,4039499049,210,13,4039482111,213,0.2,4039482099,3,,6qujoqysad60h70f3ac5n9ch6,K. Schlotterbeck,1,4039499051,154,4039482101,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
