id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,assist,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/14/value,qualifier/15/value,qualifier/18/value,qualifier/16/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId
2484297681,1,34,16,0,0,dt4pinj0vw0t0cvz7za6mhmzy,1,0,0,2022-11-11T18:39:03.712Z,2022-11-11T19:29:04Z,3909013705,197,2698,3908894189,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3908894187,194,cd6i7khi5wgsfsg19c9tcjydx,3908894185,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3908894183,130,8,3908894181,59,"1, 25, 13, 23, 15, 4, 7, 22, 18, 19, 21, 6, 10, 20, 27, 30, 33, 44, 46, 47",3908894177,30,"9rjd95oqotnalxmv56v7p1r6d, 4vy3j1o829f561jf4fqum7ob9, 6ie5meimavc8kwohr6lrdyket, 7lai6ovwsl01gonutejt4mms5, cd6i7khi5wgsfsg19c9tcjydx, d5mck7rf48chzersephpx29d5, 2we9yak4ipkr1ljigj20puv6y, e83ula4wockmc2xid7185kcq2, eguzzwxdm0fwocax6srpck48a, f4qcgzveslklfi8601tep77x1, 7q96z3aaee5jyccb8pjthi8kp, emvi36y613e4lqlat3wfdih9l, 3y9nm18as1wxhizq3fyazb2t, 4lcyjhvtwieshr4r3a6104qtx, ebj6t5jqzixrnww1z7qofznu2, culbbgu1o5fdbl3gxz54rbn4l, 2jrntrq2x714pviioh3jnkted, 1ltc40nsr2fkx99i5hf7i3mga, 71w4o1g2v04rp4l4j0dygnre2, 8zl9wv46y5bchktqcwth3z3ai",3908894179,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484298231,1,34,16,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2022-11-11T18:41:02.460Z,2022-11-11T19:30:44Z,3908897131,130,8,3908897133,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3908897127,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3908897125,30,"8dq80nkl6nbdejj2ti0mb2w6i, 43eq31reskwn9veb3vickralm, dqrzogrwznyks6whhfhq748ut, au5tbnn48ve4kqnuu3dhmk296, ckjid5lfgbx8tdyoi32vbwn9x, 8k5c8po5gx3vnxx36viq08xqt, 7kjhx78gpi6m3r4j1b4jdyh91, 5i8dbjuewybsfgyym63clfw0l, 66nvc8a4kd3cyeyj3i474cudx, 1mkbxdrj3myvt6jm4tx8sywgl, 9bdxi3mvkftmqts59jptqq76d, 70tsvrcmklvp4ecdhxlugf8ix, l8bphgwl3llcckvf9zr6ptqt, ao00a4lfe5vs9enjgkuu7vglx, d0qyia80j5079xq5olbttqfl6, 22zaq3o78o5feeogqdsvig02y, dwx1vmtmeiiokfqv18g7cb1lh, bc5vmdnoyshdi5hcgu8dgqxyi, 4he5y38wqjg4hcbk46m2wio2y, 2fadtqb0v2zreactvdosbxy50",3908897129,59,"41, 29, 25, 17, 5, 30, 23, 8, 10, 6, 13, 3, 7, 18, 19, 20, 24, 27, 33, 38",3908897135,194,9bdxi3mvkftmqts59jptqq76d,3908897137,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3909018475,197,12803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484322025,2,32,1,0,0,dt4pinj0vw0t0cvz7za6mhmzy,1,0,0,2022-11-11T19:31:45.134Z,2022-11-11T19:31:45Z,3909021389,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484322045,2,32,1,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2022-11-11T19:31:45.134Z,2022-11-12T08:48:36Z,3909021475,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484322061,3,1,1,0,0,dt4pinj0vw0t0cvz7za6mhmzy,1,49.8,50.1,2022-11-11T19:31:45.260Z,2022-11-12T09:00:47Z,3909021567,56,Back,3909021569,140,30.8,3909021571,141,63.3,3909021573,212,21.9,3909534089,178,,3909021577,279,S,3909021575,213,2.7,,,,eguzzwxdm0fwocax6srpck48a,Y. Moukoko,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484322113,4,1,1,0,3,dt4pinj0vw0t0cvz7za6mhmzy,0,30.8,63.3,2022-11-11T19:31:48.693Z,2022-11-12T09:01:48Z,3909534845,178,,3909021805,213,5.8,3909021807,1,,3909021797,56,Center,3909021801,141,25.4,3909021795,155,,3909021803,212,50.9,3909021799,140,72.6,d5mck7rf48chzersephpx29d5,N. Schlotterbeck,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484322111,3,44,1,0,6,go76xxm0xyfgqt1h6tcrtimm,1,25.4,75,2022-11-11T19:31:51.736Z,2022-11-12T11:03:12Z,3909021905,233,5,3909021791,56,Back,3909021793,285,,,,,,,,,,,,,,,,,dqrzogrwznyks6whhfhq748ut,R. Bensebaïni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484322123,5,44,1,0,6,dt4pinj0vw0t0cvz7za6mhmzy,0,74.6,25,2022-11-11T19:31:51.737Z,2022-11-12T09:01:55Z,3909021841,286,,3909021839,56,Center,3909021923,233,3,,,,,,,,,,,,,,,,2we9yak4ipkr1ljigj20puv6y,G. Reyna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484322117,4,1,1,0,6,go76xxm0xyfgqt1h6tcrtimm,0,23.4,75.5,2022-11-11T19:31:51.897Z,2022-11-12T11:03:13Z,3909021813,56,Back,3909021811,3,,3909021829,213,6.0,3909021825,212,12.0,3909021815,140,34.5,3909021819,141,71.1,3909535097,388,,,,,dqrzogrwznyks6whhfhq748ut,R. Bensebaïni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2484322143,6,1,1,0,8,dt4pinj0vw0t0cvz7za6mhmzy,1,63.5,31.1,2022-11-11T19:31:53.755Z,2022-11-12T09:02:14Z,3909021957,212,7.3,3909021955,141,41.8,3909021959,213,1.6,3909021953,140,63.3,3909021951,56,Center,3909535211,178,,,,,,,,e83ula4wockmc2xid7185kcq2,J. Bellingham,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
