id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/9/value,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,keyPass,qualifier/13/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/15/value
2455836357,1,34,16,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2022-09-04T14:31:41.168Z,2022-09-04T15:29:59Z,3758062133,59,"1, 29, 25, 17, 3, 30, 23, 6, 10, 32, 14, 5, 7, 8, 11, 13, 19, 20, 21, 24",3758062135,130,8,3758062131,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3758062137,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3758062139,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3758062129,30,"bagn0ce4xunsiz3mezrtqx1p1, 43eq31reskwn9veb3vickralm, dqrzogrwznyks6whhfhq748ut, au5tbnn48ve4kqnuu3dhmk296, 70tsvrcmklvp4ecdhxlugf8ix, 8k5c8po5gx3vnxx36viq08xqt, 7kjhx78gpi6m3r4j1b4jdyh91, 1mkbxdrj3myvt6jm4tx8sywgl, 66nvc8a4kd3cyeyj3i474cudx, 514es9hzl2skv9dl5cofgkogl, 7tj7eobo7kmk8egcbfrabe8d1, ckjid5lfgbx8tdyoi32vbwn9x, l8bphgwl3llcckvf9zr6ptqt, 5i8dbjuewybsfgyym63clfw0l, cgzcn8oo03wda4e5o0jxgy4tl, 9bdxi3mvkftmqts59jptqq76d, d0qyia80j5079xq5olbttqfl6, 22zaq3o78o5feeogqdsvig02y, slsd8022q9s3uugsafaqt2ol, dwx1vmtmeiiokfqv18g7cb1lh",3758266581,197,11723,3758266579,194,bagn0ce4xunsiz3mezrtqx1p1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455837225,1,34,16,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2022-09-04T14:32:54.239Z,2022-09-04T15:30:02Z,3758066911,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3758266751,194,4baqlwfu312pctopy1cx6s2c5,3758066901,30,"ci1nu5z8aiiikco8af0zk1lud, 4baqlwfu312pctopy1cx6s2c5, eh9sh9aa10zrp80l6e4l0c7h1, cjok1odm3twxo7sqye3hua6eh, ernbjicg113inzsubzrfm8fyt, bvifdvoxv9e8nq8qe37c0gvrp, l469vtpe0jbgg5sq1v2e67e1, d608s0948uh3owqee7t0en7px, dzolxp2oixtakcrqfyibpu76d, d3tfdqfnab7bqxfdh3399y06i, bwqqecmqm76v5b83v1cz891p1, d2gbcc336c4zatpiif4cvm2fp, 2w76r8guf9sacoriu0ivytyax, az7owi5t4bclkamjsjuyxzv1l, d9q12xp4h8nhtjxl5il3vufh1, 24w7jq5qou30k8f76lmr20ju2, 6u47fsriz3ejlf72hxtsew5bd, 6uurhe88nry4hyelll8ifzd91, 84uzswqtdoq56g034rg0kk16, 3n2imac1yp8jppsf36a4qg76y",3758066905,59,"27, 30, 3, 5, 42, 16, 8, 31, 9, 29, 7, 1, 4, 6, 10, 17, 19, 20, 36, 37",3758066903,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",3758066909,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3758260997,197,16363,3758066907,130,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455876589,2,32,1,0,0,1c7qokc1j5z50cjj4tcu32haa,1,0,0,2022-09-04T15:32:47.703Z,2022-09-04T15:32:47Z,3758274407,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455876611,2,32,1,0,0,go76xxm0xyfgqt1h6tcrtimm,1,0,0,2022-09-04T15:32:47.703Z,2022-09-04T23:37:18Z,3758274489,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455876673,3,1,1,0,0,1c7qokc1j5z50cjj4tcu32haa,1,49.6,50.6,2022-09-04T15:32:47.709Z,2022-09-04T23:50:11Z,3758274769,141,56.3,3758274767,140,31.3,3758274765,56,Back,3758274775,279,S,3758274773,213,2.9,3758274771,212,19.6,3759768641,178,,,,,dzolxp2oixtakcrqfyibpu76d,K. Onisiwo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455876703,4,1,1,0,3,1c7qokc1j5z50cjj4tcu32haa,1,32,57.5,2022-09-04T15:32:51.548Z,2022-09-04T23:50:22Z,3758274955,213,6.0,3758274953,212,39.3,3758274945,155,,3758274951,141,38.9,3758274947,56,Center,3758274957,1,,3758274949,140,67.4,3759770131,178,,ernbjicg113inzsubzrfm8fyt,A. Hack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455876741,5,1,1,0,6,1c7qokc1j5z50cjj4tcu32haa,1,67.4,38.9,2022-09-04T15:32:54.076Z,2022-09-04T23:50:31Z,3758275137,140,74.3,3758275139,141,59.9,3758275141,212,16.0,3758275135,56,Center,3758275133,3,,3758275143,213,1.1,3759770573,388,,,,,d3tfdqfnab7bqxfdh3399y06i,J. Burkardt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455876767,6,1,1,0,10,1c7qokc1j5z50cjj4tcu32haa,1,70.3,69.7,2022-09-04T15:32:58.054Z,2022-09-04T23:50:47Z,3758275285,141,89.4,3758275283,140,69.6,3758275281,56,Left,3758275289,213,1.6,3758275287,212,13.4,3759771283,178,,,,,,,,bwqqecmqm76v5b83v1cz891p1,Lee Jae-Sung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455876811,7,1,1,0,13,1c7qokc1j5z50cjj4tcu32haa,1,70.2,94.6,2022-09-04T15:33:01.575Z,2022-09-04T23:51:06Z,3758275521,56,Left,3759771837,178,,3758275525,141,96.2,3758275523,140,84.6,3758275529,213,0.1,3758275527,212,15.2,,,,,,,eh9sh9aa10zrp80l6e4l0c7h1,Aarón Martín,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2455876813,8,1,1,0,18,1c7qokc1j5z50cjj4tcu32haa,0,98.5,95.6,2022-09-04T15:33:06.077Z,2022-09-04T23:51:21Z,3758275545,213,4.5,3758275543,212,1.4,3758275533,2,,3758275539,140,98.2,3758275537,56,Left,3759215297,72,,3759215295,224,,3758275657,236,,bwqqecmqm76v5b83v1cz891p1,Lee Jae-Sung,3758275659,233,3,3759772429,178,3758275541,141,93.6,3758275663,286,,,,,,,,,,,,,,,,,,,,,,,,,,
