id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist,qualifier/13/value,qualifier/10/value,qualifier/11/value
2452465179,1,34,16,0,0,cu0eztmjcsbydyp53aleznorw,1,0,0,2022-08-28T14:32:23.342Z,2022-08-28T15:31:02Z,3740103587,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740103581,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3740103579,30,"expxslws50h0iw0logr02gs7p, 7k7whr0pdbw5wtk7g0cwozw0l, 8nug6t1cmn9pwhnwdf6nyhrrp, aaoycxwi9jny6flm4apz8a2uh, 6kge6vcoa9ocnh6tb8qznfzkl, 1psr9ra8k9j4r94p1xixagzbp, 26nfmfc8p2doisd9p8vtd33dh, 14fw7p4fzaxprndgxnx0gxgbt, 5ndmhtdu5jfgvzuddd7fu2fh1, cjq9g6zgcxk1ceo2xzpe1qnyt, ec5ng4j3rcjwsjz1v05e1z3dh, 2p48525x4ap9m81g6ode51cyd, 8kar47kxxc8f20vc9ul2ez3yt, b4q9q0qgmtz959rygieg9ln1l, d95i3fwjrk3ti4co645mde76x, 56e76dk2fd95o2n7e98tpjg0l, eayipmdtzbmjgjouq10nqhcrt, f14n6d52p37nkvoo5n3i52x2h, dr0kn3srxtg7nuw99gjoim7e1, 7llxni56g8q0yt33vhp1pt3o5",3740103583,59,"1, 8, 3, 32, 13, 5, 10, 6, 7, 11, 36, 4, 9, 20, 22, 23, 26, 27, 28, 30",3740283689,194,aaoycxwi9jny6flm4apz8a2uh,3740283691,197,16262,3740103589,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740103585,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452466803,1,34,16,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2022-08-28T14:34:41.659Z,2022-08-28T15:28:41Z,3740278783,197,16306,3740112905,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740112895,30,"7obuhegyo1qcoikt23egcsr85, a3ib09ji7qsz6cgj3vmz5qort, d7xdtkzw3h749ngi4sobn6kmh, 7cdiijsvnfc7tafy0zkf4uz9, bd4p670s36cp1dh4fadv84qcq, efzokrggje7s9wc6hg75yc6ax, 5ph2ln91ycq1qlq03cnqqs9re, 78e1qvft3ser2tyayjlmemdp1, g3fgd752o63acmmuahdvppm1, eqtsanns36za56h4pfqhbnh05, az15xx7m923srf9gdbwmiyga1, 7iqt50eaixxatz08dh54p81gq, 2x5f35hk2urqlgoito1vgb3yt, 8kqmsuo668wpuzoyyxf4o2vo5, bgtnbojs8g884mbksh6o4wu6t, 7gni45coa4swn1i66wzpzug9h, 3qy1qlzezgfkxeom5n1r9h13p, f5lfo1hz7u5bk494w53arcacq, byn8dfwg5zdefrca7wgn32qne, f2ibn3ej2doay3b4u8ezeix62",3740112903,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3740112897,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3740112901,130,8,3740112899,59,"1, 6, 33, 8, 35, 2, 29, 17, 9, 27, 15, 5, 19, 20, 21, 22, 25, 26, 36, 40",3740278781,194,78e1qvft3ser2tyayjlmemdp1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452498909,2,32,1,0,0,c5hderjlkcoaze51e5wgvptk,1,0,0,2022-08-28T15:31:35.351Z,2022-08-28T15:31:38Z,3740285911,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452498863,2,32,1,0,0,cu0eztmjcsbydyp53aleznorw,1,0,0,2022-08-28T15:31:35.351Z,2022-08-29T03:47:27Z,3740285681,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452498923,3,1,1,0,0,cu0eztmjcsbydyp53aleznorw,1,50,50,2022-08-28T15:31:35.423Z,2022-08-29T03:52:17Z,3740285989,141,55.8,3740285991,212,21.3,3740285985,56,Back,3740285993,213,3.0,3740285987,140,30.1,3742475235,178,,3740285995,279,S,,,,5ndmhtdu5jfgvzuddd7fu2fh1,M. Ducksch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452498999,4,1,1,0,3,cu0eztmjcsbydyp53aleznorw,1,30.3,53.4,2022-08-28T15:31:39.079Z,2022-08-29T03:52:22Z,3740286333,155,,3740286337,140,71.0,3740286345,1,,3742475333,178,,3740286341,212,43.2,3740286335,56,Center,3740286339,141,63.0,3740286343,213,0.2,aaoycxwi9jny6flm4apz8a2uh,M. Friedl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452499011,5,44,1,0,6,cu0eztmjcsbydyp53aleznorw,1,72.7,60.7,2022-08-28T15:31:41.983Z,2022-08-29T12:39:22Z,3740286429,233,3,3740286391,286,,3740286389,56,Center,,,,,,,,,,,,,,,,cjq9g6zgcxk1ceo2xzpe1qnyt,N. Füllkrug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452498987,3,44,1,0,6,c5hderjlkcoaze51e5wgvptk,0,27.3,39.3,2022-08-28T15:31:41.984Z,2022-08-29T03:52:47Z,3740286457,233,5,3740286291,56,Back,3740286293,285,,,,,,,,,,,,,,,,,bd4p670s36cp1dh4fadv84qcq,Tuta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452499027,6,1,1,0,6,cu0eztmjcsbydyp53aleznorw,0,71,63,2022-08-28T15:31:42.071Z,2022-08-29T12:39:22Z,3740286489,213,0.5,3740286477,3,,3740286485,141,73.1,3740286487,212,14.5,3740286481,56,Center,3740286483,140,83.2,3740286479,168,,3742475773,388,,cjq9g6zgcxk1ceo2xzpe1qnyt,N. Füllkrug,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2452499037,4,49,1,0,9,c5hderjlkcoaze51e5wgvptk,1,20.2,8.6,2022-08-28T15:31:44.448Z,2022-08-29T03:53:06Z,,,,,,,,,,,,,,,,,,,,,,,,,a3ib09ji7qsz6cgj3vmz5qort,K. Jakić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
