id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/8/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,keyPass,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,qualifier/11/value,qualifier/13/value,assist,qualifier/14/value
2536994641,1,34,16,0,0,8q1ul09cygzswb7tb456bmifv,1,0,0,2023-04-22T12:41:15.471Z,2023-04-22T13:34:46Z,4208134279,59,"20, 2, 14, 6, 4, 24, 37, 28, 27, 11, 7, 1, 3, 8, 15, 17, 21, 23, 29, 47",4208134287,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4208134275,30,"4zfgh6wq7svx418tzwf0gfavp, 38knnji3m4qg6pqohph35n74l, 21vfv10e7fh6b2xtcu55ihn11, 3saz8njlttx2i4ospcwmmaqga, 3tdsezcgdlm4laybvh4u49cr9, mgwgcv336wb93xvv0pfr6dih, cnf7quyillyf560nh14taliw9, ojqb7kv87o0cidbckgtg1rdh, 6yc09eth94qsachf595dyx6fp, 55z0yap5tml66nes2cchg7ahh, bkonv3y0vn24mpn6j8abjtux, 224uan6ugjt7b2c1zsxrs2pcl, f239q43hdwrm7u7mu5jqyk91x, 89s9fm31pcfq7l28kc2kad4kq, 4w8nqkhp6v62vs319a7qckfs9, 6dzx3oyd42ql69tqxqvg8mpxx, 8n4b6j21nxf1nf628ugg3xsdl, 8mmecefcbz8wu4jcqqywps5p1, 7rltyxkrvvfg7q1hppl631soa, 2hb1dyg1auzdfbi3lg9ysap9m",4208315681,197,11882,4208134281,130,8,4208134285,194,21vfv10e7fh6b2xtcu55ihn11,4208134277,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4208134283,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2536995709,1,34,16,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,0,0,2023-04-22T12:42:24.472Z,2023-04-22T13:34:32Z,4208139927,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4208139931,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4208315507,197,3794,4208139929,194,cm8po8ez5w9ms01gid6w3kwk5,4208139923,59,"1, 3, 11, 25, 23, 22, 27, 20, 9, 14, 8, 4, 5, 10, 13, 16, 19, 29, 37, 39",4208139919,30,"cm8po8ez5w9ms01gid6w3kwk5, shbxc528h0udd6rdf3ax2itx, 9uthj64y9f77y63tq7did539x, 6yhylu5q0y924amgv7vlodkgl, a5kkysp7c5f577ji17q5v2k0l, elh8kttxq9xfpoqfmpxv9jr2t, ew18qvvupaejxubhqmxmbd39x, 8um4xh0ekvr4q6uti3ksld8q2, bkbmygo5f1glcs6xssawl26z9, 5pousbiuqbus68yekd0mhc5pl, f3v95yyj6j7h7qpprxm4zlre1, 4rrnad6qnutl60z8e1quup6tx, 6ki6rv564ybctrajr2xtgyeax, e9c0v3ik308t91njildxzc6vp, 7hnmtyfmurizitwz1whecjnmy, 3rj7x05qx17n925xfpcrl0jpx, bpprd2haoafk6y0rjans4iytx, arwidogdfccsjv8fxa1veezf9, 6k3daudjhieulsgywbt9uoep6, 6sj31v61vtwwxe5hhwkj80g7o",4208139921,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4208139925,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537031411,2,32,1,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,0,0,2023-04-22T13:30:16.164Z,2023-04-22T21:19:49Z,4208330685,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537031419,2,32,1,0,0,8q1ul09cygzswb7tb456bmifv,1,0,0,2023-04-22T13:30:16.164Z,2023-04-22T13:30:17Z,4208330727,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537031455,3,1,1,0,0,8q1ul09cygzswb7tb456bmifv,1,50,50,2023-04-22T13:30:16.175Z,2023-04-23T03:11:49Z,4208330891,140,23.2,4208330895,212,30.0,4208330893,141,34.8,4208330899,279,S,4211979819,178,,4208330889,56,Back,4208330897,213,3.5,,,,55z0yap5tml66nes2cchg7ahh,F. Kainz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537031477,4,1,1,0,1,8q1ul09cygzswb7tb456bmifv,1,23.2,34.8,2023-04-22T13:30:17.825Z,2023-04-23T03:11:56Z,4208331005,213,1.9,4208331001,141,44.2,4208331003,212,6.7,4208330999,140,21.4,4211980045,178,,4208330997,56,Back,,,,,,,3tdsezcgdlm4laybvh4u49cr9,T. Hübers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537031499,5,1,1,0,3,8q1ul09cygzswb7tb456bmifv,1,21.4,44.2,2023-04-22T13:30:20.135Z,2023-04-23T03:12:00Z,4208331165,141,13.4,4211980179,178,,4208331155,56,Right,4208331151,155,,4208331175,1,,4208331159,140,60.3,4208331167,212,45.9,4208331173,213,5.8,4zfgh6wq7svx418tzwf0gfavp,M. Schwäbe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537031507,6,44,1,0,7,8q1ul09cygzswb7tb456bmifv,1,61.2,10.6,2023-04-22T13:30:23.634Z,2023-04-23T03:12:10Z,4208331351,233,3,4208331201,286,,4208331197,56,Right,,,,,,,,,,,,,,,,6yc09eth94qsachf595dyx6fp,D. Selke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537031533,3,44,1,0,7,4l9mrqzmajz5crzlz50mtbt6x,0,38.8,89.4,2023-04-22T13:30:23.635Z,2023-04-23T03:12:11Z,4208331375,233,6,4208331315,56,Back,4208331321,285,,,,,,,,,,,,,,,,,9uthj64y9f77y63tq7did539x,Angeliño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2537031523,7,1,1,0,7,8q1ul09cygzswb7tb456bmifv,0,60.3,13.4,2023-04-22T13:30:23.687Z,2023-04-23T03:12:14Z,4208331285,212,21.2,4208331281,140,78.0,4208331277,168,,4208331283,141,0.0,4211980727,388,,4208331279,56,Right,4208331287,213,5.8,4208331275,3,,6yc09eth94qsachf595dyx6fp,D. Selke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
