id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist,qualifier/18/value
2475334021,1,34,16,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,0,0,2022-10-22T12:37:58.944Z,2022-10-22T13:36:34Z,3861972699,197,16596,3861710843,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3861723365,194,tedxo29s8xx0a71z6sidw7v9,3861710839,130,15,3861710829,30,"840353qq4b6ufh0hhm9o0n45x, egmcpa7j5clzga5m0zvg2f105, 4gmknefwu0tt33z88tu75xmg9, 8ls8npa774mbrxje10ff46sb9, bs6f5ag1f47ropxefrybtaktl, tedxo29s8xx0a71z6sidw7v9, 4zrut521fzw9fddqt74pnl756, 4kolmisdpprx0wrahisadl5n9, d9jj0525pm3nu9vqewtpo2rpx, 48xfkorlx0hu677np4669wbth, avk9yje6h4nndg3cufnbu2imt, 3er9krmf0k6dhv6f9ltztfend, aybzlrbkvnobkazjsmox975jp, d8h5ge9ust20o7us968acnsnp, 3abavmbqh6vt0xgcx6zo4mgru, 19i0qsgzkuzg3b19zogzh7o16, 89hc9e27swp796vy7yvylg3x1, 1obtsawtd9yqeuinc4gw9k8ru, diyzb2gwf1zkvqyjc63085eui, c4xs11ejari9h013y51jrzfmx",3861710835,59,"40, 3, 22, 8, 23, 6, 16, 13, 11, 7, 9, 10, 14, 20, 21, 25, 32, 41, 42, 47",3861710831,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3861710847,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475335451,1,34,16,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,0,0,2022-10-22T12:39:21.700Z,2022-10-22T13:29:43Z,3861718377,59,"21, 39, 22, 44, 4, 32, 17, 24, 9, 19, 10, 2, 7, 8, 13, 18, 25, 37, 38",3861724567,194,eapihgte8ydc4g6hzygsx2e39,3861718395,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3861933289,197,16394,3861718373,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",3861718389,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3861718383,130,15,3861718371,30,"axcrcuv22693vn0a887samsph, 3isbv9egu9vzxnna4ix8gcudx, 2uz1cmslnjjzsgfcgji26kqg9, axj39lx25teh62rih6uv9qor9, eapihgte8ydc4g6hzygsx2e39, 9prtaifv6stlujgywgq4wd08a, avh60ensgiwz1qalvn1bbqkfd, 1s1v1tweyx8wxc9hj2jrnaggl, 8l0am8k4pg2s9g9qbkhwte6dx, dhhmffih4gl51nlu92hfctqs5, ckox9w95duwhmt72xxk7lt2vp, 95gjm3yk75rmwyneb350zoktm, 4gq1u1mqg0qzekh1u5djleeax, 7o3fumeufgigw092b7i5n4f6x, cfc7fqq748bz3nklfam2a2fp, 1j0a3ml1zglc9s31yentfckb9, c0rzlb9gffcwfrcpzd40ob7fu, dyigvzjpa74cw4urhh7fwzs2d, 8zmj7mo9zxsoo5trhmmgmgb56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475375295,2,32,1,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,0,0,2022-10-22T13:30:08.586Z,2022-10-22T13:30:12Z,3861935125,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475375281,2,32,1,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,0,0,2022-10-22T13:30:08.586Z,2022-10-23T02:37:54Z,3861935055,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475375389,3,1,1,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,50,50,2022-10-22T13:30:08.673Z,2022-10-23T04:34:53Z,3861935477,56,Back,3865277483,178,,3861935487,279,S,3861935485,213,2.9,3861935481,141,58.8,3861935479,140,24.4,3861935483,212,27.5,,,,48xfkorlx0hu677np4669wbth,F. Niederlechner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475375405,4,1,1,0,3,ex3psl8e3ajeypwjy4xfltpx6,0,24.7,59.7,2022-10-22T13:30:11.709Z,2022-10-23T04:35:03Z,3861935577,141,53.3,3861935571,155,,3865277599,178,,3861935575,140,76.4,3861935573,56,Center,3861935589,1,,3861935581,212,54.5,3861935585,213,6.2,bs6f5ag1f47ropxefrybtaktl,M. Bauer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475375459,3,1,1,0,6,9gefq4dz9b2hl8rqrxwrlrzmp,0,22.5,42.1,2022-10-22T13:30:15.077Z,2022-10-23T04:35:07Z,3865277729,388,,3861935927,212,9.7,3861935923,140,31.3,3861935919,3,,3861935929,213,6.0,3861935925,141,38.0,3861935921,56,Back,,,,9prtaifv6stlujgywgq4wd08a,J. Gvardiol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475375483,5,44,1,0,9,ex3psl8e3ajeypwjy4xfltpx6,1,68.7,61.6,2022-10-22T13:30:17.651Z,2022-10-23T06:12:01Z,3861936047,286,,3861936055,233,4,3861936045,56,Center,,,,,,,,,,,,,,,,4kolmisdpprx0wrahisadl5n9,E. Rexhbeçaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475375469,4,44,1,0,9,9gefq4dz9b2hl8rqrxwrlrzmp,0,31.3,38.4,2022-10-22T13:30:17.652Z,2022-10-23T04:35:14Z,3861936089,233,5,3861935975,56,Back,3861935977,285,,,,,,,,,,,,,,,,,axj39lx25teh62rih6uv9qor9,K. Kampl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2475375501,6,1,1,0,9,ex3psl8e3ajeypwjy4xfltpx6,0,67.2,59,2022-10-22T13:30:17.679Z,2022-10-23T06:12:01Z,3861936133,213,6.2,3861936123,3,,3865277925,388,,3861936129,141,58.1,3861936125,56,Center,3861936131,212,8.0,3861936127,140,74.8,,,,4kolmisdpprx0wrahisadl5n9,E. Rexhbeçaj,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
