id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/10/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/13/value,qualifier/16/value,qualifier/15/value,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2448358595,1,34,16,0,0,7ad69ngbpjuyzv96drf8d9sn2,1,0,0,2022-08-20T12:38:40.033Z,2022-08-20T13:28:36Z,3718303877,59,"1, 30, 3, 8, 4, 12, 19, 20, 14, 9, 23, 5, 6, 7, 10, 11, 22, 24, 25, 36",3718423685,197,11890,3718303873,30,"cg6h7oq0b5zpx1g4brhzyk1xx, 9qo448ueot8pfc5oqo378wag9, 4foax2b7unlkev1eq6py86lii, 4tev0kk0om8cr1xbwpt8bozit, 5ec2ede9uwbft3wby33mwowyd, djha3ac2mfhyb7oia64hq2nd, 9ydkbbygq6uocors9kcdnzbop, 8wlyh0e8178je0hylqjifbkr9, c0ewvrtk657uw4t5rlv87mq51, 59pu8nnghyxvvt8r3zyndpfpx, e4vr28e9cbq3q5nux1jlpuuei, a41r2ob5fhirgdwxwox6nr4yx, cis0z72hgahfnfjduk7hdnz3e, 9c9v6wjh3fufmds8nm5aqfmcp, 2cq6ocr7j487do4nrm3sreg9h, 7w63iqek6hmnizlirurla1cr9, aze5i6ssy55jrc8k9vhrs8o9h, 3ojzrb5okc6i1jf1o7okovnjd, 6rg37ej1x7pwi7r4aq1107pih, byk5vhf9l112i7hhy1clravp",3718303875,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3718303879,130,8,3718303881,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3718423683,194,cg6h7oq0b5zpx1g4brhzyk1xx,3718303883,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448361541,1,34,16,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,0,0,2022-08-20T12:44:00.631Z,2022-08-20T13:28:09Z,3718319659,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3718319655,130,12,3718420909,197,16294,3718422607,194,cm8po8ez5w9ms01gid6w3kwk5,3718319653,59,"1, 29, 11, 25, 22, 5, 6, 14, 27, 33, 8, 3, 7, 10, 13, 16, 18, 26, 37, 38",3718319651,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3718319649,30,"cm8po8ez5w9ms01gid6w3kwk5, arwidogdfccsjv8fxa1veezf9, 9uthj64y9f77y63tq7did539x, 6yhylu5q0y924amgv7vlodkgl, elh8kttxq9xfpoqfmpxv9jr2t, 6ki6rv564ybctrajr2xtgyeax, 57c808184l80uuuv7z3flcu6t, 5pousbiuqbus68yekd0mhc5pl, ew18qvvupaejxubhqmxmbd39x, e8ekkg0yayhhmmhinl0v9une, f3v95yyj6j7h7qpprxm4zlre1, shbxc528h0udd6rdf3ax2itx, 9dnrpl2c7n769i8nbfnboq2tx, e9c0v3ik308t91njildxzc6vp, 7hnmtyfmurizitwz1whecjnmy, 3rj7x05qx17n925xfpcrl0jpx, c1nt67z429kirthuhkdxouor9, 5neiwdz7rtkhzj0cneic4xcoa, 6k3daudjhieulsgywbt9uoep6, 1po7tmdv73zfjentt0p20wdlh",3718319657,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448383463,2,32,1,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,0,0,2022-08-20T13:30:31.983Z,2022-08-20T13:30:32Z,3718427865,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448383493,2,32,1,0,0,7ad69ngbpjuyzv96drf8d9sn2,1,0,0,2022-08-20T13:30:31.983Z,2022-08-20T20:07:50Z,3718428007,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448383499,3,1,1,0,0,4l9mrqzmajz5crzlz50mtbt6x,1,49.7,50,2022-08-20T13:30:32.081Z,2022-08-20T20:12:56Z,3720712541,178,,3718428035,56,Back,3718428041,140,37.4,3718428047,213,3.1,3718428043,141,50.7,3718428049,279,S,3718428045,212,12.9,,,,ew18qvvupaejxubhqmxmbd39x,A. Kramarić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448383517,4,1,1,0,3,4l9mrqzmajz5crzlz50mtbt6x,1,36.2,47.6,2022-08-20T13:30:35.153Z,2022-08-20T20:13:09Z,3718428137,212,14.0,3718428131,56,Back,3718428133,140,27.0,3718428139,213,4.0,3718428135,141,32.7,3720713625,178,,,,,,,,f3v95yyj6j7h7qpprxm4zlre1,D. Geiger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448383577,5,1,1,0,4,4l9mrqzmajz5crzlz50mtbt6x,1,26.9,33,2022-08-20T13:30:36.906Z,2022-08-20T20:13:12Z,3718428387,212,11.2,3720713839,178,,3718428381,56,Back,3718428383,140,24.7,3718428389,213,1.8,3718428385,141,49.1,,,,,,,6ki6rv564ybctrajr2xtgyeax,O. Kabak,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448383601,6,1,1,0,8,4l9mrqzmajz5crzlz50mtbt6x,1,28.7,74.4,2022-08-20T13:30:40.587Z,2022-08-20T20:13:16Z,3718428481,213,1.6,3718428479,212,12.7,3718428475,140,27.9,3718428473,56,Back,3720714251,178,,3718428477,141,93.0,,,,,,,elh8kttxq9xfpoqfmpxv9jr2t,K. Vogt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448383647,7,1,1,0,11,4l9mrqzmajz5crzlz50mtbt6x,1,28.7,94.8,2022-08-20T13:30:43.529Z,2022-08-20T20:13:18Z,3718428691,213,0.3,3718428685,140,35.1,3718428689,212,7.1,3718428683,56,Back,3720714443,178,,3718428687,141,98.0,,,,,,,6yhylu5q0y924amgv7vlodkgl,K. Akpoguma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2448383685,8,1,1,0,14,4l9mrqzmajz5crzlz50mtbt6x,1,29.7,89.4,2022-08-20T13:30:46.634Z,2022-08-20T20:13:21Z,3718428829,213,3.8,3718428825,141,64.2,3718428823,140,9.9,3718428821,56,Back,3718428827,212,26.9,3720714539,178,,,,,,,,9uthj64y9f77y63tq7did539x,Angeliño,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
