id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/10/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,assist,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value
2526412159,1,34,16,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2023-04-01T12:32:06.498Z,2023-04-01T13:53:18Z,4151900829,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4151900821,59,"37, 28, 26, 4, 31, 5, 20, 19, 27, 17, 8, 2, 3, 11, 12, 18, 23, 32, 40, 45",4151900825,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4151900817,30,"7446u69ki15qcyq2jtszacm3t, 52t6t7cdsr0fjs9ukmwo9y7rp, 40rzvcdss138e6futx3bht3o5, 3g9riero16s160evc28u3q3u1, cab22ojcuhdzdwmbtl20n8i51, 1ywfkwrcysdlvkt859q00kt7t, a2l72iohmbq6rjr3rzrsvnwt1, 24vavcwn4hco5je9kdu9ciwgl, cywgibmici8hwp1ad1nhk3ufp, 7424gvk9hiq5up61dj181y66t, 1vv29mash2uijx542ssjk666t, 9qzxygb9hyzag1szans0k2jth, 87jamhsc8ps9kh5432u36kjc9, 5pnfmmq8b8jxmp1qnf82d8out, c7gwbtdqptxjtu3tn3xctvit, 9kxuwgequrilkom3ru6sdxall, emtrl7rrhp3ybsibf1f89kyj9, dadiwuzf33969g3808sdd9brp, bt35y17wl42b5t5tw6z68uwyy, 5xhjvappzv6swoof5qpi0yj9",4151900819,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4152250775,197,16256,4151900823,130,12,4151900827,194,52t6t7cdsr0fjs9ukmwo9y7rp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526414225,1,34,16,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,0,0,2023-04-01T12:34:29.738Z,2023-04-01T13:32:07Z,4151911341,30,"62gct49oglcdzxafhrfucrb2t, 3uqn1adw8rarez1gpen9vng7p, 8p2yagsx6ujdbmeonkd3u4c89, 3kti58d195gmtzwrjh5nprx05, 5l8wtw156meo2vrtrgasif6jt, 4xhnmoqgxoheel005ek6ckfs9, 254i1zsifi2er9rvuxgi9katx, d1gc59ozyrrnl82rog6fbm0dm, 49epln99aa2797cs2zq3al1t6, bibz1qxakmbflq73marmo4nop, 9ic8hvnkzj9p0ikh6bwaeoqju, 5bzowvtg5vhntcx1w3roriehh, 5eym30brgmujovaeyb6dhhgfe, bmrdtenqr84jt4gmw6i7wez11, 7gzdg0j9usc3yq0dd1ad57sgl, a4p1m3cqm6z2p1bw97s6k46ad, 4nn6rxyzy97wl4ppqqnhhxyax, 3havaatbnk8p6gc9srgajc25l, 1en0bgq0u842snszevlkscxk9, 2tdxcr1wkubis5n81sg4pzyz9",4151911351,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4151911349,130,4,4151911345,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4151911355,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4151911353,194,3kti58d195gmtzwrjh5nprx05,4151911347,59,"33, 2, 21, 3, 5, 23, 17, 8, 11, 4, 10, 1, 7, 9, 15, 16, 20, 22, 28, 31",4152119573,197,16500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526455895,2,32,1,0,0,a8d2gb2nag8fy0itbuxmcibh2,1,0,0,2023-04-01T13:30:14.252Z,2023-04-02T04:25:22Z,4152132595,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526455873,2,32,1,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,0,0,2023-04-01T13:30:14.252Z,2023-04-01T13:30:14Z,4152132483,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526455909,3,1,1,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,50.4,49.6,2023-04-01T13:30:14.347Z,2023-04-02T09:24:06Z,4152150015,189,,4156502795,178,,4152132671,140,34.3,4152132679,279,S,4152132675,212,18.0,4152132669,56,Back,4152132673,141,58.7,4152132677,213,2.8,d1gc59ozyrrnl82rog6fbm0dm,E. Millot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526455977,4,1,1,0,2,3dwlvz6cl4lcavvrg0y2dycrt,0,34.3,58.7,2023-04-01T13:30:16.993Z,2023-04-02T09:24:13Z,4152133011,212,46.6,4152133017,1,,4152133013,213,5.6,4156503041,178,,4152133003,140,68.0,4152132999,56,Right,4152132995,157,,4152133007,141,14.0,4xhnmoqgxoheel005ek6ckfs9,D. Zagadou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526455985,3,44,1,0,6,a8d2gb2nag8fy0itbuxmcibh2,1,31.4,79.5,2023-04-01T13:30:20.321Z,2023-04-02T15:16:58Z,4152133119,233,5,4152133039,285,,4152133037,56,Back,,,,,,,,,,,,,,,,3g9riero16s160evc28u3q3u1,Diogo Leite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526455987,5,44,1,0,6,3dwlvz6cl4lcavvrg0y2dycrt,0,68.6,20.5,2023-04-01T13:30:20.322Z,2023-04-02T09:24:18Z,4152133043,286,,4152133131,233,3,4152133041,56,Right,,,,,,,,,,,,,,,,bibz1qxakmbflq73marmo4nop,J. Vagnoman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526455993,4,1,1,0,6,a8d2gb2nag8fy0itbuxmcibh2,0,30.3,76.7,2023-04-01T13:30:20.355Z,2023-04-02T15:16:59Z,4152133063,141,100.0,4152133067,213,1.8,4152133061,140,25.8,4156503531,388,,4152133065,212,17.8,4152133059,56,Back,4152133057,3,,,,,3g9riero16s160evc28u3q3u1,Diogo Leite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2526455999,5,5,1,0,8,a8d2gb2nag8fy0itbuxmcibh2,0,24.1,101.7,2023-04-01T13:30:23.122Z,2023-04-02T09:24:25Z,4152133085,56,Back,4152133361,233,6,4152133087,347,,,,,,,,,,,,,,,,,3g9riero16s160evc28u3q3u1,Diogo Leite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
