id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/10/value,qualifier/14/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2445234495,1,34,16,0,0,cu0eztmjcsbydyp53aleznorw,1,0,0,2022-08-13T12:42:16.760Z,2022-08-13T13:31:41Z,3701708237,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3701708229,30,"expxslws50h0iw0logr02gs7p, 7k7whr0pdbw5wtk7g0cwozw0l, 8nug6t1cmn9pwhnwdf6nyhrrp, aaoycxwi9jny6flm4apz8a2uh, 6kge6vcoa9ocnh6tb8qznfzkl, 1psr9ra8k9j4r94p1xixagzbp, 26nfmfc8p2doisd9p8vtd33dh, 14fw7p4fzaxprndgxnx0gxgbt, 5ndmhtdu5jfgvzuddd7fu2fh1, cjq9g6zgcxk1ceo2xzpe1qnyt, dr0kn3srxtg7nuw99gjoim7e1, 2p48525x4ap9m81g6ode51cyd, 8kar47kxxc8f20vc9ul2ez3yt, b4q9q0qgmtz959rygieg9ln1l, d95i3fwjrk3ti4co645mde76x, 56e76dk2fd95o2n7e98tpjg0l, 9tz07waj55ig7rrlpboei8n3d, eayipmdtzbmjgjouq10nqhcrt, f14n6d52p37nkvoo5n3i52x2h, 7llxni56g8q0yt33vhp1pt3o5",3701708231,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3701708245,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3701708235,130,12,3701708241,194,aaoycxwi9jny6flm4apz8a2uh,3701708233,59,"1, 8, 3, 32, 13, 5, 10, 6, 7, 11, 28, 4, 9, 20, 22, 23, 24, 26, 27, 30",3701830823,197,16262,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445235157,1,34,16,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,0,0,2022-08-13T12:43:19.337Z,2022-08-13T13:03:49Z,3701765651,197,16500,3701711657,30,"5bzowvtg5vhntcx1w3roriehh, bibz1qxakmbflq73marmo4nop, 9fd19beamnr8qmhqdvzr7fcyy, 8p2yagsx6ujdbmeonkd3u4c89, 3uqn1adw8rarez1gpen9vng7p, 5l8wtw156meo2vrtrgasif6jt, 3havaatbnk8p6gc9srgajc25l, 9dnne0ny6o6d5c6w3ayoo4vvu, 9ic8hvnkzj9p0ikh6bwaeoqju, 33hs47yxefec8e9ntgqgr49n9, 3kti58d195gmtzwrjh5nprx05, 5gkgh0ohjshsm52adokapy5ex, d1gc59ozyrrnl82rog6fbm0dm, 49epln99aa2797cs2zq3al1t6, 7gzdg0j9usc3yq0dd1ad57sgl, a4p1m3cqm6z2p1bw97s6k46ad, 4nn6rxyzy97wl4ppqqnhhxyax, e9u7cmvaem5p7x9px3yq9f179, 80nniieqtuwjhomwjcebnxyzu, 62gct49oglcdzxafhrfucrb2t",3701711667,194,3kti58d195gmtzwrjh5nprx05,3701711661,59,"1, 4, 14, 21, 2, 5, 22, 32, 10, 9, 3, 6, 8, 11, 15, 16, 20, 24, 25, 33",3701711669,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3701711659,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3701711665,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3701711663,130,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445259125,2,32,1,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,0,0,2022-08-13T13:33:01.362Z,2022-08-13T13:33:01Z,3701834811,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445259157,2,32,1,0,0,cu0eztmjcsbydyp53aleznorw,1,0,0,2022-08-13T13:33:01.362Z,2022-08-14T10:28:01Z,3701834975,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445259165,3,1,1,0,0,3dwlvz6cl4lcavvrg0y2dycrt,1,50,50,2022-08-13T13:33:01.375Z,2022-08-14T10:54:02Z,3701835009,212,23.2,3701835005,140,28.4,3701835003,56,Back,3701835013,279,S,3701835007,141,42.7,3706000307,178,,3701835011,213,3.4,,,,9ic8hvnkzj9p0ikh6bwaeoqju,Tiago Tomás,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445259193,4,1,1,0,2,3dwlvz6cl4lcavvrg0y2dycrt,1,28.7,56,2022-08-13T13:33:03.971Z,2022-08-14T10:53:42Z,3701835129,140,31.1,3701835131,141,84.4,3706000807,178,,3701835135,213,1.4,3701835133,212,19.5,3701835127,56,Back,,,,,,,3uqn1adw8rarez1gpen9vng7p,W. Anton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445259281,5,1,1,0,5,3dwlvz6cl4lcavvrg0y2dycrt,0,32.3,91.5,2022-08-13T13:33:07.081Z,2022-08-14T10:54:15Z,3706001839,178,,3701835525,213,6.2,3701835517,56,Left,3701835523,212,70.7,3701835519,140,99.3,3701835527,1,,3701835515,155,,3701835521,141,80.9,8p2yagsx6ujdbmeonkd3u4c89,H. Ito,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445259255,3,49,1,0,11,cu0eztmjcsbydyp53aleznorw,1,1.5,19.2,2022-08-13T13:33:13.209Z,2022-08-14T10:54:25Z,,,,,,,,,,,,,,,,,,,,,,,,,expxslws50h0iw0logr02gs7p,J. Pavlenka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2446068065,1127,43,1,0,16,cu0eztmjcsbydyp53aleznorw,1,0,0,2022-08-13T13:33:17.848Z,2022-08-14T11:49:37Z,3706160125,144,82,3706158699,178,0,,,,,,,,,,,,,,,,,,,expxslws50h0iw0logr02gs7p,J. Pavlenka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2445259371,4,1,1,0,18,cu0eztmjcsbydyp53aleznorw,1,7,44.8,2022-08-13T13:33:19.368Z,2022-08-14T10:54:30Z,3706002343,178,,3701835861,56,Back,3701835867,212,11.6,3701835863,140,14.8,3701835865,141,32.7,3701835869,213,5.5,,,,,,,expxslws50h0iw0logr02gs7p,J. Pavlenka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
