id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,assist,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId
2545272735,1,34,16,0,0,dt4pinj0vw0t0cvz7za6mhmzy,1,0,0,2023-05-07T14:35:59.115Z,2023-05-07T15:27:06Z,4259220691,59,"1, 17, 26, 22, 25, 15, 21, 19, 9, 23, 27, 4, 6, 7, 11, 13, 18, 20, 30, 33",4259481375,197,2698,4259220693,130,5,4259220699,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4259220697,194,cd6i7khi5wgsfsg19c9tcjydx,4259220695,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4259220687,30,"9rjd95oqotnalxmv56v7p1r6d, 5irixhhyayq9yl7sb2kohjrv9, cl6720rdjeubt0bc3su0qg3qh, e83ula4wockmc2xid7185kcq2, 4vy3j1o829f561jf4fqum7ob9, cd6i7khi5wgsfsg19c9tcjydx, 7q96z3aaee5jyccb8pjthi8kp, f4qcgzveslklfi8601tep77x1, cy0lv5u16obr2ne4xiins43x1, 7lai6ovwsl01gonutejt4mms5, ebj6t5jqzixrnww1z7qofznu2, d5mck7rf48chzersephpx29d5, emvi36y613e4lqlat3wfdih9l, 2we9yak4ipkr1ljigj20puv6y, btzfq6521zl3q5uqus8ltov6d, 6ie5meimavc8kwohr6lrdyket, eguzzwxdm0fwocax6srpck48a, 4lcyjhvtwieshr4r3a6104qtx, culbbgu1o5fdbl3gxz54rbn4l, 2jrntrq2x714pviioh3jnkted",4259220689,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545274855,1,34,16,0,0,a8l3w3n0j99qjlsxj3jnmgkz1,1,0,0,2023-05-07T14:37:51.637Z,2023-05-07T15:30:37Z,4259232323,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4259232327,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4259232317,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4259232321,130,19,4259232319,59,"1, 20, 16, 29, 3, 5, 22, 27, 23, 39, 32, 2, 7, 8, 12, 18, 31, 33, 36, 40",4259232315,30,"bfpax581lm91ebz4xgz40a191, 23l48u4w5nj4036whjm3s49gp, b7cso5zljdvzfila9zd4fz4ve, bjhgmcai5irlexe7oa1g0e5sl, fr9ac60188vlmtbrcddhxii1, dodddfi0l5i36vlgbaybhzeqy, 6384gzzxuxs6pvmrn8qx4d7u1, acxwc7xxrtyssiy390t859kgl, eswxx8pxqyuj7rnpvqawpej1l, aplc9mad75h1k90o3qla9c7l6, 4sd2zs6d5cd4d9n3oo54lglat, 2mwe6l0eu1tisri3eu26fx8x6, 3es8fg7y59lckypu11i68q6s5, azcv772qzdbz1exafx3od6lt5, 53ozrqkupvt2iyi2xg0swf7px, 8ri0md3tr27a1bn10xmfkgsus, d2ykrr75737c8bzlwhjj90vkl, b8if5dg0k9prjik99aiutewh5, 4xfqhlmr91ekmt75motqxetjo, 2dxsntw3djezptdjqzu0oxi7e",4259471481,197,8139,4259232325,194,acxwc7xxrtyssiy390t859kgl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545324933,2,32,1,0,0,a8l3w3n0j99qjlsxj3jnmgkz1,1,0,0,2023-05-07T15:30:25.638Z,2023-05-07T15:30:28Z,4259497105,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545324949,2,32,1,0,0,dt4pinj0vw0t0cvz7za6mhmzy,1,0,0,2023-05-07T15:30:25.638Z,2023-05-07T15:30:26Z,4259497183,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545324993,3,1,1,0,0,dt4pinj0vw0t0cvz7za6mhmzy,1,50.7,48.5,2023-05-07T15:30:26.270Z,2023-05-07T15:30:28Z,4259497395,212,21.6,4259497391,140,30.2,4259497389,56,Back,4259497397,213,3.1,4259497393,141,50.7,4259497399,279,S,,,,,,,cy0lv5u16obr2ne4xiins43x1,S. Haller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545325023,4,1,1,0,2,dt4pinj0vw0t0cvz7za6mhmzy,1,30.3,50.3,2023-05-07T15:30:28.321Z,2023-05-07T15:30:31Z,4259497575,140,39.4,4259497573,56,Back,4259497579,212,30.3,4259497581,213,5.0,4259497577,141,8.0,,,,,,,,,,7lai6ovwsl01gonutejt4mms5,E. Can,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545325069,5,1,1,0,5,dt4pinj0vw0t0cvz7za6mhmzy,1,36.6,7.7,2023-05-07T15:30:31.186Z,2023-05-07T15:30:35Z,4259497865,141,16.0,4259497861,56,Back,4259497867,212,12.0,4259497863,140,26.5,4259497869,213,2.7,,,,,,,,,,5irixhhyayq9yl7sb2kohjrv9,M. Wolf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545325107,6,1,1,0,9,dt4pinj0vw0t0cvz7za6mhmzy,1,27.2,15.1,2023-05-07T15:30:35.457Z,2023-05-07T15:30:37Z,4259498037,1,,4259498033,212,32.0,4259498035,213,1.6,4259498027,56,Back,4259498031,141,62.1,4259498029,140,25.0,,,,,,,4vy3j1o829f561jf4fqum7ob9,N. Süle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545325137,7,1,1,0,11,dt4pinj0vw0t0cvz7za6mhmzy,1,25.1,62.6,2023-05-07T15:30:37.234Z,2023-05-07T15:30:39Z,4259498185,140,29.9,4259498191,213,1.3,4259498183,56,Back,4259498189,212,20.7,4259498187,141,92.1,,,,,,,,,,cd6i7khi5wgsfsg19c9tcjydx,M. Hummels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2545325189,8,1,1,0,13,dt4pinj0vw0t0cvz7za6mhmzy,1,29.9,92.1,2023-05-07T15:30:39.521Z,2023-05-07T15:30:43Z,4259498515,212,9.3,4259498513,141,86.4,4259498517,213,5.9,4259498511,140,38.0,4259498509,56,Back,,,,,,,,,,cl6720rdjeubt0bc3su0qg3qh,J. Ryerson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
