id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,keyPass,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/15/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/18/id,qualifier/18/qualifierId
2503349157,1,34,16,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,0,0,2023-02-03T18:36:45.139Z,2023-02-03T18:50:29Z,4009275913,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4009275907,130,2,4009275901,30,"61xxo4zsk6hby0swa756l3wlx, 5arng6g4ietx2jwgcd2kpqdpl, egmcpa7j5clzga5m0zvg2f105, b6woton2db3w4rm67vu69buy2, tedxo29s8xx0a71z6sidw7v9, 3j2pv0methgc8k8rtqbi079p1, 3er9krmf0k6dhv6f9ltztfend, 4kolmisdpprx0wrahisadl5n9, d9jj0525pm3nu9vqewtpo2rpx, 1ic5mnwhm510mptrxz04zmtm2, 9bzlvn0twr2b5z30k30gugw5x, aybzlrbkvnobkazjsmox975jp, 3yiwkcfbwy0sfnecr9sy9695h, d8h5ge9ust20o7us968acnsnp, bs6f5ag1f47ropxefrybtaktl, 5q3ft0wiy6lsy937j7nw6msq1, 3jqxaa2l6gqwxl2mr8w0yiiy2, 840353qq4b6ufh0hhm9o0n45x, diyzb2gwf1zkvqyjc63085eui, 1ie7ml2v6772ek2u8q7wl1awa",4009275903,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4009275905,59,"1, 2, 3, 27, 6, 19, 10, 13, 11, 7, 24, 14, 17, 20, 23, 30, 34, 40, 42, 45",4009275909,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4009298617,197,16596,4009275911,194,tedxo29s8xx0a71z6sidw7v9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503349955,1,34,16,0,0,7ad69ngbpjuyzv96drf8d9sn2,1,0,0,2023-02-03T18:38:43.632Z,2023-02-03T19:26:32Z,4009279697,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4009279705,194,cg6h7oq0b5zpx1g4brhzyk1xx,4009279703,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4009279701,130,13,4009279699,59,"1, 30, 5, 3, 12, 6, 25, 8, 23, 19, 21, 4, 10, 17, 18, 22, 24, 27, 28, 38",4009279707,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4009279695,30,"cg6h7oq0b5zpx1g4brhzyk1xx, 9qo448ueot8pfc5oqo378wag9, a41r2ob5fhirgdwxwox6nr4yx, 4foax2b7unlkev1eq6py86lii, djha3ac2mfhyb7oia64hq2nd, cis0z72hgahfnfjduk7hdnz3e, 6rg37ej1x7pwi7r4aq1107pih, 4tev0kk0om8cr1xbwpt8bozit, e4vr28e9cbq3q5nux1jlpuuei, 9ydkbbygq6uocors9kcdnzbop, 8mcf8c8ht32as6xxrf1gb51m2, 5ec2ede9uwbft3wby33mwowyd, 2cq6ocr7j487do4nrm3sreg9h, 7y6f63pj7horkzhdzbge02rqh, jw8lb54ua2iufebwnu8k68t0, aze5i6ssy55jrc8k9vhrs8o9h, 3ojzrb5okc6i1jf1o7okovnjd, 2k5g68ywtr79lc45wozvifqlm, 4ilnnpfgjfz35lni9ppzd93v9, 6m9kyt5astmqvzdq2ee81qcwl",4009412517,197,16232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503377443,2,32,1,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,0,0,2023-02-03T19:30:25.491Z,2023-02-04T04:05:05Z,4009423757,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503377449,2,32,1,0,0,7ad69ngbpjuyzv96drf8d9sn2,1,0,0,2023-02-03T19:30:25.491Z,2023-02-03T19:30:29Z,4009423771,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503377471,3,1,1,0,0,ex3psl8e3ajeypwjy4xfltpx6,1,50,50,2023-02-03T19:30:25.529Z,2023-02-04T06:55:07Z,4009423919,56,Back,4010331835,178,,4009423927,213,3.0,4009423921,140,32.9,4009423925,212,18.1,4009423923,141,53.9,4009423929,279,S,,,,d9jj0525pm3nu9vqewtpo2rpx,M. Berisha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503377489,4,1,1,0,2,ex3psl8e3ajeypwjy4xfltpx6,1,32.6,54.5,2023-02-03T19:30:28.073Z,2023-02-04T06:55:11Z,4009424025,141,30.0,4009424023,140,77.5,4009424031,1,,4009424029,213,5.9,4010331843,178,,4009424019,155,,4009424021,56,Center,4009424027,212,50.0,3j2pv0methgc8k8rtqbi079p1,F. Uduokhai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503377491,5,44,1,0,5,ex3psl8e3ajeypwjy4xfltpx6,1,75.1,40.6,2023-02-03T19:30:30.669Z,2023-02-04T08:06:51Z,4009424043,286,,4009424193,233,3,4009424041,56,Center,,,,,,,,,,,,,,,,1ic5mnwhm510mptrxz04zmtm2,D. Beljo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503377503,3,44,1,0,5,7ad69ngbpjuyzv96drf8d9sn2,0,24.9,59.4,2023-02-03T19:30:30.670Z,2023-02-04T06:55:15Z,4009424197,233,5,4009424091,285,,4009424089,56,Back,,,,,,,,,,,,,,,,4tev0kk0om8cr1xbwpt8bozit,R. Andrich,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503377501,6,1,1,0,5,ex3psl8e3ajeypwjy4xfltpx6,0,77.5,31.2,2023-02-03T19:30:30.710Z,2023-02-04T08:06:51Z,4009424085,212,9.5,4009424079,56,Center,4009424083,141,38.5,4009424077,3,,4010331893,388,,4009424081,140,85.2,4009424087,213,0.6,,,,1ic5mnwhm510mptrxz04zmtm2,D. Beljo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2503377591,4,1,1,0,6,7ad69ngbpjuyzv96drf8d9sn2,0,13.2,53,2023-02-03T19:30:32.079Z,2023-02-04T06:55:22Z,4009424515,212,56.9,4009621499,1,,4009424513,141,43.1,4010331915,178,,4009621497,157,,4009424517,213,6.2,4009424511,140,67.0,4009424509,56,Center,cis0z72hgahfnfjduk7hdnz3e,O. Kossounou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
