id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,keyPass,qualifier/10/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/15/value,qualifier/16/value,qualifier/17/value,qualifier/14/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,assist
2509051145,1,34,16,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,0,0,2023-02-18T13:35:28.996Z,2023-02-18T14:29:07Z,4039248009,59,"21, 16, 22, 24, 4, 32, 17, 8, 19, 10, 11, 2, 9, 13, 18, 23, 27, 28, 39, 44",4039248021,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039248005,30,"axcrcuv22693vn0a887samsph, 3igg6gfmomgh1t5ohwzbpb5cl, 2uz1cmslnjjzsgfcgji26kqg9, 1s1v1tweyx8wxc9hj2jrnaggl, eapihgte8ydc4g6hzygsx2e39, 9prtaifv6stlujgywgq4wd08a, avh60ensgiwz1qalvn1bbqkfd, 7o3fumeufgigw092b7i5n4f6x, dhhmffih4gl51nlu92hfctqs5, ckox9w95duwhmt72xxk7lt2vp, 2pjr6yz65f4uqvwniy4vphn85, 95gjm3yk75rmwyneb350zoktm, 8l0am8k4pg2s9g9qbkhwte6dx, cfc7fqq748bz3nklfam2a2fp, 1j0a3ml1zglc9s31yentfckb9, 4qkv71pjmzw66crfaktr6tihh, 1qthvf5krys0pzk24h8wtr9at, eliciww307c6fs2mg347z1iei, 3isbv9egu9vzxnna4ix8gcudx, axj39lx25teh62rih6uv9qor9",4039248019,194,eapihgte8ydc4g6hzygsx2e39,4039248007,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4039469897,197,7074,4039248017,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039248011,130,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509053709,1,34,16,0,0,a8l3w3n0j99qjlsxj3jnmgkz1,1,0,0,2023-02-18T13:38:28.287Z,2023-02-18T15:23:58Z,4039261211,59,"1, 20, 6, 31, 3, 5, 7, 27, 23, 22, 39, 2, 4, 10, 12, 29, 32, 33, 36, 38",4039261207,30,"bfpax581lm91ebz4xgz40a191, 23l48u4w5nj4036whjm3s49gp, 76h7b6dhpyotolq68f84lqifp, d2ykrr75737c8bzlwhjj90vkl, fr9ac60188vlmtbrcddhxii1, dodddfi0l5i36vlgbaybhzeqy, 3es8fg7y59lckypu11i68q6s5, acxwc7xxrtyssiy390t859kgl, eswxx8pxqyuj7rnpvqawpej1l, 6384gzzxuxs6pvmrn8qx4d7u1, aplc9mad75h1k90o3qla9c7l6, 2mwe6l0eu1tisri3eu26fx8x6, 7e7w34imugzsufvytjxytupd5, embn1jhcly07i6pjcvcdiavo5, 53ozrqkupvt2iyi2xg0swf7px, bjhgmcai5irlexe7oa1g0e5sl, 4sd2zs6d5cd4d9n3oo54lglat, b8if5dg0k9prjik99aiutewh5, 4xfqhlmr91ekmt75motqxetjo, en0a6a574x1yvnk8kdxwub949",4039261217,194,acxwc7xxrtyssiy390t859kgl,4039261209,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4039261215,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039261219,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4039261213,130,8,4039895641,197,8139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509094389,2,32,1,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,0,0,2023-02-18T14:30:19.686Z,2023-02-18T14:30:23Z,4039475183,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509094377,2,32,1,0,0,a8l3w3n0j99qjlsxj3jnmgkz1,1,0,0,2023-02-18T14:30:19.686Z,2023-02-19T04:49:30Z,4039475111,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509094399,3,1,1,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,50,50,2023-02-18T14:30:19.743Z,2023-02-19T07:42:01Z,4039475231,56,Back,4042799029,178,,4039475241,279,S,4039475239,213,3.3,4039475233,140,31.6,4039475235,141,45.5,4039475237,212,19.6,,,,avh60ensgiwz1qalvn1bbqkfd,D. Szoboszlai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509094505,4,1,1,0,2,9gefq4dz9b2hl8rqrxwrlrzmp,1,31.8,45.5,2023-02-18T14:30:22.445Z,2023-02-19T07:42:07Z,4039475763,140,56.2,4039475771,1,,4039475769,213,5.6,4039475765,141,17.2,4039475767,212,32.0,4039475761,56,Right,4042799101,178,,,,,eapihgte8ydc4g6hzygsx2e39,W. Orbán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509094525,5,1,1,0,5,9gefq4dz9b2hl8rqrxwrlrzmp,1,56.6,15.4,2023-02-18T14:30:25.224Z,2023-02-19T07:42:13Z,4042799195,178,,4039475879,140,57.9,4039475877,56,Center,4039475889,212,7.5,4039475893,213,1.4,4039475885,141,26.3,,,,,,,3igg6gfmomgh1t5ohwzbpb5cl,L. Klostermann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509094551,6,1,1,0,7,9gefq4dz9b2hl8rqrxwrlrzmp,1,57.9,26.5,2023-02-18T14:30:27.300Z,2023-02-19T07:42:17Z,4039476011,213,4.5,4039476005,140,56.4,4039476009,212,8.6,4039476003,56,Right,4042799245,178,,4039476007,141,14.0,,,,,,,avh60ensgiwz1qalvn1bbqkfd,D. Szoboszlai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509094605,7,1,1,0,10,9gefq4dz9b2hl8rqrxwrlrzmp,1,55.4,13.6,2023-02-18T14:30:29.702Z,2023-02-19T07:42:20Z,4039476315,141,29.8,4039476313,140,37.1,4039476319,213,2.6,4039476311,56,Back,4042799295,178,,4039476317,212,22.1,,,,,,,3igg6gfmomgh1t5ohwzbpb5cl,L. Klostermann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2509094661,8,1,1,0,13,9gefq4dz9b2hl8rqrxwrlrzmp,1,37.1,32.6,2023-02-18T14:30:32.948Z,2023-02-19T07:42:23Z,4039476665,141,55.7,4039476663,140,33.7,4039476669,213,1.8,4039476667,212,16.1,4042799341,178,,4039476661,56,Back,,,,,,,eapihgte8ydc4g6hzygsx2e39,W. Orbán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
