id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/9/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,assist,qualifier/12/value,qualifier/13/value,qualifier/10/value,qualifier/15/value,keyPass,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/20/id,qualifier/20/qualifierId
2521748907,1,34,16,0,0,dt4pinj0vw0t0cvz7za6mhmzy,1,0,0,2023-03-18T16:38:13.656Z,2023-03-18T17:30:02Z,4106379807,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5",4106379813,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4106379811,130,4,4106379809,59,"33, 17, 26, 8, 25, 4, 22, 13, 9, 21, 11, 7, 15, 20, 24, 30, 35, 36, 47, 49",4106379815,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4106671141,197,2698,4106597181,194,btzfq6521zl3q5uqus8ltov6d,4106379805,30,"2jrntrq2x714pviioh3jnkted, 5irixhhyayq9yl7sb2kohjrv9, cl6720rdjeubt0bc3su0qg3qh, 2nqhczrkd45rdu5fcmq1wjo45, 4vy3j1o829f561jf4fqum7ob9, d5mck7rf48chzersephpx29d5, e83ula4wockmc2xid7185kcq2, 6ie5meimavc8kwohr6lrdyket, cy0lv5u16obr2ne4xiins43x1, 7q96z3aaee5jyccb8pjthi8kp, btzfq6521zl3q5uqus8ltov6d, 2we9yak4ipkr1ljigj20puv6y, cd6i7khi5wgsfsg19c9tcjydx, 4lcyjhvtwieshr4r3a6104qtx, bb6glt8n0ar47cmhmj6gnfiz9, culbbgu1o5fdbl3gxz54rbn4l, 4u4lkw0zq671i7p9agoa57x7t, 4rtps64cca8vrscv80bgyvjf8, 8zl9wv46y5bchktqcwth3z3ai, 68rs7juin2mmdok00hw6uvre2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521748957,1,34,16,0,0,8q1ul09cygzswb7tb456bmifv,1,0,0,2023-03-18T16:38:15.503Z,2023-03-18T17:47:57Z,4106666261,197,11882,4106380073,59,"20, 2, 14, 28, 4, 24, 7, 47, 27, 23, 11, 1, 5, 6, 8, 17, 21, 25, 37, 42",4106380077,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4106669607,194,21vfv10e7fh6b2xtcu55ihn11,4106380069,30,"4zfgh6wq7svx418tzwf0gfavp, 38knnji3m4qg6pqohph35n74l, 21vfv10e7fh6b2xtcu55ihn11, ojqb7kv87o0cidbckgtg1rdh, 3tdsezcgdlm4laybvh4u49cr9, mgwgcv336wb93xvv0pfr6dih, bkonv3y0vn24mpn6j8abjtux, 2hb1dyg1auzdfbi3lg9ysap9m, 6yc09eth94qsachf595dyx6fp, 8mmecefcbz8wu4jcqqywps5p1, 55z0yap5tml66nes2cchg7ahh, 224uan6ugjt7b2c1zsxrs2pcl, 8w5vjfl9ntyyxzyn2lo8k4dpm, 3saz8njlttx2i4ospcwmmaqga, 89s9fm31pcfq7l28kc2kad4kq, 6dzx3oyd42ql69tqxqvg8mpxx, 8n4b6j21nxf1nf628ugg3xsdl, pjbuqt8wiwm2ql2tfvvcn59m, cnf7quyillyf560nh14taliw9, 7smbk83rqjkkcqqduw4vyefx0",4106380071,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4106380075,130,15,4106380079,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521804521,2,32,1,0,0,8q1ul09cygzswb7tb456bmifv,1,0,0,2023-03-18T17:30:10.158Z,2023-03-18T17:30:10Z,4106677181,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521804529,2,32,1,0,0,dt4pinj0vw0t0cvz7za6mhmzy,1,0,0,2023-03-18T17:30:10.158Z,2023-03-18T23:49:55Z,4106677209,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521804587,3,1,1,0,0,8q1ul09cygzswb7tb456bmifv,1,50,50,2023-03-18T17:30:10.168Z,2023-03-19T01:44:14Z,4106677521,213,2.7,4106677523,279,S,4106677517,141,58.7,4106677511,56,Back,4106677515,140,39.0,4106677519,212,13.0,4108353441,178,,,,,8mmecefcbz8wu4jcqqywps5p1,S. Adamyan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521804593,4,1,1,0,2,8q1ul09cygzswb7tb456bmifv,0,37.3,59.4,2023-03-18T17:30:13.151Z,2023-03-19T01:44:21Z,4106677567,141,0.0,4108353767,178,,4106677557,196,,4106677569,212,47.3,4106677571,213,5.2,4106677555,155,,4106677565,140,58.9,4106677559,56,Right,3tdsezcgdlm4laybvh4u49cr9,T. Hübers,4106677573,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521804737,3,5,1,0,6,dt4pinj0vw0t0cvz7za6mhmzy,1,42.4,101.8,2023-03-18T17:30:16.277Z,2023-03-19T01:44:24Z,4106678261,56,Back,4106678273,233,5,4106678263,347,,,,,,,,,,,,,,,,,cy0lv5u16obr2ne4xiins43x1,S. Haller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521804595,5,5,1,0,6,8q1ul09cygzswb7tb456bmifv,0,57.6,-1.8,2023-03-18T17:30:16.277Z,2023-03-19T01:44:24Z,4106677577,347,,4106678289,233,3,4106677575,56,Right,,,,,,,,,,,,,,,,3tdsezcgdlm4laybvh4u49cr9,T. Hübers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521804745,4,1,1,0,19,dt4pinj0vw0t0cvz7za6mhmzy,1,39.3,100,2023-03-18T17:30:30.008Z,2023-03-19T01:44:27Z,4106678325,212,17.7,4106678319,56,Left,4106678327,213,5.7,4106678321,140,53.7,4106678323,141,88.2,4106678317,107,,,,,,,,cl6720rdjeubt0bc3su0qg3qh,J. Ryerson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521804769,5,1,1,0,21,dt4pinj0vw0t0cvz7za6mhmzy,1,53.7,88.2,2023-03-18T17:30:31.239Z,2023-03-19T01:44:30Z,4106678459,213,2.9,4106678455,141,94.1,4106678457,212,14.8,4108354383,388,,4106678451,56,Back,4106678453,140,40.1,4106678449,3,,,,,cy0lv5u16obr2ne4xiins43x1,S. Haller,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521804771,6,1,1,0,25,dt4pinj0vw0t0cvz7za6mhmzy,0,42.3,96.3,2023-03-18T17:30:35.184Z,2023-03-19T01:44:33Z,4106678463,56,Back,4108354515,178,,4106678543,286,,4106678467,141,97.2,4106678537,236,,4106678465,140,43.5,4106678469,212,1.4,4106678471,213,0.5,cl6720rdjeubt0bc3su0qg3qh,J. Ryerson,4106678539,233,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521804781,6,74,1,0,25,8q1ul09cygzswb7tb456bmifv,1,55.2,7.9,2023-03-18T17:30:35.334Z,2023-03-19T01:44:35Z,4106678499,56,Right,4106678575,233,6,4106678501,285,,4108354709,178,,,,,,,,,,,,,,38knnji3m4qg6pqohph35n74l,B. Schmitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521804787,7,61,1,0,25,dt4pinj0vw0t0cvz7za6mhmzy,1,43.5,97.2,2023-03-18T17:30:35.525Z,2023-03-19T01:44:38Z,4108354857,178,,4106678521,56,Back,,,,,,,,,,,,,,,,,,,cl6720rdjeubt0bc3su0qg3qh,J. Ryerson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521804803,7,5,1,0,25,8q1ul09cygzswb7tb456bmifv,1,54.4,-1,2023-03-18T17:30:36.014Z,2023-03-19T01:44:41Z,4106678611,347,,4106678609,56,Right,4106678637,233,8,,,,,,,,,,,,,,,,38knnji3m4qg6pqohph35n74l,B. Schmitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521804799,8,5,1,0,25,dt4pinj0vw0t0cvz7za6mhmzy,0,45.6,101,2023-03-18T17:30:36.014Z,2023-03-19T01:44:41Z,4106678589,56,Back,4106678591,347,,4106678643,233,7,,,,,,,,,,,,,,,,cl6720rdjeubt0bc3su0qg3qh,J. Ryerson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521804817,8,1,1,0,28,8q1ul09cygzswb7tb456bmifv,0,56,0,2023-03-18T17:30:39.010Z,2023-03-19T01:44:51Z,4106678681,212,17.4,4106678675,56,Right,4106678673,107,,4106678683,213,0.6,4106678677,140,69.7,4106678679,141,13.2,,,,,,,38knnji3m4qg6pqohph35n74l,B. Schmitz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
