id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,keyPass,qualifier/11/value,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,assist,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/18/value
2481675339,1,34,16,0,0,apoawtpvac4zqlancmvw4nk4o,1,0,0,2022-11-05T13:28:38.800Z,2022-11-05T14:28:12Z,3895205103,30,"64pzn3jdqo6y2izlpm8n3tvpx, 7vhnftizqlyu31st2vsmgh6tx, 582uvj0i3dvm0zwbou9q68pgp, 4w4ldzomkj7fhrc51iimz8no5, yq0cm7vwr0tkv7nvt9vo77bp, x4qyxhfr2vi007sazoqe5vit, 4ysxvym6ww4f9d3hflkqsbf11, 97nv3y9z2ajz6b4ynoo0jn3kl, e5mjphb52suw89189nyca72z9, bhsdzppop8jwjsxwftizot1t6, cotiiu6mjkfx5xa63nhfbdf4l, 4603xrdk721lqhd1ejn62x5n9, 1u1u438ql6xrordkb65wsxo7p, 8cho2d1nz18i5o0zt6aysd68l, c80tzy7t4hoa8fpbek1od4lw5, br2uswvdgoj7ndkx7mnbwgyd, ky1gnkjil9pog0gg5b2pc4fe, 5ga7g20wsa7oqjbh4ijoeknl6, cv1d56d42wujfuc4kt6bn53x0",3895205113,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3895474391,197,2699,3895205105,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5",3895205111,130,8,3895205115,194,64pzn3jdqo6y2izlpm8n3tvpx,3895205117,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3895205107,59,"1, 40, 19, 8, 5, 2, 7, 6, 13, 42, 17, 10, 11, 18, 21, 26, 35, 38, 39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481685531,1,34,16,0,0,f0w62l8zql3tukxsy8fqwp72x,1,0,0,2022-11-05T13:39:24.788Z,2022-11-05T16:55:48Z,3895256277,130,2,3895256287,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3895256273,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3895256283,194,2ebiw2w6d76sttjh8n8871kgl,3895481435,197,11911,3895256279,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3895256271,30,"1sjt0nj0232gu88x50c3d16nd, drv9wksjusdgp1np315rokzit, 2ebiw2w6d76sttjh8n8871kgl, eg9xhi6wfp1duf01pcsn8vfmd, c2bhdypnqifsl8eiovtfdmyg9, djpsc1fvcnrh61c071t00gmad, djggrnjp9s4p2mlbzhx6arbh1, 9j1fd0mz39tl1h5che3f357md, 5cw4n6kdaa7imeyaiuo2pnq39, 6yc09eth94qsachf595dyx6fp, b2oa5dzw40auj5cgxfrp4b4r9, 7wm8whndx19gcpqxtw9safljp, 1zo6iikznwkd2vuhqykt7jw7p, 18b0ti0bsq68842kgbczsbgmh, 88unrmh29io1zmqzxwjzuqtm2, 6q2mf0qrkt51z28b46wltxal1, cfdgq8thcoghlh5d0s0pzb1sl, 6hgj78mr8wy2i5izf8x10ij11, ce2pidh4dpd1ccozn2lm3qtw5, 6ufkq71qh9wrfyaez5yi94e09",3895256275,59,"1, 16, 21, 29, 3, 20, 23, 8, 14, 7, 10, 2, 5, 11, 12, 17, 18, 27, 34, 40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481729633,2,32,1,0,0,apoawtpvac4zqlancmvw4nk4o,1,0,0,2022-11-05T14:31:58.574Z,2022-11-05T14:31:59Z,3895492477,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481729615,2,32,1,0,0,f0w62l8zql3tukxsy8fqwp72x,1,0,0,2022-11-05T14:31:58.574Z,2022-11-06T03:04:39Z,3895492391,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481729655,3,1,1,0,0,f0w62l8zql3tukxsy8fqwp72x,1,50.1,50.5,2022-11-05T14:31:58.625Z,2022-11-06T04:12:29Z,3895492571,279,S,3895492555,56,Back,3895492567,213,3.3,3895492561,141,46.4,3895492565,212,19.0,3895492557,140,32.2,3898039273,178,,,,,9j1fd0mz39tl1h5che3f357md,S. Serdar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481729711,4,1,1,0,2,f0w62l8zql3tukxsy8fqwp72x,1,36.7,44.9,2022-11-05T14:32:01.249Z,2022-11-06T04:12:33Z,3895492893,141,28.5,3898039331,178,,3895492887,155,,3895492891,140,65.6,3895492895,212,32.3,3895492899,1,,3895492897,213,5.9,3895492889,56,Center,djpsc1fvcnrh61c071t00gmad,M. Kempf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481729725,5,1,1,0,5,f0w62l8zql3tukxsy8fqwp72x,0,68.7,32.4,2022-11-05T14:32:04.249Z,2022-11-06T04:12:43Z,3898039451,178,,3895492947,141,50.7,3895492941,3,,3895492945,140,81.2,3895492949,212,18.1,3895492951,213,0.8,3895492943,56,Center,,,,djggrnjp9s4p2mlbzhx6arbh1,M. Richter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481729741,3,49,1,0,7,apoawtpvac4zqlancmvw4nk4o,1,18.3,47.2,2022-11-05T14:32:06.231Z,2022-11-06T04:12:49Z,,,,,,,,,,,,,,,,,,,,,,,,,yq0cm7vwr0tkv7nvt9vo77bp,B. Pavard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481729833,4,1,1,0,7,apoawtpvac4zqlancmvw4nk4o,0,18.4,47.2,2022-11-05T14:32:06.274Z,2022-11-06T04:12:55Z,3895493405,140,51.2,3895493401,157,,3895493409,212,39.1,3895493403,56,Right,3895493413,213,5.8,3895493417,1,,3898039649,178,,3895493407,141,20.1,yq0cm7vwr0tkv7nvt9vo77bp,B. Pavard,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2481729887,6,1,1,0,11,f0w62l8zql3tukxsy8fqwp72x,0,45,81.8,2022-11-05T14:32:09.949Z,2022-11-06T08:52:47Z,3895493677,141,83.5,3898347521,178,,3895493681,213,0.5,3895493673,56,Back,3895493679,212,2.5,3895493675,140,47.1,3895493671,3,,,,,2ebiw2w6d76sttjh8n8871kgl,M. Plattenhardt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
