id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/12/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/11/value,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/17/value
2521479063,1,34,16,0,0,eq1oq6y61xnzq88zu0cnw131z,1,0,0,2023-03-18T13:45:21.191Z,2023-03-18T15:10:15Z,4104963085,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",4104963087,194,82r0liyptyapc8rfuo32qcqtx,4105196393,197,8147,4104963077,30,"clmq1s26z0i3lqr1jqnd5wzit, 11dqnpwlb2clu2v7rnghsrlcl, 6sc9zsev9an853nop6pn6mxg5, 82r0liyptyapc8rfuo32qcqtx, 8gnpf9kwx2n2rqwf1gixc4bth, 8ksi5s9he1uxai3lfcq46grf9, 4y167h8sn9cnyrvb097lf8lbd, 2bzdn7cqqonejqmlq85w8z6qd, ejww8hjcn4y4hlik863vaw3qh, d2pco79bmi3f9x3zahtf9q2mt, f2o5hj0e2k3kw0fj1xzom0cet, 98e7uohj6lcvf59sfssff2y8l, 3nins3wtqjz9vt8q06s087vth, 4oic5vu1qv89061hflasl3r3d, de3mpa534obonqn4h2v10f6xh, 719bo3u7wz5doaadx7k45trdh, b7fqivvacy7mmarlp180k276d, 4f7gwrfeqm4x3k29jehes6od1, 8vfi7j34a5veeyswn5g5h4tbe, ns0d3voludn8of98yc2e6ehh",4104963079,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",4104963089,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4104963081,59,"1, 16, 3, 8, 20, 4, 6, 11, 22, 33, 7, 10, 17, 18, 21, 23, 24, 28, 29, 30",4104963083,130,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521481429,1,34,16,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,0,0,2023-03-18T13:47:16.804Z,2023-03-18T14:33:56Z,4104975599,59,"21, 2, 23, 44, 4, 32, 17, 27, 9, 19, 11, 7, 8, 10, 13, 16, 22, 25, 39",4104975605,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",4104975607,194,eapihgte8ydc4g6hzygsx2e39,4104975593,30,"axcrcuv22693vn0a887samsph, 95gjm3yk75rmwyneb350zoktm, 4qkv71pjmzw66crfaktr6tihh, axj39lx25teh62rih6uv9qor9, eapihgte8ydc4g6hzygsx2e39, 9prtaifv6stlujgywgq4wd08a, avh60ensgiwz1qalvn1bbqkfd, 1qthvf5krys0pzk24h8wtr9at, 8l0am8k4pg2s9g9qbkhwte6dx, dhhmffih4gl51nlu92hfctqs5, 2pjr6yz65f4uqvwniy4vphn85, 4gq1u1mqg0qzekh1u5djleeax, 7o3fumeufgigw092b7i5n4f6x, ckox9w95duwhmt72xxk7lt2vp, cfc7fqq748bz3nklfam2a2fp, 3igg6gfmomgh1t5ohwzbpb5cl, 2uz1cmslnjjzsgfcgji26kqg9, c0rzlb9gffcwfrcpzd40ob7fu, 3isbv9egu9vzxnna4ix8gcudx",4105197307,197,7074,4104975609,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",4104975597,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 4, 3, 5, 5, 5, 5, 5, 5, 5, 5",4104975603,130,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521524819,2,32,1,0,0,eq1oq6y61xnzq88zu0cnw131z,1,0,0,2023-03-18T14:32:03.252Z,2023-03-19T02:05:22Z,4105208995,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521524851,2,32,1,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,0,0,2023-03-18T14:32:03.252Z,2023-03-18T14:32:07Z,4105209149,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521524991,3,1,1,0,0,eq1oq6y61xnzq88zu0cnw131z,1,49.8,50,2023-03-18T14:32:03.289Z,2023-03-19T06:48:00Z,4105209835,56,Back,4108839389,178,,4105209845,279,S,4105209837,140,30.3,4105209843,213,2.9,4105209839,141,56.0,4105209841,212,20.9,,,,ejww8hjcn4y4hlik863vaw3qh,C. Antwi-Adjei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521525025,4,1,1,0,3,eq1oq6y61xnzq88zu0cnw131z,1,30.3,56,2023-03-18T14:32:06.514Z,2023-03-19T06:48:05Z,4105210001,213,4.5,4105209995,140,26.3,4105209997,141,31.9,4108839473,178,,4105209999,212,16.9,4105209993,56,Back,,,,,,,f2o5hj0e2k3kw0fj1xzom0cet,K. Stöger,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521525129,5,1,1,0,7,eq1oq6y61xnzq88zu0cnw131z,1,26.4,33.2,2023-03-18T14:32:10.505Z,2023-03-19T06:48:11Z,4105210483,212,21.2,4105210473,140,17.8,4105210489,213,2.0,4105210479,141,61.4,4105210469,56,Back,4108839621,178,,,,,,,,11dqnpwlb2clu2v7rnghsrlcl,K. Stafylidis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521525147,6,1,1,0,14,eq1oq6y61xnzq88zu0cnw131z,1,22,57.3,2023-03-18T14:32:17.562Z,2023-03-19T06:48:13Z,4105210607,212,51.9,4105210605,141,25.1,4105210599,155,,4105210603,140,66.8,4105210601,56,Center,4105368415,1,,4105210609,213,5.8,4108839715,178,,clmq1s26z0i3lqr1jqnd5wzit,M. Riemann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521525279,7,44,1,0,17,eq1oq6y61xnzq88zu0cnw131z,1,67.8,34.4,2023-03-18T14:32:20.658Z,2023-03-19T10:07:49Z,4105211271,286,,4105211267,56,Center,4105211277,233,3,,,,,,,,,,,,,,,,d2pco79bmi3f9x3zahtf9q2mt,P. Hofmann,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2521525235,3,44,1,0,17,9gefq4dz9b2hl8rqrxwrlrzmp,0,32.2,65.6,2023-03-18T14:32:20.659Z,2023-03-19T06:48:17Z,4105211051,285,,4105211301,233,7,4105211049,56,Back,,,,,,,,,,,,,,,,9prtaifv6stlujgywgq4wd08a,J. Gvardiol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
