id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/8/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/20/id,qualifier/20/qualifierId,qualifier/20/value,keyPass,qualifier/10/value
2451429241,1,34,16,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,0,0,2022-08-27T12:39:37.065Z,2022-08-27T13:48:59Z,3734570869,130,18,3734570867,59,"21, 39, 22, 23, 4, 2, 27, 44, 7, 19, 18, 8, 10, 11, 24, 25, 32, 34, 38",3734570863,30,"axcrcuv22693vn0a887samsph, 3isbv9egu9vzxnna4ix8gcudx, 2uz1cmslnjjzsgfcgji26kqg9, 4qkv71pjmzw66crfaktr6tihh, eapihgte8ydc4g6hzygsx2e39, 95gjm3yk75rmwyneb350zoktm, 1qthvf5krys0pzk24h8wtr9at, axj39lx25teh62rih6uv9qor9, 4gq1u1mqg0qzekh1u5djleeax, dhhmffih4gl51nlu92hfctqs5, 1j0a3ml1zglc9s31yentfckb9, 7o3fumeufgigw092b7i5n4f6x, ckox9w95duwhmt72xxk7lt2vp, 2pjr6yz65f4uqvwniy4vphn85, 1s1v1tweyx8wxc9hj2jrnaggl, c0rzlb9gffcwfrcpzd40ob7fu, 9prtaifv6stlujgywgq4wd08a, dg4xtfca5bvigpvhahsijl756, 8zmj7mo9zxsoo5trhmmgmgb56",3734570865,44,"1, 3, 3, 2, 2, 2, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5",3734570873,194,eapihgte8ydc4g6hzygsx2e39,3734570875,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3734570871,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0",3734699967,197,1458,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451431197,1,34,16,0,0,a8l3w3n0j99qjlsxj3jnmgkz1,1,0,0,2022-08-27T12:42:41.978Z,2022-08-27T13:27:16Z,3734581319,227,"0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0",3734581309,131,"1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 0, 0, 0, 0, 0, 0, 0, 0, 0",3734581297,44,"1, 2, 2, 3, 2, 2, 3, 3, 4, 3, 3, 5, 5, 5, 5, 5, 5, 5, 5, 5",3734581299,59,"1, 20, 6, 27, 4, 5, 16, 29, 10, 9, 17, 2, 3, 7, 12, 14, 22, 32, 33, 38",3734700227,197,8139,3734581315,194,acxwc7xxrtyssiy390t859kgl,3734581303,130,8,3734581295,30,"bfpax581lm91ebz4xgz40a191, 23l48u4w5nj4036whjm3s49gp, 76h7b6dhpyotolq68f84lqifp, acxwc7xxrtyssiy390t859kgl, 7e7w34imugzsufvytjxytupd5, dodddfi0l5i36vlgbaybhzeqy, b7cso5zljdvzfila9zd4fz4ve, bjhgmcai5irlexe7oa1g0e5sl, embn1jhcly07i6pjcvcdiavo5, c82gu4dg85nwgkp7quzwqvefp, 9i46dpapurzdzvd7nz3be7kl, 2mwe6l0eu1tisri3eu26fx8x6, fr9ac60188vlmtbrcddhxii1, 3es8fg7y59lckypu11i68q6s5, 53ozrqkupvt2iyi2xg0swf7px, ec04djw7dspowrm7h7wr6e5ed, 6384gzzxuxs6pvmrn8qx4d7u1, 4sd2zs6d5cd4d9n3oo54lglat, b8if5dg0k9prjik99aiutewh5, en0a6a574x1yvnk8kdxwub949",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451454243,2,32,1,0,0,a8l3w3n0j99qjlsxj3jnmgkz1,1,0,0,2022-08-27T13:30:34.240Z,2022-08-27T13:30:34Z,3734705579,127,Left to Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451454251,2,32,1,0,0,9gefq4dz9b2hl8rqrxwrlrzmp,1,0,0,2022-08-27T13:30:34.240Z,2022-08-27T21:57:54Z,3734705593,127,Right to Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451454265,3,1,1,0,0,a8l3w3n0j99qjlsxj3jnmgkz1,1,49.6,49.7,2022-08-27T13:30:34.252Z,2022-08-27T22:48:05Z,3734705655,279,S,3734705651,212,15.5,3734705653,213,3.3,3734705645,56,Back,3734705649,141,46.1,3737719295,178,,3734705647,140,35.0,,,,c82gu4dg85nwgkp7quzwqvefp,M. Kruse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451454289,4,1,1,0,2,a8l3w3n0j99qjlsxj3jnmgkz1,0,35,46.1,2022-08-27T13:30:37.137Z,2022-08-27T22:48:16Z,3737720605,178,,3734705713,157,,3734705737,1,,3734705727,141,100.0,3734705731,212,54.1,3734705735,213,0.8,3734705717,56,Left,3734705723,140,72.1,7e7w34imugzsufvytjxytupd5,M. Lacroix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451454379,3,5,1,0,7,9gefq4dz9b2hl8rqrxwrlrzmp,1,24.6,-1.6,2022-08-27T13:30:41.984Z,2022-08-27T22:48:26Z,3734706085,347,,3734706083,56,Back,3734706093,233,5,,,,,,,,,,,,,,,,95gjm3yk75rmwyneb350zoktm,M. Simakan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451454291,5,5,1,0,7,a8l3w3n0j99qjlsxj3jnmgkz1,0,75.4,101.6,2022-08-27T13:30:41.984Z,2022-08-27T22:48:26Z,3734705739,56,Left,3734706099,233,3,3734705741,347,,,,,,,,,,,,,,,,,7e7w34imugzsufvytjxytupd5,M. Lacroix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451454407,4,1,1,0,15,9gefq4dz9b2hl8rqrxwrlrzmp,1,25.5,0,2022-08-27T13:30:50.175Z,2022-08-27T22:48:34Z,3734706187,140,6.4,3734706189,141,7.1,3734706191,212,21.0,3734706193,213,2.8,3734706183,107,,3734706185,56,Back,,,,,,,3isbv9egu9vzxnna4ix8gcudx,B. Henrichs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2451454425,5,1,1,0,18,9gefq4dz9b2hl8rqrxwrlrzmp,0,7.5,4.7,2022-08-27T13:30:52.444Z,2022-08-27T22:48:52Z,3737722339,178,,3734706283,141,8.6,3734706281,140,34.9,3734706285,212,28.9,3734706277,155,,3734706287,213,0.1,3734706279,56,Back,,,,95gjm3yk75rmwyneb350zoktm,M. Simakan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
